,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
0,06,010100,0,47,68,27,27,0,0,20,23,0,0,25,0,0,260,12,0,0,0,0,11,228
1,06,010200,26,36,133,11,17,0,35,136,10,28,59,49,0,100,943,48,39,12,101,67,36,459
2,06,010300,50,0,45,45,0,0,41,120,58,0,12,31,0,10,505,23,0,0,38,14,18,221
3,06,010400,35,25,185,65,70,0,4,67,42,0,0,22,53,25,783,58,22,36,36,38,0,472
4,06,010500,7,46,85,58,37,0,10,23,11,0,0,37,0,57,414,9,14,0,9,0,11,342
5,06,010600,0,0,54,0,10,0,0,41,0,0,0,0,0,0,208,30,0,0,14,14,45,123
6,06,010700,11,32,13,0,0,0,36,90,0,0,0,0,0,0,207,25,0,0,0,0,0,45
7,06,010800,17,50,127,9,32,0,43,54,38,0,11,25,0,0,643,78,0,16,65,35,43,359
8,06,010900,0,58,134,16,21,0,9,53,39,0,0,44,0,25,547,0,0,0,28,12,108,457
9,06,011000,0,16,0,14,26,0,33,51,13,0,0,11,15,2,216,35,0,0,0,0,0,82
10,06,011100,14,39,33,0,0,0,0,0,35,0,0,49,0,58,307,14,0,0,0,0,65,279
11,06,011200,48,34,53,31,16,0,0,84,30,12,9,0,0,0,467,22,30,11,54,10,23,197
12,06,011300,0,0,30,10,0,0,11,56,0,0,0,19,0,0,200,46,0,0,22,0,6,65
13,06,011700,0,2,34,0,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0,9,0,53
14,06,011800,0,0,10,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,19
15,06,011901,0,22,137,23,18,0,0,18,32,14,0,15,0,14,384,0,0,0,44,13,34,308
16,06,011902,0,0,0,0,46,0,0,18,0,0,0,7,0,0,71,0,0,0,0,0,0,53
17,06,012000,0,0,15,0,0,0,0,14,0,0,0,0,13,0,71,0,0,0,14,0,15,30
18,06,012100,0,0,0,0,0,11,0,0,0,11,0,20,12,0,94,0,17,0,12,0,11,42
19,06,012201,0,0,43,16,19,0,0,0,10,0,0,0,0,0,161,0,0,0,0,63,10,161
20,06,012202,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0
