,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140_004E,B25140_005E,B25140_008E,B25140_009E,B25140_007E,B25140_003E,B25140_001E
0,06,010101,0,0,38,15,0,0,0,56,16,0,0,0,0,0,165,0,0,0,40,0,0,69,38,0,40,0,40,38,1222
1,06,010102,0,0,39,18,6,0,0,59,0,0,0,0,0,6,221,0,0,0,0,66,27,162,39,0,0,0,0,45,922
2,06,010201,11,11,22,39,34,0,0,49,64,7,0,0,8,82,465,15,59,0,48,0,16,268,22,0,48,8,55,115,1308
3,06,010202,0,0,15,0,10,0,10,113,8,0,0,25,0,21,308,12,0,0,46,48,0,127,15,0,46,0,46,61,1084
4,06,010300,0,0,86,38,11,0,0,66,60,0,0,0,0,12,452,48,21,0,59,38,13,258,86,0,59,0,59,98,2087
5,06,010401,10,0,57,7,25,0,33,66,15,0,0,10,0,11,386,46,12,48,26,20,0,145,57,0,26,0,26,78,996
6,06,010402,34,0,0,26,20,0,0,97,0,0,0,21,0,89,387,17,9,0,18,0,56,212,0,0,18,0,18,110,1293
7,06,010500,0,73,29,44,20,0,9,42,8,19,6,0,0,16,407,9,29,0,27,6,70,266,29,0,27,0,52,118,1792
8,06,010600,0,9,33,0,10,0,9,53,8,7,0,19,0,0,167,10,0,0,9,0,0,79,33,0,9,0,16,61,1807
9,06,010701,0,0,0,0,0,0,8,0,0,0,0,0,36,0,106,54,0,8,0,0,0,0,0,0,0,36,8,0,1886
10,06,010702,0,0,31,0,0,0,0,53,14,0,0,0,0,0,120,0,0,0,0,0,22,67,31,0,0,0,0,31,675
11,06,010800,15,13,41,5,9,0,30,115,0,0,0,0,8,11,444,44,0,0,72,12,69,160,14,0,72,8,72,65,2401
12,06,010901,22,0,92,0,19,0,12,0,21,0,0,0,10,23,254,15,7,0,20,0,13,168,92,0,20,10,20,92,1045
13,06,010902,0,0,12,18,0,0,0,21,19,0,14,10,0,0,100,0,0,0,0,0,6,65,12,0,0,0,14,22,1363
14,06,011001,0,0,53,34,56,0,0,84,75,0,0,7,0,8,371,46,0,0,0,0,8,241,53,0,0,0,0,68,1446
15,06,011002,32,0,19,30,0,0,12,125,35,0,14,23,42,0,425,18,0,0,17,58,0,165,19,0,17,42,31,42,1212
16,06,011101,0,0,0,23,13,0,0,41,20,0,0,0,0,0,157,19,8,0,0,33,0,89,0,0,0,0,0,0,1495
17,06,011102,21,9,0,31,0,0,0,0,8,0,0,0,0,0,77,0,0,0,8,0,0,48,0,0,8,0,8,9,1362
18,06,011200,21,25,45,9,15,0,17,55,11,0,0,0,0,21,366,27,0,8,85,8,19,153,45,0,85,0,85,91,1651
19,06,011300,0,0,6,17,9,0,0,16,0,0,0,5,0,0,113,12,14,13,9,0,12,49,6,0,9,0,22,11,1383
20,06,011700,0,0,26,0,14,0,13,5,0,0,0,0,0,11,132,7,0,0,14,16,26,93,26,0,14,0,14,37,1152
21,06,011800,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,0,4,0,738
22,06,011901,30,15,23,33,24,14,0,34,9,0,0,0,0,15,265,27,0,0,9,7,25,165,23,14,9,0,9,38,1297
23,06,011902,0,0,23,0,0,0,0,0,0,0,0,10,0,30,102,13,0,0,10,16,0,79,23,0,10,0,10,63,1609
24,06,012001,0,0,0,34,40,0,0,0,0,0,0,0,0,14,109,0,0,0,0,21,0,109,0,0,0,0,0,14,1110
25,06,012002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,148,0,0,0,0,0,148,0,148,0,1339
26,06,012100,0,0,0,0,50,37,15,0,0,0,0,0,0,0,133,0,0,0,0,31,0,118,0,37,0,0,0,0,2166
27,06,012202,0,12,0,0,0,0,0,68,12,0,26,9,0,15,212,0,0,0,0,70,0,118,0,0,0,0,26,36,1494
28,06,012203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091
29,06,012204,0,0,0,0,0,0,0,12,23,0,8,0,0,0,74,0,0,0,31,0,0,23,0,0,31,0,39,0,1598
30,06,012301,21,0,0,0,0,0,0,35,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1291
31,06,012302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918
32,06,012403,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1190
33,06,012404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532
34,06,012405,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,22,2524
35,06,012406,0,0,16,0,0,0,0,15,0,14,0,0,0,0,98,0,0,0,29,24,0,40,16,0,29,0,43,16,979
36,06,012502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246
37,06,012503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,38,0,0,0,0,0,0,1919
38,06,012504,0,0,0,0,0,0,0,25,0,0,0,0,0,17,55,13,0,0,0,0,0,17,0,0,0,0,0,17,340
39,06,012601,0,0,8,8,8,0,0,33,59,26,0,27,0,0,284,10,0,0,40,30,35,175,8,0,40,0,66,35,1325
40,06,012602,6,14,54,6,18,0,22,38,86,0,9,0,0,51,457,40,0,0,66,23,24,276,54,0,66,0,75,107,1404
41,06,012700,91,7,28,23,112,18,35,39,38,0,55,0,66,0,601,25,17,0,16,0,31,257,28,18,16,66,71,35,2145
42,06,012801,0,28,0,0,123,0,33,67,89,0,0,20,0,67,495,18,0,0,0,7,43,377,0,0,0,0,0,57,1213
43,06,012802,23,16,11,48,0,0,52,7,0,13,0,15,0,0,228,8,0,0,0,35,0,125,11,0,0,0,13,42,925
44,06,012901,0,28,20,0,46,0,0,51,53,0,0,10,0,25,275,4,0,0,0,0,38,220,20,0,0,0,0,76,1385
45,06,012902,18,14,0,65,26,0,16,65,59,0,0,0,0,0,342,0,0,0,0,16,63,243,0,0,0,0,0,14,1861
46,06,013001,0,35,29,0,15,0,0,54,8,0,0,8,0,0,222,73,0,0,0,0,0,95,29,0,0,0,0,72,896
47,06,013002,0,15,14,76,0,0,18,35,36,0,0,75,0,0,315,0,0,0,18,0,28,244,14,0,18,0,18,104,1236
48,06,013101,0,13,23,27,47,0,18,45,43,0,0,0,0,108,572,6,0,0,47,113,82,456,23,0,47,0,47,144,2345
49,06,013102,0,0,116,33,11,0,9,127,31,0,9,7,0,9,453,32,9,0,0,19,41,267,116,0,0,0,9,123,1567
50,06,013200,41,208,134,73,74,0,0,132,42,20,22,13,15,0,898,93,0,0,12,19,0,563,134,0,12,15,54,355,2213
51,06,013300,11,6,120,38,145,0,29,221,50,0,0,10,0,75,841,20,30,0,7,32,47,523,115,0,7,0,7,211,1954
52,06,013401,0,0,28,18,18,0,16,49,0,0,0,0,0,18,182,21,0,0,0,0,14,96,28,0,0,0,0,46,755
53,06,013402,0,18,96,10,105,0,13,41,0,0,0,0,0,5,329,22,0,0,0,0,19,253,96,0,0,0,0,119,1164
54,06,013500,99,17,35,90,26,0,16,18,5,6,25,9,0,7,429,14,7,0,26,16,13,218,35,0,26,0,57,68,1641
55,06,015100,21,15,90,18,6,9,0,119,25,12,0,7,0,28,534,12,26,9,0,45,92,335,90,9,0,0,21,129,1720
56,06,015201,0,0,0,37,0,0,0,0,0,0,0,29,0,24,139,6,0,0,0,43,0,133,0,0,0,0,0,39,1049
57,06,015202,13,5,40,58,19,0,0,107,34,0,0,31,0,0,489,13,0,56,76,37,0,224,40,0,76,0,101,76,1022
58,06,015300,7,9,75,11,64,0,7,79,26,2,11,29,0,9,368,0,0,0,0,0,39,262,75,0,0,0,13,122,1026
59,06,015401,10,41,48,5,19,0,42,85,22,0,0,34,33,0,568,0,11,0,75,33,110,312,48,0,75,33,75,123,1697
60,06,015402,0,18,8,52,37,0,0,51,18,8,22,0,0,0,375,13,0,0,0,43,105,281,8,0,0,0,30,26,1297
61,06,015500,0,0,0,0,16,0,0,25,0,0,0,16,0,13,162,73,0,0,19,0,0,45,0,0,19,0,19,29,2249
62,06,015600,19,16,49,10,36,0,5,70,39,16,0,9,0,0,347,55,17,0,0,6,0,165,49,0,0,0,16,74,1381
63,06,015701,0,0,74,0,22,0,0,76,35,0,0,37,0,18,384,13,0,0,0,20,89,295,74,0,0,0,0,129,1187
64,06,015702,0,48,35,51,27,0,20,78,151,0,0,0,0,22,589,45,0,0,0,0,112,446,35,0,0,0,0,105,1309
65,06,015801,0,39,45,10,44,0,23,27,70,0,0,0,0,0,310,14,0,0,0,29,9,246,18,0,0,0,0,84,1415
66,06,015802,0,23,36,30,31,0,0,0,19,0,9,50,0,35,340,17,0,0,11,60,19,303,36,0,11,0,20,144,1633
67,06,015900,9,30,95,16,0,0,31,86,65,45,0,10,0,0,586,47,0,0,21,101,30,347,95,0,21,0,66,135,2129
68,06,016000,40,40,54,28,18,0,0,9,31,0,0,9,0,10,369,24,2,0,0,11,93,294,54,0,0,0,0,104,1713
69,06,016101,0,27,16,65,0,0,0,19,0,0,0,0,0,0,162,0,0,0,0,20,15,143,16,0,0,0,0,43,1555
70,06,016102,0,13,21,0,0,0,0,40,0,0,0,0,0,0,74,0,0,0,0,0,0,34,21,0,0,0,0,34,1179
71,06,016200,6,35,32,57,0,0,0,0,67,0,0,0,0,0,370,114,0,0,0,46,13,250,32,0,0,0,0,67,1847
72,06,016300,0,0,43,68,0,0,31,58,106,0,0,21,0,0,369,20,0,12,0,0,10,248,43,0,0,0,12,64,1885
73,06,016400,6,9,41,7,23,0,0,17,24,0,0,43,0,29,226,0,0,0,0,27,0,203,41,0,0,0,0,122,1704
74,06,016500,0,10,23,63,31,0,16,54,36,0,0,25,84,29,716,19,0,0,41,138,147,502,23,0,41,84,41,87,2260
75,06,016601,0,31,45,61,11,13,9,36,0,0,0,12,0,15,313,8,0,0,0,17,55,260,45,13,0,0,0,103,1458
76,06,016602,0,0,36,27,7,0,0,18,73,0,0,0,0,0,165,0,0,0,0,4,0,147,36,0,0,0,0,36,1052
77,06,016700,0,0,21,25,97,0,0,97,60,0,0,44,0,39,487,5,16,0,0,47,36,369,21,0,0,0,0,92,2336
