Category,Attribute,San Francisco,Bayview - District 10,Bayview Hunters Point,Bernal Heights,Castro/Upper Market,Chinatown,Excelsior,Farallon Islands,Financial District/South Beach,Glen Park,Golden Gate Park,Haight Ashbury,Hayes Valley,Inner Richmond,Inner Sunset,Japantown,Lakeshore,Lincoln Park,Lone Mountain/USF,Marina,McLaren Park,Mission,Mission Bay,Nob Hill,Noe Valley,North Beach,Ocean Beach,Oceanview/Merced/Ingleside,Outer Mission,Outer Richmond,Pacific Heights,Portola,Potrero Hill,Presidio,Presidio Heights,Russian Hill,Seacliff,South of Market,Sunset/Parkside,Tenderloin,Treasure Island,Twin Peaks,Visitacion Valley,West of Twin Peaks,Western Addition,Western Addition/Fillmore Community Boundary,Western Addition/Fillmore Community Boundary Subarea
Age,"0-2 Years, Under 6 Years",0.5406174484518621,0.49366880447294853,0.4395839706332212,0.531324725011956,0.7707581227436823,0.4962962962962963,0.4771505376344086,,0.8446601941747572,0.5412979351032449,,0.44938820912124583,0.6501457725947521,0.5384615384615384,0.5286368843069874,0.4338308457711443,0.38666666666666666,,0.6230661040787623,0.6313017306245298,,0.5493576741041244,0.6367924528301887,0.4964912280701754,0.5809390329362298,0.6629464285714286,,0.4819759679572764,0.5379236148466918,0.5221273291925466,0.6816269284712483,0.5848329048843187,0.6252100840336134,0.5366492146596858,0.7274853801169591,0.7208931419457735,0.2891566265060241,0.43521594684385384,0.5041896097677759,0.4815983175604627,0.14606741573033707,0.7665369649805448,0.4873262469337694,0.49837662337662336,0.4317111459968603,0.5345224395857308,0.4317111459968603
Age,0-4 Years,0.04535260403688014,0.06592545171868672,0.07205108528831397,0.0700357044767921,0.02536800785083415,0.018345424107142856,0.04641775983854692,,0.04308335823125187,0.072545880034487,,0.040150917896159474,0.03131408302388738,0.04276477146042364,0.05134313928596092,0.028527572910037064,0.017447471972678,,0.03716875071698979,0.045916114790286976,,0.04252414770272839,0.03787954704880248,0.020051550299446594,0.058412754183319426,0.032908366533864544,,0.044549025158345426,0.06854855522661886,0.05059840425531915,0.05295710878441202,0.037801954637654435,0.08002349313559944,0.09372453137734311,0.07365037345182944,0.03190494526651631,0.0718586912886391,0.023379207428287183,0.043688295560384977,0.027307425399028452,0.021022905553812362,0.030232558139534883,0.058506154105547124,0.05816165242317893,0.020312646260413743,0.02776711193743306,0.020312646260413743
Age,18-34 Years,0.30441614990515276,0.2491083210305588,0.24506687130015348,0.25240318593792915,0.27473012757605497,0.21721540178571427,0.2476034308779011,,0.3371974902898118,0.17428254711171326,,0.3850095731501295,0.41439893587540877,0.3282051282051282,0.32808507699744494,0.34191905956347574,0.5799985151087683,,0.4523345187564529,0.4192655027092113,,0.35477683894043854,0.4966429501954104,0.43855659161549543,0.25069172998374983,0.360796812749004,,0.26343724567425075,0.25922528457657507,0.263563829787234,0.3633827869183814,0.23142172229393324,0.282064459290801,0.39798967671828306,0.2772052566890423,0.40794323120083614,0.09433962264150944,0.2806610291272868,0.24033529959639863,0.30423317140874395,0.5911515531848133,0.2270861833105335,0.2357106727364694,0.17185951188147988,0.33319292333614153,0.3665703372875533,0.33319292333614153
Age,"3-5 Years, Under 6 Years",0.45938255154813795,0.5063311955270515,0.5604160293667788,0.468675274988044,0.2292418772563177,0.5037037037037037,0.5228494623655914,,0.1553398058252427,0.45870206489675514,,0.5506117908787542,0.3498542274052478,0.46153846153846156,0.4713631156930126,0.5661691542288557,0.6133333333333333,,0.3769338959212377,0.3686982693754703,,0.4506423258958756,0.3632075471698113,0.5035087719298246,0.41906096706377016,0.33705357142857145,,0.5180240320427236,0.46207638515330823,0.47787267080745344,0.31837307152875177,0.41516709511568123,0.37478991596638656,0.46335078534031415,0.27251461988304093,0.27910685805422647,0.7108433734939759,0.5647840531561462,0.49581039023222406,0.5184016824395373,0.8539325842696629,0.23346303501945526,0.5126737530662305,0.5016233766233766,0.5682888540031397,0.4654775604142693,0.5682888540031397
Age,35-59 Years,0.35983531989932244,0.36462810781149974,0.33770006577504935,0.40840428453721506,0.4766437684003925,0.31284877232142855,0.3740413723511604,,0.3957573946818046,0.41692326641211974,,0.4025228066223674,0.38690905060134123,0.3311036789297659,0.3452109660935018,0.2910411440979372,0.19570866434033707,,0.29907078123207526,0.31772024884607664,,0.3848253935341178,0.3327988776430504,0.30896065499204,0.438842285563705,0.3162549800796813,,0.36431831853083757,0.34436892799066005,0.3487145390070922,0.3181469054452844,0.35484664085069767,0.4423316937082446,0.3287150230915512,0.34934291386971733,0.2966609824522801,0.36732236049779204,0.40999281490079037,0.359068612232226,0.4022900763358779,0.22780043928459368,0.4191518467852257,0.35558927668184115,0.3914860556701583,0.2955630440887391,0.32493987834205684,0.2955630440887391
Age,5-17 Years,0.08870334093621567,0.15289844658418364,0.1888292041219031,0.11060540667791423,0.04631992149165849,0.09326171875,0.12172048435923309,,0.04296384822228862,0.1040768567557581,,0.05214551188196869,0.044504794102976225,0.07866220735785953,0.08034666114218632,0.07663509415596571,0.0576880243522162,,0.06234943214408627,0.06582380092313868,,0.08091856306049452,0.05180879847680128,0.02759457205670533,0.08546708243664632,0.045737051792828685,,0.11652100067230459,0.11191260476170621,0.084375,0.051542224198568944,0.1454914254102895,0.0817854783055576,0.1643575115457756,0.09567930415051527,0.033225149898234226,0.21236451224407868,0.04609517492953076,0.1110214219186588,0.05135322692574601,0.11358644493253844,0.0694938440492476,0.14826055190243353,0.1201811021512578,0.07708508845829823,0.058888911343289614,0.07708508845829823
Age,60 and older,0.20169258522242903,0.16743967285507114,0.15635277351458013,0.1585514183701495,0.17693817468105985,0.3583286830357143,0.21021695257315842,,0.18099790857484313,0.2321714496859219,,0.12017119044937492,0.1228731363963864,0.21926421404682275,0.195014156480906,0.26187712927258433,0.14915732422600045,,0.14907651715039577,0.15127433273128638,,0.13695505676222072,0.08086982663593546,0.20483663103631264,0.16658614783257938,0.2443027888446215,,0.2111744099642617,0.21594462744443982,0.2527482269503546,0.21397097465335327,0.23043825680742516,0.11379487555979736,0.015213257267046998,0.2041221518388957,0.23026569118213322,0.25411481332798075,0.23987177361410492,0.24588637069233157,0.21481609993060374,0.046438657044242236,0.25403556771545827,0.20193334457370876,0.25831167787392506,0.27384629785640735,0.22183376108966715,0.27384629785640735
Age,Under 18 Years,111913.0,16727.0,9508.0,4602.0,1461.0,1600.0,6665.0,0.0,1440.0,1434.0,0.0,1633.0,1368.0,2722.0,3811.0,2789.0,943.0,0.0,1662.0,2766.0,0.0,7119.0,895.0,1247.0,3268.0,987.0,0.0,4535.0,4321.0,6079.0,2584.0,2977.0,2204.0,950.0,1769.0,1184.0,708.0,1217.0,12426.0,2249.0,370.0,669.0,3679.0,6653.0,2061.0,4268.0,2061.0
Age,Under 6 Years,44279.0,6081.0,3269.0,2091.0,554.0,270.0,2232.0,0.0,721.0,678.0,0.0,899.0,686.0,1040.0,1746.0,1005.0,300.0,0.0,711.0,1329.0,0.0,2958.0,424.0,570.0,1427.0,448.0,0.0,1498.0,1859.0,2576.0,1426.0,778.0,1190.0,382.0,855.0,627.0,249.0,602.0,4177.0,951.0,89.0,257.0,1223.0,2464.0,637.0,1738.0,637.0
Educational Attainment,College Degree or higher,0.5386867457615273,0.3404041905044951,0.23492645526896955,0.5478818998716303,0.7540460200374326,0.1903426518271843,0.24877721943048575,,0.7047328027288232,0.7050326188257223,,0.7849289353714133,0.6525857654889913,0.5877954920285872,0.7185733858537421,0.5692064209812344,0.548337091319053,,0.6600470130501743,0.8113956345081735,,0.5184427112509157,0.7594129676410442,0.5816596677012963,0.7872089279965662,0.5795638510618036,,0.30124162396531334,0.2971089018397897,0.530061730135017,0.7885510688836105,0.2578400134160657,0.7321934717015635,0.8584983498349835,0.735107573684865,0.7162288056642444,0.7868375072801398,0.423342718198106,0.4603301081388731,0.3212797867022163,0.40792540792540793,0.6031623004185398,0.19024629735700843,0.6322206605762474,0.56887288523091,0.6130247193153918,0.56887288523091
