Category,Attribute,San Francisco,Bayview - District 10,Bayview Hunters Point,Bernal Heights,Castro/Upper Market,Chinatown,Excelsior,Farallon Islands,Financial District/South Beach,Glen Park,Golden Gate Park,Haight Ashbury,Hayes Valley,Inner Richmond,Inner Sunset,Japantown,Lakeshore,Lincoln Park,Lone Mountain/USF,Marina,McLaren Park,Mission,Mission Bay,Nob Hill,Noe Valley,North Beach,Ocean Beach,Oceanview/Merced/Ingleside,Outer Mission,Outer Richmond,Pacific Heights,Portola,Potrero Hill,Presidio,Presidio Heights,Russian Hill,Seacliff,South of Market,Sunset/Parkside,Tenderloin,Treasure Island,Twin Peaks,Visitacion Valley,West of Twin Peaks,Western Addition,Western Addition/Fillmore Community Boundary
Age,0-4 Years,0.04554842481998953,0.06746762884487435,0.07053142717630144,0.06767924095187083,0.03789064352444634,0.028546362532055607,0.041687849517031014,,0.04067136392278169,0.06422130148671704,,0.04044321329639889,0.0288751301298559,0.03937252810736346,0.04607883532481802,0.03646441073512252,0.02111740437731627,,0.04365386743388293,0.05014338059582603,,0.04645530978733564,0.04055465856206667,0.021519325422564767,0.0648303806198543,0.03223501389440254,,0.04427464562430821,0.06130268199233716,0.04798306217963004,0.04196617775377073,0.044474229316437186,0.07663252705745624,0.11442006269592477,0.08477895914941243,0.025350532809871006,0.0724755700325733,0.019762227552403797,0.04460429879327789,0.0260425893774581,0.020711974110032363,0.03629739576305492,0.06458389442499327,0.054455445544554455,0.02871416355371529,0.03817073489783638
Age,18-34 Years,0.3052043890961046,0.25065254107170276,0.2502780565879066,0.24734103603948274,0.2864798216910893,0.22486165474422998,0.24392475851550585,,0.3270321361058601,0.17706556178406044,,0.38254847645429363,0.4104432633828283,0.3234679820468382,0.319186924872957,0.35403296382730454,0.5977204391301307,,0.48030319796392607,0.4264377887525888,,0.3520643962003513,0.46994016525785925,0.4321034759052234,0.24005345057976638,0.33465660976578004,,0.26718320419895025,0.25658138672599184,0.2468464452863829,0.38741845680807746,0.2251736322651395,0.27565918500762693,0.3565830721003135,0.28949822794254804,0.43567021873247336,0.09120521172638436,0.30279486912086767,0.24070281074945094,0.30538922155688625,0.5896440129449838,0.25678046147618405,0.23587395636951253,0.17402692650217402,0.34515504748188486,0.3943437197498888
Age,35-59 Years,0.3570726313357319,0.3583729975945545,0.3262621056343759,0.40783533552681916,0.4620856451842367,0.3082737211499528,0.3653787493645145,,0.4143896431231025,0.4023884962222764,,0.39551246537396123,0.37986959618651034,0.32960049771141625,0.3535228677379481,0.2880323803967328,0.18404307391091532,,0.28184131902179926,0.31288832244702885,,0.3848934972798745,0.35330990597397666,0.30638330344538134,0.43376869692659165,0.33013100436681225,,0.3617667011818474,0.340460594075722,0.3637619790505906,0.3162006066397972,0.3559766053369075,0.4492627297159875,0.3343782654127482,0.3392091027793322,0.26814357823892315,0.3762214983713355,0.40150172072166024,0.3571551958147225,0.3928710626085108,0.2320388349514563,0.39414384023748483,0.3516294101804471,0.38532662790088534,0.2973581169269544,0.3199644193286765
Age,5-17 Years,0.08927670449990804,0.15141511848098674,0.18205246453083038,0.10957227025786212,0.04524114383269313,0.09002564448643542,0.12465683782409762,,0.045139485593171796,0.11369729466244212,,0.05562326869806094,0.04251821817982576,0.09247655868106475,0.08302430984754841,0.06796966161026838,0.05419201454443745,,0.04852273984729446,0.061534172375338536,,0.07572010846393915,0.046633108557317886,0.0295699950398718,0.08690029742661322,0.058118300913060736,,0.12346913271682079,0.12079265026984716,0.08720748829953198,0.04707691029210122,0.14030705495308882,0.09101474540568025,0.16666666666666666,0.09028166386868122,0.03735277621985418,0.21579804560260588,0.05297736990301387,0.11103570811637835,0.0522623392268717,0.11197411003236246,0.06476858723519094,0.15012119579854566,0.12496725863062497,0.0698951347945452,0.05161813567747168
Age,60 and older,0.2028978502482659,0.17209171400788167,0.17087594607058568,0.16757211722396512,0.1683027457675345,0.34829261708732623,0.22435180477885105,,0.17276737125508393,0.24262734584450402,,0.1258725761772853,0.13829379212097967,0.21508243345331735,0.19818706221672847,0.25350058343057175,0.1429270680372002,,0.14567887573309726,0.14899633582921779,,0.1408666882684994,0.08956216164877956,0.21042390018695867,0.17444717444717445,0.24485907105994442,,0.20330631627807333,0.22086268693610184,0.2542010251838645,0.20733784850625336,0.23406847812842696,0.10743081281324908,0.027951933124346916,0.1962320462600261,0.23348289399887828,0.24429967426710097,0.22296381270205443,0.24650198652617034,0.22343478723027319,0.04563106796116505,0.24800971528808527,0.19779154322650147,0.26122374142176125,0.25887753724290025,0.19590299034612668
Educational Attainment,College Degree or higher,0.5483582916944467,0.3428540399652476,0.2457011382901429,0.5338394363401806,0.7580471525460222,0.1916405787291649,0.257751677852349,,0.7297862296850766,0.6763803680981595,,0.7857564430454456,0.6893136947665308,0.6035056578655424,0.7311399832355406,0.5818109785623101,0.5518156424581006,,0.6916122946309252,0.822456272334023,,0.5341476724174118,0.7296935933147632,0.6011754442352725,0.8026287782034909,0.5746140651801029,,0.2990551964196917,0.3049025069637883,0.5283157567361249,0.7923080658476181,0.2795010667979649,0.7431578947368421,0.8576131687242798,0.7632101215579261,0.716199987358574,0.8098341232227488,0.4397597670468333,0.4729291176659598,0.34460879065467687,0.3931034482758621,0.6382488479262672,0.17814820666772002,0.650072548884129,0.5847784724109812,0.6630746321233567
Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.23651804670912951,0.19696969696969696,0.21052631578947367,0.0603448275862069,0.2553191489361702,0.0967741935483871,0.24444444444444444,,0.0,0.0,,0.56,0.2235294117647059,0.0,0.3382352941176471,0.0,,,0.0,0.71875,,0.27495621716287216,0.2112676056338028,1.0,0.5670103092783505,0.0,,0.0,0.2716049382716049,0.0,0.0,0.3018867924528302,0.0,,,,,0.0,0.379746835443038,0.17307692307692307,0.0,0.0,0.08108108108108109,0.34375,0.0,0.09947643979057591
Educational Attainment,"College Degree or higher by Race, Asian Alone",0.4329191104647852,0.2937508411466511,0.2549227799227799,0.49416017797552836,0.7112369337979094,0.10754890914677866,0.2636144578313253,,0.7859841329807329,0.687442713107241,,0.83,0.7242798353909465,0.3578423986740997,0.6610738255033557,0.546014368799179,0.6232876712328768,,0.5966503838101884,0.7345276872964169,,0.6243838793853291,0.6587545378385926,0.44264161685169373,0.8182473855030653,0.3094504365690806,,0.26364040943480194,0.29567970585231335,0.3871006057726571,0.7917337627482555,0.28642785785642927,0.7742273441592457,0.8055555555555556,0.7807112068965517,0.4790169255738465,0.6727272727272727,0.3866687979539642,0.4129968987877079,0.34343976388516234,0.6323529411764706,0.666131621187801,0.20508701472556895,0.6366569210605908,0.5718151540383014,0.6395754359363154
Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.2510158013544018,0.1689540937056318,0.15547759527985966,0.2773645058448459,0.6485355648535565,0.4931506849315068,0.35,,0.37894736842105264,0.23219814241486067,,0.32452830188679244,0.19929328621908127,0.7198581560283688,0.39954853273137697,0.17265087853323147,0.5363984674329502,,0.3319209039548023,0.7708333333333334,,0.32866043613707163,0.2854251012145749,0.4185714285714286,0.43333333333333335,0.5476190476190477,,0.23814578910120313,0.12987012987012986,0.4230088495575221,0.26912181303116145,0.22712418300653595,0.3431372549019608,,0.40229885057471265,0.5413533834586466,0.0,0.1794462193823216,0.3351449275362319,0.15409181636726546,0.10126582278481013,0.17288135593220338,0.126890756302521,0.3601321585903084,0.1906625663964216,0.19978665041145993
Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.3151018674772852,0.16524559777571826,0.1428863868986694,0.19734132184984085,0.6164574616457462,0.32550335570469796,0.13429774371154055,,0.7474402730375427,0.3688212927756654,,0.5167548500881834,0.5024067388688327,0.4828513786146604,0.7355670103092784,0.5715214564369311,0.36983471074380164,,0.5414893617021277,0.6611747851002865,,0.22030616566830036,0.5984162895927602,0.5523809523809524,0.6072031513787282,0.5277777777777778,,0.19027069438995683,0.20304259634888439,0.4549891540130152,0.7246496290189612,0.10450586898901931,0.4470588235294118,0.635593220338983,0.6216216216216216,0.6630170316301703,0.6506024096385542,0.373134328358209,0.38344291691572024,0.23989799921537858,0.29562982005141386,0.386041439476554,0.07363770250368189,0.3909479686386315,0.5443833464257659,0.5420267085624509
