Category,Attribute,San Francisco,Bayview - District 10,Bayview Hunters Point,Bernal Heights,Castro/Upper Market,Chinatown,Excelsior,Farallon Islands,Financial District,Glen Park,Golden Gate Park,Haight Ashbury,Hayes Valley,Inner Richmond,Inner Sunset,Japantown,Lakeshore,Lincoln Park,Lone Mountain/USF,Marina,McLaren Park,Mission,Mission Bay,Nob Hill,Noe Valley,North Beach,Oceanview/Merced/Ingleside,Outer Mission,Outer Richmond,Pacific Heights,Portola,Potrero Hill,Presidio,Presidio Heights,Russian Hill,Seacliff,South of Market,Sunset/Parkside,Tenderloin,Treasure Island,Twin Peaks,Visitacion Valley,West of Twin Peaks,Western Addition,Western Addition/Fillmore Community Boundary,Western Addition/Fillmore Community Boundary Subarea
Age,0-2 Years,0.5478517844964764,0.5200764818355641,0.5014204545454546,0.5211062590975255,0.6380368098159509,0.483695652173913,0.6494331065759638,,0.5471180237877402,0.5346534653465347,,0.5391812865497077,0.5593607305936074,0.4716834755624515,0.6127562642369021,0.6254681647940075,0.8138528138528138,,0.2976939203354298,0.5525404157043879,,0.5728563913729616,0.5623376623376624,0.44402985074626866,0.6323257248611968,0.32,0.4424131627056673,0.4796846573681019,0.5820525532969757,0.6373056994818653,0.5159574468085106,0.5761353517364203,0.6019230769230769,0.5773480662983426,0.7375690607734806,0.7007299270072993,0.6332179930795848,0.47536307053941906,0.7951289398280802,0.2641509433962264,0.7244094488188977,0.4487369985141159,0.5352455031599417,0.5708908406524467,0.579864472410455,0.5708908406524467
Age,0-4 Years,0.041056008848777435,0.045891757305726644,0.048109774728479764,0.06987841819162621,0.026020780167699598,0.01290429315907023,0.0489685856815424,,0.035985622089698556,0.06238425925925926,,0.045205152671755726,0.03751788458481268,0.05818922679387796,0.04472443265546714,0.03592065069375437,0.017137602407624145,,0.02651775129469021,0.06781042247480162,,0.031099176252857713,0.08523695874531197,0.02200883752549286,0.06348995664100522,0.04974856321839081,0.03513380397307503,0.05839710028191704,0.040317142923574134,0.028482538013233426,0.02826998512106046,0.060388434397052396,0.11612407075108946,0.03189436262061961,0.02021540056441859,0.049777418049372725,0.02240744330296569,0.041273898918890134,0.020059805631696986,0.0354055166735282,0.02648662685016879,0.03352258999758396,0.04704663777359828,0.029836683417085428,0.03387300048473097,0.029836683417085428
Age,18-34 Years,0.2720516049880636,0.23560477001703578,0.1997444515430127,0.18162579360139425,0.259478672985782,0.20043014310530233,0.20763111770257517,,0.3737439751654277,0.16446759259259258,,0.39861641221374045,0.4141274972179535,0.25521765056648776,0.3141025641025641,0.31103014243126864,0.3741849189098813,,0.45691645348474447,0.4379583958824791,,0.2932830133904271,0.4056142743493579,0.36960401087695444,0.22874081939651358,0.28780531609195403,0.22442948612707272,0.19734192509061618,0.21783812690367133,0.3586608825204855,0.16143649398079263,0.375007806157497,0.2909510381953345,0.24174707973590656,0.4115648217473939,0.1339538648320518,0.3548362085675518,0.18141875698993448,0.2513393969598804,0.3618773157678057,0.20124642949883148,0.19322300072481274,0.16212827432060403,0.28257358219669776,0.34749394086282115,0.28257358219669776
Age,3-5 Years,0.4521482155035235,0.47992351816443596,0.49857954545454547,0.47889374090247455,0.3619631901840491,0.5163043478260869,0.3505668934240363,,0.45288197621225984,0.46534653465346537,,0.4608187134502924,0.4406392694063927,0.5283165244375485,0.38724373576309795,0.37453183520599254,0.18614718614718614,,0.7023060796645703,0.447459584295612,,0.4271436086270384,0.43766233766233764,0.5559701492537313,0.3676742751388032,0.68,0.5575868372943327,0.5203153426318982,0.4179474467030243,0.3626943005181347,0.48404255319148937,0.4238646482635797,0.39807692307692305,0.42265193370165743,0.26243093922651933,0.29927007299270075,0.36678200692041524,0.5246369294605809,0.20487106017191978,0.7358490566037735,0.2755905511811024,0.5512630014858841,0.4647544968400583,0.42910915934755334,0.42013552758954503,0.42910915934755334
Age,35-59 Years,0.3571679565096113,0.3573057266413314,0.3570456376211772,0.4223411759824059,0.4311429092234779,0.30854495822648687,0.36810031009842253,,0.37272281676333635,0.40370370370370373,,0.3373091603053435,0.380848921625775,0.3667262969588551,0.3079133510167993,0.2805932795995731,0.27863233572981105,,0.28988581768266053,0.27728929873472014,,0.40922451645679864,0.3290146607569042,0.3354435757987763,0.4128395717193169,0.3422234195402299,0.36377442127729437,0.371414507540162,0.35569299448952546,0.307611410542921,0.3896929527931827,0.34003622057078625,0.33837477569853885,0.36881665820213305,0.2872199504693889,0.3520841764467827,0.34235316921884085,0.364128987591202,0.3988599551457762,0.3972828324413339,0.40106465853025186,0.3710437303696545,0.3465532750020443,0.29895010768126346,0.31968977217644207,0.29895010768126346
Age,5-17 Years,0.0956109919010985,0.14367710653911675,0.1741896058442821,0.11863562803435827,0.0680368209989063,0.07146993134254281,0.11527571794526088,,0.045053508700269584,0.13402777777777777,,0.07239980916030535,0.04652641619416035,0.11001788908765653,0.08547008547008547,0.07025873173604211,0.10817589031934459,,0.05078929306794784,0.06592322539137895,,0.09763399499219799,0.05716558699852256,0.019629503738953093,0.0906114503141315,0.06088362068965517,0.12305040223280249,0.13742336778985995,0.10686135460019996,0.059769510538539065,0.16529149195184634,0.08899019546618372,0.18046654703922071,0.1212798374809548,0.04475033116396936,0.15985430999595304,0.055514634619112234,0.1241146082973851,0.05226763020184401,0.11115685467270482,0.07011165930927032,0.14393573326890552,0.13358955488320112,0.07744077530509691,0.057217644207464856,0.07744077530509691
Age,60 and older,0.23411343775244917,0.2175206394967894,0.22091053026304824,0.20751898419021536,0.21532081662413416,0.4066506741665977,0.260024268572199,,0.17249407728126787,0.23541666666666666,,0.14646946564885496,0.1209792803772985,0.20984893659312265,0.24778956675508398,0.3021971955393618,0.2218692526333389,,0.17589068446995695,0.1510186575166202,,0.16875929890771854,0.1229685191499034,0.25331407205982326,0.20431820192903283,0.2593390804597701,0.2536118863897554,0.23542309929744484,0.2792903810830291,0.245475658384821,0.2553090761531178,0.1355773434084806,0.07408356831581646,0.236262061960386,0.23624949605482923,0.30433023067583975,0.22488854429152938,0.2890637482025883,0.2774732120608024,0.09427748044462742,0.30109062581147755,0.25827494563904324,0.3106822580205522,0.3111988513998564,0.24172564226854096,0.3111988513998564
Age,Under 18 Years,112981.0,14453.0,8001.0,4543.0,2062.0,1020.0,6091.0,0.0,1984.0,1697.0,0.0,1971.0,1568.0,3385.0,3526.0,2885.0,1479.0,0.0,1184.0,3113.0,0.0,7084.0,2506.0,945.0,3476.0,1232.0,3852.0,4367.0,6326.0,2014.0,2861.0,2392.0,1157.0,1505.0,1128.0,518.0,2006.0,12420.0,2322.0,356.0,737.0,2938.0,6625.0,2391.0,4680.0,2391.0
Age,Under 6 Years,39591.0,4184.0,2112.0,2061.0,652.0,184.0,2205.0,0.0,1093.0,606.0,0.0,855.0,876.0,1289.0,1317.0,1068.0,231.0,0.0,477.0,1732.0,0.0,1901.0,1540.0,536.0,1621.0,575.0,1094.0,1649.0,2017.0,772.0,564.0,1123.0,520.0,362.0,362.0,137.0,578.0,3856.0,698.0,106.0,254.0,673.0,2057.0,797.0,2066.0,797.0
Educational Attainment,College Degree or higher,0.6037814737779744,0.4155122209476749,0.2647523501066435,0.6335366517808517,0.8096932900659479,0.2558531746031746,0.3174630938221507,,0.7803837953091685,0.750677915034649,,0.832692168106264,0.692734225621415,0.7232873210633947,0.7470531578223181,0.6209749955027882,0.5396568031347115,,0.7137069547602971,0.8428285451495969,,0.590760406864722,0.7591246236322244,0.6207865168539326,0.8223684210526315,0.624810071630128,0.4181994713846486,0.37925129900803023,0.6458993516876472,0.8135989429820104,0.37442084098260336,0.8433993793268083,0.8371005455962588,0.819862315145334,0.7595305928639262,0.8360927152317881,0.5308440083583175,0.560018295161946,0.3271127889169842,0.3433984606275903,0.6649946800425597,0.26497991967871487,0.7021254171789918,0.5895602623373831,0.6526736167545102,0.5895602623373831
Educational Attainment,"College Degree or higher, alternate",0.6037814737779744,0.4155122209476749,0.2647523501066435,0.6335366517808517,0.8096932900659479,0.2558531746031746,0.3174630938221507,,0.7803837953091685,0.750677915034649,,0.832692168106264,0.692734225621415,0.7232873210633947,0.7470531578223181,0.6209749955027882,0.5396568031347115,,0.7137069547602971,0.8428285451495969,,0.590760406864722,0.7591246236322244,0.6207865168539326,0.8223684210526315,0.624810071630128,0.4181994713846486,0.37925129900803023,0.6458993516876472,0.8135989429820104,0.37442084098260336,0.8433993793268083,0.8371005455962588,0.819862315145334,0.7595305928639262,0.8360927152317881,0.5308440083583175,0.560018295161946,0.3271127889169842,0.3433984606275903,0.6649946800425597,0.26497991967871487,0.7021254171789918,0.5895602623373831,0.6526736167545102,0.5895602623373831
Educational Attainment,High School or Less,0.2226179457153548,0.3629224388952616,0.46832293230112965,0.20618668990306066,0.07249031717784989,0.6440476190476191,0.39981109634086615,,0.12017832913355302,0.08315757758360952,,0.05654351455324091,0.1369662205226259,0.12570296523517382,0.12516626152364355,0.20907537326857348,0.1987569247399,,0.14964550979068197,0.06660174214142726,,0.25426804678048126,0.13681427627230666,0.21704454253611558,0.061259706643658325,0.182548296071196,0.3506661632234748,0.37015824279641,0.158589411867314,0.06347189755056408,0.3908558440423114,0.05753163046073048,0.0740452065471551,0.06272310045894952,0.11511328177994845,0.08940397350993377,0.2777777777777778,0.24744206532050414,0.4390469746073578,0.34162226169330967,0.1807265541875665,0.4854618473895582,0.12352011241875988,0.2265347812063219,0.17676286888481274,0.2265347812063219
Educational Attainment,"High School or Less, alternate",0.2226179457153548,0.3629224388952616,0.46832293230112965,0.20618668990306066,0.07249031717784989,0.6440476190476191,0.39981109634086615,,0.12017832913355302,0.08315757758360952,,0.05654351455324091,0.1369662205226259,0.12570296523517382,0.12516626152364355,0.20907537326857348,0.1987569247399,,0.14964550979068197,0.06660174214142726,,0.25426804678048126,0.13681427627230666,0.21704454253611558,0.061259706643658325,0.182548296071196,0.3506661632234748,0.37015824279641,0.158589411867314,0.06347189755056408,0.3908558440423114,0.05753163046073048,0.0740452065471551,0.06272310045894952,0.11511328177994845,0.08940397350993377,0.2777777777777778,0.24744206532050414,0.4390469746073578,0.34162226169330967,0.1807265541875665,0.4854618473895582,0.12352011241875988,0.2265347812063219,0.17676286888481274,0.2265347812063219
