Category,Attribute,San Francisco,Bayview - District 10,Bayview Hunters Point,Bernal Heights,Castro/Upper Market,Chinatown,Excelsior,Financial District/South Beach,Glen Park,Golden Gate Park,Haight Ashbury,Hayes Valley,Inner Richmond,Inner Sunset,Japantown,Lakeshore,Lincoln Park,Lone Mountain/USF,Marina,McLaren Park,Mission,Mission Bay,Nob Hill,Noe Valley,North Beach,Oceanview/Merced/Ingleside,Outer Mission,Outer Richmond,Pacific Heights,Portola,Potrero Hill,Presidio,Presidio Heights,Russian Hill,Seacliff,South of Market,Sunset/Parkside,Tenderloin,Treasure Island,Twin Peaks,Visitacion Valley,West of Twin Peaks,Western Addition,Western Addition/Fillmore Community Boundary
Age,0-4 Years,0.040017612229685105,0.06387816688890448,0.06793062649698439,0.05382334081436358,0.018552768466073285,0.028088715845094904,0.05719835959421541,0.013955874807593638,0.04308953185148392,0.0821917808219178,0.02439884766888118,0.026595117348743955,0.036567687631517416,0.03904249396919651,0.028139112981047595,0.03859060402684564,0.0,0.023891476007288925,0.030012913568152468,0.01680672268907563,0.047435492714373535,0.0,0.021650779575851622,0.04117428119475203,0.0313650050184008,0.05557017543859649,0.056376493538161425,0.03443711580742137,0.026165413533834586,0.05445673389720234,0.057921955806299955,0.061750333185251,0.048,0.02472788166341055,0.0741747572815534,0.01754012214174123,0.041588282719699006,0.029428914422912022,0.01718213058419244,0.019543650793650794,0.067993648633322,0.0441286878180352,0.02991370115388345,0.026499102333931778
Age,18-34 Years,0.32149528859981485,0.25038950101761526,0.2373820448446022,0.29961526130169924,0.35897584094324353,0.17708405756796217,0.24821929635225556,0.35669574140584914,0.25195579287222153,0.0547945205479452,0.4976777000411547,0.4665054841372803,0.332335749357026,0.3625904620523288,0.3627205002508974,0.4562919463087248,0.1493624772313297,0.5015185260174124,0.42971011265974973,0.15126050420168066,0.40148204761825645,0.346218487394958,0.3927436636370354,0.3211128687075463,0.33096353295416525,0.26535087719298245,0.26627651792245793,0.285188675012339,0.3743071965628357,0.2486662329212752,0.292054536906441,0.6414926699244781,0.32931645569620255,0.3652804912084845,0.15805825242718446,0.30528334043459737,0.2582504703036818,0.3416223632310067,0.709278350515464,0.2560515873015873,0.2623341272541681,0.19027889775602702,0.3637641811306119,0.4246463195691203
Age,35-59 Years,0.3578295244311752,0.34186258684819987,0.31547052203272447,0.37832638666239177,0.47873078256848917,0.31175693527080584,0.3391700841787179,0.44679322729604926,0.445796597541289,0.863013698630137,0.3675113175377741,0.35611510791366907,0.35384615384615387,0.3514937836333272,0.28803026209132665,0.27625838926174495,0.4098360655737705,0.2873051224944321,0.34755310148283386,0.42016806722689076,0.32849286390748833,0.3865546218487395,0.3389861819256632,0.4343537731459942,0.3670123787219806,0.34057017543859647,0.34225798585710804,0.3645174316866335,0.37108485499462945,0.3424202992843201,0.43394452280206863,0.2176810306530431,0.3507848101265823,0.3512698855707508,0.39728155339805826,0.40001420252805,0.3577532921257726,0.38298748070656835,0.1979381443298969,0.4415674603174603,0.3213111035499603,0.41487083947390374,0.28822844952971977,0.3126175942549372
Age,5-17 Years,0.10411814613258352,0.1933328654642431,0.22993680200848413,0.12688361654376404,0.02889839324933534,0.09490370576374887,0.1602633282969998,0.02616726526423807,0.097603377623246,0.0,0.04456464224822153,0.058910248850100246,0.10142623334112696,0.08691779550937094,0.08159956768440962,0.075,0.04735883424408015,0.0570290882094891,0.030146502204212496,0.2184873949579832,0.11984315549869573,0.07394957983193277,0.04880662085273036,0.07574206755373593,0.06482101037136166,0.15469298245614035,0.13830772982199463,0.11120832772468255,0.046058002148227715,0.1579700715679896,0.0998589562764457,0.06885828520657486,0.08820253164556963,0.04649734859056656,0.1766990291262136,0.06242011077971879,0.12172803009943564,0.06667809981135311,0.06529209621993128,0.07093253968253968,0.19303618010661222,0.13586185802074355,0.08445651119945699,0.06346858168761221
Age,60 and older,0.17653942860674132,0.15053687978103727,0.14928000461720486,0.14135139467778135,0.11484221477285862,0.38816658555238825,0.19514893157781135,0.1563878912262699,0.1615547001117596,0.0,0.06584749250396849,0.09187404175020639,0.17582417582417584,0.15995546483577658,0.23951055699231869,0.15385906040268457,0.39344262295081966,0.13025578727137746,0.16257737008505144,0.19327731092436976,0.10274644026118597,0.19327731092436976,0.19781275400871942,0.12761700939797152,0.20583807293409168,0.1838157894736842,0.196781272860278,0.2046484497689236,0.18238453276047262,0.19648666232921275,0.1162200282087447,0.010217681030653044,0.18369620253164556,0.2122243929667876,0.1937864077669903,0.21474222411589264,0.2206799247514109,0.17928314182815983,0.010309278350515464,0.2119047619047619,0.1553249404559374,0.2148597169312905,0.23363715698632795,0.17276840215439856
Educational Attainment,College Degree or higher,0.44979817222077695,0.23224839214322962,0.11602449727540146,0.4017611150126952,0.6416199694345389,0.13957719632645987,0.20918869931833406,0.6012584479142391,0.5781587890021624,0.5970149253731343,0.6992045771699693,0.49992688989618367,0.5148675437015678,0.6163835693784407,0.4662188285327663,0.5214530139510397,0.240234375,0.5952630077047465,0.7442220336444866,0.14285714285714285,0.3499665952496141,0.4688888888888889,0.46089071013644345,0.6754444076404991,0.5030901116427432,0.23371815786171415,0.2438279978296256,0.4671773377655731,0.7385032003938946,0.19425004728579534,0.6008861214225841,0.7490247074122237,0.6907307256948811,0.5982393467721357,0.7268698060941828,0.2717168262653899,0.3970011534025375,0.2596829832758395,0.5880721220527045,0.6182680365812352,0.15959083914184846,0.5393188628224804,0.4482906506555569,0.5286381069541936
Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.27979679562329035,0.2564102564102564,0.30952380952380953,0.7333333333333333,0.543859649122807,,0.3333333333333333,0.0,0.0,0.0,0.609375,0.26136363636363635,0.543859649122807,0.6428571428571429,0.3564356435643564,0.0,0.0,0.45454545454545453,0.5806451612903226,,0.16393442622950818,,0.208955223880597,0.4528301886792453,0.3888888888888889,0.125,0.0,0.24285714285714285,0.0,0.0,0.30952380952380953,1.0,0.3333333333333333,0.0,,0.15757575757575756,0.42857142857142855,0.05181347150259067,,0.3333333333333333,0.3384615384615385,0.875,0.4186046511627907,0.37404580152671757
Educational Attainment,"College Degree or higher by Race, Asian Alone",0.31804913508172145,0.18973037272006343,0.12747645339395908,0.3041122091169908,0.6345609065155807,0.07552217306307234,0.2313192083006365,0.47465437788018433,0.5715705765407555,,0.6487964989059081,0.5167464114832536,0.3362243422954611,0.5249468346147554,0.38174776083272816,0.5582995951417004,,0.4709418837675351,0.6869300911854104,0.0673076923076923,0.3394937725994375,0.4496124031007752,0.2498326415852189,0.6662672258837627,0.24941114891389687,0.26044367617401326,0.2854186784384053,0.3236275600340247,0.6056231003039514,0.20619718309859156,0.44348894348894347,0.9130434782608695,0.481447963800905,0.2588470954818607,0.5994623655913979,0.22340724108896998,0.32503253490907813,0.22853248523398456,0.6,0.5465020576131687,0.1810098976681765,0.4840660032749717,0.46401900882552616,0.44111424541607896
Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.1813176103693597,0.1058332664687475,0.08788782157447278,0.22994210090984285,0.33190578158458245,0.20909090909090908,0.26773049645390073,0.2948207171314741,0.16447368421052633,0.0,0.37183098591549296,0.10075250836120402,0.27319587628865977,0.46649484536082475,0.14836860670194005,0.45368620037807184,0.0,0.16301969365426697,0.625,0.0,0.21819299323909036,0.0,0.2743682310469314,0.6025641025641025,0.1111111111111111,0.12678401522359659,0.22676579925650558,0.3411513859275053,0.3182608695652174,0.16033254156769597,0.24874371859296482,0.13636363636363635,0.3333333333333333,0.6141732283464567,0.6470588235294118,0.1479565442317641,0.3076923076923077,0.1773967809657103,0.1111111111111111,0.4057142857142857,0.11087975013014055,0.37411764705882355,0.17317574511819117,0.16364487074511638
Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.20334140910554988,0.12296165711767298,0.05755395683453238,0.15915363385464582,0.4022038567493113,0.20430107526881722,0.0991159924993303,0.48259860788863107,0.1834975369458128,,0.529082774049217,0.26216908625106744,0.39244186046511625,0.3469921534437663,0.3336347197106691,0.32547169811320753,0.0,0.43373493975903615,0.5986577181208054,0.23134328358208955,0.10891468623370934,,0.3724409448818898,0.34534534534534533,0.27889447236180903,0.15002483854942872,0.09282920469361147,0.43130311614730876,0.6225728155339806,0.12072434607645875,0.3593220338983051,0.5952380952380952,0.498960498960499,0.6258741258741258,0.7454545454545455,0.1269296740994854,0.3383838383838384,0.16348055372445616,0.5,0.41362916006339145,0.1119194180190263,0.31199278629395855,0.3086294416243655,0.35429655733261045
