Index,category_dag,attribute_name,acs_attribute_id,acs_base_id,acs_treatment,acs_race,sf3_attribute_id,sf3_base_id,sf3_treatment,sf3_race
1,Age,0-4 Years,"B01001_003, B01001_027",B01001_001,as is,,"P008003, P008004, P008005, P008006, P008007, P008042, P008043, P008044, P008045, P008046",P008001,as is,
2,Age,18-34 Years,"B01001_007, B01001_008, B01001_009, B01001_010, B01001_011, B01001_012, B01001_031, B01001_032, B01001_033, B01001_034, B01001_035, B01001_036",B01001_001,as is,,"P008021, P008022, P008023, P008024, P008025, P008026, P008027, P008060, P008061, P008062, P008063, P008064, P008065, P008066",P008001,as is,
3,Age,35-59 Years,"B01001_013, B01001_014, B01001_015, B01001_016, B01001_017, B01001_037, B01001_038, B01001_039, B01001_040, B01001_041",B01001_001,as is,,"P008028, P008029, P008030, P008031, P008032, P008067, P008068, P008069, P008070, P008071",P008001,as is,
4,Age,5-17 Years,"B01001_004, B01001_005, B01001_006, B01001_028, B01001_029, B01001_030",B01001_001,as is,,"P008008, P008009, P008010, P008011, P008012, P008013, P008014, P008015, P008016, P008017, P008018, P008019, P008020, P008047, P008048, P008049, P008050, P008051, P008052, P008053, P008054, P008055, P008056, P008057, P008058, P008059",P008001,as is,
5,Age,60 and older,"B01001_018, B01001_019, B01001_020, B01001_021, B01001_022, B01001_023, B01001_024, B01001_025, B01001_042, B01001_043, B01001_044, B01001_045, B01001_046, B01001_047, B01001_048, B01001_049",B01001_001,as is,,"P008033, P008034, P008035, P008036, P008037, P008038, P008039, P008040, P008072, P008073, P008074, P008075, P008076, P008077, P008078, P008079",P008001,as is,
6,Age,Under 18 Years,B09001_002,,as is,,"P008003, P008004, P008005, P008006, P008007, P008042, P008043, P008044, P008045, P008046, P008008, P008009, P008010, P008011, P008012, P008013, P008014, P008015, P008016, P008017, P008018, P008019, P008020, P008047, P008048, P008049, P008050, P008051, P008052, P008053, P008054, P008055, P008056, P008057, P008058, P008059",,as is,
7,Age,0-2 Years,B09001_003,"B09001_003, B09001_004, B09001_005",as is,,"P008003, P008004, P008005, P008042, P008043, P008044","P008003, P008004, P008005, P008042, P008043, P008044, P008006, P008007, P008008, P008045, P008046, P008047",as is,
8,Age,3-5 Years,"B09001_004, B09001_005","B09001_003, B09001_004, B09001_005",as is,,"P008006, P008007, P008008, P008045, P008046, P008047","P008003, P008004, P008005, P008042, P008043, P008044, P008006, P008007, P008008, P008045, P008046, P008047",as is,
9,Age,Under 6 Years,"B09001_003, B09001_004, B09001_005",,as is,,"P008003, P008004, P008005, P008042, P008043, P008044, P008006, P008007, P008008, P008045, P008046, P008047",,as is,
10,Educational Attainment,College Degree or higher,"B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035",B15002_001,as is,,"P037015, P037016, P037017, P037018, P037032, P037033, P037034, P037035",P037001,as is,
