tractid,neighborhood,year
22600,Bayview - District 10,2000
22701,Bayview - District 10,2000
22702,Bayview - District 10,2000
22703,Bayview - District 10,2000
22802,Bayview - District 10,2000
23001,Bayview - District 10,2000
23002,Bayview - District 10,2000
23003,Bayview - District 10,2000
23101,Bayview - District 10,2000
23102,Bayview - District 10,2000
23103,Bayview - District 10,2000
23200,Bayview - District 10,2000
23300,Bayview - District 10,2000
23400,Bayview - District 10,2000
25800,Bayview - District 10,2000
25900,Bayview - District 10,2000
26401,Bayview - District 10,2000
26402,Bayview - District 10,2000
26403,Bayview - District 10,2000
26404,Bayview - District 10,2000
60501,Bayview - District 10,2000
60502,Bayview - District 10,2000
60600,Bayview - District 10,2000
60900,Bayview - District 10,2000
61000,Bayview - District 10,2000
22600,Bayview - District 10,2010
22702,Bayview - District 10,2010
22704,Bayview - District 10,2010
22802,Bayview - District 10,2010
23001,Bayview - District 10,2010
23003,Bayview - District 10,2010
23102,Bayview - District 10,2010
23103,Bayview - District 10,2010
23200,Bayview - District 10,2010
23300,Bayview - District 10,2010
23400,Bayview - District 10,2010
25800,Bayview - District 10,2010
25900,Bayview - District 10,2010
26401,Bayview - District 10,2010
26402,Bayview - District 10,2010
26403,Bayview - District 10,2010
26404,Bayview - District 10,2010
60502,Bayview - District 10,2010
61000,Bayview - District 10,2010
61200,Bayview - District 10,2010
61400,Bayview - District 10,2010
980501,Bayview - District 10,2010
980600,Bayview - District 10,2010
980900,Bayview - District 10,2010
22600,Bayview - District 10,2020
22702,Bayview - District 10,2020
22704,Bayview - District 10,2020
22802,Bayview - District 10,2020
23001,Bayview - District 10,2020
23003,Bayview - District 10,2020
23102,Bayview - District 10,2020
23103,Bayview - District 10,2020
23200,Bayview - District 10,2020
23300,Bayview - District 10,2020
23400,Bayview - District 10,2020
25800,Bayview - District 10,2020
25900,Bayview - District 10,2020
26401,Bayview - District 10,2020
26402,Bayview - District 10,2020
26403,Bayview - District 10,2020
26404,Bayview - District 10,2020
60502,Bayview - District 10,2020
61000,Bayview - District 10,2020
61200,Bayview - District 10,2020
61401,Bayview - District 10,2020
61402,Bayview - District 10,2020
980501,Bayview - District 10,2020
980600,Bayview - District 10,2020
980900,Bayview - District 10,2020
23001,Bayview Hunters Point,2000
23002,Bayview Hunters Point,2000
23003,Bayview Hunters Point,2000
23101,Bayview Hunters Point,2000
23102,Bayview Hunters Point,2000
23103,Bayview Hunters Point,2000
23200,Bayview Hunters Point,2000
23300,Bayview Hunters Point,2000
23400,Bayview Hunters Point,2000
60600,Bayview Hunters Point,2000
60900,Bayview Hunters Point,2000
61000,Bayview Hunters Point,2000
23001,Bayview Hunters Point,2010
23003,Bayview Hunters Point,2010
23102,Bayview Hunters Point,2010
