,Category,Attribute,2000_Bayview - District 10,2000_San Francisco,2010_Bayview - District 10,2010_San Francisco,2011_Bayview - District 10,2011_San Francisco,2012_Bayview - District 10,2012_San Francisco,2013_Bayview - District 10,2013_San Francisco,2014_Bayview - District 10,2014_San Francisco,2015_Bayview - District 10,2015_San Francisco,2016_Bayview - District 10,2016_San Francisco,2017_Bayview - District 10,2017_San Francisco,2018_Bayview - District 10,2018_San Francisco,2019_Bayview - District 10,2019_San Francisco,2020_Bayview - District 10,2020_San Francisco,2021_Bayview - District 10,2021_San Francisco,2022_Bayview - District 10,2022_San Francisco,2023_Bayview - District 10,2023_San Francisco,2024_Bayview - District 10,2024_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,9873.0,209020.0,11025.0,209068.0,11466.0,212110.0,11541.0,213982.0,11589.0,217742.0,11757.0,219759.0,10870.0,208027.0,10755.0,206125.0,10595.0,201554.0,10646.0,196852.0,10823.0,194605.0,9726.0,185879.0,9492.0,177267.0,9524.0,164391.0,8534.0,158878.0,8520,156904
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,6877.0,147066.0,6026.0,119019.0,6883.0,114525.0,6793.0,108966.0,6657.0,106717.0,6365.0,103611.0,6597.0,146046.0,6291.0,139452.0,6082.0,131265.0,6172.0,152803.0,7714.0,146746.0,6861.0,137172.0,7521.0,155085.0,7422.0,142404.0,6488.0,158878.0,7525,156904
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,9396.0,193235.0,8371.0,203005.0,11191.0,212110.0,11274.0,213982.0,11278.0,217742.0,11371.0,219759.0,9440.0,195487.0,9143.0,206125.0,9521.0,201554.0,9845.0,196852.0,10823.0,194605.0,9726.0,185879.0,9492.0,177267.0,9524.0,164391.0,8534.0,158878.0,8520,156904
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,9873.0,209020.0,11025.0,209068.0,11466.0,212110.0,11541.0,213982.0,11589.0,217742.0,11757.0,219759.0,10870.0,208027.0,10755.0,206125.0,10595.0,201554.0,10646.0,196852.0,10823.0,194605.0,9726.0,185879.0,9492.0,177267.0,9524.0,164391.0,8534.0,158878.0,8520,156904
4,Affordability,100 AMI Annual Income,48899.37106918239,55915.28958767848,56890.20152883947,71436.31988152536,60556.65722379604,73015.850789739,62778.54006586169,73882.86576506091,64443.85026737968,75789.09138932911,66930.43237250554,78773.52733781732,68877.39265390584,81982.65550239234,71832.77027027027,88612.28084661327,74960.5074198181,96817.47583985272,79380.43028547787,104995.55809378768,87425.44731610338,113537.43350844154,93729.16666666669,119273.74061057129,102142.65375854216,126479.8932723461,111303.12652662431,136440.23367285798,119940.92508798392,140840.72978303747,123213.30022075056,140630.3486172417
5,Affordability,100 AMI Monthly Affordable Rent,4074.9475890985323,4659.607465639873,4740.850127403289,5953.02665679378,5046.388101983003,6084.6542324782495,5231.545005488474,6156.905480421742,5370.320855614974,6315.7576157774265,5577.536031042128,6564.460611484777,5739.78272115882,6831.887958532695,5986.064189189189,7384.356737217772,6246.708951651508,8068.122986654394,6615.035857123155,8749.629841148973,7285.453943008615,9461.452792370128,7810.7638888888905,9939.478384214273,8511.887813211846,10539.991106028841,9275.260543885359,11370.019472738166,9995.077090665327,11736.72748191979,10267.77501839588,11719.195718103474
6,Affordability,30 AMI Annual Income,14669.811320754716,16774.586876303543,17067.06045865184,21430.895964457606,18166.997167138812,21904.755236921697,18833.56201975851,22164.859729518274,19333.155080213903,22736.727416798734,20079.129711751662,23632.058201345193,20663.217796171753,24594.7966507177,21549.83108108108,26583.68425398398,22488.15222594543,29045.242751955815,23814.12908564336,31498.6674281363,26227.634194831015,34061.23005253246,28118.750000000004,35782.122183171385,30642.796127562648,37943.96798170383,33390.93795798729,40932.0701018574,35982.27752639518,42252.21893491124,36963.99006622517,42189.10458517251
7,Affordability,30 AMI Monthly Affordable Rent,1222.4842767295597,1397.882239691962,1422.2550382209865,1785.9079970381338,1513.916430594901,1825.3962697434747,1569.4635016465425,1847.0716441265229,1611.096256684492,1894.7272847332279,1673.2608093126385,1969.3381834454328,1721.9348163476461,2049.5663875598084,1795.8192567567567,2215.3070211653317,1874.0126854954524,2420.436895996318,1984.5107571369465,2624.888952344692,2185.6361829025846,2838.4358377110384,2343.229166666667,2981.843515264282,2553.566343963554,3161.9973318086522,2782.5781631656077,3411.00584182145,2998.523127199598,3521.0182445759365,3080.332505518764,3515.758715431042
8,Affordability,50 AMI Annual Income,24449.685534591194,27957.64479383924,28445.100764419734,35718.15994076268,30278.32861189802,36507.9253948695,31389.270032930846,36941.432882530455,32221.92513368984,37894.54569466456,33465.21618625277,39386.76366890866,34438.69632695292,40991.32775119617,35916.38513513513,44306.140423306635,37480.25370990905,48408.73791992636,39690.21514273893,52497.77904689384,43712.72365805169,56768.71675422077,46864.58333333334,59636.87030528564,51071.32687927108,63239.94663617305,55651.56326331216,68220.11683642899,59970.46254399196,70420.36489151874,61606.65011037528,70315.17430862084
9,Affordability,50 AMI Monthly Affordable Rent,2037.4737945492661,2329.8037328199366,2370.4250637016444,2976.51332839689,2523.1940509915016,3042.3271162391247,2615.772502744237,3078.452740210871,2685.160427807487,3157.8788078887133,2788.768015521064,3282.2303057423883,2869.89136057941,3415.9439792663475,2993.0320945945946,3692.178368608886,3123.354475825754,4034.061493327197,3307.5179285615777,4374.814920574487,3642.7269715043076,4730.726396185064,3905.3819444444453,4969.739192107137,4255.943906605923,5269.995553014421,4637.630271942679,5685.009736369083,4997.5385453326635,5868.363740959895,5133.88750919794,5859.597859051737
