,Category,Attribute,2000_Bayview Hunters Point,2010_Bayview Hunters Point,2011_Bayview Hunters Point,2012_Bayview Hunters Point,2013_Bayview Hunters Point,2014_Bayview Hunters Point,2015_Bayview Hunters Point,2016_Bayview Hunters Point,2017_Bayview Hunters Point,2018_Bayview Hunters Point,2019_Bayview Hunters Point,2020_Bayview Hunters Point,2021_Bayview Hunters Point,2022_Bayview Hunters Point,2023_Bayview Hunters Point,2024_Bayview Hunters Point
227,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,4287.0,5009.0,5309.0,5385.0,5316.0,5365.0,4975.0,4831.0,4852.0,6351.0,4929.0,8577.0,4599.0,4777.0,4326.0,4544
218,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,3294.0,2660.0,2744.0,2891.0,3415.0,3363.0,3314.0,3111.0,3070.0,3987.0,3562.0,6528.0,3272.0,3112.0,3186.0,3368
221,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,4052.0,3698.0,3778.0,4472.0,4442.0,4321.0,4239.0,4030.0,3949.0,5459.0,4375.0,8577.0,4281.0,4582.0,4326.0,4544
224,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,4287.0,4851.0,5309.0,5385.0,5316.0,5365.0,4818.0,4831.0,4852.0,6351.0,4929.0,8577.0,4599.0,4777.0,4326.0,4544
225,Affordability,100 AMI Annual Income,38357.954545454544,44150.67178502879,47487.59305210918,48278.58880778589,51633.72859025033,51378.84872824632,52444.75138121547,55543.328748280604,57530.769230769234,63035.11705685619,64141.58043273754,112795.27559055116,68862.10762331838,78095.94251901945,84115.08704061895,84015.98401598402
226,Affordability,100 AMI Monthly Affordable Rent,3196.496212121212,3679.222648752399,3957.2994210090983,4023.2157339821574,4302.810715854194,4281.57072735386,4370.395948434622,4628.610729023384,4794.2307692307695,5252.9264214046825,5345.131702728128,9399.606299212597,5738.508968609865,6507.995209918287,7009.5905867182455,7001.332001332002
216,Affordability,30 AMI Annual Income,11507.386363636362,13245.201535508637,14246.277915632754,14483.576642335767,15490.118577075098,15413.654618473895,15733.425414364641,16662.998624484182,17259.23076923077,18910.535117056854,19242.47412982126,33838.582677165345,20658.632286995515,23428.782755705834,25234.526112185686,25204.795204795206
217,Affordability,30 AMI Monthly Affordable Rent,958.9488636363635,1103.7667946257197,1187.1898263027294,1206.9647201946473,1290.8432147562582,1284.4712182061578,1311.1187845303868,1388.5832187070152,1438.2692307692307,1575.8779264214045,1603.5395108184384,2819.881889763779,1721.5526905829595,1952.3985629754861,2102.8771760154737,2100.3996003996003
219,Affordability,50 AMI Annual Income,19178.977272727272,22075.335892514395,23743.79652605459,24139.294403892945,25816.864295125164,25689.42436412316,26222.375690607736,27771.664374140302,28765.384615384617,31517.558528428093,32070.79021636877,56397.63779527558,34431.05381165919,39047.97125950972,42057.543520309475,42007.99200799201
220,Affordability,50 AMI Monthly Affordable Rent,1598.248106060606,1839.6113243761995,1978.6497105045491,2011.6078669910787,2151.405357927097,2140.78536367693,2185.197974217311,2314.305364511692,2397.1153846153848,2626.4632107023413,2672.565851364064,4699.803149606299,2869.2544843049327,3253.9976049591437,3504.7952933591228,3500.666000666001
