,year,label,Category,Attribute,025600,026001,026002,026003,026004,026301,026302,026303
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,350,566,175,364,359,301,245,380
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,279,453,84,327,203,146,212,295
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,350,537,143,364,329,301,245,364
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,350,566,175,364,359,301,245,380
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,65668.6046511628,51243.90243902439,55208.333333333336,61193.181818181816,52403.1007751938,49891.30434782609,59545.454545454544,52211.53846153846
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,5472.383720930233,4270.325203252032,4600.694444444444,5099.431818181818,4366.925064599483,4157.608695652174,4962.121212121212,4350.961538461538
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,19700.581395348836,15373.170731707316,16562.5,18357.954545454544,15720.93023255814,14967.391304347826,17863.636363636364,15663.461538461537
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1641.7151162790697,1281.0975609756097,1380.2083333333333,1529.8295454545453,1310.077519379845,1247.2826086956522,1488.6363636363637,1305.2884615384614
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,32834.3023255814,25621.951219512193,27604.166666666668,30596.590909090908,26201.5503875969,24945.652173913044,29772.727272727272,26105.76923076923
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2736.1918604651164,2135.162601626016,2300.347222222222,2549.715909090909,2183.4625322997417,2078.804347826087,2481.060606060606,2175.480769230769
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,52534.88372093024,40995.12195121951,44166.66666666667,48954.545454545456,41922.480620155045,39913.04347826087,47636.36363636364,41769.23076923077
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,4377.906976744186,3416.260162601626,3680.555555555556,4079.5454545454545,3493.540051679587,3326.0869565217395,3969.69696969697,3480.769230769231
0,2000,DEC_SF3,Age,0-2 Years,0.5911602209944752,0.4780701754385965,0.4508196721311475,0.5449591280653951,0.5783132530120482,0.623574144486692,0.3974763406940063,0.4055727554179567
1,2000,DEC_SF3,Age,0-4 Years,0.0555652936021034,0.0562263470895656,0.0521739130434782,0.0719021964359718,0.0538653366583541,0.0498866213151927,0.0574052812858783,0.0587326120556414
