,year,label,Category,Attribute
0,2000,DEC_SF3,Affordability,
1,2000,DEC_SF3,Affordability,
2,2000,DEC_SF3,Affordability,
3,2000,DEC_SF3,Affordability,
4,2000,DEC_SF3,Affordability,
5,2000,DEC_SF3,Affordability,
6,2000,DEC_SF3,Affordability,
7,2000,DEC_SF3,Affordability,
8,2000,DEC_SF3,Affordability,
9,2000,DEC_SF3,Affordability,
10,2000,DEC_SF3,Affordability,
11,2000,DEC_SF3,Affordability,
0,2000,DEC_SF3,Age,0-2 Years
1,2000,DEC_SF3,Age,0-4 Years
2,2000,DEC_SF3,Age,18-34 Years
3,2000,DEC_SF3,Age,3-5 Years
4,2000,DEC_SF3,Age,35-59 Years
5,2000,DEC_SF3,Age,5-17 Years
6,2000,DEC_SF3,Age,60 and older
7,2000,DEC_SF3,Age,Under 18 Years
8,2000,DEC_SF3,Age,Under 6 Years
9,2000,DEC_SF3,Educational Attainment,College Degree or higher
10,2000,DEC_SF3,Educational Attainment,High School or Less
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent"
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force"
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force"
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents"
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force"
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force"
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force"
19,2000,DEC_SF3,Employment,Employed Residents
20,2000,DEC_SF3,Employment,Managerial Professional
21,2000,DEC_SF3,Employment,Natural Resources
22,2000,DEC_SF3,Employment,Production Transport Materials
23,2000,DEC_SF3,Employment,Sales and Office
24,2000,DEC_SF3,Employment,Services
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent"
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force"
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force"
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents"
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force"
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force"
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force"
32,2000,DEC_SF3,Employment,Unemployment Rate
33,2000,DEC_SF3,Employment,Worked in place of residence
34,2000,DEC_SF3,Employment,Worked outside place of residence
35,2000,DEC_SF3,Households,Average Family Household Size
36,2000,DEC_SF3,Households,Average Household Size
37,2000,DEC_SF3,Households,Family Households
38,2000,DEC_SF3,Households,Households
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)"
40,2000,DEC_SF3,Households,"Households with Children, % of Total"
41,2000,DEC_SF3,Households,Living in Group Quarters
42,2000,DEC_SF3,Households,Non-Family Households
43,2000,DEC_SF3,Households,"Single Person Households, % of Total"
44,2000,DEC_SF3,Housing,Built 1939 or earlier
45,2000,DEC_SF3,Housing,Built 1940 to 1949
46,2000,DEC_SF3,Housing,Built 1950 to 1959
47,2000,DEC_SF3,Housing,Built 1960 to 1969
48,2000,DEC_SF3,Housing,Built 1970 to 1979
49,2000,DEC_SF3,Housing,Built 1980 to 1989
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC)
51,2000,DEC_SF3,Housing,Median Year Moved In Owner
52,2000,DEC_SF3,Housing,Median Year Moved In Renter
53,2000,DEC_SF3,Housing,Median Year Structure Built
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing"
55,2000,DEC_SF3,Housing,Owner Occupied
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone"
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone"
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone"
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino"
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone"
61,2000,DEC_SF3,Housing,"Owner Occupied by Race, Some Other Race Alone"
62,2000,DEC_SF3,Housing,"Owner Occupied by Race, Two or More Races"
63,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone"
64,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino"
65,2000,DEC_SF3,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure
66,2000,DEC_SF3,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure
67,2000,DEC_SF3,Housing,Renter Occupied
68,2000,DEC_SF3,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone"
69,2000,DEC_SF3,Housing,"Renter Occupied by Race, Asian Alone"
70,2000,DEC_SF3,Housing,"Renter Occupied by Race, Black or African American Alone"
71,2000,DEC_SF3,Housing,"Renter Occupied by Race, Hispanic or Latino"
72,2000,DEC_SF3,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone"
73,2000,DEC_SF3,Housing,"Renter Occupied by Race, Some Other Race Alone"
74,2000,DEC_SF3,Housing,"Renter Occupied by Race, Two or More Races"
75,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone"
76,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino"
77,2000,DEC_SF3,Housing,Total Number of Units
78,2000,DEC_SF3,Housing,Total Vacant Units
79,2000,DEC_SF3,Housing,Vacancy Rate
80,2000,DEC_SF3,Housing Prices,Contract Rent 100 to 149
81,2000,DEC_SF3,Housing Prices,Contract Rent 1000 to 1249
82,2000,DEC_SF3,Housing Prices,Contract Rent 1250 to 1499
83,2000,DEC_SF3,Housing Prices,Contract Rent 150 to 199
84,2000,DEC_SF3,Housing Prices,Contract Rent 1500 to 1999
85,2000,DEC_SF3,Housing Prices,Contract Rent 200 to 249
86,2000,DEC_SF3,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)"
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100
101,2000,DEC_SF3,Housing Prices,Contract Rent Total
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-)
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)"
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent
105,2000,DEC_SF3,Housing Prices,Extremely Rent Burdened
106,2000,DEC_SF3,Housing Prices,Home Value 10000 to 14999 
107,2000,DEC_SF3,Housing Prices,Home Value 100000 to 124999
108,2000,DEC_SF3,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)"
109,2000,DEC_SF3,Housing Prices,Home Value 125000 to 149999
110,2000,DEC_SF3,Housing Prices,Home Value 15000 to 19999 
111,2000,DEC_SF3,Housing Prices,Home Value 150000 to 174999
112,2000,DEC_SF3,Housing Prices,Home Value 175000 to 199999
