,Category,Attribute,Percent Of,2020_Financial District,2021_Financial District,2022_Financial District,2023_Financial District,2024_Financial District
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503
540,Affordability,100 AMI Annual Income,None,140732.94951284322,197792.0723226704,201071.31032927375,196572.91097760783,186272.67041901188
541,Affordability,100 AMI Monthly Affordable Rent,None,11727.745792736934,16482.672693555865,16755.942527439478,16381.075914800653,15522.722534917657
531,Affordability,30 AMI Annual Income,None,42219.884853852964,59337.621696801114,60321.39309878212,58971.87329328235,55881.80112570356
532,Affordability,30 AMI Monthly Affordable Rent,None,3518.32373782108,4944.80180806676,5026.782758231843,4914.322774440196,4656.816760475297
534,Affordability,50 AMI Annual Income,None,70366.47475642161,98896.0361613352,100535.65516463688,98286.45548880391,93136.33520950594
535,Affordability,50 AMI Monthly Affordable Rent,None,5863.872896368467,8241.336346777933,8377.971263719739,8190.537957400326,7761.3612674588285
537,Affordability,80 AMI Annual Income,None,112586.35961027458,158233.65785813634,160857.048263419,157258.32878208626,149018.1363352095
538,Affordability,80 AMI Monthly Affordable Rent,None,9382.196634189548,13186.138154844695,13404.754021951585,13104.860731840521,12418.178027934126
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.6677577741407529,0.6732851985559567,0.6155913978494624,0.5871369294605809,0.5471180237877402
1,Age,0-4 Years,Total Population,0.0456668570852515,0.0461713684948309,0.0284117978258044,0.0319752029038704,0.0359856220896985
2,Age,18-34 Years,Total Population,0.3081084713868073,0.42509199229017,0.4153059898653038,0.3977731555120519,0.3737439751654277
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.3322422258592471,0.3267148014440433,0.3844086021505376,0.412863070539419,0.4528819762122598
4,Age,35-59 Years,Total Population,0.4054571726200477,0.3664797616961626,0.3579193555372688,0.3729760593825196,0.3727228167633363
