,Category,Attribute,Percent Of,2020_Financial District,2021_Financial District,2022_Financial District,2023_Financial District,2024_Financial District,Category_y,Percent Of_y,2020_San Francisco,2021_San Francisco,2022_San Francisco,2023_San Francisco,2024_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503,Affordability,None,179637.0,177267.0,164391.0,158878.0,156904
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503,Affordability,None,133315.0,155085.0,142404.0,158878.0,156904
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503,Affordability,None,179637.0,177267.0,164391.0,158878.0,156904
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,8641.0,5256.0,5199.0,5254.0,5503,Affordability,None,179637.0,177267.0,164391.0,158878.0,156904
4,Affordability,100 AMI Annual Income,None,140732.94951284322,197792.0723226704,201071.31032927375,196572.91097760783,186272.67041901188,Affordability,None,117453.07472291742,126479.8932723461,136440.23367285798,140840.72978303747,140630.3486172417
5,Affordability,100 AMI Monthly Affordable Rent,None,11727.745792736934,16482.672693555865,16755.942527439478,16381.075914800653,15522.722534917657,Affordability,None,9787.756226909785,10539.991106028841,11370.019472738166,11736.72748191979,11719.195718103474
6,Affordability,30 AMI Annual Income,None,42219.884853852964,59337.621696801114,60321.39309878212,58971.87329328235,55881.80112570356,Affordability,None,35235.922416875226,37943.96798170383,40932.0701018574,42252.21893491124,42189.10458517251
7,Affordability,30 AMI Monthly Affordable Rent,None,3518.32373782108,4944.80180806676,5026.782758231843,4914.322774440196,4656.816760475297,Affordability,None,2936.3268680729357,3161.9973318086522,3411.00584182145,3521.0182445759365,3515.758715431042
8,Affordability,50 AMI Annual Income,None,70366.47475642161,98896.0361613352,100535.65516463688,98286.45548880391,93136.33520950594,Affordability,None,58726.53736145871,63239.94663617305,68220.11683642899,70420.36489151874,70315.17430862084
9,Affordability,50 AMI Monthly Affordable Rent,None,5863.872896368467,8241.336346777933,8377.971263719739,8190.537957400326,7761.3612674588285,Affordability,None,4893.878113454893,5269.995553014421,5685.009736369083,5868.363740959895,5859.597859051737
