,Category,Attribute,Percent Of,2000_Glen Park,2010_Glen Park,2011_Glen Park,2012_Glen Park,2013_Glen Park,2014_Glen Park,2015_Glen Park,2016_Glen Park,2017_Glen Park,2018_Glen Park,2019_Glen Park,2020_Glen Park,2021_Glen Park,2022_Glen Park,2023_Glen Park,2024_Glen Park
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,1306.0,1301.0,1397.0,1446.0,1494.0,1513.0,1236.0,1183.0,1149.0,1248.0,1011.0,1574.0,996.0,845.0,817.0,868
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,981.0,932.0,905.0,942.0,1016.0,1492.0,1026.0,1122.0,1043.0,964.0,1011.0,1245.0,996.0,845.0,817.0,868
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,1306.0,1301.0,1397.0,1446.0,1494.0,1513.0,1236.0,1183.0,1149.0,1248.0,1011.0,1574.0,996.0,845.0,817.0,868
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,1306.0,1301.0,1397.0,1446.0,1494.0,1513.0,1236.0,1183.0,1149.0,1248.0,1011.0,1574.0,996.0,845.0,817.0,868
540,Affordability,100 AMI Annual Income,None,76295.58541266795,91265.82278481012,96399.2974238876,97368.42105263156,98554.42176870749,111711.35646687695,115550.84745762713,121534.65346534654,129681.81818181818,105000.0,169599.62756052142,104502.36966824644,174779.1519434629,190810.50228310504,190277.77777777775,192664.67065868265
541,Affordability,100 AMI Monthly Affordable Rent,None,6357.965451055662,7605.48523206751,8033.274785323967,8114.035087719297,8212.868480725623,9309.279705573079,9629.237288135593,10127.887788778879,10806.818181818182,8750.0,14133.302296710119,8708.530805687204,14564.929328621909,15900.875190258754,15856.48148148148,16055.389221556887
531,Affordability,30 AMI Annual Income,None,22888.675623800384,27379.746835443035,28919.789227166282,29210.526315789466,29566.326530612245,33513.40694006308,34665.254237288136,36460.39603960396,38904.54545454545,31500.0,50879.88826815642,31350.71090047393,52433.74558303887,57243.15068493151,57083.33333333332,57799.40119760479
532,Affordability,30 AMI Monthly Affordable Rent,None,1907.3896353166986,2281.645569620253,2409.98243559719,2434.2105263157887,2463.860544217687,2792.7839116719238,2888.771186440678,3038.3663366336636,3242.045454545454,2625.0,4239.990689013035,2612.5592417061607,4369.478798586572,4770.262557077626,4756.944444444443,4816.616766467066
534,Affordability,50 AMI Annual Income,None,38147.792706333974,45632.91139240506,48199.6487119438,48684.21052631578,49277.21088435374,55855.67823343848,57775.42372881356,60767.32673267327,64840.90909090909,52500.0,84799.81378026071,52251.18483412322,87389.57597173145,95405.25114155252,95138.88888888888,96332.33532934132
535,Affordability,50 AMI Monthly Affordable Rent,None,3178.982725527831,3802.742616033755,4016.6373926619835,4057.0175438596484,4106.434240362812,4654.639852786539,4814.618644067797,5063.943894389439,5403.409090909091,4375.0,7066.651148355059,4354.265402843602,7282.4646643109545,7950.437595129377,7928.24074074074,8027.694610778443
537,Affordability,80 AMI Annual Income,None,61036.46833013436,73012.65822784811,77119.43793911008,77894.73684210525,78843.53741496599,89369.08517350157,92440.6779661017,97227.72277227724,103745.45454545454,84000.0,135679.70204841715,83601.89573459716,139823.32155477031,152648.40182648404,152222.22222222222,154131.73652694613
538,Affordability,80 AMI Monthly Affordable Rent,None,5086.37236084453,6084.388185654009,6426.619828259173,6491.228070175438,6570.294784580499,7447.423764458465,7703.389830508476,8102.310231023103,8645.454545454546,7000.0,11306.641837368095,6966.824644549763,11651.943462897527,12720.700152207004,12685.185185185184,12844.31137724551
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5590361445783133,0.6490683229813664,0.6261538461538462,0.6327769347496206,0.5951035781544256,0.5431309904153354,0.5412979351032449,0.5681818181818182,0.5512422360248447,0.5277777777777778,0.5361077111383109,0.5077138849929874,0.5044117647058823,0.5649546827794562,0.5693693693693693,0.5346534653465347
1,Age,0-4 Years,Total Population,0.0430895318514839,0.0680990531682447,0.0688179929104021,0.0708681346494558,0.0543381887270424,0.0618011302152218,0.072545880034487,0.064221301486717,0.0670276774969915,0.0613485280151946,0.0817246561091203,0.0581950009540164,0.0625429553264604,0.0641980969849822,0.053795223457082,0.0623842592592592
2,Age,18-34 Years,Total Population,0.2519557928722215,0.1932507890264627,0.1871409363158538,0.1845102505694761,0.1766941101963267,0.1983888421305759,0.1742825471117132,0.1770655617840604,0.191696750902527,0.246343779677113,0.1699225523060917,0.235069643197863,0.1936998854524627,0.1744812564484695,0.186450697564436,0.1644675925925925
