,Category,Attribute,2000_Glen Park,2000_San Francisco,2010_Glen Park,2010_San Francisco,2011_Glen Park,2011_San Francisco,2012_Glen Park,2012_San Francisco,2013_Glen Park,2013_San Francisco,2014_Glen Park,2014_San Francisco,2015_Glen Park,2015_San Francisco,2016_Glen Park,2016_San Francisco,2017_Glen Park,2017_San Francisco,2018_Glen Park,2018_San Francisco,2019_Glen Park,2019_San Francisco,2020_Glen Park,2020_San Francisco,2021_Glen Park,2021_San Francisco,2022_Glen Park,2022_San Francisco,2023_Glen Park,2023_San Francisco,2024_Glen Park,2024_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1306.0,209020.0,1301.0,209068.0,1397.0,212110.0,1446.0,213982.0,1494.0,217742.0,1513.0,219759.0,1236.0,208027.0,1183.0,206125.0,1149.0,201554.0,1248.0,196852.0,1011.0,194605.0,1574.0,179637.0,996.0,177267.0,845.0,164391.0,817.0,158878.0,868,156904
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,981.0,147066.0,932.0,119019.0,905.0,114525.0,942.0,108966.0,1016.0,106717.0,1492.0,103611.0,1026.0,146046.0,1122.0,139452.0,1043.0,131265.0,964.0,152803.0,1011.0,146746.0,1245.0,133315.0,996.0,155085.0,845.0,142404.0,817.0,158878.0,868,156904
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1306.0,193235.0,1301.0,203005.0,1397.0,212110.0,1446.0,213982.0,1494.0,217742.0,1513.0,219759.0,1236.0,195487.0,1183.0,206125.0,1149.0,201554.0,1248.0,196852.0,1011.0,194605.0,1574.0,179637.0,996.0,177267.0,845.0,164391.0,817.0,158878.0,868,156904
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1306.0,209020.0,1301.0,209068.0,1397.0,212110.0,1446.0,213982.0,1494.0,217742.0,1513.0,219759.0,1236.0,208027.0,1183.0,206125.0,1149.0,201554.0,1248.0,196852.0,1011.0,194605.0,1574.0,179637.0,996.0,177267.0,845.0,164391.0,817.0,158878.0,868,156904
4,Affordability,100 AMI Annual Income,76295.58541266795,55915.28958767848,91265.82278481012,71436.31988152536,96399.2974238876,73015.850789739,97368.42105263156,73882.86576506091,98554.42176870749,75789.09138932911,111711.35646687695,78773.52733781732,115550.84745762713,81982.65550239234,121534.65346534654,88612.28084661327,129681.81818181818,96817.47583985272,105000.0,104995.55809378768,169599.62756052142,113537.43350844154,104502.36966824644,117453.07472291742,174779.1519434629,126479.8932723461,190810.50228310504,136440.23367285798,190277.77777777775,140840.72978303747,192664.67065868265,140630.3486172417
5,Affordability,100 AMI Monthly Affordable Rent,6357.965451055662,4659.607465639873,7605.48523206751,5953.02665679378,8033.274785323967,6084.6542324782495,8114.035087719297,6156.905480421742,8212.868480725623,6315.7576157774265,9309.279705573079,6564.460611484777,9629.237288135593,6831.887958532695,10127.887788778879,7384.356737217772,10806.818181818182,8068.122986654394,8750.0,8749.629841148973,14133.302296710119,9461.452792370128,8708.530805687204,9787.756226909785,14564.929328621909,10539.991106028841,15900.875190258754,11370.019472738166,15856.48148148148,11736.72748191979,16055.389221556887,11719.195718103474
6,Affordability,30 AMI Annual Income,22888.675623800384,16774.586876303543,27379.746835443035,21430.895964457606,28919.789227166282,21904.755236921697,29210.526315789466,22164.859729518274,29566.326530612245,22736.727416798734,33513.40694006308,23632.058201345193,34665.254237288136,24594.7966507177,36460.39603960396,26583.68425398398,38904.54545454545,29045.242751955815,31500.0,31498.6674281363,50879.88826815642,34061.23005253246,31350.71090047393,35235.922416875226,52433.74558303887,37943.96798170383,57243.15068493151,40932.0701018574,57083.33333333332,42252.21893491124,57799.40119760479,42189.10458517251
7,Affordability,30 AMI Monthly Affordable Rent,1907.3896353166986,1397.882239691962,2281.645569620253,1785.9079970381338,2409.98243559719,1825.3962697434747,2434.2105263157887,1847.0716441265229,2463.860544217687,1894.7272847332279,2792.7839116719238,1969.3381834454328,2888.771186440678,2049.5663875598084,3038.3663366336636,2215.3070211653317,3242.045454545454,2420.436895996318,2625.0,2624.888952344692,4239.990689013035,2838.4358377110384,2612.5592417061607,2936.3268680729357,4369.478798586572,3161.9973318086522,4770.262557077626,3411.00584182145,4756.944444444443,3521.0182445759365,4816.616766467066,3515.758715431042
8,Affordability,50 AMI Annual Income,38147.792706333974,27957.64479383924,45632.91139240506,35718.15994076268,48199.6487119438,36507.9253948695,48684.21052631578,36941.432882530455,49277.21088435374,37894.54569466456,55855.67823343848,39386.76366890866,57775.42372881356,40991.32775119617,60767.32673267327,44306.140423306635,64840.90909090909,48408.73791992636,52500.0,52497.77904689384,84799.81378026071,56768.71675422077,52251.18483412322,58726.53736145871,87389.57597173145,63239.94663617305,95405.25114155252,68220.11683642899,95138.88888888888,70420.36489151874,96332.33532934132,70315.17430862084
9,Affordability,50 AMI Monthly Affordable Rent,3178.982725527831,2329.8037328199366,3802.742616033755,2976.51332839689,4016.6373926619835,3042.3271162391247,4057.0175438596484,3078.452740210871,4106.434240362812,3157.8788078887133,4654.639852786539,3282.2303057423883,4814.618644067797,3415.9439792663475,5063.943894389439,3692.178368608886,5403.409090909091,4034.061493327197,4375.0,4374.814920574487,7066.651148355059,4730.726396185064,4354.265402843602,4893.878113454893,7282.4646643109545,5269.995553014421,7950.437595129377,5685.009736369083,7928.24074074074,5868.363740959895,8027.694610778443,5859.597859051737
