,Category,Attribute,Percent Of,2000_Golden Gate Park,2010_Golden Gate Park,2011_Golden Gate Park,2012_Golden Gate Park,2013_Golden Gate Park,2014_Golden Gate Park,2015_Golden Gate Park,2016_Golden Gate Park,2017_Golden Gate Park,2018_Golden Gate Park,2019_Golden Gate Park,2020_Golden Gate Park,2021_Golden Gate Park,2022_Golden Gate Park,2023_Golden Gate Park,2024_Golden Gate Park
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
540,Affordability,100 AMI Annual Income,None,21590.90909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,Affordability,100 AMI Monthly Affordable Rent,None,1799.242424242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,Affordability,30 AMI Annual Income,None,6477.272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,Affordability,30 AMI Monthly Affordable Rent,None,539.7727272727271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,Affordability,50 AMI Annual Income,None,10795.454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,Affordability,50 AMI Monthly Affordable Rent,None,899.621212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,Affordability,80 AMI Annual Income,None,17272.727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,Affordability,80 AMI Monthly Affordable Rent,None,1439.3939393939393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,Age,0-4 Years,Total Population,0.0821917808219178,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,Age,18-34 Years,Total Population,0.0547945205479452,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,Age,35-59 Years,Total Population,0.863013698630137,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,Age,5-17 Years,Total Population,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,Age,60 and older,Total Population,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,Age,Under 18 Years,None,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Age,Under 6 Years,None,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.5970149253731343,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
544,Educational Attainment,High School or Less,Total Population 25+,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,Educational Attainment,"High School or Less by Race, Asian Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Educational Attainment,"High School or Less by Race, Black or African American Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21,Educational Attainment,"High School or Less by Race, Hispanic or Latino",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,Educational Attainment,"High School or Less by Race, Some Other Race Alone",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
