,Category,Attribute,2000_Hayes Valley,2010_Hayes Valley,2011_Hayes Valley,2012_Hayes Valley,2013_Hayes Valley,2014_Hayes Valley,2015_Hayes Valley,2016_Hayes Valley,2017_Hayes Valley,2018_Hayes Valley,2019_Hayes Valley,2020_Hayes Valley,2021_Hayes Valley,2022_Hayes Valley,2023_Hayes Valley,2024_Hayes Valley
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,7380.0,6886.0,7053.0,6983.0,7086.0,7125.0,6784.0,6826.0,6862.0,6827.0,6621.0,6387.0,6401.0,5849.0,5659.0,5685
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,4926.0,4286.0,3968.0,3491.0,3407.0,3348.0,5051.0,4749.0,5377.0,6028.0,5939.0,6387.0,5784.0,5849.0,4896.0,4750
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,7044.0,6775.0,6969.0,6945.0,7049.0,7125.0,6519.0,6826.0,6862.0,6827.0,6621.0,6387.0,6401.0,5849.0,5659.0,5685
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,7380.0,6886.0,7053.0,6983.0,7086.0,7125.0,6784.0,6826.0,6862.0,6827.0,6621.0,6387.0,6401.0,5849.0,5659.0,5685
9,Affordability,100 AMI Annual Income,47983.46055979644,62893.45403899722,62247.51655629139,64645.748987854255,69959.80707395499,77749.7477295661,82195.19343493553,98053.2786885246,106916.66666666669,125895.27027027028,137961.69630642954,140844.43099273607,139424.20681551116,163381.7427385892,139379.3103448276,132411.3475177305
10,Affordability,100 AMI Monthly Affordable Rent,3998.62171331637,5241.121169916435,5187.293046357616,5387.145748987855,5829.983922829582,6479.145644130508,6849.599452911294,8171.10655737705,8909.722222222224,10491.272522522524,11496.808025535795,11737.035916061339,11618.683901292598,13615.145228215768,11614.942528735633,11034.278959810874
0,Affordability,30 AMI Annual Income,14395.038167938932,18868.036211699164,18674.254966887416,19393.724696356276,20987.942122186494,23324.924318869827,24658.558030480657,29415.98360655738,32075.000000000004,37768.58108108108,41388.50889192886,42253.32929782082,41827.26204465335,49014.522821576764,41813.793103448275,39723.40425531915
1,Affordability,30 AMI Monthly Affordable Rent,1199.586513994911,1572.3363509749304,1556.1879139072846,1616.1437246963562,1748.9951768488745,1943.7436932391522,2054.879835873388,2451.331967213115,2672.916666666667,3147.3817567567567,3449.0424076607383,3521.1107748184018,3485.605170387779,4084.5435684647305,3484.4827586206898,3310.283687943262
3,Affordability,50 AMI Annual Income,23991.73027989822,31446.72701949861,31123.758278145695,32322.874493927127,34979.903536977494,38874.87386478305,41097.596717467764,49026.6393442623,53458.33333333334,62947.63513513514,68980.84815321477,70422.21549636804,69712.10340775558,81690.8713692946,69689.6551724138,66205.67375886525
4,Affordability,50 AMI Monthly Affordable Rent,1999.310856658185,2620.5605849582175,2593.646523178808,2693.5728744939274,2914.991961414791,3239.572822065254,3424.799726455647,4085.553278688525,4454.861111111112,5245.636261261262,5748.404012767897,5868.517958030669,5809.341950646299,6807.572614107884,5807.471264367817,5517.139479905437
6,Affordability,80 AMI Annual Income,38386.76844783715,50314.76323119778,49798.013245033115,51716.59919028341,55967.84565916399,62199.79818365288,65756.15474794843,78442.62295081968,85533.33333333336,100716.21621621623,110369.35704514364,112675.54479418887,111539.36545240894,130705.39419087138,111503.44827586209,105929.0780141844
7,Affordability,80 AMI Monthly Affordable Rent,3198.897370653096,4192.896935933149,4149.834437086093,4309.716599190284,4663.987138263666,5183.3165153044065,5479.679562329035,6536.885245901641,7127.77777777778,8393.01801801802,9197.446420428636,9389.628732849073,9294.947121034078,10892.116182572614,9291.954022988508,8827.4231678487
0,Age,0-4 Years,0.0265951173487439,0.0212969038954841,0.0225095232598407,0.0201447178002894,0.0246247259234272,0.0239126765318179,0.0313140830238873,0.0288751301298559,0.0339128568362309,0.0383169021241996,0.0459641824362031,0.0473811686345746,0.0566943305669433,0.043069488943747,0.0427631578947368,0.0375178845848126
1,Age,18-34 Years,0.4665054841372803,0.4304122173835232,0.4371464850513679,0.4287698986975398,0.4314949120143925,0.4216508186575142,0.4143989358754087,0.4104432633828283,0.415593474994634,0.4274824677304604,0.4204251433209883,0.4323342415985468,0.3676132386761324,0.4347917432638268,0.4153508771929824,0.4141274972179535
2,Age,35-59 Years,0.356115107913669,0.386625305732864,0.3916657047212282,0.3903328509406657,0.3832012143700455,0.393180667304338,0.3869090506013412,0.3798695961865103,0.3697145310152393,0.3691940237829048,0.3660392674141342,0.3793016449692199,0.4084091590840916,0.3747570775776038,0.3855263157894736,0.380848921625775
3,Age,5-17 Years,0.0589102488501002,0.0437869116506591,0.0408057254992496,0.0567293777134587,0.0521729352898184,0.0571653631913576,0.0445047941029762,0.0425182181798257,0.0348787293410603,0.0361317207033235,0.0373902896859621,0.0256837218690079,0.0385461453854614,0.0383423499133357,0.0371710526315789,0.0465264161941603
4,Age,60 and older,0.0918740417502063,0.1178786613374694,0.1078725614683135,0.1040231548480463,0.1085062124023163,0.1040904743149721,0.1228731363963864,0.1382937921209796,0.1459004078128353,0.1288748856591117,0.1301811171427122,0.1152992229286507,0.1287371262873712,0.1090393403014864,0.119188596491228,0.1209792803772985
5,Educational Attainment,College Degree or higher,0.4999268898961836,0.6000288059916462,0.586264308012487,0.615187417723273,0.6416257790743933,0.6469924312840261,0.6525857654889913,0.6893136947665308,0.6829926962499233,0.7038795124238162,0.7141424272818455,0.714378086056901,0.7079624729372144,0.7381294066263181,0.7066545948392938,0.692734225621415
6,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.2613636363636363,0.0,0.0,0.0,0.0597014925373134,0.0776699029126213,0.0875,0.2235294117647059,0.3055555555555556,0.5,0.6875,1.0,0.6818181818181818,0.4615384615384615,0.0,0.0
7,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.5167464114832536,0.5462046204620462,0.5769000598444045,0.6282404853833425,0.7010869565217391,0.663670766319773,0.7407216494845361,0.7242798353909465,0.7285307285307285,0.7000792393026941,0.705133153222694,0.7913043478260869,0.8066149173135336,0.8497576736672051,0.8347826086956521,0.782035175879397
8,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.100752508361204,0.234344422700587,0.2538265306122449,0.2519083969465648,0.254985754985755,0.2452926208651399,0.2292204439855446,0.1992932862190812,0.1776765375854214,0.1958584987057808,0.2464985994397759,0.2595356550580431,0.3051948051948052,0.4065676309616888,0.4450127877237851,0.4434222631094756
9,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.2621690862510674,0.5781456953642384,0.380467955239064,0.373661670235546,0.3992768595041322,0.3866525423728814,0.3756983240223464,0.5024067388688327,0.4757516973811833,0.5094850948509485,0.5172897196261682,0.438100050530571,0.4626544868350349,0.5501639344262295,0.4300399771559109,0.4324039978958442
11,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.2981029810298103,0.5406360424028268,0.5353728489483748,0.5964214711729622,0.652014652014652,0.5329566854990584,0.3875802997858672,0.3194444444444444,0.235640648011782,0.2535885167464115,0.4028436018957346,0.4070450097847358,0.5105672969966629,0.583989501312336,0.5264623955431755,0.4498094027954257
12,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.4414893617021276,0.5315487571701721,0.5109983079526227,0.6461038961038961,0.7677224736048266,0.8141891891891891,0.7329376854599406,0.6838709677419355,0.6633039092055486,0.5758176412289395,0.5916496945010183,0.6358325219084713,0.5254394079555966,0.5539772727272727,0.5051740357478833,0.5567282321899736
13,Educational Attainment,"College Degree or higher by Race, White Alone",0.6162727371745997,0.7086017859161298,0.6855828220858896,0.696067898581865,0.7096607897721414,0.7236596977851376,0.7228130688895277,0.76913908499129,0.76501138952164,0.7915061220994948,0.7943007452871548,0.7809345794392524,0.7787347787347787,0.7817586242194697,0.7564001353332581,0.7518526835841006
14,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.6426807760141093,0.7130833023889095,0.7169140193793696,0.7301207700585914,0.7499714579289873,0.7658440505155834,0.7652449001854478,0.786383321583241,0.7851146601146601,0.8061461151913413,0.8076023391812865,0.7949918566775245,0.78965998069291,0.7832657978315628,0.7729141475211608,0.7670454545454546
16,Educational Attainment,High School or Less,0.216552127504021,0.1734120697104997,0.1944502254595907,0.176609159564886,0.1599920434955576,0.1661133979551188,0.1582181259600614,0.1317455343152616,0.1452771128705579,0.1414088138771683,0.1365862292760634,0.1414883611568304,0.1392831368775559,0.1164909215698508,0.1407230162322964,0.1369662205226259
17,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.1136363636363636,0.3552631578947368,0.2783505154639175,0.2,0.0970149253731343,0.1262135922330097,0.175,0.1529411764705882,0.1944444444444444,0.1666666666666666,0.3125,0.0,0.3181818181818182,0.5384615384615384,1.0,1.0
18,Educational Attainment,"High School or Less by Race, Asian Alone",0.3311004784688995,0.3019801980198019,0.2752842609216038,0.1908439051296194,0.1456521739130434,0.1915799432355723,0.1283505154639175,0.1815272062185642,0.2136752136752136,0.2159270998415214,0.2192203782323427,0.1578595317725752,0.1255484306446169,0.0846526655896607,0.1049919484702093,0.1155778894472361
19,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.4765886287625418,0.4417808219178082,0.4094387755102041,0.472264631043257,0.3618233618233618,0.3770992366412213,0.3742901393908105,0.3356890459363957,0.3637053910402429,0.457290767903365,0.450046685340803,0.5041459369817579,0.487012987012987,0.3408913213448006,0.3171355498721228,0.2787488500459981
20,Educational Attainment,"High School or Less by Race, Hispanic or Latino",0.4056362083689154,0.1304635761589404,0.3346897253306205,0.3313704496788008,0.3502066115702479,0.3945974576271186,0.3924581005586592,0.3002406738868832,0.3283220174587778,0.2859078590785908,0.2841121495327103,0.3547246083880748,0.2794196668457818,0.2524590163934426,0.3375214163335237,0.3003682272488164
22,Educational Attainment,"High School or Less by Race, Some Other Race Alone",0.4363143631436314,0.1837455830388692,0.2504780114722753,0.2246520874751491,0.238095238095238,0.2843691148775895,0.3704496788008565,0.4444444444444444,0.5169366715758469,0.5119617224880383,0.3981042654028436,0.4344422700587084,0.3170189098998888,0.3005249343832021,0.319405756731662,0.3913595933926302
23,Educational Attainment,"High School or Less by Race, Two or More Races",0.2606382978723404,0.1625239005736137,0.1912013536379018,0.1525974025974026,0.1523378582202111,0.125,0.1839762611275964,0.2348387096774193,0.1878940731399747,0.2576808721506442,0.2535641547861507,0.2122687439143135,0.2081406105457909,0.2130681818181818,0.1561618062088429,0.1662269129287599
24,Educational Attainment,"High School or Less by Race, White Alone",0.1244962422394074,0.0836441731660449,0.1214943032427695,0.1113021057155135,0.1174347870914527,0.1157110329124404,0.1137299990418702,0.0714220225543229,0.0773576309794988,0.0638753317921054,0.0576063130206049,0.0604672897196261,0.0652410652410652,0.0715528713276691,0.1052216082102176,0.0977992364697956
