,Category,Attribute,2024_Inner Richmond,2024_San Francisco,2023_Inner Richmond,2023_San Francisco,2022_Inner Richmond,2022_San Francisco,2021_Inner Richmond,2021_San Francisco,2020_Inner Richmond,2020_San Francisco,2019_Inner Richmond,2019_San Francisco,2018_Inner Richmond,2018_San Francisco,2017_Inner Richmond,2017_San Francisco,2016_Inner Richmond,2016_San Francisco,2015_Inner Richmond,2015_San Francisco,2014_Inner Richmond,2014_San Francisco,2013_Inner Richmond,2013_San Francisco,2012_Inner Richmond,2012_San Francisco,2011_Inner Richmond,2011_San Francisco,2010_Inner Richmond,2010_San Francisco,2000_Inner Richmond,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,4093,156904,4142.0,158878.0,4436.0,164391.0,4910.0,177267.0,5421.0,179637.0,5488.0,194605.0,2391.0,196852.0,5826.0,201554.0,5908.0,206125.0,6224.0,208027.0,6566.0,219759.0,6410.0,217742.0,6453.0,213982.0,6279.0,212110.0,6292.0,209068.0,6283.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,4093,156904,4142.0,158878.0,4436.0,142404.0,4910.0,155085.0,5421.0,133315.0,4121.0,146746.0,2029.0,152803.0,3832.0,131265.0,4220.0,139452.0,2893.0,146046.0,2984.0,103611.0,3008.0,106717.0,2971.0,108966.0,3279.0,114525.0,3450.0,119019.0,4369.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,4093,156904,4142.0,158878.0,4436.0,164391.0,4910.0,177267.0,5421.0,179637.0,5488.0,194605.0,2391.0,196852.0,5826.0,201554.0,5908.0,206125.0,6029.0,195487.0,6566.0,219759.0,6410.0,217742.0,6214.0,213982.0,6021.0,212110.0,6052.0,203005.0,5951.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,4093,156904,4142.0,158878.0,4436.0,164391.0,4910.0,177267.0,5421.0,179637.0,5488.0,194605.0,2391.0,196852.0,5826.0,201554.0,5908.0,206125.0,6224.0,208027.0,6566.0,219759.0,6410.0,217742.0,6453.0,213982.0,6279.0,212110.0,6292.0,209068.0,6283.0,209020.0
4,Affordability,100 AMI Annual Income,177687.91627021885,140630.3486172417,165692.5343811395,140840.72978303747,163807.18954248363,136440.23367285798,143506.4935064935,126479.8932723461,148346.69338677355,117453.07472291742,116506.24349635796,113537.43350844154,100339.9581589958,104995.55809378768,97055.40037243949,96817.47583985272,87801.48423005566,88612.28084661327,78530.80568720379,81982.65550239234,74733.67697594501,78773.52733781732,72291.66666666667,75789.09138932911,70843.78563283922,73882.86576506091,67601.66840458811,73015.850789739,66640.19337016574,71436.31988152536,55751.4450867052,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,14807.32635585157,11719.195718103474,13807.711198428291,11736.72748191979,13650.599128540302,11370.019472738166,11958.87445887446,10539.991106028841,12362.224448897796,9787.756226909785,9708.853624696496,9461.452792370128,8361.663179916317,8749.629841148973,8087.950031036624,8068.122986654394,7316.790352504639,7384.356737217772,6544.233807266982,6831.887958532695,6227.8064146620845,6564.460611484777,6024.305555555556,6315.7576157774265,5903.648802736602,6156.905480421742,5633.472367049009,6084.6542324782495,5553.349447513811,5953.02665679378,4645.953757225433,4659.607465639873
6,Affordability,30 AMI Annual Income,53306.374881065654,42189.10458517251,49707.760314341846,42252.21893491124,49142.15686274508,40932.0701018574,43051.94805194805,37943.96798170383,44504.008016032065,35235.922416875226,34951.873048907386,34061.23005253246,30101.98744769874,31498.6674281363,29116.620111731845,29045.242751955815,26340.445269016698,26583.68425398398,23559.241706161134,24594.7966507177,22420.1030927835,23632.058201345193,21687.5,22736.727416798734,21253.135689851766,22164.859729518274,20280.500521376434,21904.755236921697,19992.05801104972,21430.895964457606,16725.43352601156,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,4442.197906755471,3515.758715431042,4142.313359528487,3521.0182445759365,4095.1797385620903,3411.00584182145,3587.6623376623374,3161.9973318086522,3708.6673346693387,2936.3268680729357,2912.6560874089487,2838.4358377110384,2508.498953974895,2624.888952344692,2426.3850093109872,2420.436895996318,2195.0371057513917,2215.3070211653317,1963.2701421800946,2049.5663875598084,1868.3419243986252,1969.3381834454328,1807.2916666666667,1894.7272847332279,1771.0946408209804,1847.0716441265229,1690.041710114703,1825.3962697434747,1666.0048342541434,1785.9079970381338,1393.78612716763,1397.882239691962
8,Affordability,50 AMI Annual Income,88843.95813510942,70315.17430862084,82846.26719056975,70420.36489151874,81903.59477124181,68220.11683642899,71753.24675324676,63239.94663617305,74173.34669338677,58726.53736145871,58253.12174817898,56768.71675422077,50169.9790794979,52497.77904689384,48527.70018621974,48408.73791992636,43900.74211502783,44306.140423306635,39265.40284360189,40991.32775119617,37366.838487972505,39386.76366890866,36145.833333333336,37894.54569466456,35421.89281641961,36941.432882530455,33800.834202294056,36507.9253948695,33320.09668508287,35718.15994076268,27875.7225433526,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,7403.663177925785,5859.597859051737,6903.8555992141455,5868.363740959895,6825.299564270151,5685.009736369083,5979.43722943723,5269.995553014421,6181.112224448898,4893.878113454893,4854.426812348248,4730.726396185064,4180.8315899581585,4374.814920574487,4043.975015518312,4034.061493327197,3658.3951762523193,3692.178368608886,3272.116903633491,3415.9439792663475,3113.9032073310423,3282.2303057423883,3012.152777777778,3157.8788078887133,2951.824401368301,3078.452740210871,2816.7361835245047,3042.3271162391247,2776.6747237569057,2976.51332839689,2322.9768786127165,2329.8037328199366
