,Category,Attribute,Percent Of,2000_Inner Sunset,2010_Inner Sunset,2011_Inner Sunset,2012_Inner Sunset,2013_Inner Sunset,2014_Inner Sunset,2015_Inner Sunset,2016_Inner Sunset,2017_Inner Sunset,2018_Inner Sunset,2019_Inner Sunset,2020_Inner Sunset,2021_Inner Sunset,2022_Inner Sunset,2023_Inner Sunset,2024_Inner Sunset
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,7361.0,6962.0,7147.0,7235.0,7075.0,7074.0,6618.0,6519.0,6349.0,6632.0,6165.0,3051.0,5445.0,4761.0,4836.0,4593
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,5645.0,5087.0,5217.0,4894.0,4669.0,4508.0,5491.0,5151.0,4956.0,5479.0,5208.0,1636.0,5445.0,4761.0,4836.0,4593
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,7361.0,6962.0,7147.0,7235.0,7075.0,7074.0,6618.0,6519.0,6349.0,6632.0,6165.0,2319.0,5445.0,4761.0,4836.0,4593
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,7361.0,6962.0,7147.0,7235.0,7075.0,7074.0,6618.0,6519.0,6349.0,6632.0,6165.0,2874.0,5445.0,4761.0,4836.0,4593
540,Affordability,100 AMI Annual Income,None,66234.3404568902,88727.29852440409,91246.87108886108,89638.35534213686,92556.60954712362,96214.95327102803,101763.7481910275,108975.52958363768,117749.41995359628,125614.75409836066,136886.92098092643,24236.11111111111,142711.20293847568,160094.7731188972,162916.88724192695,165814.1646489104
541,Affordability,100 AMI Monthly Affordable Rent,None,5519.528371407517,7393.941543700341,7603.905924071757,7469.862945178072,7713.050795593635,8017.91277258567,8480.312349252292,9081.294131969806,9812.45166279969,10467.896174863388,11407.243415077202,2019.6759259259259,11892.600244872972,13341.231093241433,13576.407270160578,13817.847054075866
531,Affordability,30 AMI Annual Income,None,19870.30213706706,26618.189557321228,27374.061326658324,26891.506602641057,27766.982864137084,28864.485981308408,30529.124457308248,32692.6588750913,35324.82598607888,37684.42622950819,41066.076294277926,7270.833333333333,42813.3608815427,48028.431935669156,48875.06617257808,49744.24939467312
532,Affordability,30 AMI Monthly Affordable Rent,None,1655.858511422255,2218.182463110102,2281.171777221527,2240.9588835534214,2313.91523867809,2405.3738317757006,2544.0937047756875,2724.388239590942,2943.735498839907,3140.368852459016,3422.1730245231606,605.9027777777777,3567.780073461892,4002.36932797243,4072.9221810481736,4145.35411622276
534,Affordability,50 AMI Annual Income,None,33117.1702284451,44363.649262202045,45623.43554443054,44819.17767106843,46278.30477356181,48107.47663551402,50881.87409551375,54487.76479181884,58874.70997679814,62807.37704918033,68443.46049046321,12118.055555555555,71355.60146923784,80047.3865594486,81458.44362096347,82907.0823244552
535,Affordability,50 AMI Monthly Affordable Rent,None,2759.7641857037584,3696.9707718501704,3801.9529620358785,3734.931472589036,3856.5253977968173,4008.956386292835,4240.156174626146,4540.647065984903,4906.225831399845,5233.948087431694,5703.621707538601,1009.8379629629629,5946.300122436486,6670.6155466207165,6788.203635080289,6908.923527037933
537,Affordability,80 AMI Annual Income,None,52987.47236551216,70981.83881952327,72997.49687108886,71710.68427370948,74045.2876376989,76971.96261682243,81410.998552822,87180.42366691015,94199.53596287704,100491.80327868853,109509.53678474115,19388.888888888887,114168.96235078055,128075.81849511777,130333.50979354157,132651.33171912833
538,Affordability,80 AMI Monthly Affordable Rent,None,4415.622697126014,5915.153234960272,6083.124739257405,5975.890356142457,6170.440636474908,6414.330218068536,6784.249879401833,7265.035305575846,7849.961330239753,8374.31693989071,9125.794732061762,1615.7407407407406,9514.08019589838,10672.984874593147,10861.125816128464,11054.277643260693
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5933609958506224,0.5593112244897959,0.5806264501160093,0.6053731343283583,0.5499334221038615,0.5088991430454846,0.5286368843069874,0.4790382244143033,0.4526453298497714,0.4806246385193753,0.5008517887563884,0.5478110599078341,0.5724550898203593,0.6026448362720404,0.6353514265831594,0.6127562642369021
1,Age,0-4 Years,Total Population,0.0390424939691965,0.0494853078794684,0.0532522972288546,0.0526766595289079,0.0475640562973655,0.0458584632953856,0.0513431392859609,0.046078835324818,0.0424122624497156,0.0285246907269195,0.0524391482446934,0.0563816604708798,0.0526184538653366,0.0525803310613437,0.0471053969637539,0.0447244326554671
2,Age,18-34 Years,Total Population,0.3625904620523288,0.3398090960134756,0.3459228709934158,0.3613847251962884,0.3450739805124503,0.3417793797509011,0.3280850769974449,0.319186924872957,0.3224094881398252,0.3250178918311011,0.335319408239954,0.197180916976456,0.3417883861774136,0.3322514335172563,0.3289387666158204,0.3141025641025641
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.4066390041493776,0.4406887755102041,0.4193735498839907,0.3946268656716418,0.4500665778961384,0.4911008569545155,0.4713631156930126,0.5209617755856967,0.5473546701502287,0.5193753614806247,0.4991482112436116,0.4521889400921659,0.4275449101796407,0.3973551637279597,0.3646485734168406,0.3872437357630979
4,Age,35-59 Years,Total Population,0.3514937836333272,0.3648137750327531,0.35008320671442,0.3382583868665239,0.3328762179718513,0.3387816280646658,0.3452109660935018,0.3535228677379481,0.3447080038840338,0.3341171659339536,0.3375875960594468,0.3760842627013631,0.3163519771998575,0.3229831584261964,0.3186968838526912,0.3079133510167993
5,Age,5-17 Years,Total Population,0.0869177955093709,0.0661800486618004,0.0671442008537732,0.0650249821556031,0.076723204619271,0.0789051068841226,0.0803466611421863,0.0830243098475484,0.0920030517408794,0.0844835224755478,0.0791157452858932,0.0604089219330855,0.0779123619522622,0.0779328500847488,0.0831698990339216,0.0854700854700854
6,Age,60 and older,Total Population,0.1599554648357765,0.1797117724125023,0.1835974242095362,0.1826552462526766,0.1977625405990617,0.1946754220049248,0.195014156480906,0.1981870622167284,0.1984671937855458,0.2278567290324779,0.1955381021700125,0.3099442379182156,0.21132882080513,0.2142522269104547,0.2220890535338127,0.2477895667550839
7,Age,Under 18 Years,None,3394.0,3090.0,3321.0,3288.0,3435.0,3493.0,3811.0,3754.0,3876.0,3936.0,3886.0,3764.0,3651.0,3614.0,3581.0,3526.0
8,Age,Under 6 Years,None,1205.0,1568.0,1724.0,1675.0,1502.0,1517.0,1746.0,1622.0,1531.0,1729.0,1761.0,1736.0,1670.0,1588.0,1437.0,1317.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.6163835693784407,0.694814198557959,0.6977350720658888,0.6974725324411086,0.6880377082189273,0.69893479520435,0.7185733858537421,0.7311399832355406,0.7371917720710361,0.6863486842105263,0.7652315530129035,0.2786259541984733,0.7438274316843863,0.7490910723102473,0.7633821871476888,0.7470531578223181
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.6428571428571429,0.2041884816753926,0.0,0.0,0.1274509803921568,0.2209302325581395,0.3188405797101449,0.3382352941176471,0.3636363636363636,0.6375,0.0,0.0,0.5641025641025641,0.5294117647058824,0.4782608695652174,0.3620689655172414
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.5249468346147554,0.6100353356890459,0.6163540445486518,0.6626797664815606,0.6482996125699526,0.6658166879161355,0.6653649340156208,0.6610738255033557,0.6468205254112448,0.4996333414813004,0.672651453724082,0.2960199004975124,0.6504381694255112,0.66020395316631,0.7183098591549296,0.7127978127847936
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.4664948453608247,0.6106194690265486,0.5840978593272171,0.2947019867549669,0.3502994011976048,0.3741258741258741,0.4331797235023041,0.3995485327313769,0.4743276283618582,0.5022421524663677,0.5215419501133787,0.1720698254364089,0.5410821643286573,0.5071428571428571,0.4970178926441352,0.5611111111111111
12,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,0.3469921534437663,0.5464527027027027,0.6332007952286283,0.6613055818353831,0.6852886405959032,0.6629213483146067,0.7060133630289532,0.7355670103092784,0.7375776397515528,0.5996876626756897,0.6963713980789754,0.1226533166458072,0.6253243383497665,0.6641402179062056,0.6885895404120443,0.6326434619002822
13,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.5714285714285714,0.453125,0.4935064935064935,0.4081632653061224,0.3571428571428571,0.58,None,0.0,0.0,0.0,0.2368421052631578,None,0.5789473684210527,0.1764705882352941,0.0,0.0
14,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,0.3,0.6005747126436781,0.5738831615120275,0.5775193798449613,0.7416267942583732,0.7100313479623824,0.6920052424639581,0.7318573185731857,0.650887573964497,0.5490196078431373,0.5488721804511278,0.022181146025878,0.4547283702213279,0.4460285132382892,0.4453302961275626,0.3363636363636363
15,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,0.5485436893203883,0.9121621621621622,0.9176755447941888,0.8391376451077943,0.9089506172839508,0.7623376623376623,0.6880503144654088,0.714765100671141,0.7758444216990789,0.7906976744186046,0.8734321550741163,0.0710059171597633,0.83886925795053,0.8471926083866382,0.8549333333333333,0.7584097859327217
16,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.6722015876483869,0.744070008444001,0.7362269207861822,0.7258485639686684,0.71017317640003,0.7223944493652199,0.7611940298507462,0.7873343151693667,0.8075358759880286,0.8026113671274961,0.8443885330893565,0.4477707006369427,0.832901554404145,0.8399151868539624,0.8195732420995768,0.8107957707289928
17,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.6877252165912751,0.758177473840323,0.7390927021696252,0.7273286670256134,0.7146957977832709,0.732815785217532,0.7693761814744802,0.7957093313976934,0.8143169215257939,0.8152577007492621,0.8491776315789473,0.455547391623806,0.8382312551496841,0.8406902469253503,0.8237919658451388,0.8151447661469933
544,Educational Attainment,High School or Less,Total Population 25+,0.171269938361643,0.1293677204658901,0.1331503088538091,0.1339693448478545,0.1258466044298004,0.1276908677630699,0.1200976194553861,0.1273260687342833,0.1203952131510583,0.1752055921052631,0.1127907462312607,0.4843511450381679,0.1288551093928477,0.1250953813007765,0.1108004509582863,0.1251662615236435
18,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",None,0.0,0.2146596858638743,0.3333333333333333,0.3936170212765957,0.284313725490196,0.4302325581395348,0.0,0.0,0.0,0.0,0.0,0.6621621621621622,0.2051282051282051,0.2058823529411764,0.1521739130434782,0.1551724137931034
19,Educational Attainment,"High School or Less by Race, Asian Alone",None,0.2476689023392769,0.206077738515901,0.2174677608440797,0.1890929802078883,0.1760654326302195,0.1886952826179345,0.1928359816859682,0.2068108376833209,0.2084458630002455,0.367025177218284,0.1969187999536661,0.6129353233830845,0.1982716650438169,0.1957698602543119,0.1495025197053883,0.164171331857831
20,Educational Attainment,"High School or Less by Race, Black or African American Alone",None,0.2757731958762887,0.2890855457227139,0.2599388379204893,0.1589403973509933,0.1646706586826347,0.1328671328671328,0.064516129032258,0.1444695259593679,0.1344743276283618,0.2062780269058296,0.1088435374149659,0.3728179551122194,0.0981963927855711,0.0714285714285714,0.0815109343936381,0.0759259259259259
21,Educational Attainment,"High School or Less by Race, Hispanic or Latino",None,0.3121185701830863,0.1326013513513513,0.209741550695825,0.194891201513718,0.1126629422718808,0.1371969248965109,0.1391982182628062,0.1288659793814432,0.1143892339544513,0.1712649661634565,0.1504802561366061,0.5994993742177722,0.2428645563051375,0.2055897678825201,0.2183042789223455,0.2685794920037629
22,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.4285714285714285,0.265625,0.1688311688311688,0.2244897959183673,0.238095238095238,0.18,None,0.0,0.0,0.0,0.2894736842105263,None,0.4210526315789473,0.8235294117647058,1.0,1.0
23,Educational Attainment,"High School or Less by Race, Some Other Race Alone",None,0.2411764705882353,0.2212643678160919,0.3470790378006873,0.3255813953488372,0.0861244019138756,0.0971786833855799,0.1205766710353866,0.1107011070110701,0.1727810650887574,0.1624649859943977,0.238095238095238,0.7301293900184843,0.380281690140845,0.3625254582484725,0.388382687927107,0.4467532467532467
24,Educational Attainment,"High School or Less by Race, Two or More Races",None,0.1537216828478964,0.0354729729729729,0.0375302663438256,0.1359867330016583,0.0354938271604938,0.0272727272727272,0.0226415094339622,0.0257270693512304,0.0051177072671443,0.0518783542039356,0.0364880273660205,0.4378698224852071,0.0925795053003533,0.0923951670220327,0.1002666666666666,0.1289500509683996
25,Educational Attainment,"High School or Less by Race, White Alone",None,0.1334935547301726,0.0834420818300452,0.0871054198927933,0.0995793443574122,0.1027063498013344,0.1008266902863891,0.0890475160429735,0.0881443298969072,0.0708310950809607,0.0712889261276358,0.0548947849954254,0.2802547770700637,0.0630397236614853,0.0592808551992225,0.06266318537859,0.0752179558523465
26,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",None,0.1229011730430115,0.0837933591497075,0.0849704142011834,0.0982232135989539,0.1024639183478191,0.0967168041403849,0.0833333333333333,0.082587305427857,0.0676356914804234,0.0628169227276167,0.0493421052631578,0.2755326965466568,0.0579511123317769,0.0567260940032414,0.0544343101106151,0.0684613149995158
545,Educational Attainment,Some College/Associate Degree,Total Population 25+,0.2123464922599162,0.1758180809761508,0.1691146190803019,0.1685581227110367,0.1861156873512722,0.1733743370325801,0.1613289946908717,0.141533948030176,0.1424130147779055,0.1384457236842105,0.1219777007558358,0.2370229007633587,0.127317458922766,0.1258135463889761,0.1258173618940248,0.1277805806540384
27,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",None,0.3571428571428571,0.581151832460733,0.6666666666666666,0.6063829787234043,0.5882352941176471,0.3488372093023256,0.6811594202898551,0.6617647058823529,0.6363636363636364,0.3625,1.0,0.3378378378378378,0.2307692307692307,0.2647058823529412,0.3695652173913043,0.4827586206896552
28,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",None,0.2273842630459676,0.183886925795053,0.1661781946072684,0.148227253310551,0.1756349547998278,0.14548802946593,0.1417990842984109,0.1321153368133233,0.1447336115885097,0.1333414813004155,0.1304297463222518,0.0910447761194029,0.1512901655306718,0.144026186579378,0.1321876211396821,0.1230308553573753
29,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",None,0.2577319587628865,0.1002949852507374,0.1559633027522936,0.5463576158940397,0.4850299401197604,0.493006993006993,0.5023041474654378,0.455981941309255,0.39119804400978,0.2914798206278027,0.3696145124716553,0.4551122194513716,0.3607214428857715,0.4214285714285714,0.4214711729622266,0.362962962962963
30,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",None,0.3408892763731473,0.3209459459459459,0.1570576540755467,0.1438032166508987,0.202048417132216,0.1998817267888823,0.1547884187082405,0.1355670103092783,0.1480331262939958,0.2290473711608537,0.1531483457844183,0.2778473091364205,0.131811105345096,0.1302700142112742,0.0931061806656101,0.0987770460959548
31,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.0,0.28125,0.3376623376623376,0.3673469387755102,0.4047619047619047,0.24,None,1.0,1.0,1.0,0.4736842105263157,None,0.0,0.0,0.0,0.0
32,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",None,0.4588235294117647,0.1781609195402299,0.0790378006872852,0.0968992248062015,0.1722488038277512,0.1927899686520376,0.1874180865006553,0.1574415744157441,0.1763313609467455,0.2885154061624649,0.213032581453634,0.2476894639556377,0.1649899396378269,0.1914460285132382,0.1662870159453303,0.2168831168831168
33,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",None,0.2977346278317152,0.0523648648648648,0.0447941888619854,0.0248756218905472,0.0555555555555555,0.2103896103896103,0.2893081761006289,0.2595078299776286,0.2190378710337768,0.1574239713774597,0.0900798175598631,0.4911242603550296,0.0685512367491166,0.060412224591329,0.0448,0.1126401630988787
34,Educational Attainment,"Some College/Associate Degree by Race, White Alone",None,0.1943048576214405,0.1724879097259538,0.1766676593210244,0.1745720916739193,0.1871204737986355,0.1767788603483909,0.1497584541062802,0.124521354933726,0.1216330289310106,0.126099706744868,0.100716681915218,0.2719745222929936,0.1040587219343696,0.100803957946815,0.117763572521833,0.1139862734186607
35,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",None,0.1893736103657134,0.1580291670099695,0.1759368836291913,0.1744481193754326,0.1828402838689099,0.1704674106420831,0.1472904851921865,0.1217033631744495,0.1180473869937825,0.1219253765231211,0.1014802631578947,0.2689199118295371,0.1038176325185388,0.1025836590714081,0.121773724044246,0.1163939188534908
36,Employment,"6-17, Living with One Parent",None,486.0,234.0,232.0,223.0,209.0,256.0,323.0,282.0,291.0,232.0,212.0,378.0,477.0,536.0,599.0,605.0
37,Employment,"6-17, Living with One Parent, Parent Not in Labor Force","Total 6-17, Living with One Parent",0.1625514403292181,0.1623931623931624,0.0560344827586206,0.0762331838565022,0.0095693779904306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343283,0.0934891485809682,0.0892561983471074
38,Employment,"6-17, Living with One Parent, Parent in Labor Force","Total 6-17, Living with One Parent",0.8374485596707819,0.8376068376068376,0.9439655172413792,0.9237668161434978,0.9904306220095692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9850746268656716,0.9065108514190318,0.9107438016528926
39,Employment,"6-17, Living with Two Parents",None,1582.0,1256.0,1302.0,1344.0,1671.0,1675.0,1675.0,1797.0,2013.0,1932.0,1885.0,1650.0,1494.0,1468.0,1519.0,1570.0
40,Employment,"6-17, Living with Two Parents, One Parent in Labor Force","Total 6-17, Living with Two Parents",0.2850821744627054,0.3742038216560509,0.3594470046082949,0.4196428571428571,0.3650508677438659,0.3414925373134328,0.2895522388059701,0.2632164718976071,0.2538499751614506,0.2215320910973084,0.2419098143236074,0.263030303030303,0.2811244979919678,0.2547683923705722,0.2422646477946017,0.1458598726114649
41,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force","Total 6-17, Living with Two Parents",0.0246523388116308,0.0,0.0,0.0424107142857142,0.0371035308198683,0.026865671641791,0.0226865671641791,0.0205898720089037,0.0481867858917039,0.0688405797101449,0.0758620689655172,0.0793939393939393,0.1010709504685408,0.023841961852861,0.0131665569453587,0.019108280254777
42,Employment,"6-17, Living with Two Parents, Parents in Labor Force","Total 6-17, Living with Two Parents",0.6902654867256637,0.6257961783439491,0.6405529953917051,0.5379464285714286,0.5978456014362658,0.6316417910447761,0.6877611940298507,0.7161936560934892,0.6979632389468455,0.7096273291925466,0.6822281167108754,0.6575757575757576,0.6178045515394913,0.7213896457765667,0.7445687952600395,0.835031847133758
546,Employment,Employed Residents,None,16235.0,16295.0,16514.0,16523.0,16220.0,16365.0,17220.0,17423.0,17409.0,18414.0,18199.0,2770.0,16794.0,16356.0,16314.0,16001.0
547,Employment,Managerial Professional,Total Civilian Employed Population 16 Years and Over,0.638250692947336,0.678735808530224,0.6524766864478624,0.6646492767657205,0.6630702836004932,0.6837763519706691,0.6817073170731708,0.7206566033404121,0.7165833764144982,0.6460301944172911,0.728116929501621,0.3552346570397112,0.7319280695486483,0.758070432868672,0.7661517714846144,0.7370164364727204
548,Employment,Natural Resources,Total Civilian Employed Population 16 Years and Over,0.0251924853711117,0.0243019331083154,0.0276129344798352,0.0213036373539914,0.0200369913686806,0.0158875649251451,0.0158536585365853,0.0130861504907306,0.0172324659658797,0.0279135440425763,0.0135172262212209,0.0490974729241877,0.0105990234607597,0.0056248471508926,0.005271545911487,0.014499093806637
549,Employment,Production Transport Materials,Total Civilian Employed Population 16 Years and Over,0.0407761010163227,0.0337526848726603,0.0391788785273101,0.0360709314289172,0.0278051787916152,0.0240146654445462,0.0250290360046457,0.0289846754290305,0.0289505428226779,0.0375257955903117,0.0269795043683718,0.0729241877256317,0.0342979635584137,0.0357055514795793,0.0360426627436557,0.0448096993937878
550,Employment,Sales and Office,Total Civilian Employed Population 16 Years and Over,0.2116415152448414,0.1679042651119975,0.1716725202858181,0.1652847545845185,0.1821208384710234,0.1792850595783684,0.1806039488966318,0.1512368708029616,0.1543454535010626,0.1692190724448789,0.1305016759162591,0.1711191335740072,0.1140288198166011,0.0964172169234531,0.1045727595929876,0.1162427348290731
551,Employment,Services,Total Civilian Employed Population 16 Years and Over,0.084139205420388,0.0953053083768027,0.109058980259174,0.1126913998668522,0.1069667077681874,0.097036358081271,0.0968060394889663,0.086035699936865,0.0828881612958814,0.1193113935049419,0.100884663992527,0.3516245487364621,0.1091461236155769,0.1041819515774027,0.0879612602672551,0.0874320354977813
