,Category,Attribute,Percent Of,2000_Lakeshore,2010_Lakeshore,2011_Lakeshore,2012_Lakeshore,2013_Lakeshore,2014_Lakeshore,2015_Lakeshore,2016_Lakeshore,2017_Lakeshore,2018_Lakeshore,2019_Lakeshore,2020_Lakeshore,2021_Lakeshore,2022_Lakeshore,2023_Lakeshore,2024_Lakeshore
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,4581.0,5090.0,4946.0,4787.0,4696.0,4591.0,4468.0,4482.0,4234.0,4801.0,4249.0,4897.0,4036.0,3646.0,3581.0,3671
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,1524.0,1134.0,917.0,407.0,781.0,289.0,218.0,221.0,125.0,2117.0,1060.0,3594.0,690.0,651.0,566.0,626
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,3739.0,4007.0,3744.0,3314.0,3007.0,1395.0,2758.0,1304.0,1171.0,4801.0,3400.0,4496.0,2895.0,3162.0,3200.0,2398
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,4581.0,5090.0,4946.0,4787.0,4696.0,4591.0,4329.0,3911.0,4004.0,4801.0,4249.0,4897.0,4036.0,3646.0,3581.0,3671
540,Affordability,100 AMI Annual Income,None,46438.05309734513,54120.982986767485,53802.52100840336,49607.62331838565,53179.19075144509,46991.86991869919,48057.85123966942,42572.46376811594,45932.53968253968,96372.03166226912,61914.89361702128,80389.39051918736,70996.62162162163,74678.57142857142,79468.91191709845,71120.68965517242
541,Affordability,100 AMI Monthly Affordable Rent,None,3869.8377581120944,4510.081915563957,4483.543417366946,4133.968609865471,4431.599229287091,3915.989159891599,4004.8209366391184,3547.7053140096614,3827.7116402116403,8031.002638522426,5159.574468085107,6699.115876598947,5916.385135135136,6223.214285714285,6622.40932642487,5926.724137931035
531,Affordability,30 AMI Annual Income,None,13931.415929203538,16236.294896030246,16140.756302521007,14882.286995515695,15953.757225433525,14097.560975609756,14417.355371900825,12771.73913043478,13779.761904761905,28911.609498680733,18574.468085106382,24116.81715575621,21298.986486486487,22403.571428571424,23840.673575129535,21336.206896551725
532,Affordability,30 AMI Monthly Affordable Rent,None,1160.9513274336282,1353.0245746691871,1345.0630252100839,1240.1905829596412,1329.4797687861271,1174.7967479674796,1201.4462809917354,1064.3115942028983,1148.313492063492,2409.3007915567277,1547.8723404255318,2009.734762979684,1774.9155405405406,1866.9642857142853,1986.7227979274612,1778.0172413793105
534,Affordability,50 AMI Annual Income,None,23219.026548672566,27060.491493383743,26901.26050420168,24803.811659192826,26589.595375722543,23495.934959349594,24028.92561983471,21286.23188405797,22966.26984126984,48186.01583113456,30957.44680851064,40194.69525959368,35498.31081081081,37339.28571428571,39734.455958549224,35560.34482758621
535,Affordability,50 AMI Monthly Affordable Rent,None,1934.9188790560472,2255.0409577819787,2241.771708683473,2066.9843049327355,2215.7996146435453,1957.9945799457994,2002.4104683195592,1773.8526570048307,1913.8558201058202,4015.501319261213,2579.7872340425533,3349.5579382994733,2958.192567567568,3111.6071428571427,3311.204663212435,2963.3620689655177
537,Affordability,80 AMI Annual Income,None,37150.44247787611,43296.78638941399,43042.01680672269,39686.09865470853,42543.352601156075,37593.49593495935,38446.28099173554,34057.97101449275,36746.031746031746,77097.6253298153,49531.914893617024,64311.51241534989,56797.29729729731,59742.85714285714,63575.12953367876,56896.55172413794
538,Affordability,80 AMI Monthly Affordable Rent,None,3095.8702064896756,3608.065532451166,3586.8347338935578,3307.1748878923772,3545.279383429673,3132.791327913279,3203.856749311295,2838.164251207729,3062.169312169312,6424.802110817942,4127.659574468085,5359.292701279158,4733.108108108109,4978.571428571428,5297.927461139897,4741.379310344829
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.4991243432574431,0.6629464285714286,0.4621513944223107,0.4296724470134875,0.3022222222222222,0.467018469656992,0.3866666666666666,0.5652173913043478,0.5741626794258373,0.4487632508833922,0.5373134328358209,0.5734265734265734,0.4712990936555891,0.7,0.8021390374331551,0.8138528138528138
1,Age,0-4 Years,Total Population,0.0385906040268456,0.0283677068159165,0.0264432316088861,0.0279828706438275,0.0229736901963757,0.0213264765938138,0.017447471972678,0.0211174043773162,0.0114447191805015,0.0454867435741752,0.0177015066549557,0.0254709305964077,0.0189999263568745,0.0178785218293558,0.0134786587902487,0.0171376024076241
2,Age,18-34 Years,Total Population,0.4562919463087248,0.5104653837307368,0.5216388654008763,0.5510927347903131,0.5274092046402304,0.5509339786735235,0.5799985151087683,0.5977204391301307,0.5996467679265277,0.3755312689738919,0.5933382879535166,0.4238062456974779,0.5125561528831284,0.4714661984196663,0.4268241950245445,0.3741849189098813
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.500875656742557,0.3370535714285714,0.5378486055776892,0.5703275529865125,0.6977777777777778,0.5329815303430079,0.6133333333333333,0.4347826086956521,0.4258373205741627,0.5512367491166078,0.4626865671641791,0.4265734265734265,0.5287009063444109,0.3,0.1978609625668449,0.1861471861471861
