,Category,Attribute,2000_Marina,2010_Marina,2011_Marina,2012_Marina,2013_Marina,2014_Marina,2015_Marina,2016_Marina,2017_Marina,2018_Marina,2019_Marina,2020_Marina,2021_Marina,2022_Marina,2023_Marina,2024_Marina
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,10655.0,9676.0,9472.0,9587.0,9954.0,10212.0,9611.0,9395.0,8990.0,8560.0,8064.0,7099.0,6549.0,5627.0,5137.0,4866
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,8628.0,9484.0,9230.0,9262.0,9575.0,10212.0,8654.0,8286.0,7739.0,8560.0,8064.0,7099.0,6549.0,5627.0,5137.0,4866
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,10655.0,9676.0,9472.0,9587.0,9954.0,10212.0,9611.0,9395.0,8990.0,8560.0,8064.0,7099.0,6549.0,5627.0,5137.0,4866
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,10655.0,9676.0,9472.0,9587.0,9954.0,10212.0,9611.0,9395.0,8990.0,8560.0,8064.0,7099.0,6549.0,5627.0,5137.0,4866
9,Affordability,100 AMI Annual Income,85905.06715506715,105595.15915119364,104539.0570021112,108493.4735315446,115208.65237366004,121064.01384083043,123461.93065941536,132177.4193548387,135627.10437710438,145176.30744849445,165038.2226469183,177203.64741641338,192174.79674796748,203336.98192226572,204943.3459834613,203274.7093146938
10,Affordability,100 AMI Monthly Affordable Rent,7158.755596255596,8799.596595932804,8711.588083509267,9041.122794295383,9600.721031138337,10088.667820069202,10288.494221617946,11014.784946236558,11302.258698092031,12098.025620707871,13753.185220576524,14766.97061803445,16014.566395663956,16944.748493522144,17078.612165288443,16939.559109557817
0,Affordability,30 AMI Annual Income,25771.520146520146,31678.54774535809,31361.71710063336,32548.04205946338,34562.59571209801,36319.20415224913,37038.579197824605,39653.225806451606,40688.131313131315,43552.89223454834,49511.46679407549,53161.09422492401,57652.439024390245,61001.094576679716,61483.003795038385,60982.41279440814
1,Affordability,30 AMI Monthly Affordable Rent,2147.626678876679,2639.878978779841,2613.47642505278,2712.336838288615,2880.2163093415006,3026.6003460207608,3086.548266485384,3304.4354838709673,3390.6776094276097,3629.4076862123616,4125.955566172957,4430.091185410334,4804.369918699187,5083.424548056643,5123.583649586532,5081.867732867345
3,Affordability,50 AMI Annual Income,42952.53357753358,52797.57957559682,52269.5285010556,54246.7367657723,57604.32618683002,60532.00692041522,61730.96532970768,66088.70967741935,67813.55218855219,72588.15372424723,82519.11132345915,88601.82370820669,96087.39837398374,101668.49096113286,102471.67299173065,101637.3546573469
4,Affordability,50 AMI Monthly Affordable Rent,3579.377798127798,4399.798297966402,4355.794041754633,4520.561397147691,4800.3605155691685,5044.333910034601,5144.247110808973,5507.392473118279,5651.129349046016,6049.0128103539355,6876.592610288262,7383.485309017225,8007.283197831978,8472.374246761072,8539.306082644222,8469.779554778908
