,year,label,Category,Attribute,060501
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,62
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,54
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,62
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,62
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,68214.28571428571
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,5684.523809523809
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,20464.285714285714
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1705.357142857143
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,34107.142857142855
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2842.2619047619046
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,54571.42857142857
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,4547.619047619048
0,2000,DEC_SF3,Age,0-2 Years,1.0
1,2000,DEC_SF3,Age,0-4 Years,0.0168067226890756
2,2000,DEC_SF3,Age,18-34 Years,0.1512605042016806
3,2000,DEC_SF3,Age,3-5 Years,0.0
4,2000,DEC_SF3,Age,35-59 Years,0.4201680672268907
5,2000,DEC_SF3,Age,5-17 Years,0.2184873949579832
6,2000,DEC_SF3,Age,60 and older,0.1932773109243697
7,2000,DEC_SF3,Age,Under 18 Years,84.0
8,2000,DEC_SF3,Age,Under 6 Years,6.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.1428571428571428
10,2000,DEC_SF3,Educational Attainment,High School or Less,0.7443609022556391
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree,0.112781954887218
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent",0.0
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force",
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",69.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.4057971014492754
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.5942028985507246
19,2000,DEC_SF3,Employment,Employed Residents,189.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.3386243386243386
21,2000,DEC_SF3,Employment,Natural Resources,0.2804232804232804
22,2000,DEC_SF3,Employment,Production Transport Materials,0.0634920634920634
23,2000,DEC_SF3,Employment,Sales and Office,0.0846560846560846
24,2000,DEC_SF3,Employment,Services,0.2328042328042328
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",6.0
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.0
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",1.0
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents",0.0
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",
32,2000,DEC_SF3,Employment,Unemployment Rate,0.0357142857142857
33,2000,DEC_SF3,Employment,Worked in place of residence,0.4603174603174603
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.5396825396825397
35,2000,DEC_SF3,Households,Average Family Household Size,4.301204819277109
