,Category,Attribute,2000_Mission Bay,2010_Mission Bay,2011_Mission Bay,2012_Mission Bay,2013_Mission Bay,2014_Mission Bay,2015_Mission Bay,2016_Mission Bay,2017_Mission Bay,2018_Mission Bay,2019_Mission Bay,2020_Mission Bay,2021_Mission Bay,2022_Mission Bay,2023_Mission Bay,2024_Mission Bay
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,224.0,1985.0,2406.0,2750.0,3008.0,3024.0,2731.0,2806.0,2705.0,2443.0,2425.0,2661.0,2914.0,2672.0,2641.0,2480
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,125.0,1932.0,2352.0,2703.0,2966.0,2989.0,1432.0,1440.0,2705.0,2443.0,2425.0,2661.0,2914.0,2672.0,2641.0,2480
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,146.0,1985.0,2406.0,2750.0,3008.0,3024.0,2731.0,2806.0,2705.0,2443.0,2425.0,2661.0,2914.0,2672.0,2641.0,2480
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,173.0,1985.0,2406.0,2750.0,3008.0,3024.0,2731.0,2806.0,2705.0,2443.0,2425.0,2661.0,2914.0,2672.0,2641.0,2480
9,Affordability,100 AMI Annual Income,34000.0,102854.33070866142,110057.003257329,103664.65863453817,109936.90851735017,113812.6491646778,106508.87573964497,111896.55172413791,143049.45054945056,161105.6268509378,167267.8088367899,170739.79591836734,164115.6462585034,203332.1257709842,186504.42477876105,181474.35897435897
10,Affordability,100 AMI Monthly Affordable Rent,2833.3333333333335,8571.194225721785,9171.41693811075,8638.72155287818,9161.409043112513,9484.387430389817,8875.739644970414,9324.71264367816,11920.787545787547,13425.468904244817,13938.98406973249,14228.316326530612,13676.303854875283,16944.34381424868,15542.035398230088,15122.863247863248
0,Affordability,30 AMI Annual Income,10200.0,30856.299212598424,33017.100977198694,31099.39759036145,32981.07255520505,34143.794749403336,31952.66272189349,33568.96551724137,42914.83516483517,48331.688055281345,50180.34265103697,51221.9387755102,49234.69387755102,60999.63773129525,55951.327433628314,54442.30769230769
1,Affordability,30 AMI Monthly Affordable Rent,850.0,2571.3582677165355,2751.4250814332245,2591.616465863454,2748.422712933754,2845.3162291169447,2662.721893491124,2797.4137931034475,3576.236263736264,4027.6406712734456,4181.695220919747,4268.494897959184,4102.891156462585,5083.303144274604,4662.6106194690265,4536.858974358974
3,Affordability,50 AMI Annual Income,17000.0,51427.16535433071,55028.5016286645,51832.32931726908,54968.45425867508,56906.3245823389,53254.43786982248,55948.27586206896,71524.72527472528,80552.8134254689,83633.90441839494,85369.89795918367,82057.8231292517,101666.0628854921,93252.21238938053,90737.17948717948
4,Affordability,50 AMI Monthly Affordable Rent,1416.6666666666667,4285.597112860893,4585.708469055375,4319.36077643909,4580.704521556257,4742.193715194909,4437.869822485207,4662.35632183908,5960.3937728937735,6712.734452122409,6969.492034866245,7114.158163265306,6838.1519274376415,8472.17190712434,7771.017699115044,7561.431623931624
