,Category,Attribute,2000_Mission,2010_Mission,2011_Mission,2012_Mission,2013_Mission,2014_Mission,2015_Mission,2016_Mission,2017_Mission,2018_Mission,2019_Mission,2020_Mission,2021_Mission,2022_Mission,2023_Mission,2024_Mission
506,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,17457.0,16836.0,16772.0,16552.0,17270.0,17440.0,16881.0,17277.0,16899.0,17817.0,15594.0,9405.0,13610.0,12270.0,11801.0,11843
497,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,11481.0,11029.0,10358.0,9607.0,9509.0,9362.0,9438.0,12713.0,11828.0,14556.0,13865.0,8123.0,11933.0,12270.0,11801.0,11843
500,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,16848.0,16639.0,16592.0,16369.0,17270.0,17440.0,16167.0,16398.0,16899.0,17817.0,15594.0,9405.0,13610.0,12270.0,11801.0,11843
503,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,17457.0,16836.0,16772.0,16552.0,17270.0,17440.0,16881.0,17277.0,16899.0,17817.0,15594.0,9405.0,13610.0,12270.0,11801.0,11843
504,Affordability,100 AMI Annual Income,48339.73128598848,63322.989746357256,65188.07339449541,68355.92686002523,72269.60784313726,73020.89831565814,77526.79006332197,83240.04975124379,96781.5170940171,108609.81761738456,120247.0588235294,125281.31634819532,130710.43165467626,146922.42833052276,140673.828125,147706.57124268054
505,Affordability,100 AMI Monthly Affordable Rent,4028.3109404990396,5276.915812196438,5432.339449541284,5696.327238335435,6022.4673202614385,6085.074859638178,6460.565838610164,6936.670812603649,8065.1264245014245,9050.818134782046,10020.588235294117,10440.109695682944,10892.535971223022,12243.53569421023,11722.819010416666,12308.880936890046
495,Affordability,30 AMI Annual Income,14501.919385796542,18996.896923907178,19556.42201834862,20506.778058007567,21680.88235294118,21906.26949469744,23258.03701899659,24972.014925373136,29034.45512820513,32582.945285215366,36074.11764705882,37584.3949044586,39213.12949640288,44076.72849915682,42202.1484375,44311.97137280416
496,Affordability,30 AMI Monthly Affordable Rent,1208.4932821497118,1583.0747436589315,1629.701834862385,1708.8981715006305,1806.7401960784316,1825.5224578914533,1938.1697515830492,2081.0012437810947,2419.5379273504273,2715.245440434614,3006.1764705882347,3132.032908704883,3267.7607913669067,3673.0607082630686,3516.845703125,3692.6642810670132
498,Affordability,50 AMI Annual Income,24169.86564299424,31661.494873178628,32594.036697247706,34177.96343001261,36134.80392156863,36510.44915782907,38763.395031660984,41620.02487562189,48390.75854700855,54304.90880869228,60123.5294117647,62640.65817409766,65355.21582733813,73461.21416526138,70336.9140625,73853.28562134027
499,Affordability,50 AMI Monthly Affordable Rent,2014.1554702495198,2638.457906098219,2716.169724770642,2848.1636191677176,3011.2336601307193,3042.537429819089,3230.282919305082,3468.3354063018246,4032.5632122507122,4525.409067391023,5010.294117647059,5220.054847841472,5446.267985611511,6121.767847105115,5861.409505208333,6154.440468445023
