,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,589,1900,INACTIVE,INACTIVE,2537,INACTIVE,INACTIVE,2266,INACTIVE,INACTIVE,2054,INACTIVE,INACTIVE,1536,1807,926,420,1053,1007,543,775
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,412,1068,INACTIVE,INACTIVE,1753,INACTIVE,INACTIVE,1721,INACTIVE,INACTIVE,1537,INACTIVE,INACTIVE,1097,1454,791,256,583,844,489,542
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,541,1628,INACTIVE,INACTIVE,2281,INACTIVE,INACTIVE,2147,INACTIVE,INACTIVE,1860,INACTIVE,INACTIVE,1359,1762,926,420,862,995,543,754
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,589,1847,INACTIVE,INACTIVE,2537,INACTIVE,INACTIVE,2266,INACTIVE,INACTIVE,2054,INACTIVE,INACTIVE,1536,1807,926,420,1053,1007,543,775
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,56422.01834862385,26383.495145631063,INACTIVE,INACTIVE,44598.21428571428,INACTIVE,INACTIVE,58854.16666666666,INACTIVE,INACTIVE,41037.4149659864,INACTIVE,INACTIVE,42804.34782608696,52659.17602996255,62289.82300884956,48522.72727272727,47806.60377358491,51917.29323308271,62404.891304347824,51473.68421052631
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,4701.834862385321,2198.6245954692554,INACTIVE,INACTIVE,3716.517857142857,INACTIVE,INACTIVE,4904.513888888888,INACTIVE,INACTIVE,3419.7845804988665,INACTIVE,INACTIVE,3567.0289855072465,4388.264669163546,5190.8185840707965,4043.560606060606,3983.8836477987425,4326.441102756892,5200.407608695652,4289.473684210526
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,16926.605504587154,7915.048543689319,INACTIVE,INACTIVE,13379.464285714284,INACTIVE,INACTIVE,17656.249999999996,INACTIVE,INACTIVE,12311.224489795919,INACTIVE,INACTIVE,12841.304347826088,15797.752808988766,18686.94690265487,14556.818181818182,14341.981132075472,15575.187969924813,18721.467391304348,15442.105263157893
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1410.5504587155963,659.5873786407766,INACTIVE,INACTIVE,1114.955357142857,INACTIVE,INACTIVE,1471.3541666666663,INACTIVE,INACTIVE,1025.93537414966,INACTIVE,INACTIVE,1070.108695652174,1316.4794007490639,1557.245575221239,1213.0681818181818,1195.1650943396228,1297.9323308270677,1560.1222826086957,1286.8421052631577
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,28211.009174311926,13191.747572815531,INACTIVE,INACTIVE,22299.10714285714,INACTIVE,INACTIVE,29427.08333333333,INACTIVE,INACTIVE,20518.7074829932,INACTIVE,INACTIVE,21402.17391304348,26329.588014981277,31144.91150442478,24261.363636363636,23903.301886792455,25958.646616541355,31202.445652173912,25736.842105263157
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2350.9174311926604,1099.3122977346277,INACTIVE,INACTIVE,1858.2589285714284,INACTIVE,INACTIVE,2452.256944444444,INACTIVE,INACTIVE,1709.8922902494332,INACTIVE,INACTIVE,1783.5144927536232,2194.132334581773,2595.4092920353983,2021.780303030303,1991.9418238993712,2163.220551378446,2600.203804347826,2144.736842105263
