,Category,Attribute,Percent Of,2000_Noe Valley,2010_Noe Valley,2011_Noe Valley,2012_Noe Valley,2013_Noe Valley,2014_Noe Valley,2015_Noe Valley,2016_Noe Valley,2017_Noe Valley,2018_Noe Valley,2019_Noe Valley,2020_Noe Valley,2021_Noe Valley,2022_Noe Valley,2023_Noe Valley,2024_Noe Valley
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,5967.0,5295.0,5253.0,5062.0,5280.0,5121.0,4554.0,4518.0,4540.0,4939.0,4182.0,4499.0,4147.0,3512.0,3453.0,3180
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,4227.0,5148.0,5158.0,4975.0,5200.0,5121.0,3912.0,3783.0,4540.0,4939.0,4182.0,2062.0,4147.0,3512.0,3453.0,3180
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,5967.0,5295.0,5253.0,5062.0,5280.0,5121.0,4554.0,4518.0,4540.0,4939.0,4182.0,4499.0,4147.0,3512.0,3453.0,3180
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,5967.0,5295.0,5253.0,5062.0,5280.0,5121.0,4554.0,4518.0,4540.0,4939.0,4182.0,4499.0,4147.0,3512.0,3453.0,3180
540,Affordability,100 AMI Annual Income,None,77439.0243902439,107883.57748650732,110113.8178913738,112725.12864493996,114730.0469483568,120469.6394686907,126117.02127659574,134369.02485659654,143086.2831858407,145630.90418353575,175131.57894736843,90031.39717425432,194154.0577716644,201882.9017889088,202623.74788902287,202275.61377613776
541,Affordability,100 AMI Monthly Affordable Rent,None,6453.252032520325,8990.29812387561,9176.151490947816,9393.760720411663,9560.8372456964,10039.136622390892,10509.751773049646,11197.418738049711,11923.856932153392,12135.908681961313,14594.298245614036,7502.61643118786,16179.504814305366,16823.575149075736,16885.31232408524,16856.30114801148
531,Affordability,30 AMI Annual Income,None,23231.707317073167,32365.073245952193,33034.14536741214,33817.538593481986,34419.01408450704,36140.89184060721,37835.10638297872,40310.70745697896,42925.88495575221,43689.271255060725,52539.47368421053,27009.419152276296,58246.21733149932,60564.87053667264,60787.124366706856,60682.68413284133
532,Affordability,30 AMI Monthly Affordable Rent,None,1935.9756097560974,2697.0894371626828,2752.8454472843446,2818.128216123499,2868.2511737089203,3011.740986717268,3152.925531914894,3359.2256214149133,3577.157079646018,3640.7726045883937,4378.289473684211,2250.784929356358,4853.85144429161,5047.0725447227205,5065.593697225571,5056.890344403444
534,Affordability,50 AMI Annual Income,None,38719.51219512195,53941.78874325366,55056.9089456869,56362.56432246998,57365.0234741784,60234.81973434535,63058.51063829787,67184.51242829827,71543.14159292035,72815.45209176787,87565.78947368421,45015.69858712716,97077.0288858322,100941.4508944544,101311.87394451143,101137.80688806888
535,Affordability,50 AMI Monthly Affordable Rent,None,3226.6260162601625,4495.149061937805,4588.075745473908,4696.8803602058315,4780.4186228482,5019.568311195446,5254.875886524823,5598.709369024856,5961.928466076696,6067.9543409806565,7297.149122807018,3751.30821559393,8089.752407152683,8411.787574537868,8442.65616204262,8428.15057400574
537,Affordability,80 AMI Annual Income,None,61951.21951219512,86306.86198920586,88091.05431309904,90180.10291595198,91784.03755868545,96375.71157495257,100893.6170212766,107495.21988527724,114469.02654867257,116504.7233468286,140105.26315789475,72025.11773940346,155323.24621733153,161506.32143112706,162098.9983112183,161820.4910209102
538,Affordability,80 AMI Monthly Affordable Rent,None,5162.6016260162605,7192.238499100488,7340.921192758254,7515.008576329332,7648.669796557121,8031.309297912714,8407.801418439716,8957.93499043977,9539.085545722714,9708.72694556905,11675.438596491229,6002.093144950289,12943.603851444293,13458.860119260587,13508.249859268193,13485.040918409184
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5536044362292052,0.6666666666666666,0.6781150159744409,0.5863914373088684,0.5895465026902382,0.5877976190476191,0.5809390329362298,0.5661672908863921,0.6393650793650794,0.6522796352583586,0.6277372262773723,0.6829710144927537,0.674123788217748,0.6831550802139037,0.6003976143141153,0.6323257248611968
1,Age,0-4 Years,Total Population,0.041174281194752,0.0520296030500112,0.0504277352543899,0.0529393384814533,0.0556019291411611,0.054994639027877,0.0584127541833194,0.0648303806198543,0.0637520419568394,0.0703226618554105,0.0593839449737258,0.0326815422218718,0.0525496302063059,0.0586680532085445,0.056526956372675,0.0634899566410052
2,Age,18-34 Years,Total Population,0.3211128687075463,0.2775510204081632,0.2717694732102656,0.2684015533633888,0.2725375626043406,0.2543781272337383,0.2506917299837498,0.2400534505797663,0.2446909122173501,0.2372760458188226,0.238945614559747,0.3825199085389892,0.2348514337615155,0.2306425755015382,0.2381503385617553,0.2287408193965135
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.4463955637707948,0.3333333333333333,0.3218849840255591,0.4136085626911315,0.4104534973097617,0.4122023809523809,0.4190609670637701,0.433832709113608,0.3606349206349206,0.3477203647416413,0.3722627737226277,0.3170289855072464,0.325876211782252,0.3168449197860962,0.3996023856858847,0.3676742751388032
4,Age,35-59 Years,Total Population,0.4343537731459942,0.4522987216864768,0.4493921656911301,0.4395839842878186,0.4271470970135411,0.4348641887062187,0.438842285563705,0.4337686969265916,0.4319491015389906,0.4270549238450887,0.426154569145982,0.2939367657494283,0.4315124778340037,0.4235885436977338,0.4127882060512556,0.4128395717193169
5,Age,5-17 Years,Total Population,0.0757420675537359,0.0707333482843687,0.0772174696082845,0.0788287282953175,0.0764236690780931,0.0858202287348105,0.0854670824366463,0.0869002974266132,0.0860631072134812,0.0870641547434229,0.0906993634382876,0.0868091145628006,0.0960166082781886,0.0961480133454655,0.0942401645667266,0.0906114503141315
6,Age,60 and older,Total Population,0.1276170093979715,0.14738730657098,0.1511931562359297,0.1602463955720216,0.168289742162864,0.1699428162973552,0.1665861478325793,0.1744471744471744,0.1735448370733384,0.178282213737255,0.1848165078822574,0.20405266892691,0.1850698499199861,0.1909528142467177,0.1982943344475872,0.2043182019290328
7,Age,Under 18 Years,None,2513.0,2737.0,2834.0,2949.0,2843.0,3145.0,3268.0,3510.0,3476.0,3720.0,3503.0,3138.0,3428.0,3568.0,3513.0,3476.0
8,Age,Under 6 Years,None,1082.0,1290.0,1252.0,1308.0,1301.0,1344.0,1427.0,1602.0,1575.0,1645.0,1507.0,1104.0,1341.0,1496.0,1509.0,1621.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.6754444076404991,0.7403830324315426,0.727980992374848,0.7312874663146895,0.7507889990982868,0.766697817602111,0.7872089279965662,0.8026287782034909,0.7869295595484179,0.7474363645827911,0.7823086574654956,0.5484514239421698,0.7932651770657673,0.8086350826819801,0.8083898438732061,0.8223684210526315
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.4528301886792453,0.0,0.0,0.0,0.0,0.7733333333333333,0.7323943661971831,0.5670103092783505,0.6495726495726496,0.25,0.3673469387755102,0.2307692307692307,0.4615384615384615,0.1818181818181818,0.5211267605633803,0.3673469387755102
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.6662672258837627,0.7190126050420168,0.7200980392156863,0.7296551724137931,0.755718954248366,0.773855702094647,0.8186773255813954,0.8182473855030653,0.8212844036697248,0.7038899179677163,0.8144827586206896,0.5259590423997692,0.8452088452088452,0.8458669981354879,0.8445319089120045,0.8707897793263647
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.6025641025641025,0.4322820037105751,0.4335664335664335,0.3869346733668342,0.538160469667319,0.6169811320754717,0.4070631970260223,0.4333333333333333,0.4642082429501085,0.3928571428571428,0.3884514435695538,0.4220877458396369,0.5319148936170213,0.5714285714285714,0.6057441253263708,0.6048632218844985
12,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,0.3453453453453453,0.5163461538461539,0.4504587155963303,0.46286701208981,0.525992438563327,0.5235294117647059,0.5194654270772806,0.6072031513787282,0.5876330876330876,0.6194952993567541,0.5573344872349633,0.3900536323744515,0.5568922305764411,0.5466321243523317,0.5588985211626721,0.6358543417366946
13,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4677419354838709,0.7567567567567568,0.0,0.5517241379310345,0.0,None,None,0.0,0.0
14,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,0.2071097372488408,0.473469387755102,0.4194831013916501,0.4640522875816993,0.3467336683417085,0.3359872611464968,0.4160206718346253,0.5327102803738317,0.5163934426229508,0.5799721835883171,0.5137880986937591,0.2881562881562881,0.4463806970509383,0.441786283891547,0.4531516183986371,0.4844827586206897
15,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,0.5739644970414202,0.8022813688212928,0.8344594594594594,0.9428571428571428,0.918580375782881,0.8690476190476191,0.8423076923076923,0.8289676425269645,0.8009478672985783,0.7496296296296296,0.7290886392009988,0.4958828911253431,0.6919223544145272,0.6897066136250621,0.6840477242598321,0.7352452202826267
16,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.7049761417859577,0.7647699428260277,0.7501220788280433,0.7501218747823665,0.7721018735362998,0.7878105477262821,0.8056060394240179,0.8232813159004639,0.8053947182601328,0.7841976769993342,0.8041179354296519,0.632132364311118,0.8202013990314397,0.8439260493533286,0.8476237542212338,0.8535457348406988
17,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.7305084745762712,0.7927095077038707,0.7882490272373541,0.7910518053375196,0.793426847170119,0.8093583319864232,0.8278413424866514,0.8364588869485992,0.8307704502219404,0.8022041286289991,0.8343884329816335,0.6539303147618246,0.8352198162729659,0.8561336436170213,0.8559754851889684,0.8560170016824582
544,Educational Attainment,High School or Less,Total Population 25+,0.1300099370652534,0.090435164352741,0.0975245883523041,0.1023483473574217,0.0891568981064021,0.082293441811885,0.0665843974675394,0.0555555555555555,0.0669422801717284,0.0855239185883087,0.0726160602258469,0.2012214121019505,0.0767811973018549,0.0738554793427978,0.0732271460863165,0.0612597066436583
18,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",None,0.3396226415094339,0.78125,0.75,0.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.5128205128205128,0.1794871794871795,0.2121212121212121,0.1408450704225352,0.4183673469387755
