,year,label,Category,Attribute,021100,021200,021300,021400,021500,021600
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1173,746,592,1027,1608,821
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,795,635,519,674,1226,783
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1173,746,592,1027,1608,821
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1173,746,592,1027,1608,821
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,71830.54393305439,89897.2602739726,90548.78048780488,75794.79768786127,67215.5172413793,81982.421875
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,5985.878661087866,7491.438356164384,7545.731707317073,6316.233140655106,5601.293103448275,6831.868489583333
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,21549.163179916315,26969.17808219178,27164.63414634146,22738.43930635838,20164.65517241379,24594.7265625
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1795.7635983263597,2247.4315068493147,2263.7195121951218,1894.8699421965318,1680.3879310344826,2049.560546875
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,35915.271966527194,44948.6301369863,45274.39024390244,37897.398843930634,33607.75862068965,40991.2109375
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2992.939330543933,3745.719178082192,3772.8658536585367,3158.116570327553,2800.6465517241377,3415.9342447916665
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,57464.43514644352,71917.80821917808,72439.02439024391,60635.83815028902,53772.41379310345,65585.9375
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,4788.702928870293,5993.150684931507,6036.585365853659,5052.986512524085,4481.0344827586205,5465.494791666667
0,2000,DEC_SF3,Age,0-2 Years,0.3399209486166007,0.676923076923077,0.6239316239316239,0.578125,0.5365853658536586,0.8446601941747572
1,2000,DEC_SF3,Age,0-4 Years,0.0467532467532467,0.0431276297335203,0.0390625,0.0508371385083713,0.0417709335899903,0.0265463917525773
2,2000,DEC_SF3,Age,18-34 Years,0.3558441558441558,0.2773492286115007,0.3458059210526316,0.3567732115677321,0.3462945139557266,0.2394329896907216
3,2000,DEC_SF3,Age,3-5 Years,0.6600790513833992,0.3230769230769231,0.376068376068376,0.421875,0.4634146341463415,0.1553398058252427
4,2000,DEC_SF3,Age,35-59 Years,0.4109090909090909,0.4929873772791023,0.4300986842105263,0.406697108066971,0.4142444658325313,0.4675257731958763
5,2000,DEC_SF3,Age,5-17 Years,0.0732467532467532,0.0771388499298737,0.0703125,0.0624048706240487,0.0814244465832531,0.0842783505154639
