,Category,Attribute,2000_North Beach,2010_North Beach,2011_North Beach,2012_North Beach,2013_North Beach,2014_North Beach,2015_North Beach,2016_North Beach,2017_North Beach,2018_North Beach,2019_North Beach,2020_North Beach,2021_North Beach,2022_North Beach,2023_North Beach,2024_North Beach
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,5083.0,5054.0,5190.0,5291.0,5378.0,5331.0,4614.0,4592.0,4447.0,3742.0,4558.0,4786.0,4306.0,3981.0,3732.0,3765
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,3631.0,2211.0,2696.0,2596.0,2435.0,2312.0,2245.0,2167.0,2810.0,2333.0,2780.0,1904.0,2542.0,2125.0,2667.0,2547
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,4862.0,3924.0,5091.0,5179.0,5207.0,5141.0,4318.0,4260.0,4447.0,3742.0,4558.0,4185.0,4306.0,3981.0,3732.0,3765
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,5083.0,5054.0,5190.0,5291.0,5378.0,5331.0,4614.0,4592.0,4447.0,3742.0,4558.0,4786.0,4306.0,3981.0,3732.0,3765
9,Affordability,100 AMI Annual Income,54694.73684210527,59051.20481927711,62570.47477744807,60608.10810810811,63419.60352422908,69967.61658031089,74777.44807121661,78280.54298642534,87206.08575380359,92268.0412371134,88275.0,78534.83606557376,89263.48547717842,96633.82594417078,109624.52471482888,111222.82608695651
10,Affordability,100 AMI Monthly Affordable Rent,4557.894736842106,4920.933734939759,5214.206231454006,5050.675675675676,5284.9669603524235,5830.634715025907,6231.454005934717,6523.378582202112,7267.173812816966,7689.003436426116,7356.25,6544.569672131147,7438.623789764868,8052.818828680898,9135.377059569073,9268.56884057971
0,Affordability,30 AMI Annual Income,16408.42105263158,17715.36144578313,18771.14243323442,18182.43243243243,19025.881057268725,20990.284974093265,22433.23442136498,23484.162895927602,26161.825726141076,27680.412371134018,26482.5,23560.45081967213,26779.045643153524,28990.147783251232,32887.35741444866,33366.84782608695
1,Affordability,30 AMI Monthly Affordable Rent,1367.3684210526317,1476.2801204819277,1564.2618694362018,1515.2027027027025,1585.4900881057272,1749.1904145077722,1869.436201780415,1957.0135746606336,2180.1521438450895,2306.701030927835,2206.875,1963.370901639344,2231.5871369294605,2415.845648604269,2740.613117870722,2780.5706521739125
3,Affordability,50 AMI Annual Income,27347.368421052633,29525.602409638555,31285.237388724036,30304.054054054053,31709.80176211454,34983.808290155444,37388.724035608306,39140.27149321267,43603.042876901796,46134.0206185567,44137.5,39267.41803278688,44631.74273858921,48316.91297208539,54812.26235741444,55611.41304347826
4,Affordability,50 AMI Monthly Affordable Rent,2278.947368421053,2460.4668674698796,2607.103115727003,2525.337837837838,2642.4834801762117,2915.3173575129535,3115.7270029673587,3261.689291101056,3633.586906408483,3844.501718213058,3678.125,3272.2848360655735,3719.311894882434,4026.409414340449,4567.6885297845365,4634.284420289855
6,Affordability,80 AMI Annual Income,43755.78947368421,47240.963855421694,50056.37982195846,48486.48648648649,50735.68281938327,55974.09326424872,59821.95845697329,62624.434389140275,69764.86860304288,73814.43298969073,70620.0,62827.86885245901,71410.78838174274,77307.06075533663,87699.6197718631,88978.26086956522
7,Affordability,80 AMI Monthly Affordable Rent,3646.3157894736846,3936.746987951808,4171.364985163204,4040.5405405405404,4227.973568281939,4664.507772020726,4985.163204747774,5218.702865761689,5813.739050253574,6151.202749140894,5885.0,5235.655737704918,5950.899031811895,6442.255062944719,7308.301647655258,7414.855072463768
0,Age,0-4 Years,0.0313650050184008,0.0204651162790697,0.0152288375860672,0.0187972983969403,0.0253794875913581,0.0275164628410159,0.0329083665338645,0.0322350138944025,0.0244284888998927,0.0363466915191053,0.0223553230976885,0.034774593598123,0.0384681288553803,0.0574105621805792,0.0550578411759589,0.0497485632183908
1,Age,18-34 Years,0.3309635329541652,0.3602536997885835,0.3336573511543135,0.359508503539751,0.3764356276604289,0.3479931012856695,0.360796812749004,0.33465660976578,0.3167450689114467,0.3193849021435228,0.333473932849671,0.2947880006703536,0.2972069910897875,0.2748722316865417,0.2665912846829608,0.287805316091954
2,Age,35-59 Years,0.3670123787219806,0.3321775898520084,0.3428918590522479,0.2992920498006347,0.3011003132278532,0.3202414550015678,0.3162549800796813,0.3301310043668122,0.3407609144177602,0.3095060577819198,0.3155053146617175,0.3277191218367689,0.3244516792323509,0.3438671209540034,0.3627902931199443,0.3422234195402299
3,Age,5-17 Years,0.0648210103713616,0.0597040169133192,0.0643985419198055,0.0612743103588575,0.0487511043289695,0.056365631859517,0.0457370517928286,0.0581183009130607,0.0632994965750598,0.0753028890959925,0.0706934368145773,0.0858052622758505,0.0841329677861549,0.0752981260647359,0.0662781595198747,0.0608836206896551
4,Age,60 and older,0.2058380729340916,0.227399577167019,0.2438234102875658,0.2611278379038164,0.2483334671913902,0.2478833490122295,0.2443027888446215,0.2448590710599444,0.2547660311958405,0.2594594594594595,0.2579719925763455,0.2569130216189039,0.2557402330363262,0.2485519591141397,0.2492824215012612,0.2593390804597701
