,Category,Attribute,2024_North Beach,2024_San Francisco,2023_North Beach,2023_San Francisco,2022_North Beach,2022_San Francisco,2021_North Beach,2021_San Francisco,2020_North Beach,2020_San Francisco,2019_North Beach,2019_San Francisco,2018_North Beach,2018_San Francisco,2017_North Beach,2017_San Francisco,2016_North Beach,2016_San Francisco,2015_North Beach,2015_San Francisco,2014_North Beach,2014_San Francisco,2013_North Beach,2013_San Francisco,2012_North Beach,2012_San Francisco,2011_North Beach,2011_San Francisco,2010_North Beach,2010_San Francisco,2000_North Beach,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,3765,156904,3732.0,158878.0,3981.0,164391.0,4306.0,177267.0,4786.0,179637.0,4558.0,194605.0,3742.0,196852.0,4447.0,201554.0,4592.0,206125.0,4614.0,208027.0,5331.0,219759.0,5378.0,217742.0,5291.0,213982.0,5190.0,212110.0,5054.0,209068.0,5083.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,2547,156904,2667.0,158878.0,2125.0,142404.0,2542.0,155085.0,1904.0,133315.0,2780.0,146746.0,2333.0,152803.0,2810.0,131265.0,2167.0,139452.0,2245.0,146046.0,2312.0,103611.0,2435.0,106717.0,2596.0,108966.0,2696.0,114525.0,2211.0,119019.0,3631.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,3765,156904,3732.0,158878.0,3981.0,164391.0,4306.0,177267.0,4185.0,179637.0,4558.0,194605.0,3742.0,196852.0,4447.0,201554.0,4260.0,206125.0,4318.0,195487.0,5141.0,219759.0,5207.0,217742.0,5179.0,213982.0,5091.0,212110.0,3924.0,203005.0,4862.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,3765,156904,3732.0,158878.0,3981.0,164391.0,4306.0,177267.0,4786.0,179637.0,4558.0,194605.0,3742.0,196852.0,4447.0,201554.0,4592.0,206125.0,4614.0,208027.0,5331.0,219759.0,5378.0,217742.0,5291.0,213982.0,5190.0,212110.0,5054.0,209068.0,5083.0,209020.0
4,Affordability,100 AMI Annual Income,111222.82608695651,140630.3486172417,109624.52471482888,140840.72978303747,96633.82594417078,136440.23367285798,89263.48547717842,126479.8932723461,78534.83606557376,117453.07472291742,88275.0,113537.43350844154,92268.0412371134,104995.55809378768,87206.08575380359,96817.47583985272,78280.54298642534,88612.28084661327,74777.44807121661,81982.65550239234,69967.61658031089,78773.52733781732,63419.60352422908,75789.09138932911,60608.10810810811,73882.86576506091,62570.47477744807,73015.850789739,59051.20481927711,71436.31988152536,54694.73684210527,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,9268.56884057971,11719.195718103474,9135.377059569073,11736.72748191979,8052.818828680898,11370.019472738166,7438.623789764868,10539.991106028841,6544.569672131147,9787.756226909785,7356.25,9461.452792370128,7689.003436426116,8749.629841148973,7267.173812816966,8068.122986654394,6523.378582202112,7384.356737217772,6231.454005934717,6831.887958532695,5830.634715025907,6564.460611484777,5284.9669603524235,6315.7576157774265,5050.675675675676,6156.905480421742,5214.206231454006,6084.6542324782495,4920.933734939759,5953.02665679378,4557.894736842106,4659.607465639873
6,Affordability,30 AMI Annual Income,33366.84782608695,42189.10458517251,32887.35741444866,42252.21893491124,28990.147783251232,40932.0701018574,26779.045643153524,37943.96798170383,23560.45081967213,35235.922416875226,26482.5,34061.23005253246,27680.412371134018,31498.6674281363,26161.825726141076,29045.242751955815,23484.162895927602,26583.68425398398,22433.23442136498,24594.7966507177,20990.284974093265,23632.058201345193,19025.881057268725,22736.727416798734,18182.43243243243,22164.859729518274,18771.14243323442,21904.755236921697,17715.36144578313,21430.895964457606,16408.42105263158,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,2780.5706521739125,3515.758715431042,2740.613117870722,3521.0182445759365,2415.845648604269,3411.00584182145,2231.5871369294605,3161.9973318086522,1963.370901639344,2936.3268680729357,2206.875,2838.4358377110384,2306.701030927835,2624.888952344692,2180.1521438450895,2420.436895996318,1957.0135746606336,2215.3070211653317,1869.436201780415,2049.5663875598084,1749.1904145077722,1969.3381834454328,1585.4900881057272,1894.7272847332279,1515.2027027027025,1847.0716441265229,1564.2618694362018,1825.3962697434747,1476.2801204819277,1785.9079970381338,1367.3684210526317,1397.882239691962
8,Affordability,50 AMI Annual Income,55611.41304347826,70315.17430862084,54812.26235741444,70420.36489151874,48316.91297208539,68220.11683642899,44631.74273858921,63239.94663617305,39267.41803278688,58726.53736145871,44137.5,56768.71675422077,46134.0206185567,52497.77904689384,43603.042876901796,48408.73791992636,39140.27149321267,44306.140423306635,37388.724035608306,40991.32775119617,34983.808290155444,39386.76366890866,31709.80176211454,37894.54569466456,30304.054054054053,36941.432882530455,31285.237388724036,36507.9253948695,29525.602409638555,35718.15994076268,27347.368421052633,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,4634.284420289855,5859.597859051737,4567.6885297845365,5868.363740959895,4026.409414340449,5685.009736369083,3719.311894882434,5269.995553014421,3272.2848360655735,4893.878113454893,3678.125,4730.726396185064,3844.501718213058,4374.814920574487,3633.586906408483,4034.061493327197,3261.689291101056,3692.178368608886,3115.7270029673587,3415.9439792663475,2915.3173575129535,3282.2303057423883,2642.4834801762117,3157.8788078887133,2525.337837837838,3078.452740210871,2607.103115727003,3042.3271162391247,2460.4668674698796,2976.51332839689,2278.947368421053,2329.8037328199366
