,Category,Attribute,2000_Oceanview/Merced/Ingleside,2000_San Francisco,2010_Oceanview/Merced/Ingleside,2010_San Francisco,2011_Oceanview/Merced/Ingleside,2011_San Francisco,2012_Oceanview/Merced/Ingleside,2012_San Francisco,2013_Oceanview/Merced/Ingleside,2013_San Francisco,2014_Oceanview/Merced/Ingleside,2014_San Francisco,2015_Oceanview/Merced/Ingleside,2015_San Francisco,2016_Oceanview/Merced/Ingleside,2016_San Francisco,2017_Oceanview/Merced/Ingleside,2017_San Francisco,2018_Oceanview/Merced/Ingleside,2018_San Francisco,2019_Oceanview/Merced/Ingleside,2019_San Francisco,2020_Oceanview/Merced/Ingleside,2020_San Francisco,2021_Oceanview/Merced/Ingleside,2021_San Francisco,2022_Oceanview/Merced/Ingleside,2022_San Francisco,2023_Oceanview/Merced/Ingleside,2023_San Francisco,2024_Oceanview/Merced/Ingleside,2024_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1749.0,209020.0,2266.0,209068.0,2477.0,212110.0,2546.0,213982.0,2546.0,217742.0,2521.0,219759.0,2491.0,208027.0,2619.0,206125.0,2476.0,201554.0,2502.0,196852.0,2190.0,194605.0,1951.0,185879.0,1915.0,177267.0,1686.0,164391.0,1913.0,158878.0,1864,156904
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1167.0,147066.0,1510.0,119019.0,1483.0,114525.0,1293.0,108966.0,1092.0,106717.0,1073.0,103611.0,1072.0,146046.0,1170.0,139452.0,987.0,131265.0,1427.0,152803.0,1049.0,146746.0,836.0,137172.0,1067.0,155085.0,999.0,142404.0,1434.0,158878.0,1471,156904
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1698.0,193235.0,2062.0,203005.0,2248.0,212110.0,2316.0,213982.0,2311.0,217742.0,2376.0,219759.0,2075.0,195487.0,2443.0,206125.0,2183.0,201554.0,2137.0,196852.0,2190.0,194605.0,1951.0,185879.0,1915.0,177267.0,1686.0,164391.0,1913.0,158878.0,1864,156904
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1749.0,209020.0,2266.0,209068.0,2477.0,212110.0,2546.0,213982.0,2546.0,217742.0,2521.0,219759.0,2491.0,208027.0,2619.0,206125.0,2476.0,201554.0,2502.0,196852.0,2190.0,194605.0,1951.0,185879.0,1915.0,177267.0,1686.0,164391.0,1913.0,158878.0,1864,156904
4,Affordability,100 AMI Annual Income,57216.31205673759,55915.28958767848,68335.65459610028,71436.31988152536,68500.0,73015.850789739,68241.10671936758,73882.86576506091,67667.8445229682,75789.09138932911,68313.05309734514,78773.52733781732,70546.37526652453,81982.65550239234,72274.1273100616,88612.28084661327,78865.46184738955,96817.47583985272,83876.25289128759,104995.55809378768,88697.91666666667,113537.43350844154,98117.53902662994,119273.74061057129,108126.77053824364,126479.8932723461,118146.9298245614,136440.23367285798,130521.93645990922,140840.72978303747,135113.06532663316,140630.3486172417
5,Affordability,100 AMI Monthly Affordable Rent,4768.026004728133,4659.607465639873,5694.637883008357,5953.02665679378,5708.333333333333,6084.6542324782495,5686.758893280632,6156.905480421742,5638.987043580683,6315.7576157774265,5692.754424778762,6564.460611484777,5878.86460554371,6831.887958532695,6022.843942505133,7384.356737217772,6572.121820615796,8068.122986654394,6989.6877409406325,8749.629841148973,7391.493055555556,9461.452792370128,8176.461585552494,9939.478384214273,9010.564211520303,10539.991106028841,9845.577485380118,11370.019472738166,10876.828038325768,11736.72748191979,11259.422110552763,11719.195718103474
6,Affordability,30 AMI Annual Income,17164.893617021276,16774.586876303543,20500.696378830085,21430.895964457606,20550.0,21904.755236921697,20472.332015810276,22164.859729518274,20300.353356890457,22736.727416798734,20493.91592920354,23632.058201345193,21163.912579957356,24594.7966507177,21682.23819301848,26583.68425398398,23659.638554216865,29045.242751955815,25162.875867386276,31498.6674281363,26609.375,34061.23005253246,29435.26170798898,35782.122183171385,32438.03116147309,37943.96798170383,35444.07894736842,40932.0701018574,39156.580937972765,42252.21893491124,40533.919597989945,42189.10458517251
7,Affordability,30 AMI Monthly Affordable Rent,1430.4078014184397,1397.882239691962,1708.3913649025071,1785.9079970381338,1712.5,1825.3962697434747,1706.0276679841897,1847.0716441265229,1691.6961130742047,1894.7272847332279,1707.8263274336284,1969.3381834454328,1763.659381663113,2049.5663875598084,1806.8531827515399,2215.3070211653317,1971.6365461847388,2420.436895996318,2096.9063222821896,2624.888952344692,2217.4479166666665,2838.4358377110384,2452.9384756657482,2981.843515264282,2703.169263456091,3161.9973318086522,2953.673245614035,3411.00584182145,3263.0484114977303,3521.0182445759365,3377.8266331658288,3515.758715431042
8,Affordability,50 AMI Annual Income,28608.156028368794,27957.64479383924,34167.82729805014,35718.15994076268,34250.0,36507.9253948695,34120.55335968379,36941.432882530455,33833.9222614841,37894.54569466456,34156.52654867257,39386.76366890866,35273.18763326226,40991.32775119617,36137.0636550308,44306.140423306635,39432.73092369478,48408.73791992636,41938.12644564379,52497.77904689384,44348.958333333336,56768.71675422077,49058.76951331497,59636.87030528564,54063.38526912182,63239.94663617305,59073.4649122807,68220.11683642899,65260.96822995461,70420.36489151874,67556.53266331658,70315.17430862084
9,Affordability,50 AMI Monthly Affordable Rent,2384.0130023640663,2329.8037328199366,2847.3189415041784,2976.51332839689,2854.1666666666665,3042.3271162391247,2843.379446640316,3078.452740210871,2819.4935217903417,3157.8788078887133,2846.377212389381,3282.2303057423883,2939.432302771855,3415.9439792663475,3011.4219712525664,3692.178368608886,3286.060910307898,4034.061493327197,3494.8438704703162,4374.814920574487,3695.746527777778,4730.726396185064,4088.230792776247,4969.739192107137,4505.282105760151,5269.995553014421,4922.788742690059,5685.009736369083,5438.414019162884,5868.363740959895,5629.711055276382,5859.597859051737
