,Category,Attribute,Percent Of,2000_Outer Mission,2010_Outer Mission,2011_Outer Mission,2012_Outer Mission,2013_Outer Mission,2014_Outer Mission,2015_Outer Mission,2016_Outer Mission,2017_Outer Mission,2018_Outer Mission,2019_Outer Mission,2020_Outer Mission,2021_Outer Mission,2022_Outer Mission,2023_Outer Mission,2024_Outer Mission
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,1793.0,2193.0,2298.0,2091.0,2043.0,2181.0,2103.0,2119.0,2156.0,2602.0,1987.0,2862.0,1581.0,1455.0,1490.0,1598
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,1483.0,1274.0,1419.0,1172.0,1445.0,1165.0,1090.0,1376.0,1430.0,1513.0,1308.0,2862.0,1494.0,1388.0,1490.0,1598
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,1793.0,2193.0,2298.0,2091.0,2043.0,2181.0,1998.0,2119.0,2156.0,2602.0,1987.0,2862.0,1581.0,1455.0,1490.0,1598
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,1793.0,2193.0,2298.0,2091.0,2043.0,2181.0,2103.0,2119.0,2156.0,2602.0,1987.0,2862.0,1581.0,1455.0,1490.0,1598
540,Affordability,100 AMI Annual Income,None,60057.51533742331,78402.14067278287,79196.21749408984,78240.74074074074,81358.97435897436,76737.28813559322,76383.87484957882,85545.09132420091,92552.92338709676,87264.15094339623,98168.63323500492,200452.21447028423,119965.03496503497,130854.74308300397,141825.09505703422,144190.14084507042
541,Affordability,100 AMI Monthly Affordable Rent,None,5004.792944785276,6533.511722731906,6599.684791174153,6520.061728395062,6779.91452991453,6394.774011299435,6365.322904131568,7128.757610350076,7712.7436155913965,7272.012578616353,8180.71943625041,16704.35120585702,9997.086247086247,10904.561923583664,11818.75792141952,12015.845070422534
531,Affordability,30 AMI Annual Income,None,18017.254601226992,23520.64220183486,23758.86524822695,23472.222222222223,24407.69230769231,23021.186440677964,22915.162454873644,25663.527397260274,27765.877016129027,26179.24528301887,29450.589970501474,60135.66434108527,35989.51048951049,39256.42292490119,42547.528517110266,43257.042253521126
532,Affordability,30 AMI Monthly Affordable Rent,None,1501.4378834355828,1960.0535168195718,1979.9054373522458,1956.0185185185185,2033.9743589743591,1918.4322033898304,1909.5968712394704,2138.627283105023,2313.823084677419,2181.603773584906,2454.2158308751227,5011.305361757106,2999.125874125874,3271.3685770750994,3545.6273764258553,3604.7535211267605
534,Affordability,50 AMI Annual Income,None,30028.757668711656,39201.070336391436,39598.10874704492,39120.37037037037,40679.48717948718,38368.64406779661,38191.93742478941,42772.545662100456,46276.46169354838,43632.07547169812,49084.31661750246,100226.10723514212,59982.51748251748,65427.37154150198,70912.54752851711,72095.07042253521
535,Affordability,50 AMI Monthly Affordable Rent,None,2502.396472392638,3266.755861365953,3299.8423955870767,3260.030864197531,3389.957264957265,3197.3870056497176,3182.661452065784,3564.378805175038,3856.3718077956983,3636.0062893081763,4090.359718125205,8352.17560292851,4998.543123543123,5452.280961791832,5909.37896070976,6007.922535211267
537,Affordability,80 AMI Annual Income,None,48046.012269938656,62721.712538226304,63356.973995271874,62592.5925925926,65087.17948717949,61389.83050847458,61107.09987966306,68436.07305936073,74042.33870967741,69811.32075471699,78534.90658800394,160361.7715762274,95972.02797202798,104683.79446640318,113460.07604562739,115352.11267605633
538,Affordability,80 AMI Monthly Affordable Rent,None,4003.8343558282213,5226.809378185525,5279.7478329393225,5216.04938271605,5423.931623931624,5115.819209039549,5092.258323305255,5703.006088280061,6170.194892473118,5817.610062893083,6544.5755490003285,13363.480964685616,7997.668997668999,8723.649538866932,9455.006337135615,9612.676056338029
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5460624071322436,0.4900343642611683,0.4761290322580645,0.5505350772889417,0.5194202898550725,0.5126436781609195,0.5379236148466918,0.548460661345496,0.4917127071823204,0.5503095975232198,0.5153985507246377,0.4372822299651568,0.4133333333333333,0.4577846630518977,0.4714993804213135,0.4796846573681019
1,Age,0-4 Years,Total Population,0.0563764935381614,0.0579757160070442,0.0589429996909355,0.0659617766766944,0.0645480773371226,0.0647606946209233,0.0685485552266188,0.0613026819923371,0.047708520545707,0.0398096062310688,0.0333839150227617,0.0608118081180811,0.0295008505871125,0.0371973846969429,0.0547036883547451,0.058397100281917
2,Age,18-34 Years,Total Population,0.2662765179224579,0.255955139493929,0.2558170338646298,0.2595115908688727,0.2559962106532317,0.2485387547649301,0.259225284576575,0.2565813867259918,0.2598235438281186,0.3177556613298716,0.2366025077869179,0.4377859778597786,0.213684079498776,0.2033928255875596,0.1965741124464705,0.1973419250906161
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.4539375928677563,0.5099656357388316,0.5238709677419355,0.4494649227110582,0.4805797101449275,0.4873563218390804,0.4620763851533082,0.4515393386545039,0.5082872928176796,0.4496904024767801,0.4846014492753623,0.5627177700348432,0.5866666666666667,0.5422153369481022,0.5285006195786865,0.5203153426318982
4,Age,35-59 Years,Total Population,0.342257985857108,0.3640745203447956,0.3617378250695395,0.3427269509821271,0.3519786418636696,0.3466327827191868,0.34436892799066,0.340460594075722,0.3424148353892656,0.3628299437472955,0.3580384953278492,0.3701845018450184,0.386083564997303,0.3908376038169288,0.3762029746281715,0.371414507540162
5,Age,5-17 Years,Total Population,0.1383077298219946,0.1168319584762257,0.1162965252329021,0.1117058927623429,0.1073074107565775,0.1185091063108852,0.1119126047617062,0.1207926502698471,0.1140021240094763,0.1292369825472378,0.1088970529510422,0.0518819188191881,0.1204099414962034,0.1258172822053366,0.135055486485242,0.1374233677898599
6,Age,60 and older,Total Population,0.196781272860278,0.2051626656780053,0.207205616141993,0.2200937887099628,0.2201696593893984,0.2215586615840745,0.2159446274444398,0.2208626869361018,0.2360509762274324,0.1503678061445262,0.2630780289114288,0.0793357933579335,0.2503215634206049,0.242754903693232,0.2374637380853709,0.2354230992974448
7,Age,Under 18 Years,None,3992.0,3772.0,3960.0,4008.0,3985.0,4321.0,4321.0,4412.0,3950.0,3877.0,3555.0,3615.0,3607.0,3685.0,4117.0,4367.0
8,Age,Under 6 Years,None,1346.0,1455.0,1550.0,1682.0,1725.0,1740.0,1859.0,1754.0,1448.0,1292.0,1104.0,1148.0,1125.0,1291.0,1614.0,1649.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.2438279978296256,0.2966643458446737,0.2733483804062709,0.2811620795107034,0.2797787193973635,0.2974985456660849,0.2971089018397897,0.3049025069637883,0.3233046545182493,0.4302598163703848,0.3106624158696422,0.7557764889993556,0.3526671203475894,0.356815221699983,0.3671334976257738,0.3792512990080302
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.0,0.0,0.0,0.0,0.0598290598290598,0.1594202898550724,0.3375,0.2716049382716049,0.2638888888888889,0.1666666666666666,0.1578947368421052,0.2282608695652173,0.0,0.0,0.1121076233183856,0.2127659574468085
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.2854186784384053,0.2788353863381859,0.2478971401105503,0.2701177035791496,0.2726537216828479,0.2834260289210233,0.2962962962962963,0.2956797058523133,0.290693257359924,0.4681972149040271,0.2811628116281163,0.7230769230769231,0.3325624421831637,0.3216340060446524,0.3380548628428927,0.3472427739962513
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.2267657992565055,0.1219512195121951,0.2485875706214689,0.195,0.1213592233009708,0.0709677419354838,0.116504854368932,0.1298701298701298,0.1414634146341463,0.0980392156862745,0.2533783783783784,0.7326968973747017,0.2535211267605634,0.2516703786191537,0.1986531986531986,0.3095238095238095
