,Category,Attribute,2024_Outer Mission,2024_San Francisco,2023_Outer Mission,2023_San Francisco,2022_Outer Mission,2022_San Francisco,2021_Outer Mission,2021_San Francisco,2020_Outer Mission,2020_San Francisco,2019_Outer Mission,2019_San Francisco,2018_Outer Mission,2018_San Francisco,2017_Outer Mission,2017_San Francisco,2016_Outer Mission,2016_San Francisco,2015_Outer Mission,2015_San Francisco,2014_Outer Mission,2014_San Francisco,2013_Outer Mission,2013_San Francisco,2012_Outer Mission,2012_San Francisco,2011_Outer Mission,2011_San Francisco,2010_Outer Mission,2010_San Francisco,2000_Outer Mission,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1598,156904,1490.0,158878.0,1455.0,164391.0,1581.0,177267.0,2862.0,179637.0,1987.0,194605.0,2602.0,196852.0,2156.0,201554.0,2119.0,206125.0,2103.0,208027.0,2181.0,219759.0,2043.0,217742.0,2091.0,213982.0,2298.0,212110.0,2193.0,209068.0,1793.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1598,156904,1490.0,158878.0,1388.0,142404.0,1494.0,155085.0,2862.0,133315.0,1308.0,146746.0,1513.0,152803.0,1430.0,131265.0,1376.0,139452.0,1090.0,146046.0,1165.0,103611.0,1445.0,106717.0,1172.0,108966.0,1419.0,114525.0,1274.0,119019.0,1483.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1598,156904,1490.0,158878.0,1455.0,164391.0,1581.0,177267.0,2862.0,179637.0,1987.0,194605.0,2602.0,196852.0,2156.0,201554.0,2119.0,206125.0,1998.0,195487.0,2181.0,219759.0,2043.0,217742.0,2091.0,213982.0,2298.0,212110.0,2193.0,203005.0,1793.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1598,156904,1490.0,158878.0,1455.0,164391.0,1581.0,177267.0,2862.0,179637.0,1987.0,194605.0,2602.0,196852.0,2156.0,201554.0,2119.0,206125.0,2103.0,208027.0,2181.0,219759.0,2043.0,217742.0,2091.0,213982.0,2298.0,212110.0,2193.0,209068.0,1793.0,209020.0
4,Affordability,100 AMI Annual Income,144190.14084507042,140630.3486172417,141825.09505703422,140840.72978303747,130854.74308300397,136440.23367285798,119965.03496503497,126479.8932723461,200452.21447028423,117453.07472291742,98168.63323500492,113537.43350844154,87264.15094339623,104995.55809378768,92552.92338709676,96817.47583985272,85545.09132420091,88612.28084661327,76383.87484957882,81982.65550239234,76737.28813559322,78773.52733781732,81358.97435897436,75789.09138932911,78240.74074074074,73882.86576506091,79196.21749408984,73015.850789739,78402.14067278287,71436.31988152536,60057.51533742331,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,12015.845070422534,11719.195718103474,11818.75792141952,11736.72748191979,10904.561923583664,11370.019472738166,9997.086247086247,10539.991106028841,16704.35120585702,9787.756226909785,8180.71943625041,9461.452792370128,7272.012578616353,8749.629841148973,7712.7436155913965,8068.122986654394,7128.757610350076,7384.356737217772,6365.322904131568,6831.887958532695,6394.774011299435,6564.460611484777,6779.91452991453,6315.7576157774265,6520.061728395062,6156.905480421742,6599.684791174153,6084.6542324782495,6533.511722731906,5953.02665679378,5004.792944785276,4659.607465639873
6,Affordability,30 AMI Annual Income,43257.042253521126,42189.10458517251,42547.528517110266,42252.21893491124,39256.42292490119,40932.0701018574,35989.51048951049,37943.96798170383,60135.66434108527,35235.922416875226,29450.589970501474,34061.23005253246,26179.24528301887,31498.6674281363,27765.877016129027,29045.242751955815,25663.527397260274,26583.68425398398,22915.162454873644,24594.7966507177,23021.186440677964,23632.058201345193,24407.69230769231,22736.727416798734,23472.222222222223,22164.859729518274,23758.86524822695,21904.755236921697,23520.64220183486,21430.895964457606,18017.254601226992,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,3604.7535211267605,3515.758715431042,3545.6273764258553,3521.0182445759365,3271.3685770750994,3411.00584182145,2999.125874125874,3161.9973318086522,5011.305361757106,2936.3268680729357,2454.2158308751227,2838.4358377110384,2181.603773584906,2624.888952344692,2313.823084677419,2420.436895996318,2138.627283105023,2215.3070211653317,1909.5968712394704,2049.5663875598084,1918.4322033898304,1969.3381834454328,2033.9743589743591,1894.7272847332279,1956.0185185185185,1847.0716441265229,1979.9054373522458,1825.3962697434747,1960.0535168195718,1785.9079970381338,1501.4378834355828,1397.882239691962
8,Affordability,50 AMI Annual Income,72095.07042253521,70315.17430862084,70912.54752851711,70420.36489151874,65427.37154150198,68220.11683642899,59982.51748251748,63239.94663617305,100226.10723514212,58726.53736145871,49084.31661750246,56768.71675422077,43632.07547169812,52497.77904689384,46276.46169354838,48408.73791992636,42772.545662100456,44306.140423306635,38191.93742478941,40991.32775119617,38368.64406779661,39386.76366890866,40679.48717948718,37894.54569466456,39120.37037037037,36941.432882530455,39598.10874704492,36507.9253948695,39201.070336391436,35718.15994076268,30028.757668711656,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,6007.922535211267,5859.597859051737,5909.37896070976,5868.363740959895,5452.280961791832,5685.009736369083,4998.543123543123,5269.995553014421,8352.17560292851,4893.878113454893,4090.359718125205,4730.726396185064,3636.0062893081763,4374.814920574487,3856.3718077956983,4034.061493327197,3564.378805175038,3692.178368608886,3182.661452065784,3415.9439792663475,3197.3870056497176,3282.2303057423883,3389.957264957265,3157.8788078887133,3260.030864197531,3078.452740210871,3299.8423955870767,3042.3271162391247,3266.755861365953,2976.51332839689,2502.396472392638,2329.8037328199366
