,Category,Attribute,Percent Of,2000_Outer Richmond,2010_Outer Richmond,2011_Outer Richmond,2012_Outer Richmond,2013_Outer Richmond,2014_Outer Richmond,2015_Outer Richmond,2016_Outer Richmond,2017_Outer Richmond,2018_Outer Richmond,2019_Outer Richmond,2020_Outer Richmond,2021_Outer Richmond,2022_Outer Richmond,2023_Outer Richmond,2024_Outer Richmond
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,11032.0,11192.0,11420.0,11524.0,11493.0,11384.0,10774.0,10270.0,9938.0,11903.0,9822.0,13616.0,9316.0,8666.0,8391.0,8354
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,8008.0,6066.0,5780.0,5497.0,5275.0,5156.0,5051.0,4434.0,6355.0,7604.0,7472.0,11694.0,6985.0,7753.0,7317.0,7074
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,10572.0,11192.0,11420.0,11053.0,11493.0,10876.0,9442.0,9871.0,9938.0,11903.0,9822.0,13616.0,9316.0,8666.0,8391.0,8354
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,11032.0,11192.0,11420.0,11524.0,11493.0,11384.0,10774.0,10270.0,9938.0,11903.0,9822.0,13616.0,9316.0,8666.0,8391.0,8354
540,Affordability,100 AMI Annual Income,None,59948.78361075544,74186.17932609937,74932.14716525935,71184.13082980012,72148.91041162227,69335.33447684391,69897.39884393064,77470.3331811958,88716.27598407785,91352.10396039604,104987.87143723467,132579.21589688506,118345.7711442786,133355.4125662377,137828.94736842107,134556.73758865247
541,Affordability,100 AMI Monthly Affordable Rent,None,4995.731967562953,6182.181610508281,6244.345597104945,5932.010902483344,6012.409200968523,5777.944539736993,5824.78323699422,6455.861098432983,7393.022998673154,7612.675330033003,8748.989286436223,11048.267991407089,9862.14759535655,11112.951047186476,11485.74561403509,11213.061465721039
531,Affordability,30 AMI Annual Income,None,17984.635083226633,22255.85379782981,22479.6441495778,21355.239248940037,21644.673123486682,20800.600343053175,20969.219653179192,23241.099954358742,26614.88279522335,27405.631188118812,31496.3614311704,39773.764769065514,35503.73134328358,40006.62376987131,41348.68421052632,40367.02127659574
532,Affordability,30 AMI Monthly Affordable Rent,None,1498.7195902688861,1854.6544831524843,1873.3036791314835,1779.603270745003,1803.7227602905568,1733.383361921098,1747.434971098266,1936.7583295298953,2217.906899601946,2283.802599009901,2624.6967859308666,3314.4803974221263,2958.644278606965,3333.8853141559425,3445.7236842105267,3363.9184397163117
534,Affordability,50 AMI Annual Income,None,29974.39180537772,37093.089663049686,37466.07358262967,35592.06541490006,36074.45520581114,34667.66723842196,34948.69942196532,38735.1665905979,44358.13799203892,45676.05198019802,52493.93571861734,66289.60794844253,59172.8855721393,66677.70628311885,68914.47368421053,67278.36879432623
535,Affordability,50 AMI Monthly Affordable Rent,None,2497.8659837814766,3091.0908052541404,3122.1727985524726,2966.005451241672,3006.2046004842614,2888.9722698684964,2912.39161849711,3227.9305492164917,3696.511499336577,3806.3376650165014,4374.494643218111,5524.133995703544,4931.073797678275,5556.475523593238,5742.872807017545,5606.5307328605195
537,Affordability,80 AMI Annual Income,None,47959.026888604356,59348.9434608795,59945.71773220748,56947.3046638401,57719.12832929782,55468.267581475135,55917.91907514451,61976.26654495665,70973.02078726229,73081.68316831683,83990.29714978774,106063.37271750806,94676.61691542288,106684.33005299018,110263.15789473685,107645.39007092197
538,Affordability,80 AMI Monthly Affordable Rent,None,3996.585574050363,4945.745288406625,4995.476477683957,4745.608721986675,4809.927360774818,4622.355631789595,4659.826589595376,5164.688878746388,5914.418398938524,6090.140264026402,6999.191429148978,8838.614393125672,7889.71807628524,8890.360837749182,9188.59649122807,8970.449172576831
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.479934029686641,0.5745229499742135,0.5304114490161002,0.5061728395061729,0.5076206604572396,0.5248114331083763,0.5221273291925466,0.5411522633744856,0.5465787304204451,0.5643015521064302,0.5804380664652568,0.6019345238095238,0.5961192957240388,0.591812865497076,0.6064,0.5820525532969757
1,Age,0-4 Years,Total Population,0.0344371158074213,0.0376181722689075,0.043057259053644,0.0435709670471677,0.0465152527276775,0.0489951982927263,0.0505984042553191,0.04798306217963,0.046989882141211,0.0451133657728543,0.0513926090459702,0.0455827597878822,0.0551109735608807,0.0512193480358064,0.0490817044654816,0.0403171429235741
2,Age,18-34 Years,Total Population,0.285188675012339,0.251313025210084,0.2552880166978676,0.2454447555459832,0.2510576708973502,0.2455762048728436,0.263563829787234,0.2468464452863829,0.2411605908302789,0.2942333574904234,0.2520633261470786,0.3823987363195306,0.2414669732071801,0.2269984071074417,0.2144203046607187,0.2178381269036713
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.520065970313359,0.4254770500257865,0.4695885509838998,0.4938271604938271,0.4923793395427603,0.4751885668916236,0.4778726708074534,0.4588477366255144,0.4534212695795548,0.4356984478935698,0.4195619335347432,0.3980654761904761,0.4038807042759612,0.408187134502924,0.3936,0.4179474467030243
4,Age,35-59 Years,Total Population,0.3645174316866335,0.4048056722689075,0.3885697071417812,0.3926986861942709,0.3791583166332665,0.3683531922461319,0.3487145390070922,0.3637619790505906,0.3565173496038452,0.3421938088829071,0.3517345005553015,0.3749294821166647,0.3436422318507383,0.3549906894308213,0.3612794842107653,0.3556929944895254
5,Age,5-17 Years,Total Population,0.1112083277246825,0.1130733543417367,0.1072020312869838,0.1058582812836528,0.0984413270986417,0.0981460074693224,0.084375,0.0872074882995319,0.0867150977767047,0.0611864582254891,0.0904379260033535,0.0669524991537854,0.0994340790520824,0.1058039620397998,0.1071079933710186,0.1068613546001999
6,Age,60 and older,Total Population,0.2046484497689236,0.1931897759103641,0.2058829858197232,0.2124273099289252,0.2248274326430639,0.2389293971189756,0.2527482269503546,0.2542010251838645,0.2686170796479599,0.2572730096283259,0.254371638248296,0.1301365226221369,0.2603457423291184,0.2609875933861306,0.2681105132920157,0.2792903810830291
7,Age,Under 18 Years,None,6492.0,6886.0,6977.0,6927.0,6501.0,6606.0,6079.0,6055.0,6082.0,6476.0,6504.0,6677.0,6986.0,6994.0,6876.0,6326.0
8,Age,Under 6 Years,None,1819.0,1939.0,2236.0,2349.0,2362.0,2519.0,2576.0,2430.0,2426.0,2706.0,2648.0,2688.0,2783.0,2565.0,2500.0,2017.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.4671773377655731,0.5206424581005586,0.5252692169985403,0.516376422381572,0.5214212562585344,0.5161742814611244,0.530061730135017,0.5283157567361249,0.5463052419466145,0.5912182468128183,0.5893010261942301,0.6951389078219145,0.6250427740390099,0.642020017679432,0.6417075676292661,0.6458993516876472
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.2428571428571428,0.2571428571428571,0.472,0.5726495726495726,0.4521739130434782,0.32,0.5185185185185185,0.0,0.0,0.0806451612903225,0.5,0.1701388888888889,0.5522388059701493,0.6137931034482759,0.5783132530120482,0.5789473684210527
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.3236275600340247,0.4111046847888953,0.416718901361901,0.3741138941398866,0.3894769808957093,0.394466594176634,0.3988703280855666,0.3871006057726571,0.4192394252409256,0.4576607193429623,0.4447190740294188,0.672092682211468,0.5057730761788041,0.5278433373732219,0.5305133577789418,0.5433344470431005
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.3411513859275053,0.5171288743882545,0.3669201520912547,0.2895277207392197,0.4390756302521008,0.3189823874755381,0.365079365079365,0.4230088495575221,0.5127877237851662,0.3220108695652174,0.4729891956782713,0.3059958649207443,0.4687975646879756,0.5546875,0.5894134477825465,0.6635514018691588
12,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,0.4313031161473087,0.3728905824714208,0.4179245283018868,0.4320712694877505,0.4031074665515753,0.3824267782426778,0.4437923250564334,0.4549891540130152,0.5065398335315101,0.3921842288904396,0.5710831721470019,0.4564272936365959,0.5887335874629395,0.6239669421487604,0.5920679886685553,0.5777443609022557
13,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.1818181818181818,0.2645502645502645,0.3181818181818182,0.2748815165876777,0.2131147540983606,0.1863117870722433,0.2034632034632034,0.2605042016806723,0.232258064516129,0.0,0.4606741573033708,0.6258503401360545,0.0,0.0,0.1428571428571428,0.6888888888888889
14,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,0.3160919540229885,0.5149700598802395,0.5148648648648648,0.4844903988183161,0.4106813996316759,0.2830188679245283,0.3593004769475357,0.4770833333333333,0.6929982046678635,0.3079777365491651,0.5919689119170984,0.4991160872127283,0.576271186440678,0.5716845878136201,0.5482993197278911,0.5384615384615384
15,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,0.4176201372997711,0.4154488517745303,0.4155405405405405,0.4296703296703296,0.4262910798122066,0.4372294372294372,0.4958448753462603,0.4707297514033681,0.4665109034267913,0.5336448598130841,0.6225875625446747,0.6370619299087854,0.7369290038525041,0.7326512455516014,0.7057119205298014,0.7048700109849871
16,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.6063774478655191,0.6506227702322088,0.6572166533423529,0.6750253141938174,0.6641782130912566,0.6650545634920635,0.6847852912142152,0.688836399801094,0.6903755284755037,0.7211321409967009,0.7388449848024317,0.7787451083849976,0.734886572654813,0.7490186146637964,0.7472855419391707,0.744074567243675
17,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.6080395943988411,0.6762682137075013,0.6782085561497326,0.698917720693702,0.6918975844138748,0.6979347750504138,0.7033881111787381,0.7086730911786508,0.7061456245824983,0.7528060895368339,0.7511663052762994,0.7972743563142507,0.7480655737704918,0.7572997589070453,0.7553653807581734,0.7565272318921954
544,Educational Attainment,High School or Less,Total Population 25+,0.2903598785951727,0.2407821229050279,0.2311823514831033,0.2436390819236413,0.2358045061447428,0.2468796518951105,0.2361811878118217,0.2400972603127032,0.2201396748281668,0.2135648982948973,0.2033302907089315,0.1426974563101502,0.1696133226873503,0.1689526362314294,0.1688734162766807,0.158589411867314
