,Category,Attribute,2000_Portola,2010_Portola,2011_Portola,2012_Portola,2013_Portola,2014_Portola,2015_Portola,2016_Portola,2017_Portola,2018_Portola,2019_Portola,2020_Portola,2021_Portola,2022_Portola,2023_Portola,2024_Portola
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1278.0,1355.0,1447.0,1426.0,1659.0,1675.0,1570.0,1574.0,1521.0,7158.0,1424.0,2795.0,1436.0,1276.0,1206.0,1092
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,928.0,647.0,746.0,707.0,919.0,747.0,720.0,611.0,1052.0,4057.0,884.0,1701.0,1065.0,954.0,1011.0,907
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1259.0,1265.0,1361.0,1426.0,1554.0,1675.0,1540.0,1531.0,1521.0,6520.0,1424.0,2511.0,1436.0,1276.0,1206.0,1092
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1278.0,1355.0,1447.0,1426.0,1659.0,1675.0,1570.0,1574.0,1521.0,7158.0,1424.0,2611.0,1436.0,1276.0,1206.0,1092
9,Affordability,100 AMI Annual Income,55899.05362776025,68387.32394366198,71079.54545454546,73500.0,67929.10447761194,74510.86956521739,74589.2494929006,77036.4238410596,85434.59552495697,73981.62939297124,90369.5652173913,48972.081218274114,114088.6287625418,117020.89337175792,122638.49431818182,136872.05651491365
10,Affordability,100 AMI Monthly Affordable Rent,4658.254468980021,5698.943661971832,5923.295454545455,6125.0,5660.758706467662,6209.239130434783,6215.7707910750505,6419.701986754967,7119.549627079748,6165.135782747603,7530.797101449275,4081.0067681895093,9507.385730211818,9751.74111431316,10219.874526515152,11406.004709576138
0,Affordability,30 AMI Annual Income,16769.716088328074,20516.197183098593,21323.863636363636,22050.0,20378.73134328358,22353.260869565216,22376.77484787018,23110.92715231788,25630.37865748709,22194.48881789137,27110.86956521739,14691.624365482234,34226.58862876254,35106.268011527376,36791.548295454544,41061.61695447409
1,Affordability,30 AMI Monthly Affordable Rent,1397.4763406940062,1709.6830985915494,1776.9886363636363,1837.5,1698.2276119402984,1862.7717391304348,1864.731237322515,1925.9105960264899,2135.864888123924,1849.540734824281,2259.2391304347825,1224.302030456853,2852.215719063545,2925.522334293948,3065.9623579545455,3421.801412872841
3,Affordability,50 AMI Annual Income,27949.526813880126,34193.66197183099,35539.77272727273,36750.0,33964.55223880597,37255.434782608696,37294.6247464503,38518.2119205298,42717.29776247848,36990.81469648562,45184.78260869565,24486.040609137057,57044.3143812709,58510.44668587896,61319.24715909091,68436.02825745683
4,Affordability,50 AMI Monthly Affordable Rent,2329.1272344900103,2849.471830985916,2961.6477272727275,3062.5,2830.379353233831,3104.6195652173915,3107.8853955375253,3209.8509933774835,3559.774813539874,3082.5678913738016,3765.3985507246375,2040.5033840947547,4753.692865105909,4875.87055715658,5109.937263257576,5703.002354788069
6,Affordability,80 AMI Annual Income,44719.24290220821,54709.85915492958,56863.63636363637,58800.0,54343.283582089556,59608.69565217392,59671.399594320486,61629.13907284768,68347.67641996557,59185.303514376996,72295.65217391304,39177.66497461929,91270.90301003345,93616.71469740634,98110.79545454547,109497.64521193093
7,Affordability,80 AMI Monthly Affordable Rent,3726.6035751840172,4559.154929577465,4738.636363636364,4900.0,4528.60696517413,4967.391304347827,4972.61663286004,5135.761589403974,5695.6397016637975,4932.108626198083,6024.63768115942,3264.8054145516076,7605.908584169454,7801.392891450528,8175.899621212123,9124.803767660911
