,Category,Attribute,2024_Portola,2024_San Francisco,2023_Portola,2023_San Francisco,2022_Portola,2022_San Francisco,2021_Portola,2021_San Francisco,2020_Portola,2020_San Francisco,2019_Portola,2019_San Francisco,2018_Portola,2018_San Francisco,2017_Portola,2017_San Francisco,2016_Portola,2016_San Francisco,2015_Portola,2015_San Francisco,2014_Portola,2014_San Francisco,2013_Portola,2013_San Francisco,2012_Portola,2012_San Francisco,2011_Portola,2011_San Francisco,2010_Portola,2010_San Francisco,2000_Portola,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1092,156904,1206.0,158878.0,1276.0,164391.0,1436.0,177267.0,2795.0,179637.0,1424.0,194605.0,7158.0,196852.0,1521.0,201554.0,1574.0,206125.0,1570.0,208027.0,1675.0,219759.0,1659.0,217742.0,1426.0,213982.0,1447.0,212110.0,1355.0,209068.0,1278.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,907,156904,1011.0,158878.0,954.0,142404.0,1065.0,155085.0,1701.0,133315.0,884.0,146746.0,4057.0,152803.0,1052.0,131265.0,611.0,139452.0,720.0,146046.0,747.0,103611.0,919.0,106717.0,707.0,108966.0,746.0,114525.0,647.0,119019.0,928.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1092,156904,1206.0,158878.0,1276.0,164391.0,1436.0,177267.0,2511.0,179637.0,1424.0,194605.0,6520.0,196852.0,1521.0,201554.0,1531.0,206125.0,1540.0,195487.0,1675.0,219759.0,1554.0,217742.0,1426.0,213982.0,1361.0,212110.0,1265.0,203005.0,1259.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1092,156904,1206.0,158878.0,1276.0,164391.0,1436.0,177267.0,2611.0,179637.0,1424.0,194605.0,7158.0,196852.0,1521.0,201554.0,1574.0,206125.0,1570.0,208027.0,1675.0,219759.0,1659.0,217742.0,1426.0,213982.0,1447.0,212110.0,1355.0,209068.0,1278.0,209020.0
4,Affordability,100 AMI Annual Income,136872.05651491365,140630.3486172417,122638.49431818182,140840.72978303747,117020.89337175792,136440.23367285798,114088.6287625418,126479.8932723461,48972.081218274114,117453.07472291742,90369.5652173913,113537.43350844154,73981.62939297124,104995.55809378768,85434.59552495697,96817.47583985272,77036.4238410596,88612.28084661327,74589.2494929006,81982.65550239234,74510.86956521739,78773.52733781732,67929.10447761194,75789.09138932911,73500.0,73882.86576506091,71079.54545454546,73015.850789739,68387.32394366198,71436.31988152536,55899.05362776025,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,11406.004709576138,11719.195718103474,10219.874526515152,11736.72748191979,9751.74111431316,11370.019472738166,9507.385730211818,10539.991106028841,4081.0067681895093,9787.756226909785,7530.797101449275,9461.452792370128,6165.135782747603,8749.629841148973,7119.549627079748,8068.122986654394,6419.701986754967,7384.356737217772,6215.7707910750505,6831.887958532695,6209.239130434783,6564.460611484777,5660.758706467662,6315.7576157774265,6125.0,6156.905480421742,5923.295454545455,6084.6542324782495,5698.943661971832,5953.02665679378,4658.254468980021,4659.607465639873
6,Affordability,30 AMI Annual Income,41061.61695447409,42189.10458517251,36791.548295454544,42252.21893491124,35106.268011527376,40932.0701018574,34226.58862876254,37943.96798170383,14691.624365482234,35235.922416875226,27110.86956521739,34061.23005253246,22194.48881789137,31498.6674281363,25630.37865748709,29045.242751955815,23110.92715231788,26583.68425398398,22376.77484787018,24594.7966507177,22353.260869565216,23632.058201345193,20378.73134328358,22736.727416798734,22050.0,22164.859729518274,21323.863636363636,21904.755236921697,20516.197183098593,21430.895964457606,16769.716088328074,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,3421.801412872841,3515.758715431042,3065.9623579545455,3521.0182445759365,2925.522334293948,3411.00584182145,2852.215719063545,3161.9973318086522,1224.302030456853,2936.3268680729357,2259.2391304347825,2838.4358377110384,1849.540734824281,2624.888952344692,2135.864888123924,2420.436895996318,1925.9105960264899,2215.3070211653317,1864.731237322515,2049.5663875598084,1862.7717391304348,1969.3381834454328,1698.2276119402984,1894.7272847332279,1837.5,1847.0716441265229,1776.9886363636363,1825.3962697434747,1709.6830985915494,1785.9079970381338,1397.4763406940062,1397.882239691962
8,Affordability,50 AMI Annual Income,68436.02825745683,70315.17430862084,61319.24715909091,70420.36489151874,58510.44668587896,68220.11683642899,57044.3143812709,63239.94663617305,24486.040609137057,58726.53736145871,45184.78260869565,56768.71675422077,36990.81469648562,52497.77904689384,42717.29776247848,48408.73791992636,38518.2119205298,44306.140423306635,37294.6247464503,40991.32775119617,37255.434782608696,39386.76366890866,33964.55223880597,37894.54569466456,36750.0,36941.432882530455,35539.77272727273,36507.9253948695,34193.66197183099,35718.15994076268,27949.526813880126,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,5703.002354788069,5859.597859051737,5109.937263257576,5868.363740959895,4875.87055715658,5685.009736369083,4753.692865105909,5269.995553014421,2040.5033840947547,4893.878113454893,3765.3985507246375,4730.726396185064,3082.5678913738016,4374.814920574487,3559.774813539874,4034.061493327197,3209.8509933774835,3692.178368608886,3107.8853955375253,3415.9439792663475,3104.6195652173915,3282.2303057423883,2830.379353233831,3157.8788078887133,3062.5,3078.452740210871,2961.6477272727275,3042.3271162391247,2849.471830985916,2976.51332839689,2329.1272344900103,2329.8037328199366
10,Affordability,80 AMI Annual Income,109497.64521193093,112504.27889379335,98110.79545454547,112672.58382642998,93616.71469740634,109152.1869382864,91270.90301003345,101183.91461787689,39177.66497461929,93962.45977833394,72295.65217391304,90829.94680675323,59185.303514376996,83996.44647503016,68347.67641996557,77453.98067188218,61629.13907284768,70889.82467729061,59671.399594320486,65586.12440191388,59608.69565217392,63018.82187025386,54343.283582089556,60631.27311146329,58800.0,59106.29261204873,56863.63636363637,58412.6806317912,54709.85915492958,57149.05590522029,44719.24290220821,44732.23167014279
11,Affordability,80 AMI Monthly Affordable Rent,9124.803767660911,9375.35657448278,8175.899621212123,9389.381985535832,7801.392891450528,9096.015578190532,7605.908584169454,8431.992884823074,3264.8054145516076,7830.204981527829,6024.63768115942,7569.162233896102,4932.108626198083,6999.70387291918,5695.6397016637975,6454.498389323515,5135.761589403974,5907.485389774218,4972.61663286004,5465.510366826157,4967.391304347827,5251.568489187822,4528.60696517413,5052.606092621941,4900.0,4925.524384337395,4738.636363636364,4867.7233859826,4559.154929577465,4762.421325435024,3726.6035751840172,3727.6859725118993
12,Age,"0-2 Years, Under 6 Years",0.5159574468085106,0.5478517844964764,0.4703947368421052,0.5406992325496406,0.5230769230769231,0.5435105855696382,0.4418960244648318,0.5452634434122194,0.5276243093922652,0.5463237718430597,0.5256270447110142,0.5439706576294453,0.6282208588957056,0.5485122061580229,0.5834319526627219,0.5440728159567982,0.6074332171893148,0.5398601090002427,0.5848329048843187,0.5406174484518621,0.512280701754386,0.5405688483381436,0.4093789607097592,0.5284299122869234,0.434560327198364,0.5306792579454485,0.4755639097744361,0.537271756021756,0.5,0.5470185194379623,0.4747774480712166,0.5067081678651927
