,Category,Attribute,2000_Potrero Hill,2010_Potrero Hill,2011_Potrero Hill,2012_Potrero Hill,2013_Potrero Hill,2014_Potrero Hill,2015_Potrero Hill,2016_Potrero Hill,2017_Potrero Hill,2018_Potrero Hill,2019_Potrero Hill,2020_Potrero Hill,2021_Potrero Hill,2022_Potrero Hill,2023_Potrero Hill,2024_Potrero Hill
506,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,2899.0,3019.0,3088.0,3078.0,3041.0,3228.0,2756.0,2712.0,2623.0,4035.0,2921.0,3992.0,2318.0,2173.0,1850.0,1708
497,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,2119.0,2939.0,3048.0,3078.0,3041.0,3228.0,2756.0,2712.0,2623.0,3505.0,2921.0,3351.0,2318.0,2173.0,1850.0,1708
500,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,2899.0,3019.0,3088.0,3078.0,3041.0,3228.0,2756.0,2712.0,2623.0,4035.0,2921.0,3992.0,2318.0,2173.0,1850.0,1708
503,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,2899.0,3019.0,3088.0,3078.0,3041.0,3228.0,2756.0,2712.0,2623.0,4035.0,2921.0,3992.0,2318.0,2173.0,1850.0,1708
504,Affordability,100 AMI Annual Income,70517.44186046511,107139.83050847458,113926.6304347826,129117.14770797965,132951.01088646968,145373.66548042704,147671.10266159696,155055.24861878454,156694.1624365482,127346.2783171521,170657.72669220946,132587.2093023256,198703.25693606757,203002.91340782124,204428.74857142856,206641.5130890052
505,Affordability,100 AMI Monthly Affordable Rent,5876.453488372093,8928.319209039548,9493.885869565216,10759.762308998304,11079.250907205807,12114.47212336892,12305.925221799747,12921.270718232045,13057.846869712352,10612.189859762675,14221.477224350789,11048.934108527132,16558.6047446723,16916.90945065177,17035.729047619046,17220.126090750433
495,Affordability,30 AMI Annual Income,21155.232558139534,32141.949152542373,34177.98913043478,38735.144312393895,39885.3032659409,43612.09964412811,44301.33079847909,46516.57458563536,47008.248730964464,38203.88349514563,51197.318007662834,39776.16279069767,59610.97708082027,60900.87402234637,61328.62457142856,61992.45392670156
496,Affordability,30 AMI Monthly Affordable Rent,1762.9360465116279,2678.4957627118642,2848.1657608695646,3227.9286926994914,3323.7752721617417,3634.3416370106756,3691.777566539924,3876.3812154696134,3917.3540609137053,3183.6569579288025,4266.443167305236,3314.6802325581393,4967.581423401689,5075.07283519553,5110.718714285714,5166.03782722513
498,Affordability,50 AMI Annual Income,35258.72093023256,53569.91525423729,56963.3152173913,64558.57385398982,66475.50544323484,72686.83274021352,73835.55133079848,77527.62430939227,78347.0812182741,63673.13915857605,85328.86334610473,66293.6046511628,99351.62846803378,101501.45670391062,102214.37428571428,103320.7565445026
499,Affordability,50 AMI Monthly Affordable Rent,2938.2267441860463,4464.159604519774,4746.942934782608,5379.881154499152,5539.625453602904,6057.23606168446,6152.962610899874,6460.635359116022,6528.923434856176,5306.0949298813375,7110.738612175394,5524.467054263566,8279.30237233615,8458.454725325884,8517.864523809523,8610.063045375216
501,Affordability,80 AMI Annual Income,56413.95348837209,85711.86440677967,91141.30434782608,103293.71816638373,106360.80870917575,116298.93238434164,118136.88212927757,124044.19889502763,125355.32994923857,101877.02265372168,136526.18135376758,106069.76744186047,158962.60554885407,162402.330726257,163542.99885714287,165313.21047120416
502,Affordability,80 AMI Monthly Affordable Rent,4701.162790697675,7142.6553672316395,7595.108695652173,8607.809847198643,8863.400725764646,9691.577698695137,9844.740177439797,10337.016574585636,10446.27749576988,8489.75188781014,11377.181779480632,8839.147286821706,13246.88379573784,13533.527560521417,13628.58323809524,13776.100872600347
0,Age,"0-2 Years, Under 6 Years",0.58796992481203,0.5487646293888166,0.5818181818181818,0.5933014354066986,0.6063947078280044,0.6070381231671554,0.6252100840336134,0.7330895795246801,0.6267482517482518,0.5037878787878788,0.4933214603739982,0.5678899082568807,0.6073858114674441,0.6417910447761194,0.6322160148975792,0.5761353517364203
1,Age,0-4 Years,0.0579219558062999,0.0560717196414017,0.0637175324675324,0.0610097023515869,0.0650400125529577,0.0699129903831476,0.0800234931355994,0.0766325270574562,0.0762363610599404,0.0551960657434968,0.0604841369302816,0.0387714763570016,0.0582543574789581,0.0570592538405267,0.0606609325486645,0.0603884343970523
2,Age,18-34 Years,0.292054536906441,0.2895680521597392,0.2948051948051948,0.2960039467192896,0.3055076102306606,0.2944588612425584,0.282064459290801,0.2756591850076269,0.2879410514382882,0.2771450757085544,0.3171294769474309,0.2541432263950129,0.3554244814102989,0.3682915475161268,0.3684278600530298,0.375007806157497
3,Age,"3-5 Years, Under 6 Years",0.4120300751879699,0.4512353706111833,0.4181818181818181,0.4066985645933014,0.3936052921719956,0.3929618768328445,0.3747899159663865,0.2669104204753199,0.3732517482517482,0.4962121212121212,0.5066785396260017,0.4321100917431192,0.3926141885325558,0.3582089552238806,0.3677839851024208,0.4238646482635797
4,Age,35-59 Years,0.4339445228020686,0.4339038304808476,0.4319805194805194,0.4533793783917119,0.4315863800407971,0.446038772706457,0.4423316937082446,0.4492627297159875,0.4239761938500779,0.3695483370001294,0.3834839390541521,0.3825072221377528,0.3641725760487772,0.3559220589213274,0.3476686283386148,0.3400362205707862
5,Age,5-17 Years,0.0998589562764457,0.0951915240423798,0.0869318181818181,0.0729320835388916,0.0746900988545426,0.0712868264387116,0.0817854783055576,0.0910147454056802,0.0915403145812668,0.0911738061343341,0.1117340544818943,0.1092823475748821,0.0835045397309298,0.0748154552104808,0.0787040031041841,0.0889901954661837
6,Age,60 and older,0.1162200282087447,0.1252648736756316,0.122564935064935,0.1166748889985199,0.1231758983210419,0.1183025492291253,0.1137948755597973,0.107430812813249,0.1203060790704265,0.2069367154134851,0.127168392586241,0.2152957275353504,0.1386440453310358,0.1439116845115382,0.1445385759555067,0.1355773434084806
