,Category,Attribute,Percent Of,2024_Potrero Hill,2024_San Francisco,2023_Potrero Hill,2023_San Francisco,2022_Potrero Hill,2022_San Francisco,2021_Potrero Hill,2021_San Francisco,2020_Potrero Hill,2020_San Francisco,2019_Potrero Hill,2019_San Francisco,2018_Potrero Hill,2018_San Francisco,2017_Potrero Hill,2017_San Francisco,2016_Potrero Hill,2016_San Francisco,2015_Potrero Hill,2015_San Francisco,2014_Potrero Hill,2014_San Francisco,2013_Potrero Hill,2013_San Francisco,2012_Potrero Hill,2012_San Francisco,2011_Potrero Hill,2011_San Francisco,2010_Potrero Hill,2010_San Francisco,2000_Potrero Hill,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,1708,156904,1850.0,158878.0,2173.0,164391.0,2318.0,177267.0,3992.0,179637.0,2921.0,194605.0,4035.0,196852.0,2623.0,201554.0,2712.0,206125.0,2756.0,208027.0,3228.0,219759.0,3041.0,217742.0,3078.0,213982.0,3088.0,212110.0,3019.0,209068.0,2899.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,1708,156904,1850.0,158878.0,2173.0,142404.0,2318.0,155085.0,3351.0,133315.0,2921.0,146746.0,3505.0,152803.0,2623.0,131265.0,2712.0,139452.0,2756.0,146046.0,3228.0,103611.0,3041.0,106717.0,3078.0,108966.0,3048.0,114525.0,2939.0,119019.0,2119.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,1708,156904,1850.0,158878.0,2173.0,164391.0,2318.0,177267.0,3992.0,179637.0,2921.0,194605.0,4035.0,196852.0,2623.0,201554.0,2712.0,206125.0,2756.0,195487.0,3228.0,219759.0,3041.0,217742.0,3078.0,213982.0,3088.0,212110.0,3019.0,203005.0,2899.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,1708,156904,1850.0,158878.0,2173.0,164391.0,2318.0,177267.0,3992.0,179637.0,2921.0,194605.0,4035.0,196852.0,2623.0,201554.0,2712.0,206125.0,2756.0,208027.0,3228.0,219759.0,3041.0,217742.0,3078.0,213982.0,3088.0,212110.0,3019.0,209068.0,2899.0,209020.0
4,Affordability,100 AMI Annual Income,None,206641.5130890052,140630.3486172417,204428.74857142856,140840.72978303747,203002.91340782124,136440.23367285798,198703.25693606757,126479.8932723461,132587.2093023256,117453.07472291742,170657.72669220946,113537.43350844154,127346.2783171521,104995.55809378768,156694.1624365482,96817.47583985272,155055.24861878454,88612.28084661327,147671.10266159696,81982.65550239234,145373.66548042704,78773.52733781732,132951.01088646968,75789.09138932911,129117.14770797965,73882.86576506091,113926.6304347826,73015.850789739,107139.83050847458,71436.31988152536,70517.44186046511,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,17220.126090750433,11719.195718103474,17035.729047619046,11736.72748191979,16916.90945065177,11370.019472738166,16558.6047446723,10539.991106028841,11048.934108527132,9787.756226909785,14221.477224350789,9461.452792370128,10612.189859762675,8749.629841148973,13057.846869712352,8068.122986654394,12921.270718232045,7384.356737217772,12305.925221799747,6831.887958532695,12114.47212336892,6564.460611484777,11079.250907205807,6315.7576157774265,10759.762308998304,6156.905480421742,9493.885869565216,6084.6542324782495,8928.319209039548,5953.02665679378,5876.453488372093,4659.607465639873
6,Affordability,30 AMI Annual Income,None,61992.45392670156,42189.10458517251,61328.62457142856,42252.21893491124,60900.87402234637,40932.0701018574,59610.97708082027,37943.96798170383,39776.16279069767,35235.922416875226,51197.318007662834,34061.23005253246,38203.88349514563,31498.6674281363,47008.248730964464,29045.242751955815,46516.57458563536,26583.68425398398,44301.33079847909,24594.7966507177,43612.09964412811,23632.058201345193,39885.3032659409,22736.727416798734,38735.144312393895,22164.859729518274,34177.98913043478,21904.755236921697,32141.949152542373,21430.895964457606,21155.232558139534,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,5166.03782722513,3515.758715431042,5110.718714285714,3521.0182445759365,5075.07283519553,3411.00584182145,4967.581423401689,3161.9973318086522,3314.6802325581393,2936.3268680729357,4266.443167305236,2838.4358377110384,3183.6569579288025,2624.888952344692,3917.3540609137053,2420.436895996318,3876.3812154696134,2215.3070211653317,3691.777566539924,2049.5663875598084,3634.3416370106756,1969.3381834454328,3323.7752721617417,1894.7272847332279,3227.9286926994914,1847.0716441265229,2848.1657608695646,1825.3962697434747,2678.4957627118642,1785.9079970381338,1762.9360465116279,1397.882239691962
8,Affordability,50 AMI Annual Income,None,103320.7565445026,70315.17430862084,102214.37428571428,70420.36489151874,101501.45670391062,68220.11683642899,99351.62846803378,63239.94663617305,66293.6046511628,58726.53736145871,85328.86334610473,56768.71675422077,63673.13915857605,52497.77904689384,78347.0812182741,48408.73791992636,77527.62430939227,44306.140423306635,73835.55133079848,40991.32775119617,72686.83274021352,39386.76366890866,66475.50544323484,37894.54569466456,64558.57385398982,36941.432882530455,56963.3152173913,36507.9253948695,53569.91525423729,35718.15994076268,35258.72093023256,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,8610.063045375216,5859.597859051737,8517.864523809523,5868.363740959895,8458.454725325884,5685.009736369083,8279.30237233615,5269.995553014421,5524.467054263566,4893.878113454893,7110.738612175394,4730.726396185064,5306.0949298813375,4374.814920574487,6528.923434856176,4034.061493327197,6460.635359116022,3692.178368608886,6152.962610899874,3415.9439792663475,6057.23606168446,3282.2303057423883,5539.625453602904,3157.8788078887133,5379.881154499152,3078.452740210871,4746.942934782608,3042.3271162391247,4464.159604519774,2976.51332839689,2938.2267441860463,2329.8037328199366
