,Category,Attribute,Percent Of,2024_Presidio Heights,2024_San Francisco,2023_Presidio Heights,2023_San Francisco,2022_Presidio Heights,2022_San Francisco,2021_Presidio Heights,2021_San Francisco,2020_Presidio Heights,2020_San Francisco,2019_Presidio Heights,2019_San Francisco,2018_Presidio Heights,2018_San Francisco,2017_Presidio Heights,2017_San Francisco,2016_Presidio Heights,2016_San Francisco,2015_Presidio Heights,2015_San Francisco,2014_Presidio Heights,2014_San Francisco,2013_Presidio Heights,2013_San Francisco,2012_Presidio Heights,2012_San Francisco,2011_Presidio Heights,2011_San Francisco,2010_Presidio Heights,2010_San Francisco,2000_Presidio Heights,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,2150,156904,2405.0,158878.0,2406.0,164391.0,2511.0,177267.0,1045.0,179637.0,2425.0,194605.0,1172.0,196852.0,2645.0,201554.0,2813.0,206125.0,2841.0,208027.0,3026.0,219759.0,3036.0,217742.0,3042.0,213982.0,2932.0,212110.0,2757.0,209068.0,3210.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,2150,156904,2405.0,158878.0,2406.0,142404.0,2511.0,155085.0,859.0,133315.0,2425.0,146746.0,937.0,152803.0,2450.0,131265.0,2527.0,139452.0,2089.0,146046.0,2989.0,103611.0,2963.0,106717.0,2989.0,108966.0,1862.0,114525.0,1931.0,119019.0,2785.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,2150,156904,2405.0,158878.0,2406.0,164391.0,2511.0,177267.0,1045.0,179637.0,2425.0,194605.0,1172.0,196852.0,2645.0,201554.0,2813.0,206125.0,2841.0,195487.0,3026.0,219759.0,3036.0,217742.0,3042.0,213982.0,2932.0,212110.0,2757.0,203005.0,3210.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,2150,156904,2405.0,158878.0,2406.0,164391.0,2511.0,177267.0,1045.0,179637.0,2425.0,194605.0,1172.0,196852.0,2645.0,201554.0,2813.0,206125.0,2841.0,208027.0,3026.0,219759.0,3036.0,217742.0,3042.0,213982.0,2932.0,212110.0,2757.0,209068.0,3210.0,209020.0
4,Affordability,100 AMI Annual Income,None,178585.92692828146,140630.3486172417,181419.93957703927,140840.72978303747,176562.5,136440.23367285798,150613.8392857143,126479.8932723461,105765.19916142558,117453.07472291742,149321.08626198082,113537.43350844154,118927.44479495268,104995.55809378768,127573.5294117647,96817.47583985272,124689.05472636817,88612.28084661327,117532.73322422258,81982.65550239234,114300.16181229774,78773.52733781732,105834.82944344704,75789.09138932911,106424.82517482518,73882.86576506091,97396.85658153244,73015.850789739,96508.5287846482,71436.31988152536,82574.15254237287,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,14882.160577356788,11719.195718103474,15118.328298086606,11736.72748191979,14713.541666666666,11370.019472738166,12551.153273809525,10539.991106028841,8813.766596785465,9787.756226909785,12443.423855165069,9461.452792370128,9910.62039957939,8749.629841148973,10631.127450980392,8068.122986654394,10390.75456053068,7384.356737217772,9794.394435351882,6831.887958532695,9525.013484358145,6564.460611484777,8819.569120287253,6315.7576157774265,8868.735431235431,6156.905480421742,8116.404715127704,6084.6542324782495,8042.377398720683,5953.02665679378,6881.179378531073,4659.607465639873
6,Affordability,30 AMI Annual Income,None,53575.778078484436,42189.10458517251,54425.98187311178,42252.21893491124,52968.75,40932.0701018574,45184.15178571428,37943.96798170383,31729.559748427673,35235.922416875226,44796.325878594245,34061.23005253246,35678.233438485804,31498.6674281363,38272.058823529405,29045.242751955815,37406.71641791045,26583.68425398398,35259.819967266776,24594.7966507177,34290.04854368932,23632.058201345193,31750.448833034112,22736.727416798734,31927.447552447553,22164.859729518274,29219.05697445973,21904.755236921697,28952.558635394456,21430.895964457606,24772.24576271186,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,4464.648173207036,3515.758715431042,4535.4984894259815,3521.0182445759365,4414.0625,3411.00584182145,3765.345982142857,3161.9973318086522,2644.1299790356393,2936.3268680729357,3733.0271565495204,2838.4358377110384,2973.186119873817,2624.888952344692,3189.338235294117,2420.436895996318,3117.2263681592044,2215.3070211653317,2938.318330605565,2049.5663875598084,2857.5040453074434,1969.3381834454328,2645.870736086176,1894.7272847332279,2660.6206293706296,1847.0716441265229,2434.9214145383107,1825.3962697434747,2412.7132196162047,1785.9079970381338,2064.3538135593217,1397.882239691962
8,Affordability,50 AMI Annual Income,None,89292.96346414073,70315.17430862084,90709.96978851964,70420.36489151874,88281.25,68220.11683642899,75306.91964285714,63239.94663617305,52882.59958071279,58726.53736145871,74660.54313099041,56768.71675422077,59463.72239747634,52497.77904689384,63786.76470588235,48408.73791992636,62344.52736318408,44306.140423306635,58766.36661211129,40991.32775119617,57150.08090614887,39386.76366890866,52917.41472172352,37894.54569466456,53212.41258741259,36941.432882530455,48698.42829076622,36507.9253948695,48254.2643923241,35718.15994076268,41287.07627118644,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,7441.080288678394,5859.597859051737,7559.164149043303,5868.363740959895,7356.770833333333,5685.009736369083,6275.576636904762,5269.995553014421,4406.883298392732,4893.878113454893,6221.711927582534,4730.726396185064,4955.310199789695,4374.814920574487,5315.563725490196,4034.061493327197,5195.37728026534,3692.178368608886,4897.197217675941,3415.9439792663475,4762.506742179073,3282.2303057423883,4409.784560143627,3157.8788078887133,4434.3677156177155,3078.452740210871,4058.202357563852,3042.3271162391247,4021.1886993603416,2976.51332839689,3440.5896892655364,2329.8037328199366
