,year,label,Category,Attribute,060100
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,750
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,288
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,750
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,750
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,71907.21649484536
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,5992.268041237113
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,21572.164948453606
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1797.6804123711338
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,35953.60824742268
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2996.1340206185564
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,57525.77319587629
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,4793.81443298969
0,2000,DEC_SF3,Age,0-2 Years,0.535483870967742
1,2000,DEC_SF3,Age,0-4 Years,0.061750333185251
2,2000,DEC_SF3,Age,18-34 Years,0.6414926699244781
3,2000,DEC_SF3,Age,3-5 Years,0.4645161290322581
4,2000,DEC_SF3,Age,35-59 Years,0.2176810306530431
5,2000,DEC_SF3,Age,5-17 Years,0.0688582852065748
6,2000,DEC_SF3,Age,60 and older,0.010217681030653
7,2000,DEC_SF3,Age,Under 18 Years,294.0
8,2000,DEC_SF3,Age,Under 6 Years,155.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.7490247074122237
10,2000,DEC_SF3,Educational Attainment,High School or Less,0.0903771131339401
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree,0.1605981794538361
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent",25.0
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.0
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force",1.0
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",114.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.4385964912280701
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0526315789473684
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.5087719298245614
19,2000,DEC_SF3,Employment,Employed Residents,1483.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.5057316250842886
21,2000,DEC_SF3,Employment,Natural Resources,0.0148347943358057
22,2000,DEC_SF3,Employment,Production Transport Materials,0.0148347943358057
23,2000,DEC_SF3,Employment,Sales and Office,0.2623061362103843
24,2000,DEC_SF3,Employment,Services,0.1975724881995954
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",33.0
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.4242424242424242
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.5757575757575758
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents",107.0
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.4299065420560747
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.2336448598130841
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.3364485981308411
32,2000,DEC_SF3,Employment,Unemployment Rate,0.0202659911336288
33,2000,DEC_SF3,Employment,Worked in place of residence,0.7576747224036577
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.2423252775963422
35,2000,DEC_SF3,Households,Average Family Household Size,2.915841584158416
36,2000,DEC_SF3,Households,Average Household Size,2.718599033816425
37,2000,DEC_SF3,Households,Family Households,0.4879227053140096
38,2000,DEC_SF3,Households,Households,828.0
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.0205314009661835
40,2000,DEC_SF3,Households,"Households with Children, % of Total",0.2584541062801932
41,2000,DEC_SF3,Households,Living in Group Quarters,0.0
42,2000,DEC_SF3,Households,Non-Family Households,0.5120772946859904
43,2000,DEC_SF3,Households,"Single Person Households, % of Total",0.1243961352657004
44,2000,DEC_SF3,Housing,Built 1939 or earlier,0.4255663430420712
45,2000,DEC_SF3,Housing,Built 1940 to 1949,0.105177993527508
46,2000,DEC_SF3,Housing,Built 1950 to 1959,0.2475728155339805
47,2000,DEC_SF3,Housing,Built 1960 to 1969,0.1707119741100323
48,2000,DEC_SF3,Housing,Built 1970 to 1979,0.0509708737864077
49,2000,DEC_SF3,Housing,Built 1980 to 1989,0.0
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC),0.0
51,2000,DEC_SF3,Housing,Median Year Moved In Owner,1975.0
52,2000,DEC_SF3,Housing,Median Year Moved In Renter,1999.605488850772
53,2000,DEC_SF3,Housing,Median Year Structure Built,1947.076923076923
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing",0.01230012300123
55,2000,DEC_SF3,Housing,Owner Occupied,0.0181159420289855
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",0.0
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone",0.0
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone",0.0
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino",0.0
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",
61,2000,DEC_SF3,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0
62,2000,DEC_SF3,Housing,"Owner Occupied by Race, Two or More Races",0.0
63,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone",0.021551724137931
64,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.0232919254658385
65,2000,DEC_SF3,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,210.0
66,2000,DEC_SF3,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,603.0
67,2000,DEC_SF3,Housing,Renter Occupied,0.9818840579710144
68,2000,DEC_SF3,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",1.0
69,2000,DEC_SF3,Housing,"Renter Occupied by Race, Asian Alone",1.0
70,2000,DEC_SF3,Housing,"Renter Occupied by Race, Black or African American Alone",1.0
71,2000,DEC_SF3,Housing,"Renter Occupied by Race, Hispanic or Latino",1.0
72,2000,DEC_SF3,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",
73,2000,DEC_SF3,Housing,"Renter Occupied by Race, Some Other Race Alone",1.0
74,2000,DEC_SF3,Housing,"Renter Occupied by Race, Two or More Races",1.0
75,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone",0.978448275862069
76,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",0.9767080745341616
77,2000,DEC_SF3,Housing,Total Number of Units,1236.0
78,2000,DEC_SF3,Housing,Total Vacant Units,408.0
79,2000,DEC_SF3,Housing,Vacancy Rate,0.3300970873786408
80,2000,DEC_SF3,Housing Prices,Contract Rent 100 to 149,0.0
81,2000,DEC_SF3,Housing Prices,Contract Rent 1000 to 1249,114.0
82,2000,DEC_SF3,Housing Prices,Contract Rent 1250 to 1499,20.0
83,2000,DEC_SF3,Housing Prices,Contract Rent 150 to 199,0.0
84,2000,DEC_SF3,Housing Prices,Contract Rent 1500 to 1999,270.0
85,2000,DEC_SF3,Housing Prices,Contract Rent 200 to 249,6.0
86,2000,DEC_SF3,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",184.0
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299,0.0
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349,0.0
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399,0.0
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449,0.0
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549,0.0
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599,14.0
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649,0.0
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699,8.0
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749,6.0
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749,0.0
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799,25.0
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899,63.0
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999,40.0
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100,0.0
101,2000,DEC_SF3,Housing Prices,Contract Rent Total,813.0
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),63.0
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",63.0
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent,750.0
105,2000,DEC_SF3,Housing Prices,Extremely Rent Burdened,0.1599015990159901
106,2000,DEC_SF3,Housing Prices,Home Value 10000 to 14999 ,0.0
107,2000,DEC_SF3,Housing Prices,Home Value 100000 to 124999,0.0
108,2000,DEC_SF3,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",15.0
109,2000,DEC_SF3,Housing Prices,Home Value 125000 to 149999,0.0
110,2000,DEC_SF3,Housing Prices,Home Value 15000 to 19999 ,0.0
111,2000,DEC_SF3,Housing Prices,Home Value 150000 to 174999,0.0
112,2000,DEC_SF3,Housing Prices,Home Value 175000 to 199999,0.0
113,2000,DEC_SF3,Housing Prices,Home Value 20000 to 24999 ,0.0
114,2000,DEC_SF3,Housing Prices,Home Value 200000 to 249999,0.0
115,2000,DEC_SF3,Housing Prices,Home Value 25000 to 29999 ,0.0
116,2000,DEC_SF3,Housing Prices,Home Value 250000 to 299999,0.0
117,2000,DEC_SF3,Housing Prices,Home Value 30000 to 34999 ,0.0
118,2000,DEC_SF3,Housing Prices,Home Value 300000 to 399999,0.0
119,2000,DEC_SF3,Housing Prices,Home Value 35000 to 39999 ,0.0
120,2000,DEC_SF3,Housing Prices,Home Value 40000 to 49999 ,0.0
121,2000,DEC_SF3,Housing Prices,Home Value 400000 to 499999,0.0
122,2000,DEC_SF3,Housing Prices,Home Value 50000 to 59999 ,0.0
123,2000,DEC_SF3,Housing Prices,Home Value 500000 to 749999,0.0
124,2000,DEC_SF3,Housing Prices,Home Value 60000 to 69999 ,0.0
125,2000,DEC_SF3,Housing Prices,Home Value 70000 to 79999 ,0.0
126,2000,DEC_SF3,Housing Prices,Home Value 750000 to 999999,0.0
127,2000,DEC_SF3,Housing Prices,Home Value 80000 to 89999 ,0.0
128,2000,DEC_SF3,Housing Prices,Home Value 90000 to 99999 ,0.0
129,2000,DEC_SF3,Housing Prices,Home Value Less than 10000,0.0
130,2000,DEC_SF3,Housing Prices,Home Value Total,15.0
131,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage,0.0
132,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 0 to 30%,0.0
133,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 30-50%,0.0
134,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage 50%+,0.0
135,2000,DEC_SF3,Housing Prices,Housing Units with a Mortgage Not Computed,0.0
136,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage,5.0
137,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 0 to 30%,5.0
138,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 30-50%,0.0
139,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage 50%+,0.0
140,2000,DEC_SF3,Housing Prices,Housing Units without a Mortgage Not Computed,0.0
141,2000,DEC_SF3,Housing Prices,Median Contract Rent,1646.2962962962963
142,2000,DEC_SF3,Housing Prices,Median Home Value,1000001.0
143,2000,DEC_SF3,Housing Prices,Median Rent,1656.474820143885
144,2000,DEC_SF3,Housing Prices,Median Rent as % of Household Income,26.52705882352941
145,2000,DEC_SF3,Housing Prices,Rent 100 to 149,0.0
146,2000,DEC_SF3,Housing Prices,Rent 1000 to 1249,114.0
147,2000,DEC_SF3,Housing Prices,Rent 1250 to 1499,12.0
148,2000,DEC_SF3,Housing Prices,Rent 150 to 199,0.0
149,2000,DEC_SF3,Housing Prices,Rent 1500 to 1999,278.0
150,2000,DEC_SF3,Housing Prices,Rent 200 to 249,0.0
151,2000,DEC_SF3,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)",184.0
152,2000,DEC_SF3,Housing Prices,Rent 250 to 299,0.0
153,2000,DEC_SF3,Housing Prices,Rent 300 to 349,0.0
154,2000,DEC_SF3,Housing Prices,Rent 350 to 399,6.0
155,2000,DEC_SF3,Housing Prices,Rent 400 to 449,0.0
156,2000,DEC_SF3,Housing Prices,Rent 450 to 499,0.0
157,2000,DEC_SF3,Housing Prices,Rent 500 to 549,14.0
158,2000,DEC_SF3,Housing Prices,Rent 550 to 599,0.0
159,2000,DEC_SF3,Housing Prices,Rent 600 to 649,8.0
160,2000,DEC_SF3,Housing Prices,Rent 650 to 699,6.0
161,2000,DEC_SF3,Housing Prices,Rent 700 to 749,0.0
162,2000,DEC_SF3,Housing Prices,Rent 750 to 799,21.0
163,2000,DEC_SF3,Housing Prices,Rent 800 to 899,51.0
164,2000,DEC_SF3,Housing Prices,Rent 900 to 999,56.0
165,2000,DEC_SF3,Housing Prices,Rent Burdened,0.3837638376383764
