,Category,Attribute,2000_Russian Hill,2010_Russian Hill,2011_Russian Hill,2012_Russian Hill,2013_Russian Hill,2014_Russian Hill,2015_Russian Hill,2016_Russian Hill,2017_Russian Hill,2018_Russian Hill,2019_Russian Hill,2020_Russian Hill,2021_Russian Hill,2022_Russian Hill,2023_Russian Hill,2024_Russian Hill
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,7739.0,7717.0,7721.0,7768.0,7810.0,7908.0,7083.0,6804.0,6508.0,4313.0,6088.0,5644.0,5558.0,5081.0,4875.0,5010
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,5746.0,4286.0,5291.0,4990.0,4698.0,7789.0,5508.0,5029.0,5594.0,3774.0,6088.0,5644.0,5558.0,5081.0,4875.0,5010
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,7739.0,7717.0,7721.0,7768.0,7810.0,7908.0,7083.0,6804.0,6508.0,4313.0,6088.0,5644.0,5558.0,5081.0,4875.0,5010
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,7739.0,7717.0,7721.0,7768.0,7810.0,7908.0,7083.0,6804.0,6508.0,4313.0,6088.0,5644.0,5558.0,5081.0,4875.0,5010
9,Affordability,100 AMI Annual Income,62966.26054358013,79270.03816793892,86585.36585365854,92223.91084093212,98542.87090558768,102947.6418864908,107953.47744360902,110819.32773109245,123481.94748358862,120987.17948717948,144372.29437229436,141443.62186788156,144501.1025358324,149182.12890625,171140.93959731545,160520.95459837018
10,Affordability,100 AMI Monthly Affordable Rent,5247.188378631678,6605.83651399491,7215.447154471545,7685.32590341101,8211.905908798974,8578.970157207566,8996.123120300752,9234.943977591038,10290.162290299051,10082.264957264957,12031.02453102453,11786.968488990131,12041.758544652701,12431.844075520834,14261.744966442953,13376.746216530848
0,Affordability,30 AMI Annual Income,18889.878163074038,23781.011450381677,25975.60975609756,27667.173252279634,29562.861271676302,30884.29256594724,32386.043233082706,33245.79831932773,37044.584245076585,36296.153846153844,43311.688311688304,42433.08656036447,43350.33076074972,44754.638671875,51342.281879194634,48156.28637951105
1,Affordability,30 AMI Monthly Affordable Rent,1574.1565135895032,1981.750954198473,2164.6341463414633,2305.597771023303,2463.571772639692,2573.69104716227,2698.8369360902257,2770.483193277311,3087.0486870897153,3024.679487179487,3609.3073593073586,3536.0905466970394,3612.52756339581,3729.55322265625,4278.523489932886,4013.0238649592543
3,Affordability,50 AMI Annual Income,31483.130271790065,39635.01908396946,43292.68292682927,46111.95542046606,49271.43545279384,51473.8209432454,53976.73872180451,55409.66386554622,61740.97374179431,60493.58974358974,72186.14718614718,70721.81093394078,72250.5512679162,74591.064453125,85570.46979865772,80260.47729918509
4,Affordability,50 AMI Monthly Affordable Rent,2623.594189315839,3302.918256997455,3607.7235772357726,3842.662951705505,4105.952954399487,4289.485078603783,4498.061560150376,4617.471988795519,5145.081145149526,5041.1324786324785,6015.512265512265,5893.4842444950655,6020.8792723263505,6215.922037760417,7130.872483221477,6688.373108265424
6,Affordability,80 AMI Annual Income,50373.00843486411,63416.03053435114,69268.29268292684,73779.1286727457,78834.29672447016,82358.11350919266,86362.78195488722,88655.46218487396,98785.5579868709,96789.7435897436,115497.83549783549,113154.89749430526,115600.88202866593,119345.703125,136912.75167785236,128416.76367869615
7,Affordability,80 AMI Monthly Affordable Rent,4197.750702905342,5284.669211195928,5772.357723577236,6148.260722728809,6569.52472703918,6863.176125766055,7196.898496240602,7387.95518207283,8232.129832239241,8065.811965811966,9624.819624819624,9429.574791192104,9633.40683572216,9945.475260416666,11409.395973154364,10701.396973224679
0,Age,0-4 Years,0.0247278816634105,0.0340482573726541,0.0323836297778018,0.0372677536428145,0.041796400865481,0.0342307485625235,0.0319049452665163,0.025350532809871,0.0172621657167908,0.0586803677663601,0.0229340095925905,0.0216592641333552,0.0203247416827523,0.0252732635475102,0.0229871437881391,0.0202154005644185
1,Age,18-34 Years,0.3652804912084845,0.3521715817694369,0.3667621776504298,0.4065326905368073,0.4057733917357116,0.4254393035627922,0.4079432312008361,0.4356702187324733,0.4144015782551512,0.3153506399855778,0.415844313357958,0.4265504194768876,0.401952991938231,0.3848244751604881,0.3817169263581966,0.4115648217473939
2,Age,35-59 Years,0.3512698855707508,0.3532975871313673,0.3507055198140238,0.3145008396078219,0.3133146867908596,0.2944811650276748,0.2966609824522801,0.2681435782389231,0.2785510740903112,0.3381557598702001,0.2709079883124758,0.2726325601798541,0.3020892471897354,0.3172748828870511,0.3182653000770187,0.2872199504693889
3,Age,5-17 Years,0.0464973485905665,0.0492761394101876,0.0467643401632697,0.0372677536428145,0.0352525199218956,0.0341770111236498,0.0332251498982342,0.0373527762198541,0.038141166155195,0.0782855597620335,0.0331330282816031,0.0279651258430662,0.023901442034745,0.0304204499450581,0.0387463712305231,0.0447503311639693
4,Age,60 and older,0.2122243929667876,0.2112064343163538,0.2033843325944747,0.2044309625697416,0.203863000686052,0.2116717717233596,0.2302656911821332,0.2334828939988782,0.2516440157825515,0.2095276726158284,0.2571806604553724,0.2511926303668366,0.2517315771545361,0.2422069284598924,0.2382842585461224,0.2362494960548292
