,year,label,Category,Attribute,017601,017602,017603,017604,017800,017801,017802,017803,017804,018000
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,2141,245,INACTIVE,INACTIVE,2235,INACTIVE,INACTIVE,INACTIVE,INACTIVE,239
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1088,78,INACTIVE,INACTIVE,1140,INACTIVE,INACTIVE,INACTIVE,INACTIVE,201
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1921,173,INACTIVE,INACTIVE,1826,INACTIVE,INACTIVE,INACTIVE,INACTIVE,239
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,2141,245,INACTIVE,INACTIVE,2180,INACTIVE,INACTIVE,INACTIVE,INACTIVE,239
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,23500.0,58437.5,INACTIVE,INACTIVE,14679.83651226158,INACTIVE,INACTIVE,INACTIVE,INACTIVE,66847.82608695653
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,1958.3333333333333,4869.791666666667,INACTIVE,INACTIVE,1223.3197093551316,INACTIVE,INACTIVE,INACTIVE,INACTIVE,5570.652173913044
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,7050.0,17531.25,INACTIVE,INACTIVE,4403.9509536784735,INACTIVE,INACTIVE,INACTIVE,INACTIVE,20054.347826086956
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,587.5,1460.9375,INACTIVE,INACTIVE,366.9959128065395,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1671.195652173913
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,11750.0,29218.75,INACTIVE,INACTIVE,7339.91825613079,INACTIVE,INACTIVE,INACTIVE,INACTIVE,33423.913043478264
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,979.1666666666666,2434.8958333333335,INACTIVE,INACTIVE,611.6598546775658,INACTIVE,INACTIVE,INACTIVE,INACTIVE,2785.326086956522
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,18800.0,46750.0,INACTIVE,INACTIVE,11743.869209809265,INACTIVE,INACTIVE,INACTIVE,INACTIVE,53478.26086956522
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,1566.6666666666667,3895.8333333333335,INACTIVE,INACTIVE,978.6557674841055,INACTIVE,INACTIVE,INACTIVE,INACTIVE,4456.521739130435
0,2000,DEC_SF3,Age,0-2 Years,0.3352601156069364,1.0,INACTIVE,INACTIVE,0.8095238095238095,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4242424242424242
1,2000,DEC_SF3,Age,0-4 Years,0.0206740792216817,0.0119402985074626,INACTIVE,INACTIVE,0.0171556013038257,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0112134561473768
2,2000,DEC_SF3,Age,18-34 Years,0.2970813064628214,0.5402985074626866,INACTIVE,INACTIVE,0.2418939783839423,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4721665999199039
3,2000,DEC_SF3,Age,3-5 Years,0.6647398843930635,0.0,INACTIVE,INACTIVE,0.1904761904761904,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.5757575757575758
4,2000,DEC_SF3,Age,35-59 Years,0.4656011118832522,0.3283582089552239,INACTIVE,INACTIVE,0.3180648481729284,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4401281537845414
5,2000,DEC_SF3,Age,5-17 Years,0.0776580958999305,0.0,INACTIVE,INACTIVE,0.0533539200548979,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0484581497797356
6,2000,DEC_SF3,Age,60 and older,0.1389854065323141,0.1194029850746268,INACTIVE,INACTIVE,0.3695316520844056,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0280336403684421
7,2000,DEC_SF3,Age,Under 18 Years,566.0,4.0,INACTIVE,INACTIVE,411.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,149.0
8,2000,DEC_SF3,Age,Under 6 Years,173.0,4.0,INACTIVE,INACTIVE,105.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,33.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.2346672466289691,0.75,INACTIVE,INACTIVE,0.3071971913399648,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.2658548959918823
10,2000,DEC_SF3,Educational Attainment,High School or Less,0.4817311874728143,0.1580882352941176,INACTIVE,INACTIVE,0.4807879851765165,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.5337392186707255
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree,0.2836015658982166,0.0919117647058823,INACTIVE,INACTIVE,0.2120148234835186,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.2004058853373921
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent",131.0,0.0,INACTIVE,INACTIVE,87.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,14.0
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.5572519083969466,,INACTIVE,INACTIVE,0.5402298850574713,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.6428571428571429
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.4427480916030534,,INACTIVE,INACTIVE,0.4597701149425287,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.3571428571428571
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",189.0,0.0,INACTIVE,INACTIVE,172.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,56.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.201058201058201,,INACTIVE,INACTIVE,0.2906976744186046,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.3035714285714285
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.4285714285714285,,INACTIVE,INACTIVE,0.3720930232558139,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.25
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.3703703703703703,,INACTIVE,INACTIVE,0.3372093023255814,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4464285714285714
19,2000,DEC_SF3,Employment,Employed Residents,2351.0,273.0,INACTIVE,INACTIVE,2351.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,750.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.3058273075287112,0.7435897435897436,INACTIVE,INACTIVE,0.4581029349213101,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.48
21,2000,DEC_SF3,Employment,Natural Resources,0.050191407911527,0.0,INACTIVE,INACTIVE,0.042960442364951,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0106666666666666
22,2000,DEC_SF3,Employment,Production Transport Materials,0.0786899191833262,0.0512820512820512,INACTIVE,INACTIVE,0.0893236920459379,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0373333333333333
23,2000,DEC_SF3,Employment,Sales and Office,0.3011484474691621,0.2051282051282051,INACTIVE,INACTIVE,0.207145895363675,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.3146666666666666
24,2000,DEC_SF3,Employment,Services,0.2586133560187154,0.0,INACTIVE,INACTIVE,0.200765631646108,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.1573333333333333
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",26.0,0.0,INACTIVE,INACTIVE,41.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,9.0
26,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.8461538461538461,,INACTIVE,INACTIVE,0.5121951219512195,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1.0
27,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.1538461538461538,,INACTIVE,INACTIVE,0.4878048780487805,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0
28,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents",140.0,4.0,INACTIVE,INACTIVE,45.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,24.0
29,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.1,0.0,INACTIVE,INACTIVE,0.7777777777777778,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0
30,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.2857142857142857,0.0,INACTIVE,INACTIVE,0.2222222222222222,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.5833333333333334
31,2000,DEC_SF3,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.6142857142857143,1.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4166666666666667
32,2000,DEC_SF3,Employment,Unemployment Rate,0.2129226648811516,0.0745762711864406,INACTIVE,INACTIVE,0.1078320090805902,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0
33,2000,DEC_SF3,Employment,Worked in place of residence,0.8347676419965576,0.9010989010989012,INACTIVE,INACTIVE,0.7808695652173913,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.7482614742698191
34,2000,DEC_SF3,Employment,Worked outside place of residence,0.1652323580034423,0.0989010989010989,INACTIVE,INACTIVE,0.2191304347826086,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.2517385257301808
35,2000,DEC_SF3,Households,Average Family Household Size,3.478021978021978,2.3076923076923075,INACTIVE,INACTIVE,2.939884393063584,INACTIVE,INACTIVE,INACTIVE,INACTIVE,3.489208633093525
36,2000,DEC_SF3,Households,Average Household Size,1.8979926259729616,1.2827868852459017,INACTIVE,INACTIVE,1.6930471002883691,INACTIVE,INACTIVE,INACTIVE,INACTIVE,2.0299785867237685
37,2000,DEC_SF3,Households,Family Households,0.2982384268742318,0.1065573770491803,INACTIVE,INACTIVE,0.2771547580903556,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.297644539614561
38,2000,DEC_SF3,Households,Households,2441.0,244.0,INACTIVE,INACTIVE,3121.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,467.0
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.2179434657927079,0.0737704918032786,INACTIVE,INACTIVE,0.605895546299263,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0214132762312633
40,2000,DEC_SF3,Households,"Households with Children, % of Total",0.1323228185170012,0.040983606557377,INACTIVE,INACTIVE,0.0567125921179109,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.1177730192719486
41,2000,DEC_SF3,Households,Living in Group Quarters,1123.0,22.0,INACTIVE,INACTIVE,545.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1549.0
42,2000,DEC_SF3,Households,Non-Family Households,0.7017615731257681,0.8934426229508197,INACTIVE,INACTIVE,0.7228452419096444,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.702355460385439
43,2000,DEC_SF3,Households,"Single Person Households, % of Total",0.5854158131913151,0.7663934426229508,INACTIVE,INACTIVE,0.581544376802307,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4753747323340471
44,2000,DEC_SF3,Housing,Built 1939 or earlier,0.4776995305164319,0.0212765957446808,INACTIVE,INACTIVE,0.2324357783967811,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.3361884368308351
45,2000,DEC_SF3,Housing,Built 1940 to 1949,0.1001564945226917,0.0,INACTIVE,INACTIVE,0.0340451872485298,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0770877944325481
46,2000,DEC_SF3,Housing,Built 1950 to 1959,0.1611893583724569,0.0,INACTIVE,INACTIVE,0.0591148251315382,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0406852248394004
47,2000,DEC_SF3,Housing,Built 1960 to 1969,0.0543818466353677,0.0,INACTIVE,INACTIVE,0.0235221293717115,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0535331905781584
48,2000,DEC_SF3,Housing,Built 1970 to 1979,0.0348200312989045,0.0455927051671732,INACTIVE,INACTIVE,0.2556484060662333,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0556745182012847
49,2000,DEC_SF3,Housing,Built 1980 to 1989,0.0328638497652582,0.7872340425531915,INACTIVE,INACTIVE,0.2107706592386258,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.0107066381156316
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC),0.1388888888888889,0.1458966565349544,INACTIVE,INACTIVE,0.18446301454658,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4261241970021413
51,2000,DEC_SF3,Housing,Median Year Moved In Owner,1997.641975308642,2000.0,INACTIVE,INACTIVE,1996.030042918455,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1998.3394495412845
52,2000,DEC_SF3,Housing,Median Year Moved In Renter,1997.491657397108,1998.7910447761196,INACTIVE,INACTIVE,1995.4247967479675,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1995.0434782608693
53,2000,DEC_SF3,Housing,Median Year Structure Built,1942.2265625,1985.5019305019305,INACTIVE,INACTIVE,1975.9019370460048,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1968.6
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing",0.282646801051709,0.0612244897959183,INACTIVE,INACTIVE,0.1728851126708533,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.242914979757085
55,2000,DEC_SF3,Housing,Owner Occupied,0.0636027903159622,0.0239043824701195,INACTIVE,INACTIVE,0.1309791332263242,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4547461368653421
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",0.0,,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone",0.0207006369426751,0.0,INACTIVE,INACTIVE,0.0483242400623538,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.4461538461538462
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone",0.0606060606060606,,INACTIVE,INACTIVE,0.1228813559322034,INACTIVE,INACTIVE,INACTIVE,INACTIVE,1.0
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino",0.1333333333333333,,INACTIVE,INACTIVE,0.1116751269035533,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.1016949152542373
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,
61,2000,DEC_SF3,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0763888888888889,,INACTIVE,INACTIVE,0.054054054054054,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.1363636363636363
62,2000,DEC_SF3,Housing,"Owner Occupied by Race, Two or More Races",0.0397350993377483,,INACTIVE,INACTIVE,0.0756302521008403,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.3333333333333333
63,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone",0.0950095969289827,0.03125,INACTIVE,INACTIVE,0.2212518195050946,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.496875
64,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.0818083961248654,0.03125,INACTIVE,INACTIVE,0.2218774243599689,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.5096153846153846
65,2000,DEC_SF3,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,389.0,223.0,INACTIVE,INACTIVE,1020.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25.0
66,2000,DEC_SF3,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,1885.0,22.0,INACTIVE,INACTIVE,1687.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,222.0
67,2000,DEC_SF3,Housing,Renter Occupied,0.9363972096840376,0.9760956175298804,INACTIVE,INACTIVE,0.8690208667736757,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.5452538631346578
68,2000,DEC_SF3,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",1.0,,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,
