,Category,Attribute,Percent Of,2000_Sunset/Parkside,2010_Sunset/Parkside,2011_Sunset/Parkside,2012_Sunset/Parkside,2013_Sunset/Parkside,2014_Sunset/Parkside,2015_Sunset/Parkside,2016_Sunset/Parkside,2017_Sunset/Parkside,2018_Sunset/Parkside,2019_Sunset/Parkside,2020_Sunset/Parkside,2021_Sunset/Parkside,2022_Sunset/Parkside,2023_Sunset/Parkside,2024_Sunset/Parkside
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,9606.0,10094.0,10586.0,10778.0,10977.0,11172.0,10133.0,10102.0,9576.0,10686.0,8769.0,14155.0,7023.0,6135.0,5761.0,5863
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,7232.0,5049.0,4731.0,4561.0,4535.0,6708.0,6575.0,6225.0,5710.0,7695.0,6285.0,10563.0,6012.0,6135.0,5761.0,5863
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,9606.0,10094.0,10586.0,10778.0,10977.0,11172.0,10133.0,10102.0,9576.0,10686.0,8769.0,14155.0,7023.0,6135.0,5761.0,5863
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,9606.0,10094.0,10586.0,10778.0,10977.0,11172.0,10133.0,10102.0,9576.0,10686.0,8769.0,14155.0,7023.0,6135.0,5761.0,5863
540,Affordability,100 AMI Annual Income,None,62829.165411268456,78719.5796460177,79277.93904208999,77894.93293591654,78997.79735682819,81687.2866894198,84652.71786022434,89398.45334685598,96833.66877515812,112901.7305315204,113737.80267437658,118852.18736190896,131196.33981021238,141880.2014892685,147076.79889298894,153695.82043343654
541,Affordability,100 AMI Monthly Affordable Rent,None,5235.763784272372,6559.964970501474,6606.494920174166,6491.244411326378,6583.149779735682,6807.2738907849825,7054.393155018694,7449.871112237998,8069.472397929843,9408.477544293366,9478.150222864715,9904.348946825747,10933.028317517697,11823.35012410571,12256.399907749079,12807.985036119711
531,Affordability,30 AMI Annual Income,None,18848.749623380536,23615.873893805307,23783.381712626997,23368.47988077496,23699.339207048455,24506.186006825938,25395.8153580673,26819.536004056794,29050.100632547434,33870.51915945612,34121.340802312974,35655.656208572684,39358.90194306371,42564.06044678055,44123.03966789668,46108.74613003096
532,Affordability,30 AMI Monthly Affordable Rent,None,1570.7291352817113,1967.9894911504423,1981.9484760522498,1947.3733233979135,1974.9449339207047,2042.1821672354947,2116.3179465056082,2234.9613336713996,2420.841719378953,2822.5432632880097,2843.4450668594145,2971.3046840477236,3279.9084952553094,3547.005037231713,3676.9199723247234,3842.3955108359132
534,Affordability,50 AMI Annual Income,None,31414.582705634228,39359.78982300885,39638.96952104499,38947.46646795827,39498.898678414094,40843.6433447099,42326.35893011217,44699.22667342799,48416.83438757906,56450.8652657602,56868.90133718829,59426.09368095448,65598.16990510619,70940.10074463426,73538.39944649447,76847.91021671827
535,Affordability,50 AMI Monthly Affordable Rent,None,2617.881892136186,3279.982485250737,3303.247460087083,3245.622205663189,3291.574889867841,3403.6369453924913,3527.196577509347,3724.935556118999,4034.7361989649216,4704.238772146683,4739.0751114323575,4952.174473412873,5466.514158758849,5911.675062052855,6128.1999538745395,6403.992518059856
537,Affordability,80 AMI Annual Income,None,50263.33232901477,62975.66371681416,63422.351233671994,62315.94634873324,63198.23788546256,65349.82935153584,67722.17428817948,71518.76267748479,77466.9350201265,90321.38442521633,90990.24213950126,95081.74988952717,104957.0718481699,113504.16119141481,117661.43911439116,122956.65634674924
538,Affordability,80 AMI Monthly Affordable Rent,None,4188.611027417897,5247.97197640118,5285.195936139333,5192.995529061103,5266.519823788546,5445.819112627986,5643.514524014957,5959.896889790399,6455.577918343875,7526.782035434694,7582.520178291772,7923.479157460598,8746.422654014159,9458.680099284567,9805.119926199264,10246.38802889577
