,Category,Attribute,Percent Of,2024_Sunset/Parkside,2024_San Francisco,2023_Sunset/Parkside,2023_San Francisco,2022_Sunset/Parkside,2022_San Francisco,2021_Sunset/Parkside,2021_San Francisco,2020_Sunset/Parkside,2020_San Francisco,2019_Sunset/Parkside,2019_San Francisco,2018_Sunset/Parkside,2018_San Francisco,2017_Sunset/Parkside,2017_San Francisco,2016_Sunset/Parkside,2016_San Francisco,2015_Sunset/Parkside,2015_San Francisco,2014_Sunset/Parkside,2014_San Francisco,2013_Sunset/Parkside,2013_San Francisco,2012_Sunset/Parkside,2012_San Francisco,2011_Sunset/Parkside,2011_San Francisco,2010_Sunset/Parkside,2010_San Francisco,2000_Sunset/Parkside,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,5863,156904,5761.0,158878.0,6135.0,164391.0,7023.0,177267.0,14155.0,179637.0,8769.0,194605.0,10686.0,196852.0,9576.0,201554.0,10102.0,206125.0,10133.0,208027.0,11172.0,219759.0,10977.0,217742.0,10778.0,213982.0,10586.0,212110.0,10094.0,209068.0,9606.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,5863,156904,5761.0,158878.0,6135.0,142404.0,6012.0,155085.0,10563.0,133315.0,6285.0,146746.0,7695.0,152803.0,5710.0,131265.0,6225.0,139452.0,6575.0,146046.0,6708.0,103611.0,4535.0,106717.0,4561.0,108966.0,4731.0,114525.0,5049.0,119019.0,7232.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,5863,156904,5761.0,158878.0,6135.0,164391.0,7023.0,177267.0,14155.0,179637.0,8769.0,194605.0,10686.0,196852.0,9576.0,201554.0,10102.0,206125.0,10133.0,195487.0,11172.0,219759.0,10977.0,217742.0,10778.0,213982.0,10586.0,212110.0,10094.0,203005.0,9606.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,5863,156904,5761.0,158878.0,6135.0,164391.0,7023.0,177267.0,14155.0,179637.0,8769.0,194605.0,10686.0,196852.0,9576.0,201554.0,10102.0,206125.0,10133.0,208027.0,11172.0,219759.0,10977.0,217742.0,10778.0,213982.0,10586.0,212110.0,10094.0,209068.0,9606.0,209020.0
4,Affordability,100 AMI Annual Income,None,153695.82043343654,140630.3486172417,147076.79889298894,140840.72978303747,141880.2014892685,136440.23367285798,131196.33981021238,126479.8932723461,118852.18736190896,117453.07472291742,113737.80267437658,113537.43350844154,112901.7305315204,104995.55809378768,96833.66877515812,96817.47583985272,89398.45334685598,88612.28084661327,84652.71786022434,81982.65550239234,81687.2866894198,78773.52733781732,78997.79735682819,75789.09138932911,77894.93293591654,73882.86576506091,79277.93904208999,73015.850789739,78719.5796460177,71436.31988152536,62829.165411268456,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,12807.985036119711,11719.195718103474,12256.399907749079,11736.72748191979,11823.35012410571,11370.019472738166,10933.028317517697,10539.991106028841,9904.348946825747,9787.756226909785,9478.150222864715,9461.452792370128,9408.477544293366,8749.629841148973,8069.472397929843,8068.122986654394,7449.871112237998,7384.356737217772,7054.393155018694,6831.887958532695,6807.2738907849825,6564.460611484777,6583.149779735682,6315.7576157774265,6491.244411326378,6156.905480421742,6606.494920174166,6084.6542324782495,6559.964970501474,5953.02665679378,5235.763784272372,4659.607465639873
6,Affordability,30 AMI Annual Income,None,46108.74613003096,42189.10458517251,44123.03966789668,42252.21893491124,42564.06044678055,40932.0701018574,39358.90194306371,37943.96798170383,35655.656208572684,35235.922416875226,34121.340802312974,34061.23005253246,33870.51915945612,31498.6674281363,29050.100632547434,29045.242751955815,26819.536004056794,26583.68425398398,25395.8153580673,24594.7966507177,24506.186006825938,23632.058201345193,23699.339207048455,22736.727416798734,23368.47988077496,22164.859729518274,23783.381712626997,21904.755236921697,23615.873893805307,21430.895964457606,18848.749623380536,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,3842.3955108359132,3515.758715431042,3676.9199723247234,3521.0182445759365,3547.005037231713,3411.00584182145,3279.9084952553094,3161.9973318086522,2971.3046840477236,2936.3268680729357,2843.4450668594145,2838.4358377110384,2822.5432632880097,2624.888952344692,2420.841719378953,2420.436895996318,2234.9613336713996,2215.3070211653317,2116.3179465056082,2049.5663875598084,2042.1821672354947,1969.3381834454328,1974.9449339207047,1894.7272847332279,1947.3733233979135,1847.0716441265229,1981.9484760522498,1825.3962697434747,1967.9894911504423,1785.9079970381338,1570.7291352817113,1397.882239691962
8,Affordability,50 AMI Annual Income,None,76847.91021671827,70315.17430862084,73538.39944649447,70420.36489151874,70940.10074463426,68220.11683642899,65598.16990510619,63239.94663617305,59426.09368095448,58726.53736145871,56868.90133718829,56768.71675422077,56450.8652657602,52497.77904689384,48416.83438757906,48408.73791992636,44699.22667342799,44306.140423306635,42326.35893011217,40991.32775119617,40843.6433447099,39386.76366890866,39498.898678414094,37894.54569466456,38947.46646795827,36941.432882530455,39638.96952104499,36507.9253948695,39359.78982300885,35718.15994076268,31414.582705634228,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,6403.992518059856,5859.597859051737,6128.1999538745395,5868.363740959895,5911.675062052855,5685.009736369083,5466.514158758849,5269.995553014421,4952.174473412873,4893.878113454893,4739.0751114323575,4730.726396185064,4704.238772146683,4374.814920574487,4034.7361989649216,4034.061493327197,3724.935556118999,3692.178368608886,3527.196577509347,3415.9439792663475,3403.6369453924913,3282.2303057423883,3291.574889867841,3157.8788078887133,3245.622205663189,3078.452740210871,3303.247460087083,3042.3271162391247,3279.982485250737,2976.51332839689,2617.881892136186,2329.8037328199366
10,Affordability,80 AMI Annual Income,None,122956.65634674924,112504.27889379335,117661.43911439116,112672.58382642998,113504.16119141481,109152.1869382864,104957.0718481699,101183.91461787689,95081.74988952717,93962.45977833394,90990.24213950126,90829.94680675323,90321.38442521633,83996.44647503016,77466.9350201265,77453.98067188218,71518.76267748479,70889.82467729061,67722.17428817948,65586.12440191388,65349.82935153584,63018.82187025386,63198.23788546256,60631.27311146329,62315.94634873324,59106.29261204873,63422.351233671994,58412.6806317912,62975.66371681416,57149.05590522029,50263.33232901477,44732.23167014279
11,Affordability,80 AMI Monthly Affordable Rent,None,10246.38802889577,9375.35657448278,9805.119926199264,9389.381985535832,9458.680099284567,9096.015578190532,8746.422654014159,8431.992884823074,7923.479157460598,7830.204981527829,7582.520178291772,7569.162233896102,7526.782035434694,6999.70387291918,6455.577918343875,6454.498389323515,5959.896889790399,5907.485389774218,5643.514524014957,5465.510366826157,5445.819112627986,5251.568489187822,5266.519823788546,5052.606092621941,5192.995529061103,4925.524384337395,5285.195936139333,4867.7233859826,5247.97197640118,4762.421325435024,4188.611027417897,3727.6859725118993
12,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.475363070539419,0.5478517844964764,0.4732142857142857,0.5406992325496406,0.490978800180424,0.5435105855696382,0.5061280072628235,0.5452634434122194,0.4649350649350649,0.5463237718430597,0.4517997517583781,0.5439706576294453,0.4935312831389183,0.5485122061580229,0.4838017592791246,0.5440728159567982,0.4674608427090227,0.5398601090002427,0.5041896097677759,0.5406174484518621,0.5211750305997552,0.5405688483381436,0.4801968019680196,0.5284299122869234,0.471596724667349,0.5306792579454485,0.507607555089192,0.537271756021756,0.5367381353890629,0.5470185194379623,0.4845222072678331,0.5067081678651927
13,Age,0-4 Years,Total Population,0.0412738989188901,0.0410560088487774,0.0458949042475647,0.0420818720739854,0.0479790931926014,0.0429241305894045,0.0461278922286938,0.044113206543054,0.0471005098954282,0.0449551586788678,0.0470235359570402,0.0451682212163969,0.0513808777012838,0.0454203559955169,0.0445197280214518,0.045376638858545,0.0446042987932778,0.0455484248199895,0.0436882955603849,0.0453526040368801,0.0441517426340656,0.0451965654091783,0.044245635591051,0.0448415927988704,0.0424414845467477,0.0443776522702378,0.0414881771140368,0.0442509760598566,0.0461376459270429,0.0440338149220979,0.041588282719699,0.0400176122296851
14,Age,18-34 Years,Total Population,0.1814187569899344,0.2720516049880636,0.1885097077728447,0.2751838010561819,0.2007078882602187,0.2839780215639264,0.2164784691351943,0.2937872454640216,0.3439417509290468,0.305727332987868,0.2418543334704047,0.3058618588627659,0.2844554902846814,0.3066219589313914,0.2494852518674583,0.3056840821116546,0.2407028107494509,0.3052043890961046,0.2403352995963986,0.3044161499051527,0.2447207148496735,0.3034690431088777,0.2424102800389085,0.3032975760903671,0.2419242208715893,0.303876826740466,0.2471867426475404,0.3034485355963694,0.2338992745898442,0.3029564563668388,0.2582504703036818,0.3214952885998148
15,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.5246369294605809,0.4521482155035235,0.5267857142857143,0.4593007674503593,0.509021199819576,0.4564894144303618,0.4938719927371766,0.4547365565877805,0.535064935064935,0.4536762281569403,0.5482002482416218,0.4560293423705546,0.5064687168610816,0.4514877938419771,0.5161982407208754,0.4559271840432018,0.5325391572909772,0.4601398909997573,0.495810390232224,0.4593825515481379,0.4788249694002447,0.4594311516618564,0.5198031980319803,0.4715700877130765,0.528403275332651,0.4693207420545515,0.4923924449108079,0.4627282439782439,0.4632618646109371,0.4529814805620376,0.5154777927321669,0.4932918321348073
16,Age,35-59 Years,Total Population,0.364128987591202,0.3571679565096113,0.3605062620104698,0.3582532487301127,0.3614035977976809,0.3555327627544171,0.360859018089128,0.3533718894867573,0.3058940454584737,0.3441166739989114,0.3438475121550035,0.3477087189166407,0.3490603652215518,0.3498157591311249,0.347431047692013,0.3530123918927381,0.3571551958147225,0.3570726313357319,0.359068612232226,0.3598353198993224,0.3610341759302194,0.3612654748190046,0.364216966159832,0.3645669909005334,0.3635846372688478,0.3666356963787091,0.3633457784764525,0.3702449251164367,0.3675021450300304,0.3732403935169017,0.3577532921257726,0.3578295244311752
17,Age,5-17 Years,Total Population,0.1241146082973851,0.0956109919010985,0.1177523026969717,0.0950096245352536,0.1150254992007713,0.0925993527995892,0.1112438276545703,0.0923392494160466,0.065098090052718,0.0893695890108821,0.1061536972980818,0.0891075388026607,0.1003030222482124,0.0888260994267166,0.1089350699099789,0.0887436248895444,0.1110357081163783,0.089276704499908,0.1110214219186588,0.0887033409362156,0.1108869199052548,0.088993279990716,0.1119131725797368,0.0893044497176027,0.1117289538342169,0.0898952923094862,0.1167878430601952,0.0902896167317373,0.1190556667793349,0.0908309342788169,0.1217280300994356,0.1041181461325835
18,Age,60 and older,Total Population,0.2890637482025883,0.2341134377524491,0.287336823272149,0.2294714536044663,0.2748839215487276,0.2249657322926627,0.2652907928924134,0.2163884090901202,0.2379656036643332,0.2158312453234706,0.2611209211194698,0.2121536622015356,0.2148002445442705,0.2093158265152501,0.2496289025090978,0.2071832622475178,0.2465019865261703,0.2028978502482659,0.2458863706923315,0.201692585222429,0.2392064466807865,0.2010756366722233,0.2372139456304715,0.1979893904926263,0.2403207034785982,0.1952145323011006,0.231191458701775,0.1917659464955999,0.2334052676737474,0.1889384009153445,0.2206799247514109,0.1765394286067413
19,Age,Under 18 Years,None,12420.0,112981.0,12345.0,114067.0,12848.0,114689.0,12769.0,117386.0,12841.0,116553.0,12651.0,116625.0,12678.0,116002.0,12786.0,115114.0,12585.0,113760.0,12426.0,111913.0,12333.0,110271.0,12162.0,108795.0,11883.0,107603.0,12036.0,106642.0,12577.0,105626.0,12154.0,111955.0
20,Age,Under 6 Years,None,3856.0,39591.0,4144.0,41045.0,4434.0,42369.0,4406.0,44241.0,4620.0,45495.0,4834.0,46622.0,4715.0,46411.0,4661.0,45924.0,4533.0,45321.0,4177.0,44279.0,4085.0,42964.0,4065.0,42297.0,3908.0,41722.0,3812.0,41184.0,4151.0,40282.0,3715.0,37268.0
21,Educational Attainment,College Degree or higher,Total Population 25+,0.560018295161946,0.6037814737779744,0.5613481933601983,0.6015770791834534,0.5472965336863689,0.5981580544247345,0.5377429115069091,0.5954773065649281,0.7350697867483007,0.5817083849870736,0.5225381787982714,0.5809853065788942,0.5278811672530125,0.5718184592579675,0.4861858021172011,0.5583391409602758,0.4729291176659598,0.5483582916944467,0.4603301081388731,0.5386867457615273,0.4415899095510746,0.5295800684635643,0.4379903131182209,0.5241250965981674,0.4574137931034482,0.5198689199853714,0.4520932697403285,0.5138067991451463,0.4582602903022229,0.5124188366490302,0.3970011534025375,0.4497981722207769
22,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.1386138613861386,0.2455003599712023,0.1168831168831168,0.2137690865255826,0.0813953488372093,0.2166053921568627,0.0,0.2144638403990025,0.056,0.1973472668810289,0.1610169491525423,0.2233691164327002,0.1409090909090909,0.2563864375290293,0.2406015037593984,0.2669306930693069,0.379746835443038,0.2365180467091295,0.3604651162790697,0.2571680635200706,0.0,0.2492974708952228,0.0,0.2232522209347238,0.3015873015873015,0.2379888268156424,0.1451612903225806,0.2615442846328539,0.1,0.2197293447293447,0.4285714285714285,0.2797967956232903
23,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.4826940231935772,0.5185042788044152,0.4768715217521393,0.5101656704378581,0.4521990200653289,0.495082437863998,0.4540523830935252,0.4890080209526927,0.6243144424131627,0.473866138994221,0.4544484385531341,0.4672661516508389,0.4602495669694934,0.4575037134703005,0.4341141822701359,0.4447043892120571,0.4129968987877079,0.4329191104647852,0.3978606978854456,0.4239583565056837,0.3804266789011871,0.4100441955584836,0.3843010187698864,0.4073056142823584,0.4041091834922138,0.4014563686283872,0.4060650887573964,0.3952965782241786,0.4137283281495396,0.3934588456495386,0.3250325349090781,0.3180491350817214
24,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.5755208333333334,0.3117331783546429,0.5964912280701754,0.3095784252944823,0.5704225352112676,0.325066377021482,0.5298329355608592,0.3160114475071547,0.1918103448275862,0.300559768869628,0.4734561213434453,0.306507202403747,0.2804816859006522,0.2866831256134923,0.4506065857885615,0.2739648663912255,0.3351449275362319,0.2510158013544018,0.4484304932735426,0.2524520632676504,0.3842794759825327,0.2375573494395725,0.3919239904988123,0.2314935535274518,0.5034965034965035,0.2349547998278088,0.5388888888888889,0.2358445229681978,0.5705128205128205,0.2439953383928825,0.3076923076923077,0.1813176103693597
25,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,0.5478260869565217,0.4117882876705103,0.5639079333986288,0.4010362584500625,0.5240654205607477,0.3953818674815468,0.4983388704318937,0.3810688164006193,0.7177518427518428,0.3546334438527747,0.4934389140271493,0.34197374630003,0.3513131883648687,0.3373183741033658,0.4329741919318466,0.3228874660500224,0.3834429169157202,0.3151018674772852,0.4042748091603053,0.3083530973752595,0.3824498352800239,0.307873869264935,0.3735873425896028,0.2932001527519213,0.4141843971631205,0.2888616440875375,0.3948787061994609,0.2760453311890642,0.3579943899018233,0.277118851877186,0.3383838383838384,0.2033414091055498
26,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,0.0841121495327102,0.2603383458646616,0.0277777777777777,0.1909861668897813,0.1994301994301994,0.2069267864971503,0.2245430809399478,0.2821712681328965,0.0,0.3042198233562316,0.3739130434782609,0.2515182186234818,0.4894366197183099,0.291974656810982,0.4103448275862069,0.2333333333333333,0.5659340659340659,0.2706422018348624,0.4081632653061224,0.2833178005591799,0.3352272727272727,0.2592419279363593,0.416,0.235120511559272,0.4366197183098591,0.2403705509507557,0.1954545454545454,0.2357179619145651,0.0386100386100386,0.1711528694768918,0.4821428571428571,0.1756487025948103
27,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,0.5169727323316639,0.3113031293787949,0.6115865701119158,0.3241142173718044,0.5836158192090396,0.3197161447914254,0.5366478728856996,0.3029324107459202,0.5870880968392737,0.2620558375634518,0.4709742554265522,0.2361326777087646,0.2672199170124481,0.2350730780154239,0.4475235849056603,0.235151432716721,0.4719101123595505,0.2418555328121532,0.4835820895522388,0.2381352714649889,0.455761316872428,0.2566066293325261,0.3549668874172185,0.2543460264900662,0.4842883548983364,0.2543544263342921,0.3828451882845188,0.250502164888631,0.4092526690391459,0.2696297662409516,0.3115646258503401,0.1603659926410732
28,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,0.6012084592145015,0.6116225267347236,0.6064268058225762,0.6137429264349232,0.5784791965566715,0.6214109419991773,0.5505952380952381,0.6171994640122511,0.8806532663316583,0.6302126896881348,0.5479727017262144,0.6306512834003533,0.6826347305389222,0.6155939422621864,0.5233137166138524,0.5937783931121015,0.4916810097532989,0.585663935551792,0.5149544863459038,0.5604013705335291,0.501269035532995,0.5440374524127997,0.442,0.5496813910789502,0.4044321329639889,0.5222933544841653,0.3947990543735225,0.5147795285208256,0.3770739064856712,0.5175160266787542,0.3825681969394544,0.3607487756876745
29,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.7045392173006202,0.7698893189679573,0.7012384689873095,0.7635569361517128,0.7003363812953048,0.7593544606410111,0.6778137360661632,0.7544658704802475,0.8417275574112735,0.7417318996507724,0.6330177866451585,0.7381568148135027,0.667713817972656,0.7263806245896475,0.5726034550280666,0.7091343536564193,0.5669946021243253,0.6931853022334379,0.5597813709861079,0.6788142016319086,0.5366570240462846,0.6671610409258498,0.5284957233172183,0.6546792478771449,0.5433041707170301,0.6484610260228427,0.5274857592738388,0.6387280263834679,0.5330293041946991,0.6348531402026409,0.4843115985697642,0.5929709658157934
30,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.7094231867504284,0.7801371797302055,0.7105206999573197,0.7802076736578218,0.7122544340049238,0.7794094875239025,0.6916469623124065,0.778894629499015,0.8413631022326674,0.7716148917650081,0.6386639212994738,0.773733311994025,0.7031945006065508,0.7640608737423608,0.5804087385482735,0.7500175594093349,0.5816100617080409,0.739748284062044,0.5755627009646302,0.7284118945591481,0.5534690650326152,0.7207126701926108,0.5405735204392923,0.7129029660824118,0.5534921275736778,0.7096552998273301,0.5396452124124533,0.7035546060036851,0.5476095418704462,0.7000256283456723,0.4938075169863249,0.6318959962865713
