,year,label,Category,Attribute,032600,032601,032602,032700,032800,032801,032802,032900,032901,032902,033000,033001,033002,033100,035100,035101,035102,035201,035202,035300,035400
11,2000,DEC_SF3,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1718,INACTIVE,INACTIVE,852,1044,INACTIVE,INACTIVE,771,INACTIVE,INACTIVE,673,INACTIVE,INACTIVE,108,989,INACTIVE,INACTIVE,735,1192,747,777
2,2000,DEC_SF3,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1381,INACTIVE,INACTIVE,436,809,INACTIVE,INACTIVE,431,INACTIVE,INACTIVE,417,INACTIVE,INACTIVE,11,708,INACTIVE,INACTIVE,624,926,440,548
5,2000,DEC_SF3,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1718,INACTIVE,INACTIVE,770,1044,INACTIVE,INACTIVE,771,INACTIVE,INACTIVE,673,INACTIVE,INACTIVE,108,989,INACTIVE,INACTIVE,735,1170,670,723
8,2000,DEC_SF3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1718,INACTIVE,INACTIVE,852,1044,INACTIVE,INACTIVE,771,INACTIVE,INACTIVE,673,INACTIVE,INACTIVE,108,989,INACTIVE,INACTIVE,735,1192,747,777
9,2000,DEC_SF3,Affordability,100 AMI Annual Income,61412.13389121339,INACTIVE,INACTIVE,59607.32984293194,61479.11832946636,INACTIVE,INACTIVE,66683.54430379746,INACTIVE,INACTIVE,71107.33695652174,INACTIVE,INACTIVE,77091.25475285172,63687.5,INACTIVE,INACTIVE,62722.602739726026,51157.89473684211,58412.01716738197,59670.05076142132
10,2000,DEC_SF3,Affordability,100 AMI Monthly Affordable Rent,5117.677824267782,INACTIVE,INACTIVE,4967.277486910995,5123.259860788863,INACTIVE,INACTIVE,5556.962025316455,INACTIVE,INACTIVE,5925.611413043479,INACTIVE,INACTIVE,6424.271229404309,5307.291666666667,INACTIVE,INACTIVE,5226.8835616438355,4263.1578947368425,4867.668097281831,4972.504230118443
0,2000,DEC_SF3,Affordability,30 AMI Annual Income,18423.640167364014,INACTIVE,INACTIVE,17882.198952879582,18443.735498839906,INACTIVE,INACTIVE,20005.06329113924,INACTIVE,INACTIVE,21332.201086956524,INACTIVE,INACTIVE,23127.376425855513,19106.25,INACTIVE,INACTIVE,18816.780821917808,15347.368421052632,17523.60515021459,17901.015228426397
1,2000,DEC_SF3,Affordability,30 AMI Monthly Affordable Rent,1535.3033472803345,INACTIVE,INACTIVE,1490.1832460732985,1536.9779582366589,INACTIVE,INACTIVE,1667.0886075949365,INACTIVE,INACTIVE,1777.6834239130437,INACTIVE,INACTIVE,1927.2813688212927,1592.1875,INACTIVE,INACTIVE,1568.0650684931506,1278.9473684210527,1460.300429184549,1491.7512690355331
3,2000,DEC_SF3,Affordability,50 AMI Annual Income,30706.066945606693,INACTIVE,INACTIVE,29803.66492146597,30739.55916473318,INACTIVE,INACTIVE,33341.77215189873,INACTIVE,INACTIVE,35553.66847826087,INACTIVE,INACTIVE,38545.62737642586,31843.75,INACTIVE,INACTIVE,31361.301369863013,25578.947368421053,29206.008583690986,29835.02538071066
4,2000,DEC_SF3,Affordability,50 AMI Monthly Affordable Rent,2558.838912133891,INACTIVE,INACTIVE,2483.6387434554977,2561.6299303944315,INACTIVE,INACTIVE,2778.4810126582274,INACTIVE,INACTIVE,2962.8057065217395,INACTIVE,INACTIVE,3212.1356147021547,2653.6458333333335,INACTIVE,INACTIVE,2613.4417808219177,2131.5789473684213,2433.8340486409156,2486.2521150592215
6,2000,DEC_SF3,Affordability,80 AMI Annual Income,49129.70711297071,INACTIVE,INACTIVE,47685.86387434555,49183.29466357309,INACTIVE,INACTIVE,53346.83544303797,INACTIVE,INACTIVE,56885.8695652174,INACTIVE,INACTIVE,61673.003802281375,50950.0,INACTIVE,INACTIVE,50178.08219178082,40926.31578947369,46729.61373390558,47736.04060913706
7,2000,DEC_SF3,Affordability,80 AMI Monthly Affordable Rent,4094.142259414226,INACTIVE,INACTIVE,3973.821989528796,4098.607888631091,INACTIVE,INACTIVE,4445.569620253164,INACTIVE,INACTIVE,4740.489130434783,INACTIVE,INACTIVE,5139.416983523448,4245.833333333333,INACTIVE,INACTIVE,4181.506849315068,3410.5263157894738,3894.1344778254647,3978.003384094755
0,2000,DEC_SF3,Age,0-2 Years,0.438235294117647,INACTIVE,INACTIVE,0.5062893081761006,0.5859375,INACTIVE,INACTIVE,0.474468085106383,INACTIVE,INACTIVE,0.5,INACTIVE,INACTIVE,0.4329004329004329,0.39119804400978,INACTIVE,INACTIVE,0.4885057471264368,0.2865497076023391,0.5546875,0.562111801242236
1,2000,DEC_SF3,Age,0-4 Years,0.0323283274102946,INACTIVE,INACTIVE,0.0441674361341951,0.0424446104057754,INACTIVE,INACTIVE,0.0489824893516327,INACTIVE,INACTIVE,0.040476512792744,INACTIVE,INACTIVE,0.041989836854774,0.0426766374419804,INACTIVE,INACTIVE,0.0528011455163773,0.0290802524797114,0.0443377576955662,0.0365744870651204
2,2000,DEC_SF3,Age,18-34 Years,0.28889143643242,INACTIVE,INACTIVE,0.2503847337642351,0.2816778690565098,INACTIVE,INACTIVE,0.232371036441079,INACTIVE,INACTIVE,0.2133477731149316,INACTIVE,INACTIVE,0.1733083712222519,0.2650850954100051,INACTIVE,INACTIVE,0.2749239305530696,0.3496393146979261,0.2550127082744987,0.2485875706214689
3,2000,DEC_SF3,Age,3-5 Years,0.5617647058823529,INACTIVE,INACTIVE,0.4937106918238994,0.4140625,INACTIVE,INACTIVE,0.5255319148936171,INACTIVE,INACTIVE,0.5,INACTIVE,INACTIVE,0.5670995670995671,0.60880195599022,INACTIVE,INACTIVE,0.5114942528735632,0.7134502923976608,0.4453125,0.4378881987577639
4,2000,DEC_SF3,Age,35-59 Years,0.3603118193282127,INACTIVE,INACTIVE,0.3618036318867343,0.3366940502862833,INACTIVE,INACTIVE,0.3570752484619025,INACTIVE,INACTIVE,0.3751184513334236,INACTIVE,INACTIVE,0.3500936079165552,0.3604951005673027,INACTIVE,INACTIVE,0.371755861822087,0.3568530207394049,0.3384637108161536,0.367826345524829
5,2000,DEC_SF3,Age,5-17 Years,0.1109709962168978,INACTIVE,INACTIVE,0.1198830409356725,0.1077918844909136,INACTIVE,INACTIVE,0.1185518220539517,INACTIVE,INACTIVE,0.1376742926763232,INACTIVE,INACTIVE,0.1275742177052687,0.1217122227952552,INACTIVE,INACTIVE,0.1251118668337211,0.1113615870153291,0.1276475571872352,0.1351471900089206
6,2000,DEC_SF3,Age,60 and older,0.2074974206121747,INACTIVE,INACTIVE,0.2237611572791628,0.2313915857605178,INACTIVE,INACTIVE,0.243019403691434,INACTIVE,INACTIVE,0.2333829700825775,INACTIVE,INACTIVE,0.30703396630115,0.2100309437854564,INACTIVE,INACTIVE,0.1754071952747449,0.1530658250676285,0.2345382660265461,0.211864406779661
7,2000,DEC_SF3,Age,Under 18 Years,1250.0,INACTIVE,INACTIVE,1066.0,1207.0,INACTIVE,INACTIVE,1416.0,INACTIVE,INACTIVE,1316.0,INACTIVE,INACTIVE,634.0,1275.0,INACTIVE,INACTIVE,994.0,623.0,1218.0,1155.0
8,2000,DEC_SF3,Age,Under 6 Years,340.0,INACTIVE,INACTIVE,318.0,384.0,INACTIVE,INACTIVE,470.0,INACTIVE,INACTIVE,338.0,INACTIVE,INACTIVE,231.0,409.0,INACTIVE,INACTIVE,348.0,171.0,384.0,322.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.4093394414068272,INACTIVE,INACTIVE,0.4265153050881816,0.4151130176538525,INACTIVE,INACTIVE,0.387263339070568,INACTIVE,INACTIVE,0.3957286432160804,INACTIVE,INACTIVE,0.5076019350380097,0.388351192533702,INACTIVE,INACTIVE,0.3778541615516818,0.3980438648488441,0.3430456294667399,0.3631860511194769
