,Category,Attribute,2000_Visitacion Valley,2010_Visitacion Valley,2011_Visitacion Valley,2012_Visitacion Valley,2013_Visitacion Valley,2014_Visitacion Valley,2015_Visitacion Valley,2016_Visitacion Valley,2017_Visitacion Valley,2018_Visitacion Valley,2019_Visitacion Valley,2020_Visitacion Valley,2021_Visitacion Valley,2022_Visitacion Valley,2023_Visitacion Valley,2024_Visitacion Valley
227,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1748.0,2082.0,2093.0,2026.0,2161.0,2041.0,2022.0,2087.0,2111.0,5667.0,2019.0,800.0,1725.0,1804.0,1745.0,1706
218,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1313.0,1226.0,1134.0,1036.0,1024.0,949.0,1013.0,1102.0,987.0,4139.0,1132.0,298.0,1024.0,1267.0,1283.0,1168
221,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1741.0,1685.0,1557.0,1488.0,1509.0,1351.0,1769.0,1729.0,1622.0,5667.0,1749.0,561.0,1626.0,1804.0,1745.0,1706
224,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1748.0,2017.0,2033.0,1917.0,2161.0,2041.0,2003.0,2087.0,2111.0,5667.0,2019.0,760.0,1725.0,1804.0,1745.0,1706
225,Affordability,100 AMI Annual Income,48221.39303482587,43247.23247232472,42899.59016393442,42806.324110671936,45248.75621890547,47763.15789473684,49394.97716894977,54758.71313672922,58808.35380835381,106438.74029335634,71387.09677419355,44464.28571428572,76544.67680608365,87433.74558303886,86284.35517970401,92688.17204301077
226,Affordability,100 AMI Monthly Affordable Rent,4018.4494195688226,3603.9360393603934,3574.9658469945352,3567.193675889328,3770.7296849087893,3980.2631578947367,4116.248097412481,4563.226094727434,4900.696150696151,8869.895024446361,5948.924731182796,3705.357142857143,6378.723067173637,7286.145465253238,7190.362931642001,7724.014336917564
216,Affordability,30 AMI Annual Income,14466.41791044776,12974.169741697417,12869.877049180326,12841.89723320158,13574.626865671642,14328.947368421052,14818.493150684932,16427.613941018764,17642.506142506143,31931.6220880069,21416.129032258064,13339.285714285716,22963.403041825095,26230.123674911658,25885.306553911203,27806.45161290323
217,Affordability,30 AMI Monthly Affordable Rent,1205.5348258706467,1081.180811808118,1072.4897540983604,1070.1581027667983,1131.2189054726368,1194.078947368421,1234.8744292237443,1368.9678284182303,1470.2088452088453,2660.9685073339083,1784.6774193548388,1111.607142857143,1913.6169201520913,2185.8436395759713,2157.1088794926004,2317.204301075269
219,Affordability,50 AMI Annual Income,24110.696517412936,21623.61623616236,21449.79508196721,21403.162055335968,22624.378109452737,23881.57894736842,24697.488584474886,27379.35656836461,29404.176904176904,53219.37014667817,35693.54838709677,22232.14285714286,38272.338403041824,43716.87279151943,43142.177589852006,46344.08602150538
220,Affordability,50 AMI Monthly Affordable Rent,2009.2247097844113,1801.9680196801967,1787.4829234972676,1783.596837944664,1885.3648424543946,1990.1315789473683,2058.1240487062405,2281.613047363717,2450.3480753480753,4434.947512223181,2974.462365591398,1852.6785714285716,3189.3615335868185,3643.072732626619,3595.1814658210005,3862.007168458782
222,Affordability,80 AMI Annual Income,38577.1144278607,34597.78597785978,34319.67213114754,34245.05928853755,36199.00497512438,38210.52631578947,39515.98173515982,43806.970509383376,47046.68304668305,85150.99223468508,57109.67741935484,35571.42857142857,61235.74144486692,69946.9964664311,69027.48414376321,74150.53763440861
223,Affordability,80 AMI Monthly Affordable Rent,3214.7595356550587,2883.148831488315,2859.9726775956283,2853.7549407114625,3016.5837479270317,3184.2105263157896,3292.998477929985,3650.580875781948,3920.556920556921,7095.91601955709,4759.139784946236,2964.285714285714,5102.9784537389105,5828.916372202591,5752.290345313601,6179.211469534051
0,Age,0-2 Years,0.4842032967032967,0.4537597234226447,0.4532258064516129,0.4542314335060449,0.4741298212605832,0.506631299734748,0.4873262469337694,0.4726264726264726,0.5003641660597232,0.5228070175438596,0.4499252615844544,0.4636824324324324,0.4490690032858707,0.4304245283018867,0.3774647887323943,0.4487369985141159
1,Age,0-4 Years,0.067993648633322,0.056706224809673,0.0638665774207942,0.0578841196906869,0.0561725882421352,0.0581088825214899,0.0585061541055471,0.0645838944249932,0.0587191398298449,0.0477557741840138,0.0595964821520951,0.047029702970297,0.0402150537634408,0.0392330710406738,0.0328099367236934,0.0335225899975839
2,Age,18-34 Years,0.2623341272541681,0.2205553067622033,0.2396809460062472,0.2361313459598789,0.2338198522998197,0.2244699140401146,0.2357106727364694,0.2358739563695125,0.2436974789915966,0.3114470295148419,0.2471805483704087,0.3716407355021216,0.2076344086021505,0.1953341460711515,0.1767049449261776,0.1932230007248127
3,Age,3-5 Years,0.5157967032967034,0.5462402765773552,0.5467741935483871,0.5457685664939551,0.5258701787394168,0.493368700265252,0.5126737530662305,0.5273735273735274,0.4996358339402768,0.4771929824561403,0.5500747384155455,0.5363175675675675,0.5509309967141293,0.5695754716981132,0.6225352112676056,0.5512630014858841
4,Age,35-59 Years,0.3213111035499603,0.368730407523511,0.3485051316376618,0.3450633195113751,0.3496540094202477,0.3481948424068768,0.3555892766818411,0.3516294101804471,0.3585260191032935,0.3550225900434911,0.3492498706673564,0.3398161244695898,0.3772043010752688,0.3797517455391777,0.387040074994141,0.3710437303696545
5,Age,5-17 Years,0.1930361801066122,0.1817622033139274,0.1774319500223114,0.1738204639695169,0.1475257312321916,0.1506017191977077,0.1482605519024335,0.1501211957985456,0.1417088574560258,0.0883334037073006,0.1412312467666839,0.0852192362093352,0.1382258064516129,0.1427463149728471,0.1461213967658776,0.1439357332689055
6,Age,60 and older,0.1553249404559374,0.1722458575906851,0.1705153949129852,0.1871007508685419,0.2128278188056056,0.2186246418338109,0.2019333445737087,0.1977915432265014,0.197348504619239,0.1974412025503525,0.2027418520434557,0.1562942008486563,0.2367204301075268,0.2429347223761498,0.2573236465901101,0.2582749456390432
7,Age,Under 18 Years,4603.0,4260.0,4326.0,4135.0,3503.0,3642.0,3679.0,3986.0,3840.0,3871.0,3882.0,3798.0,3319.0,3284.0,3054.0,2938.0
8,Age,Under 6 Years,1456.0,1157.0,1240.0,1158.0,1063.0,1131.0,1223.0,1443.0,1373.0,1425.0,1338.0,1184.0,913.0,848.0,710.0,673.0
228,Educational Attainment,College Degree or higher,0.1595908391418484,0.1454390451832907,0.1555862545328958,0.1800789293067947,0.1775661195679904,0.1854717923115327,0.1902462973570084,0.17814820666772,0.1594224809131453,0.5302584576591721,0.1853358981947321,0.4178445229681979,0.2499819011076522,0.2655844637165517,0.2541246383610915,0.2649799196787148
229,Educational Attainment,High School or Less,0.6289490359373585,0.6262574595055413,0.6024002762907961,0.5899965682910089,0.5826175695212178,0.5792145115659844,0.5736846411913918,0.5510349186285353,0.5359437599213849,0.2819394830846816,0.5273749630068068,0.3657243816254417,0.5052486787808587,0.4909939959973315,0.5108296192040035,0.4854618473895582
230,Educational Attainment,Some College/Associate Degree,0.2114601249207929,0.2283034953111679,0.242013469176308,0.2299245024021963,0.2398163109107917,0.2353136961224829,0.2360690614515997,0.2708168747037446,0.3046337591654698,0.1878020592561462,0.2872891387984611,0.2164310954063604,0.2447694201114891,0.2434215402861166,0.235045742434905,0.2495582329317269
9,Employment,"6-17, Living with One Parent",857.0,1143.0,1233.0,1083.0,1030.0,1093.0,1025.0,1101.0,1067.0,1138.0,1123.0,1203.0,982.0,973.0,806.0,897.0
