,Category,Attribute,Percent Of,2024_Visitacion Valley,2024_San Francisco,2023_Visitacion Valley,2023_San Francisco,2022_Visitacion Valley,2022_San Francisco,2021_Visitacion Valley,2021_San Francisco,2020_Visitacion Valley,2020_San Francisco,2019_Visitacion Valley,2019_San Francisco,2018_Visitacion Valley,2018_San Francisco,2017_Visitacion Valley,2017_San Francisco,2016_Visitacion Valley,2016_San Francisco,2015_Visitacion Valley,2015_San Francisco,2014_Visitacion Valley,2014_San Francisco,2013_Visitacion Valley,2013_San Francisco,2012_Visitacion Valley,2012_San Francisco,2011_Visitacion Valley,2011_San Francisco,2010_Visitacion Valley,2010_San Francisco,2000_Visitacion Valley,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,1706,156904,1745.0,158878.0,1804.0,164391.0,1725.0,177267.0,800.0,179637.0,2019.0,194605.0,5667.0,196852.0,2111.0,201554.0,2087.0,206125.0,2022.0,208027.0,2041.0,219759.0,2161.0,217742.0,2026.0,213982.0,2093.0,212110.0,2082.0,209068.0,1748.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,1168,156904,1283.0,158878.0,1267.0,142404.0,1024.0,155085.0,298.0,133315.0,1132.0,146746.0,4139.0,152803.0,987.0,131265.0,1102.0,139452.0,1013.0,146046.0,949.0,103611.0,1024.0,106717.0,1036.0,108966.0,1134.0,114525.0,1226.0,119019.0,1313.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,1706,156904,1745.0,158878.0,1804.0,164391.0,1626.0,177267.0,561.0,179637.0,1749.0,194605.0,5667.0,196852.0,1622.0,201554.0,1729.0,206125.0,1769.0,195487.0,1351.0,219759.0,1509.0,217742.0,1488.0,213982.0,1557.0,212110.0,1685.0,203005.0,1741.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,1706,156904,1745.0,158878.0,1804.0,164391.0,1725.0,177267.0,760.0,179637.0,2019.0,194605.0,5667.0,196852.0,2111.0,201554.0,2087.0,206125.0,2003.0,208027.0,2041.0,219759.0,2161.0,217742.0,1917.0,213982.0,2033.0,212110.0,2017.0,209068.0,1748.0,209020.0
4,Affordability,100 AMI Annual Income,None,92688.17204301077,140630.3486172417,86284.35517970401,140840.72978303747,87433.74558303886,136440.23367285798,76544.67680608365,126479.8932723461,44464.28571428572,117453.07472291742,71387.09677419355,113537.43350844154,106438.74029335634,104995.55809378768,58808.35380835381,96817.47583985272,54758.71313672922,88612.28084661327,49394.97716894977,81982.65550239234,47763.15789473684,78773.52733781732,45248.75621890547,75789.09138932911,42806.324110671936,73882.86576506091,42899.59016393442,73015.850789739,43247.23247232472,71436.31988152536,48221.39303482587,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,7724.014336917564,11719.195718103474,7190.362931642001,11736.72748191979,7286.145465253238,11370.019472738166,6378.723067173637,10539.991106028841,3705.357142857143,9787.756226909785,5948.924731182796,9461.452792370128,8869.895024446361,8749.629841148973,4900.696150696151,8068.122986654394,4563.226094727434,7384.356737217772,4116.248097412481,6831.887958532695,3980.2631578947367,6564.460611484777,3770.7296849087893,6315.7576157774265,3567.193675889328,6156.905480421742,3574.9658469945352,6084.6542324782495,3603.9360393603934,5953.02665679378,4018.4494195688226,4659.607465639873
6,Affordability,30 AMI Annual Income,None,27806.45161290323,42189.10458517251,25885.306553911203,42252.21893491124,26230.123674911658,40932.0701018574,22963.403041825095,37943.96798170383,13339.285714285716,35235.922416875226,21416.129032258064,34061.23005253246,31931.6220880069,31498.6674281363,17642.506142506143,29045.242751955815,16427.613941018764,26583.68425398398,14818.493150684932,24594.7966507177,14328.947368421052,23632.058201345193,13574.626865671642,22736.727416798734,12841.89723320158,22164.859729518274,12869.877049180326,21904.755236921697,12974.169741697417,21430.895964457606,14466.41791044776,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,2317.204301075269,3515.758715431042,2157.1088794926004,3521.0182445759365,2185.8436395759713,3411.00584182145,1913.6169201520913,3161.9973318086522,1111.607142857143,2936.3268680729357,1784.6774193548388,2838.4358377110384,2660.9685073339083,2624.888952344692,1470.2088452088453,2420.436895996318,1368.9678284182303,2215.3070211653317,1234.8744292237443,2049.5663875598084,1194.078947368421,1969.3381834454328,1131.2189054726368,1894.7272847332279,1070.1581027667983,1847.0716441265229,1072.4897540983604,1825.3962697434747,1081.180811808118,1785.9079970381338,1205.5348258706467,1397.882239691962
8,Affordability,50 AMI Annual Income,None,46344.08602150538,70315.17430862084,43142.177589852006,70420.36489151874,43716.87279151943,68220.11683642899,38272.338403041824,63239.94663617305,22232.14285714286,58726.53736145871,35693.54838709677,56768.71675422077,53219.37014667817,52497.77904689384,29404.176904176904,48408.73791992636,27379.35656836461,44306.140423306635,24697.488584474886,40991.32775119617,23881.57894736842,39386.76366890866,22624.378109452737,37894.54569466456,21403.162055335968,36941.432882530455,21449.79508196721,36507.9253948695,21623.61623616236,35718.15994076268,24110.696517412936,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,3862.007168458782,5859.597859051737,3595.1814658210005,5868.363740959895,3643.072732626619,5685.009736369083,3189.3615335868185,5269.995553014421,1852.6785714285716,4893.878113454893,2974.462365591398,4730.726396185064,4434.947512223181,4374.814920574487,2450.3480753480753,4034.061493327197,2281.613047363717,3692.178368608886,2058.1240487062405,3415.9439792663475,1990.1315789473683,3282.2303057423883,1885.3648424543946,3157.8788078887133,1783.596837944664,3078.452740210871,1787.4829234972676,3042.3271162391247,1801.9680196801967,2976.51332839689,2009.2247097844113,2329.8037328199366
