,Category,Attribute,2000_Western Addition/Fillmore Community Boundary,2010_Western Addition/Fillmore Community Boundary,2011_Western Addition/Fillmore Community Boundary,2012_Western Addition/Fillmore Community Boundary,2013_Western Addition/Fillmore Community Boundary,2014_Western Addition/Fillmore Community Boundary,2015_Western Addition/Fillmore Community Boundary,2016_Western Addition/Fillmore Community Boundary,2017_Western Addition/Fillmore Community Boundary,2018_Western Addition/Fillmore Community Boundary,2019_Western Addition/Fillmore Community Boundary,2020_Western Addition/Fillmore Community Boundary,2021_Western Addition/Fillmore Community Boundary,2022_Western Addition/Fillmore Community Boundary,2023_Western Addition/Fillmore Community Boundary,2024_Western Addition/Fillmore Community Boundary
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,28084.0,26927.0,27357.0,27694.0,28259.0,28370.0,26519.0,26074.0,25624.0,24568.0,24202.0,23631.0,22594.0,21439.0,21015.0,20365
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,15981.0,15691.0,15053.0,14280.0,14070.0,13425.0,13030.0,17605.0,16671.0,18667.0,18214.0,21069.0,20234.0,21439.0,18278.0,17560
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,26046.0,26508.0,26935.0,27338.0,27895.0,28370.0,24998.0,26074.0,25624.0,24568.0,24202.0,23631.0,22594.0,21439.0,21015.0,20365
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,28084.0,26927.0,27357.0,27694.0,28259.0,28370.0,26519.0,26074.0,25624.0,24568.0,24202.0,23631.0,22594.0,21439.0,21015.0,20365
9,Affordability,100 AMI Annual Income,49472.92418772563,64240.40511727079,63574.50393111194,65535.84905660377,68099.32785660941,73336.6497829233,78691.0097548115,87642.30769230769,95259.63518681964,107859.477124183,115213.96001403016,120755.85123437,129348.20494945974,143598.45701689934,139782.35747303543,135324.74226804124
10,Affordability,100 AMI Monthly Affordable Rent,4122.743682310469,5353.3670931059,5297.875327592662,5461.320754716981,5674.943988050784,6111.387481910275,6557.584146234291,7303.525641025641,7938.302932234969,8988.289760348584,9601.163334502513,10062.987602864167,10779.017079121646,11966.53808474161,11648.52978941962,11277.061855670103
0,Affordability,30 AMI Annual Income,14841.877256317688,19272.121535181235,19072.351179333582,19660.75471698113,20429.79835698282,22000.994934876988,23607.302926443448,26292.692307692305,28577.89055604589,32357.8431372549,34564.18800420905,36226.755370310995,38804.46148483792,43079.5371050698,41934.707241910626,40597.42268041237
1,Affordability,30 AMI Monthly Affordable Rent,1236.8231046931407,1606.0101279317696,1589.3625982777985,1638.3962264150941,1702.4831964152352,1833.4162445730824,1967.2752438702873,2191.057692307692,2381.490879670491,2696.486928104575,2880.349000350754,3018.8962808592496,3233.7051237364935,3589.9614254224834,3494.5589368258857,3383.1185567010307
3,Affordability,50 AMI Annual Income,24736.462093862814,32120.202558635396,31787.25196555597,32767.924528301886,34049.663928304704,36668.32489146165,39345.50487740575,43821.153846153844,47629.81759340982,53929.7385620915,57606.98000701508,60377.925617185,64674.10247472987,71799.22850844967,69891.17873651772,67662.37113402062
4,Affordability,50 AMI Monthly Affordable Rent,2061.3718411552345,2676.68354655295,2648.937663796331,2730.6603773584907,2837.471994025392,3055.6937409551374,3278.7920731171457,3651.7628205128203,3969.1514661174847,4494.144880174292,4800.5816672512565,5031.493801432083,5389.508539560823,5983.269042370805,5824.26489470981,5638.530927835051
6,Affordability,80 AMI Annual Income,39578.339350180504,51392.324093816635,50859.60314488955,52428.67924528302,54479.46228528753,58669.319826338644,62952.8078038492,70113.84615384616,76207.7081494557,86287.58169934641,92171.16801122413,96604.680987496,103478.56395956781,114878.76561351947,111825.88597842836,108259.793814433
7,Affordability,80 AMI Monthly Affordable Rent,3298.1949458483755,4282.69367448472,4238.300262074129,4369.056603773585,4539.955190440628,4889.10998552822,5246.0673169874335,5842.820512820513,6350.6423457879755,7190.6318082788675,7680.9306676020105,8050.390082291334,8623.213663297318,9573.23046779329,9318.823831535696,9021.649484536083
0,Age,0-4 Years,0.0264991023339317,0.0332321015998488,0.0292487729045816,0.0288678008606195,0.029881804561345,0.0293288443641539,0.031973894476748,0.0381707348978363,0.0392260085770781,0.0406776183331409,0.0424595485866064,0.0399732310622635,0.0393336178909109,0.033410471507087,0.0328440342464838,0.0330313200588992
1,Age,18-34 Years,0.4246463195691203,0.3955448350019617,0.3963410245706965,0.3914251517483115,0.4001165307141668,0.3973285159029944,0.3862650570051164,0.3943437197498888,0.3997072494286228,0.4020697880198515,0.3999332760191446,0.4134385215309773,0.3854332389119553,0.3937202514003208,0.3797699982636338,0.3700569093827521
2,Age,35-59 Years,0.3126175942549372,0.337581191240791,0.3361161890230737,0.3382063777036847,0.3231091504356029,0.3229731209284502,0.3258758913344166,0.3199644193286765,0.3123828355717624,0.3130329960630426,0.3155402717719066,0.3119996911276415,0.3298798390956243,0.3248875798774555,0.3290948189504334,0.3277927384158232
3,Age,5-17 Years,0.0634685816876122,0.049884479576861,0.0515452046118636,0.0582770510957225,0.0542977637201043,0.0573849017353697,0.0574751232089381,0.0516181356774716,0.0502426748157469,0.0522320111824978,0.0509283615413239,0.0471802527605467,0.0554887276395948,0.0577747390012359,0.0580347006103994,0.0578247084886512
4,Age,60 and older,0.1727684021543985,0.1837573925805373,0.1867488088897845,0.1832236185916616,0.1925947505687808,0.1929846170690315,0.1984100339747807,0.1959029903461266,0.1984412316067897,0.191987586401467,0.1911385420810183,0.1874083035185709,0.1898645764619145,0.1902069582139006,0.2002564479290494,0.2112943236538742
5,Educational Attainment,College Degree or higher,0.5286381069541936,0.6054429223744292,0.6059704184704184,0.623898678414097,0.6385165326184093,0.6424336867780074,0.6410690511020891,0.6630746321233567,0.6674777094060028,0.6816353992270501,0.6917800676472902,0.7020585387186455,0.7024898172654801,0.712029629154575,0.6990190177162472,0.688158981584957
6,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.3740458015267175,0.1428571428571428,0.1385542168674698,0.0890688259109311,0.1866666666666666,0.2463768115942029,0.0707964601769911,0.0994764397905759,0.0698412698412698,0.1208791208791208,0.1513761467889908,0.1772151898734177,0.0596026490066225,0.2009925558312655,0.1424050632911392,0.3407079646017699
7,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.4411142454160789,0.5334364480029115,0.5459594557067481,0.5672514619883041,0.6121575342465754,0.5812930533654245,0.6130566718609038,0.6395754359363154,0.6302680593090352,0.6217561858780929,0.6416999472534097,0.6413272344442025,0.6588151320485368,0.6911958914159941,0.6962286185340386,0.6571410098920282
8,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.1636448707451163,0.2398350029463759,0.2263450834879406,0.2256331542594014,0.1950621070387977,0.2068644199409846,0.204951065054692,0.1997866504114599,0.2073960463531015,0.241127162475477,0.2566306932504115,0.2263615733736762,0.2242479489516864,0.2452029520295203,0.2384341637010676,0.26479949077021
9,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.3542965573326104,0.4606877136537301,0.3870025556772544,0.4098240469208211,0.4268651231165012,0.4640240465902686,0.4740973312401884,0.5420267085624509,0.5164601769911504,0.5233707488691574,0.519078025229715,0.5876573533926926,0.594775212636695,0.6132736763609247,0.5668732053800816,0.5509314903846154
10,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.4757281553398058,0.1228070175438596,0.4464285714285714,0.6296296296296297,0.7066666666666667,0.8758620689655172,0.7910447761194029,0.7181818181818181,0.375,0.1212121212121212,0.1413043478260869,0.0,0.08,0.0054644808743169,0.0062893081761006,0.0068649885583524
11,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.3928280358598207,0.4446577095329495,0.4068919814446653,0.4950379451255108,0.5507418397626113,0.472495657209033,0.4654844838505383,0.4809417040358744,0.3954520244037715,0.3407172995780591,0.3836702338485929,0.5223880597014925,0.5874704491725768,0.6212878565127904,0.5834482758620689,0.5924050632911393
12,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.3944162436548223,0.578443113772455,0.5934371523915462,0.6240681576144835,0.702995867768595,0.709731543624161,0.6451456310679612,0.6527845036319613,0.6888126875267896,0.6719594594594595,0.6978617911372792,0.7666922486569455,0.7191519771319677,0.6777850446915196,0.6833501513622603,0.6792351679771265
13,Educational Attainment,"College Degree or higher by Race, White Alone",0.6539227284531264,0.7144986288303327,0.7154354530768101,0.7276911053865525,0.7305993164957906,0.745004497996347,0.7404336734693877,0.7615885450442271,0.7655878634639697,0.7857860371672526,0.7941806175355328,0.8052328679526803,0.8084557586632275,0.8160704521253633,0.7942043072810668,0.7917225044410509
