,Category,Attribute,Percent Of,2024_Western Addition/Fillmore Community Boundary,2024_San Francisco,2023_Western Addition/Fillmore Community Boundary,2023_San Francisco,2022_Western Addition/Fillmore Community Boundary,2022_San Francisco,2021_Western Addition/Fillmore Community Boundary,2021_San Francisco,2020_Western Addition/Fillmore Community Boundary,2020_San Francisco,2019_Western Addition/Fillmore Community Boundary,2019_San Francisco,2018_Western Addition/Fillmore Community Boundary,2018_San Francisco,2017_Western Addition/Fillmore Community Boundary,2017_San Francisco,2016_Western Addition/Fillmore Community Boundary,2016_San Francisco,2015_Western Addition/Fillmore Community Boundary,2015_San Francisco,2014_Western Addition/Fillmore Community Boundary,2014_San Francisco,2013_Western Addition/Fillmore Community Boundary,2013_San Francisco,2012_Western Addition/Fillmore Community Boundary,2012_San Francisco,2011_Western Addition/Fillmore Community Boundary,2011_San Francisco,2010_Western Addition/Fillmore Community Boundary,2010_San Francisco,2000_Western Addition/Fillmore Community Boundary,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,15770,156904,16091.0,158878.0,16442.0,164391.0,17571.0,177267.0,6550.0,179637.0,18317.0,194605.0,18390.0,196852.0,19162.0,201554.0,19078.0,206125.0,19456.0,208027.0,20625.0,219759.0,20816.0,217742.0,20291.0,213982.0,20152.0,212110.0,19924.0,209068.0,20578.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,11495,156904,14324.0,158878.0,14708.0,142404.0,13401.0,155085.0,5258.0,133315.0,14229.0,146746.0,12557.0,152803.0,13336.0,131265.0,10275.0,139452.0,10550.0,146046.0,10680.0,103611.0,8916.0,106717.0,8661.0,108966.0,8823.0,114525.0,9627.0,119019.0,12674.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,15770,156904,16091.0,158878.0,16442.0,164391.0,17571.0,177267.0,6550.0,179637.0,18317.0,194605.0,17135.0,196852.0,17677.0,201554.0,17734.0,206125.0,16899.0,195487.0,20376.0,219759.0,15672.0,217742.0,15768.0,213982.0,16052.0,212110.0,16292.0,203005.0,16761.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,15770,156904,16091.0,158878.0,16442.0,164391.0,17571.0,177267.0,6550.0,179637.0,18317.0,194605.0,18390.0,196852.0,19162.0,201554.0,19078.0,206125.0,19456.0,208027.0,20625.0,219759.0,20816.0,217742.0,20291.0,213982.0,20152.0,212110.0,19924.0,209068.0,20578.0,209020.0
4,Affordability,100 AMI Annual Income,None,116579.46832579184,140630.3486172417,120302.43378668575,140840.72978303747,127950.23088763468,136440.23367285798,113000.0,126479.8932723461,108448.54941069808,117453.07472291742,102524.50980392157,113537.43350844154,82263.22885069094,104995.55809378768,81341.15096570752,96817.47583985272,75833.00666405332,88612.28084661327,69777.6911076443,81982.65550239234,63044.77611940299,78773.52733781732,58096.79767103348,75789.09138932911,55688.79371877231,73882.86576506091,54567.08526107072,73015.850789739,55569.46929039952,71436.31988152536,44616.39221556886,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,9714.955693815986,11719.195718103474,10025.202815557146,11736.72748191979,10662.519240636224,11370.019472738166,9416.666666666666,10539.991106028841,9037.379117558174,9787.756226909785,8543.709150326797,9461.452792370128,6855.269070890911,8749.629841148973,6778.429247142293,8068.122986654394,6319.417222004443,7384.356737217772,5814.807592303692,6831.887958532695,5253.731343283583,6564.460611484777,4841.399805919456,6315.7576157774265,4640.732809897692,6156.905480421742,4547.257105089227,6084.6542324782495,4630.789107533293,5953.02665679378,3718.0326846307385,4659.607465639873
6,Affordability,30 AMI Annual Income,None,34973.84049773755,42189.10458517251,36090.730136005724,42252.21893491124,38385.069266290404,40932.0701018574,33900.0,37943.96798170383,32534.56482320942,35235.922416875226,30757.35294117647,34061.23005253246,24678.96865520728,31498.6674281363,24402.345289712255,29045.242751955815,22749.901999215996,26583.68425398398,20933.30733229329,24594.7966507177,18913.432835820895,23632.058201345193,17429.039301310044,22736.727416798734,16706.638115631693,22164.859729518274,16370.125578321216,21904.755236921697,16670.840787119854,21430.895964457606,13384.917664670658,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,2914.4867081447956,3515.758715431042,3007.5608446671436,3521.0182445759365,3198.755772190867,3411.00584182145,2825.0,3161.9973318086522,2711.2137352674517,2936.3268680729357,2563.112745098039,2838.4358377110384,2056.5807212672735,2624.888952344692,2033.528774142688,2420.436895996318,1895.825166601333,2215.3070211653317,1744.4422776911076,2049.5663875598084,1576.1194029850747,1969.3381834454328,1452.419941775837,1894.7272847332279,1392.2198429693078,1847.0716441265229,1364.177131526768,1825.3962697434747,1389.2367322599878,1785.9079970381338,1115.4098053892214,1397.882239691962
8,Affordability,50 AMI Annual Income,None,58289.73416289592,70315.17430862084,60151.21689334288,70420.36489151874,63975.11544381734,68220.11683642899,56500.0,63239.94663617305,54224.27470534904,58726.53736145871,51262.25490196078,56768.71675422077,41131.61442534547,52497.77904689384,40670.57548285376,48408.73791992636,37916.50333202666,44306.140423306635,34888.84555382215,40991.32775119617,31522.388059701494,39386.76366890866,29048.39883551674,37894.54569466456,27844.396859386154,36941.432882530455,27283.54263053536,36507.9253948695,27784.73464519976,35718.15994076268,22308.19610778443,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,4857.477846907993,5859.597859051737,5012.601407778573,5868.363740959895,5331.259620318112,5685.009736369083,4708.333333333333,5269.995553014421,4518.689558779087,4893.878113454893,4271.854575163398,4730.726396185064,3427.6345354454556,4374.814920574487,3389.2146235711466,4034.061493327197,3159.7086110022215,3692.178368608886,2907.403796151846,3415.9439792663475,2626.8656716417913,3282.2303057423883,2420.699902959728,3157.8788078887133,2320.366404948846,3078.452740210871,2273.6285525446133,3042.3271162391247,2315.3945537666464,2976.51332839689,1859.0163423153692,2329.8037328199366
