,Category,Attribute,Bayview Hunters Point_2000,Bayview Hunters Point_2010,Bayview Hunters Point_2011,Bayview Hunters Point_2012,Bayview Hunters Point_2013,Bayview Hunters Point_2014,Bayview Hunters Point_2015,Bayview Hunters Point_2016,Bayview Hunters Point_2017,Bayview Hunters Point_2018,Bayview Hunters Point_2019,Bayview Hunters Point_2020,Bayview Hunters Point_2021,Bayview Hunters Point_2022
10,Age,0-4 Years,0.06793062649698439,0.07768941969432702,0.0815722131171109,0.08995438932372318,0.08180309584047445,0.0825426944971537,0.07205108528831397,0.07053142717630144,0.0640244727794472,0.06120885435193039,0.0577162330286147,0.06028113413885999,0.06078395240477005,0.0605773174733388
65,Age,18-34 Years,0.2373820448446022,0.2515446241168298,0.2586043301992582,0.255926572442142,0.2510133572730488,0.2519110870154513,0.2450668713001535,0.2502780565879066,0.2478139635615474,0.2434946780857526,0.2326229242170174,0.2429383051932464,0.2272619580382763,0.2286966776045939
81,Age,35-59 Years,0.3154705220327245,0.3327519437136016,0.3359786077805572,0.3334365673742891,0.3384205228651487,0.3245052859853619,0.3377000657750494,0.3262621056343759,0.323100246352094,0.3239937614578488,0.334316005841943,0.3268251046917927,0.3321399426119462,0.3334187858900738
26,Age,5-17 Years,0.2299368020084841,0.1848523368906495,0.1792748497656632,0.1744749141280477,0.174841535406295,0.174329086473299,0.1888292041219031,0.1820524645308304,0.1789978071956469,0.1726270282102498,0.1655487639963217,0.1518497772798805,0.1596598836444047,0.160890073831009
56,Age,60 and older,0.1492800046172049,0.1531616755845922,0.1445699991374105,0.146207556731798,0.153921488615033,0.1667118460287341,0.1563527735145801,0.1708759460705857,0.1860635101112645,0.1986756778942184,0.2097960729161032,0.2181056786962204,0.2201542633006028,0.2164171452009844
41,Educational Attainment,College Degree or higher,0.1160244972754015,0.4155537728280874,0.4177900045850527,0.401958582273932,0.401334121421937,0.3801831806827644,0.3790991291303804,0.3676031323161379,0.3716013278533038,0.3576900412492634,0.3571591861617008,0.3607519690890177,0.3538765174648097,0.355194428322693
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.3095238095238095,0.2142857142857143,0.2976190476190476,0.2202643171806167,0.1637931034482759,0.1658536585365854,0.07482993197278912,0.2105263157894737,0.6551724137931034,0.4883720930232558,0.4464285714285715,0.2195121951219512,0.0,0.0
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.1274764533939591,0.1939081939081939,0.2066271551724138,0.2315400843881857,0.2303329223181258,0.233429692339459,0.2339265507663821,0.2549227799227799,0.2649895971250236,0.250893102500687,0.2698342345536743,0.2636418842717099,0.250256761383088,0.2407218249914879
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.08788782157447278,0.1327445293962563,0.1396378269617706,0.1291727140783745,0.1455268389662028,0.1458304036000563,0.1522297080526147,0.1554775952798597,0.1793807851899138,0.1541254125412541,0.1773590781687948,0.1799844840961986,0.172027972027972,0.1681444462356924
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.05755395683453238,0.08283098906005805,0.07410598879793193,0.110841245308015,0.1384462151394422,0.1513879169582459,0.1400428265524625,0.1428863868986694,0.1433091382840126,0.1269179768895624,0.1359851988899168,0.1655236329935125,0.1832510444360046,0.1855032634833391
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.03780718336483932,0.1097560975609756,0.09454545454545454,0.1384615384615385,0.09828009828009827,0.1929824561403509,0.1390134529147982,0.1363636363636364,0.07670454545454546,0.1792717086834734,0.1507936507936508,0.237037037037037,0.1941391941391941,0.1244343891402715
