,Category,Attribute,Excelsior_2000,Excelsior_2010,Excelsior_2011,Excelsior_2012,Excelsior_2013,Excelsior_2014,Excelsior_2015,Excelsior_2016,Excelsior_2017,Excelsior_2018,Excelsior_2019,Excelsior_2020,Excelsior_2021,Excelsior_2022
10,Age,0-4 Years,0.05719835959421541,0.0502941928882067,0.05246324477688935,0.04999359385009609,0.0524634226741385,0.05284655337602743,0.04641775983854692,0.04168784951703101,0.04577621616271589,0.04149775189798777,0.0421274354923644,0.03735968765251342,0.04547152426725104,0.03915461051330896
65,Age,18-34 Years,0.2482192963522556,0.229623944742901,0.226695898890895,0.233747597693786,0.2373659254000051,0.2498361151732137,0.2476034308779011,0.2439247585155059,0.2360320680952145,0.2325249993857645,0.2103864189172246,0.230307467057101,0.2211569589361755,0.2146166915512537
81,Age,35-59 Years,0.3391700841787179,0.3869276029675109,0.3897859169460923,0.3737347853939782,0.3789334888556432,0.3746911401341334,0.3740413723511604,0.3653787493645145,0.3673726926312664,0.3647576226628338,0.367210812708443,0.3454612005856516,0.3618796224817591,0.363846985532616
26,Age,5-17 Years,0.1602633282969998,0.1365310821181888,0.1328862522568997,0.1334529147982063,0.1240205898014555,0.1255609903686148,0.1217204843592331,0.1246568378240976,0.1264660761122383,0.1332645389548168,0.136462799969909,0.1272327964860908,0.1290435042458351,0.131905472892962
56,Age,60 and older,0.1951489315778114,0.1966231772831926,0.1981686871292236,0.2090711082639334,0.2072165732687578,0.1970652009480107,0.2102169525731584,0.2243518047788511,0.2243529469985649,0.2279550870985971,0.243812532912059,0.2596388482186432,0.2424483900689793,0.2504762395098594
41,Educational Attainment,College Degree or higher,0.2091886993183341,0.3982395878059253,0.3950520740767071,0.3953085196716671,0.3773337926283155,0.3759975339932185,0.348643216080402,0.3366442953020134,0.3298645199293148,0.3286008028982669,0.3274757217414283,0.3240799092513234,0.3127690100430416,0.3000939786534201
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.3333333333333333,0.14375,0.1521739130434783,0.2192982456140351,0.2592592592592592,0.2150537634408602,0.3027027027027027,0.2444444444444444,0.2240437158469945,0.2123287671232877,0.3050847457627119,0.07692307692307693,0.03296703296703297,0.1550387596899225
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.2313192083006365,0.2182458888018794,0.2124907063197026,0.2284293653114946,0.2195926563396443,0.2158587208893267,0.2475819451907577,0.2636144578313253,0.2654138241729952,0.29071282337614,0.299728037442287,0.3089020597382783,0.3183184989174886,0.3100594776312387
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.2677304964539007,0.09618573797678276,0.1914285714285714,0.2062893081761006,0.2973372781065089,0.2821637426900585,0.3287671232876712,0.35,0.3052781740370898,0.4099290780141844,0.3858064516129032,0.3449197860962567,0.282051282051282,0.2532679738562091
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.0991159924993303,0.1471689284043051,0.1506447831184056,0.1472712205516752,0.1465790914066776,0.1688311688311688,0.1431682714351215,0.1342977437115405,0.1360483329603938,0.1450337953946615,0.1162412993039443,0.1208778966131907,0.1377317601733687,0.1697571479842086
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.1527777777777778,0.1263736263736264,0.1376811594202899,0.2058823529411765,0.1888111888111888,0.1166666666666667,0.3207547169811321,0.2727272727272727,0.0,0.0,0.0,0.18,0.3,0.1257142857142857
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.09067939359910163,0.1340909090909091,0.1222456987624509,0.1021406727828746,0.1004811774695726,0.1448087431693989,0.113932898415657,0.09917175239755885,0.1080561430494136,0.1145390726029928,0.07278299176402989,0.1196581196581197,0.14627807685168,0.1830332281418229
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.174724342663274,0.3111510791366907,0.3388305847076462,0.2789473684210526,0.3204353083434099,0.2767441860465116,0.2701080432172869,0.1876640419947506,0.2388250319284802,0.2089171974522293,0.2274459974587039,0.2103626943005181,0.2557427258805513,0.309537088678193
