,Category,Attribute,Farallon Islands_2010,Farallon Islands_2011,Farallon Islands_2012,Farallon Islands_2013,Farallon Islands_2014,Farallon Islands_2015,Farallon Islands_2016,Farallon Islands_2017,Farallon Islands_2018,Farallon Islands_2019,Farallon Islands_2020,Farallon Islands_2021,Farallon Islands_2022
10,Age,0-4 Years,,,,,,,,,,,,,
65,Age,18-34 Years,,,,,,,,,,,,,
81,Age,35-59 Years,,,,,,,,,,,,,
26,Age,5-17 Years,,,,,,,,,,,,,
56,Age,60 and older,,,,,,,,,,,,,
41,Educational Attainment,College Degree or higher,,,,,,,,,,,,,
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",,,,,,,,,,,,,
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",,,,,,,,,,,,,
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",,,,,,,,,,,,,
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",,,,,,,,,,,,,
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",,,,,,,,,,,,,
111,Educational Attainment,"College Degree or higher by Race, White Alone",,,,,,,,,,,,,
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
44,Educational Attainment,High School or Less,,,,,,,,,,,,,
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
76,Educational Attainment,"High School or Less by Race, Asian Alone",,,,,,,,,,,,,
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",,,,,,,,,,,,,
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",,,,,,,,,,,,,
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",,,,,,,,,,,,,
46,Educational Attainment,"High School or Less by Race, Two or More Races",,,,,,,,,,,,,
25,Educational Attainment,"High School or Less by Race, White Alone",,,,,,,,,,,,,
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
45,Educational Attainment,Some College/Associate Degree,,,,,,,,,,,,,
64,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
42,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",,,,,,,,,,,,,
75,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",,,,,,,,,,,,,
54,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",,,,,,,,,,,,,
74,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
52,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",,,,,,,,,,,,,
49,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",,,,,,,,,,,,,
39,Educational Attainment,"Some College/Associate Degree by Race, White Alone",,,,,,,,,,,,,
38,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
409,Employment,Employed Residents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Employment,Managerial Professional,,,,,,,,,,,,,
3,Employment,Natural Resources,,,,,,,,,,,,,
2,Employment,Production Transport Materials,,,,,,,,,,,,,
28,Employment,Sales and Office,,,,,,,,,,,,,
19,Employment,Services,,,,,,,,,,,,,
12,Employment,Unemployment Rate,,,,,,,,,,,,,
14,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
7,Employment,"Unemployment Rate by Race, Asian Alone",,,,,,,,,,,,,
17,Employment,"Unemployment Rate by Race, Black or African American Alone",,,,,,,,,,,,,
11,Employment,"Unemployment Rate by Race, Hispanic or Latino",,,,,,,,,,,,,
22,Employment,"Unemployment Rate by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
13,Employment,"Unemployment Rate by Race, Some Other Race Alone",,,,,,,,,,,,,
9,Employment,"Unemployment Rate by Race, Two or More Races",,,,,,,,,,,,,
5,Employment,"Unemployment Rate by Race, White Alone",,,,,,,,,,,,,
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
116,Households,Average Family Household Size,,,,,,,,,,,,,
115,Households,Average Household Size,,,,,,,,,,,,,
96,Households,Family Households,,,,,,,,,,,,,
405,Households,Households,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",,,,,,,,,,,,,
47,Households,"Households with Children, % of Total",,,,,,,,,,,,,
100,Households,Non-Family Households,,,,,,,,,,,,,
85,Households,"Single Person Households, % of Total",,,,,,,,,,,,,
241,Housing,Median Year Moved In Owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Housing,Median Year Moved In Renter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Housing,Median Year Structure Built,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Housing,"Overcrowding, Renter Occupied Housing",,,,,,,,,,,,,
87,Housing,Owner Occupied,,,,,,,,,,,,,
48,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
98,Housing,"Owner Occupied by Race, Asian Alone",,,,,,,,,,,,,
55,Housing,"Owner Occupied by Race, Black or African American Alone",,,,,,,,,,,,,
62,Housing,"Owner Occupied by Race, Hispanic or Latino",,,,,,,,,,,,,
57,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
59,Housing,"Owner Occupied by Race, Some Other Race Alone",,,,,,,,,,,,,
68,Housing,"Owner Occupied by Race, Two or More Races",,,,,,,,,,,,,
83,Housing,"Owner Occupied by Race, White Alone",,,,,,,,,,,,,
84,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
374,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Housing,Renter Occupied,,,,,,,,,,,,,
113,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,
90,Housing,"Renter Occupied by Race, Asian Alone",,,,,,,,,,,,,
108,Housing,"Renter Occupied by Race, Black or African American Alone",,,,,,,,,,,,,
109,Housing,"Renter Occupied by Race, Hispanic or Latino",,,,,,,,,,,,,
112,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,
110,Housing,"Renter Occupied by Race, Some Other Race Alone",,,,,,,,,,,,,
107,Housing,"Renter Occupied by Race, Two or More Races",,,,,,,,,,,,,
104,Housing,"Renter Occupied by Race, White Alone",,,,,,,,,,,,,
103,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,
407,Housing,Total Number of Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Housing,Vacant Units,,,,,,,,,,,,,
179,Housing Prices,Contract Rent 100 to 149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Housing Prices,Contract Rent 1000 to 1249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Housing Prices,Contract Rent 1250 to 1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Housing Prices,Contract Rent 150 to 199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,Housing Prices,Contract Rent 1500 to 1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Housing Prices,Contract Rent 200 to 249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
