,Category,Attribute,Financial District_2020,Financial District_2021,Financial District_2022
10,Age,0-4 Years,0.04851282497931455,0.04617136849483091,0.0284117978258045
65,Age,18-34 Years,0.4502024996733876,0.42509199229017,0.4153059898653038
81,Age,35-59 Years,0.3500849192178722,0.3664797616961626,0.3579193555372688
26,Age,5-17 Years,0.02325480120193354,0.02006308042754512,0.02680930313136125
56,Age,60 and older,0.1279449549274921,0.1421937970912914,0.1715535536402616
41,Educational Attainment,College Degree or higher,0.05802206910842874,0.07297635170330243,0.07754756449845603
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",,,0.375
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.8261840404277824,0.7927321668909825,0.7829317721233956
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.4319654427645788,0.5173611111111112,0.6241610738255033
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.5353645266594124,0.5748502994011976,0.5389331698344574
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.5045045045045045,0.3882352941176471,0.2086330935251799
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.5477178423236515,0.6931407942238267,0.4964438122332859
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.6417704011065007,0.5409356725146199,0.5736714975845411
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.850799481417459,0.8426701008800171,0.8285249457700651
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.8578923357664233,0.8426978943812634,0.8316739986107895
44,Educational Attainment,High School or Less,0.1007097342382013,0.1021981456401709,0.1068333499352525
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",,,0.375
76,Educational Attainment,"High School or Less by Race, Asian Alone",0.08567399224350687,0.1287165055671112,0.1330781355550552
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.3736501079913607,0.328125,0.3087248322147651
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",0.1860718171926007,0.1956087824351297,0.2783568362967505
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",0.4954954954954955,0.2529411764705882,0.2589928057553957
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",0.2199170124481328,0.1191335740072202,0.3285917496443812
46,Educational Attainment,"High School or Less by Race, Two or More Races",0.2019363762102351,0.2251461988304093,0.1388888888888889
25,Educational Attainment,"High School or Less by Race, White Alone",0.04818496110630942,0.05451813693925735,0.0693058568329718
