,Category,Attribute,Golden Gate Park_2000,Golden Gate Park_2010,Golden Gate Park_2011,Golden Gate Park_2012,Golden Gate Park_2013,Golden Gate Park_2014,Golden Gate Park_2015,Golden Gate Park_2016,Golden Gate Park_2017,Golden Gate Park_2018,Golden Gate Park_2019,Golden Gate Park_2020,Golden Gate Park_2021,Golden Gate Park_2022
0,Housing Type,Other Type,0.0,,,,,,,,,,,,,
1,Language Spoken at Home,Other Languages,0.0,,,,,,,,,,,,,
2,Employment,Production Transport Materials,0.0,,,,,,,,,,,,,
3,Employment,Natural Resources,0.0,,,,,,,,,,,,,
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.0,,,,,,,,,,,,,
5,Employment,"Unemployment Rate by Race, White Alone",0.0,,,,,,,,,,,,,
6,Journey to Work,Journey to Work by Bike,,,,,,,,,,,,,,
7,Employment,"Unemployment Rate by Race, Asian Alone",,,,,,,,,,,,,,
8,Journey to Work,Journey to Work by Other Journey Type,,,,,,,,,,,,,,
9,Employment,"Unemployment Rate by Race, Two or More Races",0.0,,,,,,,,,,,,,
10,Age,0-4 Years,0.0821917808219178,,,,,,,,,,,,,
11,Employment,"Unemployment Rate by Race, Hispanic or Latino",,,,,,,,,,,,,,
12,Employment,Unemployment Rate,0.0,,,,,,,,,,,,,
13,Employment,"Unemployment Rate by Race, Some Other Race Alone",,,,,,,,,,,,,,
14,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,,
15,Language Spoken at Home,Other European Languages,0.08955223880597014,,,,,,,,,,,,,
16,Journey to Work,Journey to Work by Carpooled,,,,,,,,,,,,,,
17,Employment,"Unemployment Rate by Race, Black or African American Alone",0.0,,,,,,,,,,,,,
18,Income,"Percent in Poverty by Race, White Alone, Not Hispanic or Latino",0.25,,,,,,,,,,,,,
19,Employment,Services,0.5,,,,,,,,,,,,,
20,Income,"Percent in Poverty by Race, White Alone",0.25,,,,,,,,,,,,,
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",0.0,,,,,,,,,,,,,
22,Employment,"Unemployment Rate by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
23,Housing,"Overcrowding, Renter Occupied Housing",0.0,,,,,,,,,,,,,
24,Housing Type,10-19 Units,0.0,,,,,,,,,,,,,
25,Educational Attainment,"High School or Less by Race, White Alone",0.0,,,,,,,,,,,,,
26,Age,5-17 Years,0.0,,,,,,,,,,,,,
27,Housing Type,5-9 Units,0.2424242424242424,,,,,,,,,,,,,
28,Employment,Sales and Office,0.1833333333333333,,,,,,,,,,,,,
