,Category,Attribute,Inner Sunset_2000,Inner Sunset_2010,Inner Sunset_2011,Inner Sunset_2012,Inner Sunset_2013,Inner Sunset_2014,Inner Sunset_2015,Inner Sunset_2016,Inner Sunset_2017,Inner Sunset_2018,Inner Sunset_2019,Inner Sunset_2020,Inner Sunset_2021,Inner Sunset_2022
10,Age,0-4 Years,0.03904249396919651,0.04948530787946846,0.05325229722885464,0.05267665952890793,0.04756405629736557,0.04585846329538561,0.05134313928596092,0.04607883532481802,0.04241226244971563,0.0488961681509537,0.05243914824469346,0.05313299008791286,0.05261845386533666,0.05258033106134372
65,Age,18-34 Years,0.3625904620523288,0.3398090960134756,0.3459228709934158,0.3613847251962884,0.3450739805124504,0.3417793797509011,0.3280850769974449,0.319186924872957,0.3224094881398252,0.3278056437028696,0.335319408239954,0.3505656544429267,0.3417883861774136,0.3322514335172563
81,Age,35-59 Years,0.3514937836333272,0.3648137750327531,0.3500832067144201,0.3382583868665239,0.3328762179718513,0.3387816280646658,0.3452109660935018,0.3535228677379481,0.3447080038840338,0.3433309448254683,0.3375875960594468,0.3210745683163462,0.3163519771998575,0.3229831584261964
26,Age,5-17 Years,0.08691779550937094,0.06618004866180048,0.06714420085377325,0.06502498215560314,0.07672320461927103,0.07890510688412262,0.08034666114218632,0.08302430984754841,0.09200305174087946,0.08540621694475722,0.07911574528589323,0.0791215719239256,0.0779123619522622,0.07793285008474882
56,Age,60 and older,0.1599554648357766,0.1797117724125023,0.1835974242095362,0.1826552462526767,0.1977625405990617,0.1946754220049249,0.195014156480906,0.1981870622167285,0.1984671937855458,0.1945610263759511,0.1955381021700125,0.1961052152288887,0.21132882080513,0.2142522269104548
41,Educational Attainment,College Degree or higher,0.6163835693784407,0.09058975781105565,0.09553877831159918,0.09286973821042636,0.08969430715723961,0.09462049293577572,0.09226751156019866,0.09715004191114837,0.09411864912056557,0.0978784549066013,0.08205620745813672,0.09379202637629604,0.09616905368596784,0.08851384712060685
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.6428571428571429,0.2041884816753927,0.0,0.0,0.1274509803921569,0.2209302325581395,0.3188405797101449,0.3382352941176471,0.3636363636363636,0.0,0.0,0.0,0.5641025641025641,0.5294117647058824
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.5249468346147554,0.6100353356890459,0.6163540445486518,0.6626797664815606,0.6482996125699526,0.6658166879161355,0.6653649340156208,0.6610738255033557,0.6468205254112448,0.6634943875061006,0.672651453724082,0.7076535508637236,0.6504381694255112,0.66020395316631
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.4664948453608248,0.6106194690265486,0.5840978593272171,0.2947019867549669,0.3502994011976048,0.3741258741258741,0.4331797235023042,0.399548532731377,0.4743276283618582,0.4730021598272138,0.5215419501133787,0.4738095238095238,0.5410821643286573,0.5071428571428571
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.3469921534437663,0.5464527027027027,0.6332007952286283,0.6613055818353831,0.6852886405959032,0.6629213483146067,0.7060133630289532,0.7355670103092784,0.7375776397515528,0.7347391786903441,0.6963713980789754,0.5471789883268483,0.6253243383497665,0.6641402179062056
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.5714285714285714,0.453125,0.4935064935064935,0.4081632653061225,0.3571428571428572,0.58,,0.0,0.0,0.3125,0.2368421052631579,0.2558139534883721,0.5789473684210527,0.1764705882352941
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.3,0.6005747126436781,0.5738831615120275,0.5775193798449613,0.7416267942583732,0.7100313479623824,0.6920052424639581,0.7318573185731857,0.650887573964497,0.5508021390374331,0.5488721804511278,0.3809931506849315,0.4547283702213279,0.4460285132382892
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.5485436893203883,0.9121621621621622,0.9176755447941889,0.8391376451077943,0.9089506172839507,0.7623376623376623,0.6880503144654088,0.714765100671141,0.7758444216990789,0.7621247113163973,0.8734321550741163,0.9014238773274917,0.83886925795053,0.8471926083866382
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.6722015876483869,0.744070008444001,0.7362269207861822,0.7258485639686684,0.71017317640003,0.7223944493652199,0.7611940298507462,0.7873343151693667,0.8075358759880286,0.8321809709905306,0.8443885330893565,0.8462550357642029,0.832901554404145,0.8399151868539624
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.6877252165912751,0.758177473840323,0.7390927021696252,0.7273286670256134,0.7146957977832709,0.732815785217532,0.7693761814744802,0.7957093313976934,0.8143169215257939,0.8331712850429428,0.8491776315789473,0.8570299464301396,0.8382312551496841,0.8406902469253503
44,Educational Attainment,High School or Less,0.1712699383616431,0.1758180809761509,0.169114619080302,0.1685581227110368,0.1861156873512722,0.1733743370325801,0.1613289946908717,0.141533948030176,0.1424130147779055,0.120742118164145,0.1219777007558358,0.1135308663398551,0.127317458922766,0.1258135463889762
