,Category,Attribute,Lincoln Park_2000,Lincoln Park_2010,Lincoln Park_2011,Lincoln Park_2012,Lincoln Park_2013,Lincoln Park_2014,Lincoln Park_2015,Lincoln Park_2016,Lincoln Park_2017,Lincoln Park_2018,Lincoln Park_2019,Lincoln Park_2020,Lincoln Park_2021,Lincoln Park_2022
10,Age,0-4 Years,0.0,,,,,,,,,,,,,
65,Age,18-34 Years,0.1493624772313297,,,,,,,,,,,,,
81,Age,35-59 Years,0.4098360655737705,,,,,,,,,,,,,
26,Age,5-17 Years,0.04735883424408015,,,,,,,,,,,,,
56,Age,60 and older,0.3934426229508197,,,,,,,,,,,,,
41,Educational Attainment,College Degree or higher,0.240234375,,,,,,,,,,,,,
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.0,,,,,,,,,,,,,
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",,,,,,,,,,,,,,
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.0,,,,,,,,,,,,,
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.0,,,,,,,,,,,,,
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,,,,,,,,,,,,
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",,,,,,,,,,,,,,
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.1224489795918367,,,,,,,,,,,,,
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.3545454545454546,,,,,,,,,,,,,
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.3545454545454546,,,,,,,,,,,,,
44,Educational Attainment,High School or Less,0.603515625,,,,,,,,,,,,,
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.9180327868852459,,,,,,,,,,,,,
76,Educational Attainment,"High School or Less by Race, Asian Alone",,,,,,,,,,,,,,
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",1.0,,,,,,,,,,,,,
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",1.0,,,,,,,,,,,,,
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",1.0,,,,,,,,,,,,,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",,,,,,,,,,,,,,
46,Educational Attainment,"High School or Less by Race, Two or More Races",0.8775510204081632,,,,,,,,,,,,,
