,Category,Attribute,Marina_2000,Marina_2010,Marina_2011,Marina_2012,Marina_2013,Marina_2014,Marina_2015,Marina_2016,Marina_2017,Marina_2018,Marina_2019,Marina_2020,Marina_2021,Marina_2022
10,Age,0-4 Years,0.03001291356815247,0.03637353167944125,0.03720348406226835,0.04069513579600035,0.04509729752448199,0.04427271995492232,0.04591611479028698,0.05014338059582603,0.05107484076433121,0.05088626584027476,0.04614778325123153,0.0717065036131184,0.06781898931700876,0.06014219991635299
65,Age,18-34 Years,0.4297101126597497,0.4354392489455304,0.4179948109710897,0.3952493232032137,0.3923002563779263,0.4047331562424535,0.4192655027092113,0.4264377887525888,0.426671974522293,0.4366191622912637,0.4452413793103449,0.4250774239656952,0.4207178009842756,0.417189460476788
81,Age,35-59 Years,0.3475531014828339,0.3391083495850152,0.326213862120089,0.3319797397607196,0.3431261295338965,0.3254849875231425,0.3177202488460766,0.3128883224470289,0.312062101910828,0.3018041135367731,0.2949753694581281,0.2966330501072024,0.2955627575721202,0.304642409033877
26,Age,5-17 Years,0.0301465022042125,0.03084040092521203,0.03687916975537435,0.05191686315605624,0.0583785146891943,0.06999114545600901,0.06582380092313868,0.06153417237533854,0.05489649681528663,0.05053096995775927,0.0494975369458128,0.05185420471690622,0.06545832833193294,0.06859054788791301
56,Age,60 and older,0.1625773700850514,0.1582384688648011,0.1817086730911787,0.1801589380840101,0.1610978018745009,0.1555179908234726,0.1512743327312864,0.1489963358292178,0.1552945859872611,0.1601594883739292,0.1641379310344828,0.1547288175970777,0.1504421237946625,0.149435382685069
41,Educational Attainment,College Degree or higher,0.7442220336444866,0.05694855422312205,0.05992271452014187,0.05865781265720897,0.05543876802737717,0.05456010618126659,0.05338750826797695,0.05068647733684409,0.05627522763540787,0.04804069329314243,0.04860884559817309,0.04502541757443718,0.03816793893129771,0.03450916330593701
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.5806451612903226,0.0,0.0,0.0,0.0,0.3846153846153846,0.3684210526315789,0.71875,0.5319148936170213,0.6944444444444444,0.4736842105263158,0.6451612903225806,0.5932203389830508,1.0
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.6869300911854104,0.7734564900340302,0.7940594059405941,0.7765042979942693,0.7898635477582846,0.7452868030485359,0.755078125,0.7345276872964169,0.7286789297658863,0.7243498817966904,0.7905106554081223,0.8300180831826401,0.8280612244897959,0.8371526084836665
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.625,0.1780104712041885,0.2777777777777778,0.3225806451612903,0.4794520547945205,0.7168141592920354,0.6373626373626373,0.7708333333333334,0.7878787878787878,0.8571428571428571,0.7054263565891473,0.7213114754098361,0.6,0.2061855670103093
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.5986577181208054,0.6675799086757991,0.6312893081761006,0.6830601092896175,0.6578525641025641,0.7075840500390931,0.6584880636604774,0.6611747851002865,0.6403568977350721,0.6340956340956341,0.6678082191780822,0.634438955539873,0.7668133249528598,0.7605811749842072
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.5277777777777778,0.0,,,,1.0,1.0,1.0,1.0,0.4523809523809524,0.0,0.0,0.0,0.0
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.6057142857142858,0.6061946902654868,0.6094276094276094,0.723404255319149,0.7296511627906976,0.7619047619047619,0.678030303030303,0.7298850574712644,0.7,0.4941176470588236,0.5772357723577236,0.6263345195729537,0.5983827493261455,0.6233480176211453
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.6225165562913907,0.7578947368421053,0.8028673835125448,0.8786279683377308,0.8384401114206128,0.7527593818984547,0.8350694444444444,0.8773424190800682,0.8800904977375565,0.9312839059674503,0.9763513513513513,0.7872832369942196,0.8633879781420765,0.8460551635663887
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.7565317919075144,0.8120584652862363,0.8123493417392916,0.7962093862815884,0.8126244290900574,0.8083295761947701,0.8220055552406326,0.8338733102446654,0.8338861249309011,0.845409565695437,0.8572860404254135,0.8725300498387569,0.886427956195398,0.8905606070517433
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.7602238228465981,0.81664,0.8204389125450376,0.8019216085517944,0.8209777227722772,0.8133174081815467,0.8331603687198583,0.846117056256352,0.8480156611496708,0.8596646072374228,0.8701206529453513,0.8858091082293651,0.8886483733367289,0.8901714594302687
44,Educational Attainment,High School or Less,0.09793840163729846,0.1237086642786689,0.1098406648668678,0.1232015293289063,0.1107308726472745,0.1215396283655669,0.1165548521213267,0.1098363738950536,0.1025063362433117,0.10060286360211,0.08710444144102157,0.08714596949891068,0.08323073134695888,0.08581346674153861
