,Category,Attribute,Mission_2000,Mission_2010,Mission_2011,Mission_2012,Mission_2013,Mission_2014,Mission_2015,Mission_2016,Mission_2017,Mission_2018,Mission_2019,Mission_2020,Mission_2021,Mission_2022
0,Housing Type,Other Type,0.001025092481169497,0.0008955466905479117,0.00150064892926671,0.001055066347441464,0.0008826833574065158,0.002722940776038121,0.002629616546960242,0.004215492903275709,0.003747199258286333,0.005932333129210043,0.003819855609457962,0.008425875592141027,0.006535697905519034,0.007208680142687277
1,Language Spoken at Home,Other Languages,0.007430405358264146,0.004198480373033124,0.004419323634846272,0.004426604644183516,0.005082498526812021,0.004583595165046391,0.006875766981881181,0.007511669915761987,0.007601094557616297,0.00744555981850353,0.007300572978955072,0.009231813149530374,0.008706444959570701,0.008036441745055922
2,Employment,Production Transport Materials,0.09896208303335734,0.02393453611126627,0.02776424744276668,0.02439024390243903,0.02361275088547816,0.02623782120676885,0.02277582045662607,0.01643659021324596,0.01919910775930745,0.01927287540098783,0.02138641183534763,0.01867838240583732,0.02211618368495831,0.01643744638459197
3,Employment,Natural Resources,0.06470482361411087,0.07375858794615428,0.0666456548522965,0.05561321570662515,0.05540563332771125,0.05107971055780297,0.05101672816045718,0.04289090616103561,0.04381539115194646,0.03589795814450838,0.03528630196489255,0.02772211088844355,0.03340213923813098,0.02609513794725627
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.0389165210377739,0.0347517075872254,0.04662088904951211,0.04625743670156344,0.04396759360630611,0.04504096690960119,0.04776280809264182,0.03717505499932654,0.03659345030273567,0.03158215717023872,0.02723631508678238,0.04445620534532945,0.0447012950842501,0.04105530474040632
5,Employment,"Unemployment Rate by Race, White Alone",0.05759013282732448,0.04215017064846417,0.04785536014858668,0.05318802381022892,0.05442056019423225,0.05902556926599669,0.05690925018656111,0.04959274829217026,0.0429490045046594,0.03683342495876855,0.0318006168681533,0.04584695639396055,0.04759467758444217,0.04305463024650233
6,Journey to Work,Journey to Work by Bike,,0.0817775514822358,0.08725008003259509,0.08999707516817783,0.09623574470517621,0.09276011518659646,0.09819165117458171,0.1137964935277732,0.1112040810818106,0.1002587991718426,0.1006238836107588,0.09140839544919577,0.07933443897664555,0.0798941501041608
7,Employment,"Unemployment Rate by Race, Asian Alone",0.05476390053087454,0.03008298755186722,0.031016825164594,0.04484691677447176,0.0574767093004895,0.0488128594602566,0.04580365870688451,0.03278035832780359,0.02691807542262679,0.02120983935742972,0.02326697049652195,0.02237024004021616,0.02014424272569013,0.02191647388286862
8,Journey to Work,Journey to Work by Other Journey Type,,0.02226182394206834,0.01946974767905474,0.02161450716583796,0.02418040986652185,0.0263532970708863,0.03264604810996564,0.03282538642197826,0.03684309967880375,0.04265010351966874,0.04574283569339098,0.03528180986007585,0.0352355835893532,0.03079781543831991
9,Employment,"Unemployment Rate by Race, Two or More Races",0.06297633373445648,0.04459561602418746,0.06906272022551092,0.06710605152786099,0.06088207094918505,0.06657963446475196,0.08193445243804956,0.07734806629834254,0.07418622255866768,0.05527297388945406,0.03734177215189873,0.04275762671150612,0.03717472118959108,0.03599114064230343
10,Age,0-4 Years,0.04743549271437354,0.04455173148263192,0.04521912350597609,0.04319735826708063,0.04517081919364197,0.04203257790368272,0.04252414770272839,0.04645530978733564,0.04634146341463415,0.04289139656935897,0.04674153479666496,0.0414555662056689,0.03912799466835035,0.0356256361720745
11,Employment,"Unemployment Rate by Race, Hispanic or Latino",0.09247926016591868,0.05294637748998804,0.05410341285241411,0.06708687311592217,0.07993234395460498,0.08576553073536605,0.07386972359117205,0.07115156738123452,0.05430195261943616,0.04034169192615045,0.03173496076721883,0.04546287809349221,0.06325282599295819,0.06506088945704097
12,Employment,Unemployment Rate,0.06611385029134917,0.05622182977938269,0.06368879946344735,0.0721947305068878,0.07523136113132993,0.07805851762357514,0.07377049180327869,0.06421372741209883,0.05474535003388639,0.04332472845940286,0.0382328369944469,0.05146575042035236,0.05909056518120602,0.05809225957779515
13,Employment,"Unemployment Rate by Race, Some Other Race Alone",0.07899408284023669,0.04021784666945957,0.0437515107565869,0.05822734499205087,0.07892621764989552,0.07073329007138222,0.05932299332050266,0.05729054490631057,0.0439819359905753,0.02787679371172653,0.01808706315144083,0.0391203447894795,0.06270970727756565,0.06972830007213272
14,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",0.1736641221374046,0.08787346221441125,0.1346499102333932,0.06396588486140725,0.07653061224489796,0.05702647657841141,0.03818615751789976,0.06119162640901771,0.09598214285714286,0.08524590163934426,0.06601466992665037,0.05701078582434515,0.1299765807962529,0.0885478158205431
15,Language Spoken at Home,Other European Languages,0.03429149515105002,0.04932285570974754,0.05253874020825826,0.04949919345762839,0.05128535651149087,0.04413558570214024,0.04082148271132607,0.04102802568275714,0.03957934648471733,0.03766577319948845,0.04598111489923781,0.04689118245776937,0.04515669775676712,0.05412562032442041
