,Category,Attribute,Portola_2000,Portola_2010,Portola_2011,Portola_2012,Portola_2013,Portola_2014,Portola_2015,Portola_2016,Portola_2017,Portola_2018,Portola_2019,Portola_2020,Portola_2021,Portola_2022
10,Age,0-4 Years,0.05445673389720234,0.06984761773426187,0.05835580446656987,0.05067359638924981,0.03815355628827131,0.04178954633870866,0.03780195463765443,0.04447422931643719,0.04209206519792227,0.04171949526052043,0.04739452574857633,0.03946315335836976,0.03382398997807704,0.03500412934375199
65,Age,18-34 Years,0.2486662329212752,0.2008549955181687,0.2109520846297449,0.1990699582848937,0.2053697597739048,0.2306582167283679,0.2314217222939332,0.2251736322651395,0.2284912532091468,0.2280383988407897,0.2041516134958055,0.2053807794126701,0.1986219855934858,0.192363890477098
81,Age,35-59 Years,0.3424202992843201,0.3643384127421913,0.3540759178593653,0.3648362169185529,0.374133638382343,0.3553993850787476,0.3548466408506977,0.3559766053369075,0.3596035584213983,0.3454688160357423,0.3666646255587533,0.3564612448439328,0.3879110554337614,0.3866336319166508
26,Age,5-17 Years,0.1579700715679896,0.1445218230710887,0.1411187167254373,0.1473705805922177,0.153960029607698,0.1500282361799586,0.1454914254102895,0.1403070549530888,0.1398292435369276,0.1235887218499064,0.1154246525013777,0.1438157975743397,0.1376135295959912,0.1169557207293056
56,Age,60 and older,0.1964866623292127,0.2204371509342894,0.2354974763188827,0.2380496478150858,0.2283830159477828,0.2221246156742172,0.2304382568074252,0.234068478128427,0.229983879634605,0.2611845680130411,0.2663645826954871,0.2548790248106877,0.2420294393986846,0.2690426275331936
41,Educational Attainment,College Degree or higher,0.1942500472857953,0.3961774875144065,0.4181696726786907,0.4302358624609264,0.4319668355596499,0.4270877670894697,0.4081838001006205,0.3713277531593632,0.3455764931331843,0.3433094431755533,0.3353312554942859,0.3395982899088489,0.3216421529012445,0.3288227334235453
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.0,0.0,0.04878048780487805,0.02040816326530612,0.02439024390243903,0.2291666666666667,0.3207547169811321,0.3018867924528302,0.36,0.3287671232876712,0.189873417721519,0.0,0.0,
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.2061971830985916,0.2665982203969884,0.2416739319965126,0.2515592515592516,0.2390029325513197,0.2553832254178587,0.25861323338619,0.2864278578564293,0.2954545454545455,0.2772896698615548,0.271472824556463,0.2451531329025007,0.2369957537154989,0.2428534638166366
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.160332541567696,0.1660079051383399,0.1986183074265976,0.2340740740740741,0.2311046511627907,0.2122448979591837,0.1985428051001822,0.2271241830065359,0.1711711711711712,0.2064220183486239,0.2175273865414711,0.2255489021956088,0.1942446043165468,0.3172866520787746
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.1207243460764588,0.1609383524277141,0.1696476964769648,0.1998995479658463,0.1575946086054951,0.121919014084507,0.09353395689304596,0.1045058689890193,0.1579172001707213,0.1736552308343922,0.1577358490566038,0.198810850984764,0.2265589950650516,0.2749529190207156
