,Category,Attribute,Potrero Hill_2000,Potrero Hill_2010,Potrero Hill_2011,Potrero Hill_2012,Potrero Hill_2013,Potrero Hill_2014,Potrero Hill_2015,Potrero Hill_2016,Potrero Hill_2017,Potrero Hill_2018,Potrero Hill_2019,Potrero Hill_2020,Potrero Hill_2021,Potrero Hill_2022
10,Age,0-4 Years,0.05792195580629995,0.05607171964140179,0.06371753246753246,0.06100970235158691,0.06504001255295778,0.0699129903831476,0.08002349313559944,0.07663252705745624,0.07623636105994049,0.06298824688577662,0.06048413693028164,0.06156955203772314,0.05825435747895818,0.0570592538405267
65,Age,18-34 Years,0.292054536906441,0.2895680521597392,0.2948051948051948,0.2960039467192896,0.3055076102306606,0.2944588612425584,0.282064459290801,0.2756591850076269,0.2879410514382882,0.2951650362446337,0.3171294769474309,0.3285281239474571,0.3554244814102989,0.3682915475161269
81,Age,35-59 Years,0.4339445228020686,0.4339038304808476,0.4319805194805195,0.4533793783917119,0.4315863800407971,0.446038772706457,0.4423316937082446,0.4492627297159875,0.423976193850078,0.3997466394538673,0.3834839390541521,0.3803974402155608,0.3641725760487772,0.3559220589213274
26,Age,5-17 Years,0.0998589562764457,0.0951915240423798,0.08693181818181818,0.07293208353889163,0.0746900988545426,0.07128682643871165,0.0817854783055576,0.09101474540568025,0.09154031458126682,0.1033851784080512,0.1117340544818943,0.09875378915459751,0.08350453973092982,0.07481545521048082
56,Age,60 and older,0.1162200282087447,0.1252648736756316,0.1225649350649351,0.11667488899852,0.1231758983210419,0.1183025492291253,0.1137948755597974,0.1074308128132491,0.1203060790704265,0.1387148990076712,0.127168392586241,0.1307510946446615,0.1386440453310359,0.1439116845115382
41,Educational Attainment,College Degree or higher,0.6008861214225841,0.10662177328844,0.08638374899436846,0.07680047813527244,0.07062844123789634,0.06355311355311355,0.07963792630520253,0.08082379862700229,0.08806157150528011,0.09910230201759844,0.1045538255483007,0.08727909303101034,0.06260507565447122,0.06300910397700048
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.3095238095238095,0.2857142857142857,0.3406593406593407,0.3286713286713286,0.3545454545454546,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.4434889434889435,0.7389261744966443,0.7778485041374921,0.7688442211055276,0.7675574891236793,0.7647058823529411,0.7841140529531568,0.7742273441592457,0.747093023255814,0.7696312364425163,0.7962085308056872,0.826512766701644,0.8572860962566845,0.8650530503978779
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.2487437185929648,0.1908256880733945,0.1896551724137931,0.4573643410852713,0.4774535809018567,0.4548286604361371,0.3647342995169082,0.3431372549019608,0.2805507745266781,0.3011583011583012,0.35625,0.3133802816901409,0.3915547024952015,0.5095541401273885
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.3593220338983051,0.4523809523809524,0.6217183770883055,0.6160896130346232,0.6515555555555556,0.6816546762589928,0.5013315579227696,0.4470588235294118,0.3889802631578947,0.3626666666666667,0.3873943120676403,0.5066666666666667,0.5980311730926989,0.6438461538461538
