,Category,Attribute,Presidio Heights_2000,Presidio Heights_2010,Presidio Heights_2011,Presidio Heights_2012,Presidio Heights_2013,Presidio Heights_2014,Presidio Heights_2015,Presidio Heights_2016,Presidio Heights_2017,Presidio Heights_2018,Presidio Heights_2019,Presidio Heights_2020,Presidio Heights_2021,Presidio Heights_2022
10,Age,0-4 Years,0.048,0.03687473279179136,0.03686779520199398,0.04989024146876871,0.06389620524826846,0.07560764722836007,0.07365037345182944,0.08477895914941243,0.06721888984099782,0.07094120945882793,0.06962683042040624,0.05648635710866443,0.04897374701670645,0.04794651384909265
65,Age,18-34 Years,0.3293164556962025,0.2683839247541684,0.2496624779312493,0.2724007184194772,0.2630962832894352,0.281102891728312,0.2772052566890423,0.289498227942548,0.3007712082262211,0.3218057762407702,0.2934341048653755,0.2550502632838679,0.2565155131264916,0.2667621776504298
81,Age,35-59 Years,0.3507848101265823,0.3458743052586575,0.3726243639007166,0.3537218120135702,0.3491366695932104,0.3495052358535882,0.3493429138697173,0.3392091027793322,0.3374274016947539,0.3090008412001122,0.3337742087860179,0.3568214456677836,0.3479713603818615,0.3579751671442216
26,Age,5-17 Years,0.08820253164556963,0.1039974348011971,0.1196385917540762,0.1028736779086011,0.094332260267291,0.08713613219329426,0.09567930415051527,0.09028166386868122,0.08949823859849566,0.08580241144032152,0.08842701936702882,0.1060794638583054,0.1086396181384248,0.1104106972301815
56,Age,60 and older,0.1836962025316456,0.2448696023941855,0.2212067712119639,0.2211135501895829,0.2295385816017949,0.2066480929964454,0.2041221518388957,0.1962320462600261,0.2050842616395316,0.2124497616599682,0.2147378365611715,0.2255624700813786,0.2378997613365155,0.2169054441260745
41,Educational Attainment,College Degree or higher,0.6907307256948811,0.07509034935082318,0.07857897517168516,0.08019410037032307,0.08165893869139619,0.07094808985911918,0.07499067280189031,0.05135202183081122,0.05153751537515375,0.06288635282929149,0.05684159495818689,0.05417276720351391,0.05208839242350655,0.0476013387876534
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.3333333333333333,,,,,,,,,,,,,
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.481447963800905,0.6604859335038363,0.6408284023668639,0.6404682274247492,0.6958195819581958,0.7124711316397229,0.6548672566371682,0.7807112068965517,0.7784564131038312,0.6971226653205452,0.7293916998294485,0.7244616234124793,0.7497371188222923,0.7715903728173666
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.3333333333333333,0.4344262295081967,0.4714285714285714,0.4039408866995074,0.3548387096774194,0.4,0.4304932735426009,0.4022988505747127,0.4142857142857143,0.4051724137931034,0.3559322033898305,0.2352941176470588,0.2777777777777778,0.8478260869565217
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.498960498960499,0.4055201698513801,0.3326315789473684,0.387037037037037,0.4875717017208413,0.5555555555555556,0.6013667425968109,0.6216216216216216,0.5491606714628298,0.5351473922902494,0.6088888888888889,0.6780575539568345,0.7180685358255452,0.729312762973352
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.5294117647058824,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.7135416666666666,0.8095238095238095,0.4393939393939394,0.5666666666666667,0.422680412371134,0.6326530612244898,0.7692307692307693,0.810126582278481,0.8888888888888888,0.9263157894736842,0.8823529411764706,0.5355450236966824,0.6325088339222615,0.5735294117647058
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.4345549738219895,0.6742857142857143,0.6431924882629108,0.6022727272727273,0.6198347107438017,0.6616541353383458,0.6802721088435374,0.6507936507936508,0.8125,0.796078431372549,0.8662207357859532,0.9184952978056427,0.9651972157772621,0.9130434782608695
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.7478302796528448,0.7705095771593784,0.7828959442099468,0.7968580715059588,0.7839583707159519,0.7970557308096741,0.7728690228690228,0.7702076540243693,0.7805001689760054,0.8117963367501261,0.8355799633882509,0.849134236242071,0.8471849865951743,0.8539797671311319
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.7633372112348347,0.8017877963466771,0.8179846184184579,0.8298160696999032,0.8023836985774702,0.8123484424547659,0.7871596762325239,0.7820536202808681,0.7967201297531087,0.8330353950661423,0.8518714689265536,0.8507408084872874,0.8523719165085389,0.8560960716466517
44,Educational Attainment,High School or Less,0.1319330901773362,0.1661089546245482,0.1594030639197042,0.1451921849061422,0.1317619783616693,0.1269196598553116,0.1397836090038553,0.1360704539816423,0.1366543665436654,0.124227294341417,0.104472185189674,0.108223523670083,0.1083050024283633,0.1059873558943845
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.6666666666666666,,,,,,,,,,,,,
76,Educational Attainment,"High School or Less by Race, Asian Alone",0.3167420814479638,0.1617647058823529,0.1988165680473373,0.1800445930880714,0.1545654565456546,0.1662817551963048,0.206858407079646,0.08566810344827586,0.1110494169905608,0.1756688541140838,0.1495167708925526,0.1628934290447267,0.1577287066246057,0.1344974044360547
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.3388888888888889,0.1557377049180328,0.2785714285714286,0.3891625615763547,0.5032258064516129,0.3476190476190476,0.3587443946188341,0.3103448275862069,0.2214285714285714,0.1206896551724138,0.288135593220339,0.0,0.0,0.0
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",0.2598752598752599,0.2781316348195329,0.3410526315789474,0.35,0.3441682600382409,0.2483660130718954,0.08428246013667426,0.08333333333333333,0.07194244604316546,0.1020408163265306,0.1066666666666667,0.2032374100719425,0.1682242990654206,0.1697054698457223
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",0.2647058823529412,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",0.15625,0.1904761904761905,0.5606060606060606,0.4333333333333333,0.5773195876288659,0.3673469387755102,0.2307692307692308,0.189873417721519,0.1111111111111111,0.07368421052631578,0.1176470588235294,0.3554502369668247,0.2897526501766785,0.3051470588235294
46,Educational Attainment,"High School or Less by Race, Two or More Races",0.2617801047120419,0.1028571428571429,0.1549295774647887,0.2045454545454546,0.2231404958677686,0.09774436090225563,0.08163265306122448,0.0,0.0,0.0392156862745098,0.04013377926421405,0.04075235109717868,0.03480278422273782,0.06138107416879796
25,Educational Attainment,"High School or Less by Race, White Alone",0.08534233365477338,0.07155764365739067,0.05964397137089374,0.06970025279884434,0.08864166517136192,0.0793901156677182,0.08991683991683992,0.1002230993650249,0.08279824264954376,0.07360107544950428,0.06556831419537361,0.04303103034459112,0.03235031277926721,0.0303493033021569
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",0.07678244972577697,0.05382821609016712,0.04003155196213765,0.05111326234269119,0.07439446366782007,0.06994963626189143,0.09253127299484916,0.1041400693051249,0.08596143449270138,0.0736503396496246,0.0658545197740113,0.04207060545088714,0.02941176470588235,0.02646041115408101
45,Educational Attainment,Some College/Associate Degree,0.1773361841277827,0.7404631240797751,0.7389064976228209,0.1451921849061422,0.1317619783616693,0.1269196598553116,0.1397836090038553,0.1360704539816423,0.1366543665436654,0.124227294341417,0.104472185189674,0.108223523670083,0.1083050024283633,0.1059873558943845
64,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",0.0,,,,,,,,,,,,,
