,Category,Attribute,Presidio_2000,Presidio_2010,Presidio_2011,Presidio_2012,Presidio_2013,Presidio_2014,Presidio_2015,Presidio_2016,Presidio_2017,Presidio_2018,Presidio_2019,Presidio_2020,Presidio_2021,Presidio_2022
0,Housing Type,Other Type,0.0,0.02025931928687196,0.0,0.0,0.0,0.0,0.0,0.006574141709276844,0.009615384615384616,0.00967982129560685,0.009730538922155689,0.02154531946508172,0.01305293691080493,0.01292175161521895
1,Language Spoken at Home,Other Languages,0.01041666666666667,0.00299289188178077,0.002141327623126338,0.002308580223162755,0.001934984520123839,0.0,0.0,0.0,0.001350256548744261,0.001309243257397224,0.001004268139593271,0.0005578800557880056,0.002670940170940171,0.004029936672423719
2,Employment,Production Transport Materials,0.0148347943358058,0.002911208151382824,0.002369668246445498,0.002587991718426501,0.01446945337620579,0.01954079140205178,0.01710863986313088,0.02572898799313894,0.03358963982193444,0.02097902097902098,0.01384451544195953,0.01031778786628147,0.02002355712603062,0.03188775510204082
3,Employment,Natural Resources,0.0148347943358058,0.004366812227074236,0.01421800947867299,0.004140786749482402,0.01071811361200429,0.005862237420615535,0.008126603934987169,0.00686106346483705,0.0226628895184136,0.01913875598086124,0.01490947816826411,0.0189847296739579,0.02159403219473891,0.01360544217687075
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.02289452166802943,0.01621338912133891,0.01388200297471492,0.008953553441522105,0.009561304836895388,0.007920792079207921,0.007874015748031496,0.00437636761487965,0.00482315112540193,0.005681818181818182,0.004850444624090542,0.009350393700787402,0.008903467666354265,0.01062699256110521
5,Employment,"Unemployment Rate by Race, White Alone",0.02404207362885049,0.01890648952478283,0.01725790987535954,0.01964839710444674,0.008826583592938734,0.007336084364970197,0.007284500202347228,0.004037141703673799,0.004573170731707317,0.0055357848952155,0.02171428571428571,0.02857142857142857,0.0268249780123131,0.02701375245579568
6,Journey to Work,Journey to Work by Bike,,0.05065757428153921,0.03648583773403745,0.04744333157617291,0.05200433369447454,0.03333333333333333,0.06993918331885317,0.07519446845289542,0.0638990638990639,0.07095343680709534,0.07695048094050588,0.05012853470437018,0.03857084855866829,0.05949757602468048
7,Employment,"Unemployment Rate by Race, Asian Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Journey to Work,Journey to Work by Other Journey Type,,0.07160253287871407,0.06481036965914547,0.0521876647337902,0.05308775731310943,0.07860696517412935,0.03127715030408341,0.04105445116681072,0.0752950752950753,0.09830007390983,0.07873174207338796,0.07883461868037704,0.0637434023548518,0.03569854561480829
9,Employment,"Unemployment Rate by Race, Two or More Races",0.0,0.0,0.0,0.0,0.2682926829268293,0.5416666666666666,0.631578947368421,0.6190476190476191,0.175,0.0,0.0,0.0,0.01118568232662192,0.009070294784580499
10,Age,0-4 Years,0.061750333185251,0.06668994413407821,0.07677100494233938,0.09725599166377215,0.1144619602467443,0.1231527093596059,0.09372453137734311,0.1144200626959248,0.1005586592178771,0.07283321194464676,0.05750118315191671,0.1198134053523202,0.1151028125738596,0.1209514170040486
11,Employment,"Unemployment Rate by Race, Hispanic or Latino",0.0273972602739726,0.1333333333333333,0.1159420289855072,0.1496598639455782,0.0,0.0,0.0,0.0,0.0,0.0,0.115681233933162,0.07439446366782007,0.07355516637478109,0.054858934169279
12,Employment,Unemployment Rate,0.02026599113362888,0.02762172284644195,0.01670533642691415,0.01928934010152284,0.01478352692713833,0.01396917148362235,0.01266891891891892,0.009766454352441613,0.01041249499399279,0.005126327352618088,0.0198329853862213,0.02690763052208835,0.02711993888464477,0.02689284236657013
13,Employment,"Unemployment Rate by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",0.0,0.4313725490196079,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
15,Language Spoken at Home,Other European Languages,0.03645833333333334,0.0306771417882529,0.06316916488222699,0.06310119276644863,0.08668730650154799,0.08460013218770654,0.09472422062350119,0.0808259587020649,0.09073724007561437,0.07515056297460068,0.05649008285212152,0.05383542538354254,0.07077991452991453,0.07052389176741508
16,Journey to Work,Journey to Work by Carpooled,,0.03068679980516318,0.06096975516082574,0.07432788613600422,0.04712892741061755,0.04925373134328358,0.04952215464813206,0.05617977528089887,0.08221408221408222,0.0868440502586844,0.1001068756679729,0.09940017137960583,0.08241981323589119,0.04495372410753636
17,Employment,"Unemployment Rate by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.05747126436781609,0.06666666666666667,0.1111111111111111
18,Income,"Percent in Poverty by Race, White Alone, Not Hispanic or Latino",0.1607465382299819,0.03944419542805917,0.03770351328191945,0.06270170585523283,0.04901117798796217,0.07227575982209043,0.04782608695652174,0.04615881213686249,0.03372524752475248,0.02596089008766015,0.02910602910602911,0.03606698153714041,0.03596527490698636,0.02398190045248869
19,Employment,Services,0.1975724881995954,0.02668607472100922,0.03886255924170616,0.02380952380952381,0.0262593783494105,0.02784562774792379,0.01967493584260051,0.009005145797598629,0.01659247268312424,0.01729849098270151,0.03833865814696485,0.0540652084193149,0.0530035335689046,0.05909863945578232
20,Income,"Percent in Poverty by Race, White Alone",0.1654755360087961,0.05121527777777778,0.05147645650438946,0.1018947368421053,0.04585679806918745,0.06777893639207508,0.04481353807583829,0.04303340355100813,0.03180624452874234,0.02495139338950097,0.02717567130378518,0.03314917127071823,0.03318077803203661,0.0221294363256785
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",0.08626465661641541,0.05067766647024161,0.04852320675105485,0.03656307129798903,0.01305637982195846,0.0,0.006066734074823054,0.004515805318615153,0.02931283037001442,0.03379721669980119,0.05513307984790874,0.06674020959735245,0.08860759493670886,0.09567198177676538
22,Employment,"Unemployment Rate by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
23,Housing,"Overcrowding, Renter Occupied Housing",0.01230012300123001,0.01217038539553753,0.02417188898836168,0.008241758241758242,0.0,0.0,0.0,0.02360346184107003,0.01822503961965135,0.01393188854489164,0.01085271317829457,0.03183229813664596,0.01417910447761194,0.0135236664162284
24,Housing Type,10-19 Units,0.04773462783171521,0.0,0.0,0.0265625,0.04224270353302612,0.05315110098709187,0.0599250936329588,0.0606281957633309,0.04215976331360947,0.0186150409530901,0.006736526946107785,0.0,0.0,0.01363962670495334
25,Educational Attainment,"High School or Less by Race, White Alone",0.08835027365129007,0.05797933409873708,0.06666666666666667,0.06543624161073826,0.01800327332242226,0.0048828125,0.01109570041608877,0.009153318077803204,0.02751465944970681,0.0327395281656235,0.05267938237965486,0.06345044572627163,0.08446455505279035,0.0898876404494382
26,Age,5-17 Years,0.06885828520657486,0.09741620111731844,0.1084019769357496,0.1080236193122612,0.1247429746401645,0.1274992755722979,0.1643575115457756,0.1666666666666667,0.1865435997085256,0.1680019422189852,0.1540463795551349,0.135772158114412,0.1385015362798393,0.1348684210526316
27,Housing Type,5-9 Units,0.1650485436893204,0.08833063209076175,0.1396825396825397,0.14296875,0.1482334869431643,0.1473044798785118,0.1318352059925094,0.1029948867786706,0.06582840236686391,0.05137751303052867,0.05164670658682635,0.04309063893016345,0.04713560551124003,0.03948312993539124
28,Employment,Sales and Office,0.2623061362103843,0.1319747695293547,0.1488151658767773,0.1821946169772257,0.1527331189710611,0.1436248168050806,0.1471343028229256,0.1389365351629503,0.1246458923512748,0.1678321678321678,0.1838835640752574,0.1985142385472555,0.1684334511189635,0.1122448979591837
29,Income,"Percent in Poverty by Race, Two or More Races",0.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Income,"Percent in Poverty by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
31,Income,"Percent in Poverty by Race, Asian Alone",0.3090909090909091,0.05853658536585366,0.06884057971014493,0.06040268456375839,0.02,0.015625,0.02258064516129032,0.0,0.0,0.1024844720496894,0.08169014084507042,0.1114864864864865,0.1015384615384615,0.09057971014492754
32,Income,Percent in Poverty,0.1730769230769231,0.05657708628005657,0.05109489051094891,0.09306378529104217,0.04092159559834938,0.05837932036015103,0.0410958904109589,0.04026315789473684,0.02979970688812897,0.03712750366389839,0.03593526891956211,0.03780996808249448,0.03332545497518317,0.0240445456846368
33,Journey to Work,Journey to Work by Walk,,0.01948368241597662,0.02352376380220835,0.02899314707432788,0.0238353196099675,0.0318407960199005,0.03953084274543875,0.03673292999135696,0.03622303622303622,0.03917220990391722,0.05878161738510865,0.06212510711225364,0.09460008120178644,0.09519612163948876
34,Vehicles Available,Percent of No Vehicle Homeowning Households,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,Language Spoken at Home,Spanish Only,0.07386363636363637,0.06023194912083801,0.07351891506067094,0.08387841477491342,0.06114551083591331,0.04362194315928618,0.05605515587529976,0.08525073746312685,0.09370780448285174,0.07750720083791568,0.06954556866683405,0.09037656903765691,0.08173076923076923,0.1203223949337939
36,Housing,Vacant Units,0.3300970873786408,0.1815235008103728,0.1047619047619048,0.146875,0.130568356374808,0.07517084282460136,0.04943820224719101,0.04601899196493791,0.02736686390532544,0.01042442293373045,0.008982035928143712,0.02080237741456166,0.02030456852791878,0.04450825556353195
