,Category,Attribute,San Francisco_2000,San Francisco_2010,San Francisco_2011,San Francisco_2012,San Francisco_2013,San Francisco_2014,San Francisco_2015,San Francisco_2016,San Francisco_2017,San Francisco_2018,San Francisco_2019,San Francisco_2020,San Francisco_2021,San Francisco_2022
0,Housing Type,Other Type,0.001616035691302554,0.001511642606803468,0.00165406742930131,0.001751383513003423,0.002021197407145449,0.002143385654061769,0.002350391078960083,0.00233194453081276,0.002058991915504312,0.00205292318963719,0.001859640016026166,0.002126167695822307,0.002000282218035713,0.00197159721471995
1,Language Spoken at Home,Other Languages,0.009318044659022329,0.007437684979037923,0.00687489245666414,0.007426263087798913,0.007782755262181969,0.009182837601903164,0.0100414772961449,0.01015135009621489,0.009843198802732723,0.009918851247398112,0.009701354687188886,0.01075642580775076,0.01048367478096478,0.01166786630492959
2,Employment,Production Transport Materials,0.07453315974129489,0.0290040871136506,0.02845635840997215,0.02601326603090063,0.02592231200184188,0.02597422110606695,0.02571818680605292,0.02358443177368131,0.02411815695149987,0.02481320624556699,0.02486736956492626,0.02250314890479555,0.02433078599629834,0.02359919994526789
3,Employment,Natural Resources,0.04205010015824301,0.04454593384012942,0.04330578216367723,0.04038145961965368,0.03917509949457851,0.0353069963617631,0.03496802241572116,0.03403063536291075,0.03343495793852141,0.03108014885203214,0.02968281572548322,0.0276277994531658,0.02776049553726899,0.02702599372995336
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.03218851734471682,0.04180698232513127,0.04302877898854428,0.0447229096024236,0.04618097334937662,0.04056847462917605,0.03628424078190563,0.03387266364306901,0.03135346456251052,0.0274819521276099,0.02576428867211946,0.03091773437967633,0.03363814288676897,0.03279567173989988
5,Employment,"Unemployment Rate by Race, White Alone",0.03572947018188485,0.04345008251049762,0.04506955328358088,0.04753143953208791,0.04920589100189658,0.04335548082806721,0.03831960318235594,0.03576924540921474,0.03241839540251183,0.02848970939349072,0.02718336359497309,0.03168282792417312,0.03435582461329484,0.03321350252327086
6,Journey to Work,Journey to Work by Bike,,0.02966864165020847,0.03091654324389488,0.03378781733753184,0.03497656209756349,0.03801199732417998,0.04032101094491608,0.04135045972830245,0.03917032987030844,0.04023471241771662,0.03955931845632468,0.03674611826404643,0.03351508018478931,0.03410926307223791
7,Employment,"Unemployment Rate by Race, Asian Alone",0.04316753840586861,0.04855287545526422,0.05226044100342776,0.05531523896233579,0.05629395698897993,0.05303398451420611,0.04694469929450473,0.04093323409180361,0.03665006598675727,0.03195637855154038,0.0276442085918097,0.02893104491042255,0.03350001670546046,0.03413705583756345
8,Journey to Work,Journey to Work by Other Journey Type,,0.02030190684083481,0.02070058209623532,0.02080494707053768,0.02238526850004144,0.02317216269863029,0.02438596603803449,0.02801436677077976,0.03153927345225434,0.03543522076271607,0.03883618482513847,0.03994775247242764,0.03916364422453342,0.03615594215049256
9,Employment,"Unemployment Rate by Race, Two or More Races",0.06063847756320027,0.07032143971704982,0.06643390553777519,0.07701288787103149,0.08174776898467756,0.07677581462130578,0.07054114270609116,0.07127036296084596,0.05542372881355932,0.04518577075098814,0.03824332198607661,0.04551057172655731,0.04412034302242682,0.04039690667043327
10,Age,0-4 Years,0.04001761222968511,0.04403381492209793,0.04425097605985664,0.04437765227023788,0.04484159279887041,0.04519656540917833,0.04535260403688014,0.04554842481998953,0.04537663885854502,0.04542035599551694,0.04516822121639699,0.04480407590806308,0.04411320654305405,0.04292413058940456
11,Employment,"Unemployment Rate by Race, Hispanic or Latino",0.07155596389774631,0.05980304386750224,0.06402173355887027,0.06963319302465423,0.07364146732344237,0.06726600603855384,0.05458217814235763,0.0528326508997721,0.04270346727215202,0.03508381751966862,0.03555576062381766,0.03934132179444506,0.04556667313395604,0.0457154073354021
12,Employment,Unemployment Rate,0.04593363927527866,0.07144634571190187,0.07519308793802978,0.0804399877212729,0.08247851734495695,0.07561425804289942,0.06749954148309731,0.06165930704889259,0.0542882955154614,0.04675618981672625,0.04214648513699897,0.04684827721185804,0.05286434990036078,0.0535574280864409
13,Employment,"Unemployment Rate by Race, Some Other Race Alone",0.07147423092289253,0.07455714850346735,0.07844967672786364,0.07982692669467611,0.0828703319788816,0.0694180625107926,0.05130667857940585,0.0509069392585338,0.04176773802304427,0.03358318636096414,0.03359687402998156,0.0404419089015666,0.0529829928912085,0.05530875982083854
14,Employment,"Unemployment Rate by Race, American Indian and Alaska Native Alone",0.1176178660049628,0.09300265721877768,0.09400630914826498,0.1135357368753953,0.1111111111111111,0.1010401188707281,0.09715447154471545,0.09013209013209013,0.06977572089711641,0.07780979827089338,0.06880232981434292,0.05682193591014206,0.08213859020310633,0.06023784901758014
15,Language Spoken at Home,Other European Languages,0.0667712733856367,0.06259796914934881,0.0637733623530679,0.06388715091630819,0.06441144276755548,0.06257446100047731,0.06208480552131378,0.06284227921832504,0.06089712442055957,0.05993423632688769,0.06005651926716869,0.0602738609503627,0.05964511393220105,0.06241933201680724
16,Journey to Work,Journey to Work by Carpooled,,0.07932735063465114,0.07802845038404574,0.08025774346869119,0.07515134412395101,0.07512035706844178,0.07251407952122142,0.07184221639634894,0.06818007190258776,0.0727092207031444,0.06940323885690163,0.0675682311462047,0.06480236030712816,0.06440668910616018
17,Employment,"Unemployment Rate by Race, Black or African American Alone",0.120617627785059,0.0731042139305884,0.07815071924425677,0.08820825470556927,0.08979791794243723,0.0954421600198167,0.09997985292636244,0.08954604409857328,0.08170322580645162,0.0694954721862872,0.05595709360234963,0.05502398547906132,0.06128184444039658,0.06656992084432718
18,Income,"Percent in Poverty by Race, White Alone, Not Hispanic or Latino",0.07655979241674672,0.08973229930065668,0.09092263216612304,0.09455007714861148,0.09407503326789156,0.09347091264899485,0.09049343514676277,0.0839072826556623,0.0792294850686872,0.07478483468358717,0.0719269963893335,0.07062348409188186,0.07226943563349093,0.07332193377895228
19,Employment,Services,0.1434331487554432,0.08661571668686942,0.08948607964467051,0.0912902428543119,0.09314008178838079,0.09367762430642755,0.09132144696998254,0.09039707875350855,0.08819719801722924,0.08650712682542921,0.08477060148117538,0.08145487081810082,0.07856636967299392,0.0746872019413803
20,Income,"Percent in Poverty by Race, White Alone",0.08515943860757827,0.09932434783905657,0.1011801535441874,0.1051690878899064,0.1046034724436896,0.101810583575704,0.09872588513333846,0.0908589528600708,0.08530550881629646,0.08108513526689617,0.07741627105579928,0.07651807924374947,0.07746225882518185,0.07624267280240955
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",0.1531027220263127,0.1178290264477308,0.1123988213448427,0.1084693493260191,0.1048193150670545,0.09663442055715459,0.09109548315666455,0.0890328595362914,0.08382694784019265,0.07896439913533132,0.07714826818175756,0.07476837397687959,0.07320725610031513,0.0772981479414169
