,Category,Attribute,Western Addition_2000,Western Addition_2010,Western Addition_2011,Western Addition_2012,Western Addition_2013,Western Addition_2014,Western Addition_2015,Western Addition_2016,Western Addition_2017,Western Addition_2018,Western Addition_2019,Western Addition_2020,Western Addition_2021,Western Addition_2022
0,Housing Type,Other Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0007974481658692185,0.00071758890129166,0.0007112375533428165,0.0006215040397762585,0.002287108332698025,0.001138606345832701,0.001067968571210619,0.001056125528062764
1,Language Spoken at Home,Other Languages,0.01399370283372482,0.02405056510793294,0.0142940956851032,0.01033495866016536,0.02320381595945543,0.02543346824564034,0.01944391362507166,0.0238635837078912,0.02624409734834726,0.02320675105485232,0.03506523231860838,0.02830188679245283,0.04147529575504523,0.05454295027776503
2,Employment,Production Transport Materials,0.04662112259970458,0.020316468060168,0.0169218372280419,0.0147861466706361,0.02626871292721966,0.03131331736968134,0.0358593277456148,0.03426993665746305,0.03171926443427286,0.01842374616171955,0.01682932452163221,0.01190939518953841,0.009408711168789033,0.0111415980710069
3,Employment,Natural Resources,0.03286558345642541,0.02236764993162727,0.0273972602739726,0.02857993450431676,0.0344600320120516,0.02541904586480015,0.02142918862870474,0.0180282605164853,0.01895125672528708,0.01535312180143296,0.02543610235917928,0.01922627850860123,0.02571173655608727,0.0279371414317785
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.0340006903693476,0.03620243812338382,0.0311636089469716,0.02861483919979742,0.02517219787100814,0.0233325477256658,0.02792342397268626,0.02419072104709594,0.02459204780510228,0.02294971312858589,0.01958676698913173,0.0183600049621635,0.02596734798817329,0.0272609819121447
5,Employment,"Unemployment Rate by Race, White Alone",0.0344499126845531,0.03984799131378936,0.03710366539239937,0.03608189118877955,0.03292317924842035,0.02149137088896125,0.02555233206873466,0.02275975810885102,0.0229318474067724,0.02137692549512732,0.01807959431154228,0.01678575479187932,0.0237730963869601,0.02640462985290571
6,Journey to Work,Journey to Work by Bike,,0.03117144293614882,0.02558768462658623,0.02711452853095913,0.04482594182164998,0.06224183251971461,0.06702127659574468,0.07086289391189572,0.07082037006713607,0.06491824510280071,0.05361195898880802,0.0501104797979798,0.0430071954346208,0.0346874734967348
7,Employment,"Unemployment Rate by Race, Asian Alone",0.02585778219791149,0.02911593435680254,0.04549785612196284,0.03485130111524164,0.04396749322775578,0.07634364820846906,0.05548141086749285,0.03443990768684538,0.03888234303989228,0.03809184763260947,0.02810143934201508,0.02362464893441269,0.04504201680672269,0.05912863070539419
8,Journey to Work,Journey to Work by Other Journey Type,,0.04193061840120663,0.05034324942791762,0.05625252934034804,0.05636623748211731,0.04984979346601577,0.03572695035460993,0.03778254413463125,0.03692484034714262,0.04783875667799903,0.05572513109493622,0.05713383838383838,0.04970639318501364,0.03426342125349843
9,Employment,"Unemployment Rate by Race, Two or More Races",0.0,0.02044293015332197,0.02617801047120419,0.04854368932038835,0.1008174386920981,0.09323308270676692,0.08538163001293661,0.08977900552486189,0.04144527098831031,0.0,0.0,0.0,0.0,0.0
